[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Hydralazine.]
[G04BD07, tolterodine, Tolterodine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DH04, doripenem, Hydralazine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[L01FA01, rituximab, Hydralazine may increase the hypotensive activities of Rituximab.]
[S01FA01, atropine, Atropine may decrease the antihypertensive activities of Hydralazine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Hydralazine.]
[B03XA04, peginesatide, Hydralazine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[G04BE10, avanafil, Hydralazine may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Hydralazine.]
[A08AA11, lorcaserin, Hydralazine may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Mirabegron may decrease the antihypertensive activities of Hydralazine.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Hydralazine.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Hydralazine.]
[C01CA18, octopamine, Octopamine may decrease the antihypertensive activities of Hydralazine.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Hydralazine.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Hydralazine.]
[D02BA02, octinoxate, Hydralazine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Hydralazine.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Hydralazine.]
[C08CA13, lercanidipine, Lercanidipine may increase the hypotensive activities of Hydralazine.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Hydralazine.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Hydralazine.]
[V09IX04, fluorodeoxyglucose F18, Hydralazine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Hydralazine.]
[G04BE03, sildenafil, Sildenafil may increase the antihypertensive activities of Hydralazine.]
[V08CA11, gadofosveset, Hydralazine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Hydralazine.]
[A16AX08, teduglutide, Hydralazine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Hydralazine.]
[A10BH04, alogliptin, Hydralazine may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Hydralazine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Hydralazine can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Hydralazine.]
[N02BA10, benorilate, Benorilate may decrease the antihypertensive activities of Hydralazine.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AA12, ancestim, Hydralazine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the antihypertensive activities of Hydralazine.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Hydralazine.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Hydralazine.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01EC02, dabrafenib, The metabolism of Dabrafenib can be decreased when combined with Hydralazine.]
[R02AX03, benzydamine, Benzydamine may decrease the antihypertensive activities of Hydralazine.]
[L01EE01, trametinib, Hydralazine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Hydralazine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Hydralazine may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[C08EA02, bepridil, Bepridil may increase the hypotensive activities of Hydralazine.]
[C02KX05, riociguat, Hydralazine may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, Hydralazine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Hydralazine may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Hydralazine.]
[N06AX26, vortioxetine, Vortioxetine may decrease the antihypertensive activities of Hydralazine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J05AP08, sofosbuvir, Hydralazine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Droxidopa may decrease the antihypertensive activities of Hydralazine.]
[C07AB04, acebutolol, Acebutolol may increase the hypotensive activities of Hydralazine.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Hydralazine.]
[L04AA32, apremilast, Hydralazine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Hydralazine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S01ED02, betaxolol, Betaxolol may increase the hypotensive activities of Hydralazine.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C02CC01, bethanidine, Bethanidine may decrease the antihypertensive activities of Hydralazine.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Hydralazine.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Hydralazine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Hydralazine.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Hydralazine.]
[A10BK03, empagliflozin, The risk or severity of adverse effects can be increased when Hydralazine is combined with Empagliflozin.]
[R03AC19, olodaterol, Olodaterol may decrease the antihypertensive activities of Hydralazine.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S01EE02, unoprostone, Hydralazine may increase the hypotensive activities of Unoprostone.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Hydralazine.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Hydralazine.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05AA04, acepromazine, Acepromazine may decrease the antihypertensive activities of Hydralazine.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Hydralazine.]
[S03AA06, gentamicin, Hydralazine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Hydralazine.]
[B01AF03, edoxaban, Hydralazine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Mirtazapine may decrease the antihypertensive activities of Hydralazine.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Hydralazine.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Hydralazine.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05AX16, brexpiprazole, Brexpiprazole may decrease the antihypertensive activities of Hydralazine.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Hydralazine.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Hydralazine.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Hydralazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the antihypertensive activities of Hydralazine.]
[M01AB11, acemetacin, Acemetacin may decrease the antihypertensive activities of Hydralazine.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB37, idarucizumab, Hydralazine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Hydralazine.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Hydralazine.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Hydralazine.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Hydralazine.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Hydralazine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Hydralazine.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Hydralazine.]
[B01AC27, selexipag, Hydralazine may increase the hypotensive activities of Selexipag.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Hydralazine.]
[M04AB05, lesinurad, Hydralazine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may decrease the antihypertensive activities of Hydralazine.]
[N03AX23, brivaracetam, Hydralazine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Hydralazine.]
[N05BA08, bromazepam, Hydralazine may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, Bromocriptine may decrease the antihypertensive activities of Hydralazine.]
[A02AD05, aluminum magnesium silicate, Hydralazine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Hydralazine.]
[C08CA01, amlodipine, Amlodipine may increase the hypotensive activities of Hydralazine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Hydralazine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Hydralazine.]
[C07AA19, bupranolol, Hydralazine may increase the hypotensive activities of Bupranolol.]
[N05BE01, buspirone, Buspirone may decrease the antihypertensive activities of Hydralazine.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Hydralazine.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Hydralazine.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Hydralazine.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Hydralazine.]
[A07EC04, balsalazide, Balsalazide may decrease the antihypertensive activities of Hydralazine.]
[R03CC12, bambuterol, Bambuterol may decrease the antihypertensive activities of Hydralazine.]
[A06AH05, naldemedine, Hydralazine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Hydralazine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C09AA07, benazepril, Benazepril may increase the hypotensive activities of Hydralazine.]
[P01CA02, benznidazole, Hydralazine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Hydralazine.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N07XX13, valbenazine, Hydralazine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Hydralazine.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Hydralazine.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Hydralazine.]
[J01MA23, delafloxacin, Hydralazine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Capecitabine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Hydralazine.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Hydralazine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Hydralazine.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Hydralazine.]
[C07AB07, bisoprolol, Bisoprolol may increase the hypotensive activities of Hydralazine.]
[R03AC17, bitolterol, Bitolterol may decrease the antihypertensive activities of Hydralazine.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Hydralazine is combined with Nesiritide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Budesonide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Hydralazine.]
[M01AB07, bumadizone, Bumadizone may decrease the antihypertensive activities of Hydralazine.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Hydralazine.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Hydralazine.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Hydralazine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Captopril may increase the hypotensive activities of Hydralazine.]
[L02BB05, apalutamide, Hydralazine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Hydralazine.]
[C07AG02, carvedilol, Carvedilol may increase the hypotensive activities of Hydralazine.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Hydralazine.]
[N03AX24, cannabidiol, Cannabidiol may decrease the antihypertensive activities of Hydralazine.]
[L04AA37, baricitinib, Hydralazine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01GB14, plazomicin, Hydralazine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Hydralazine may increase the hypotensive activities of Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Hydralazine.]
[A16AX14, migalastat, Hydralazine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Hydralazine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Hydralazine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Hydralazine.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[D08AE05, chloroxylenol, Hydralazine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the antihypertensive activities of Hydralazine.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Hydralazine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Hydralazine.]
[C09AA08, cilazapril, Hydralazine may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Hydralazine.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Hydralazine.]
[S01ED05, carteolol, Carteolol may increase the hypotensive activities of Hydralazine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Hydralazine.]
[N06BA14, solriamfetol, Solriamfetol may decrease the antihypertensive activities of Hydralazine.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Hydralazine.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C09CA06, candesartan, Hydralazine may increase the hypotensive activities of Candesartan.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Hydralazine.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Hydralazine.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
