[S02DA03, antipyrine, The protein binding of Gliclazide can be decreased when combined with Antipyrine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Gliclazide.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Gliclazide.]
[H02AB11, prednylidene, The risk or severity of hyperglycemia can be increased when Prednylidene is combined with Gliclazide.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Gliclazide.]
[M03BX01, baclofen, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Baclofen.]
[L02BB04, enzalutamide, The serum concentration of Gliclazide can be decreased when it is combined with Enzalutamide.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Gliclazide.]
[L01EX05, regorafenib, The metabolism of Gliclazide can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Gliclazide.]
[J05AE04, nelfinavir, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Nelfinavir.]
[N04BD02, rasagiline, Rasagiline may increase the hypoglycemic activities of Gliclazide.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Gliclazide.]
[N06DA02, donepezil, The metabolism of Gliclazide can be decreased when combined with Donepezil.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Gliclazide.]
[H01CB05, pasireotide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Gliclazide can be decreased when combined with Sildenafil.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Gliclazide.]
[C04AX11, bencyclane, The risk or severity of hypoglycemia can be increased when Bencyclane is combined with Gliclazide.]
[A10BH04, alogliptin, Alogliptin may increase the hypoglycemic activities of Gliclazide.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Bendroflumethiazide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Gliclazide.]
[N02BA10, benorilate, The protein binding of Gliclazide can be decreased when combined with Benorilate.]
[A10BK02, canagliflozin, Canagliflozin may increase the hypoglycemic activities of Gliclazide.]
[J01MA15, gemifloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Gliclazide can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Moxifloxacin.]
[H03AA04, tiratricol, Tiratricol may decrease the hypoglycemic activities of Gliclazide.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Gliclazide can be decreased when combined with Benzocaine.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Pramlintide.]
[M01AH01, celecoxib, The protein binding of Gliclazide can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Everolimus.]
[L01EC02, dabrafenib, The serum concentration of Gliclazide can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The protein binding of Gliclazide can be decreased when combined with Benzydamine.]
[H05AA03, parathyroid hormone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Parathyroid hormone.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Levomilnacipran is combined with Gliclazide.]
[C08EA02, bepridil, The risk or severity of hypoglycemia can be increased when Bepridil is combined with Gliclazide.]
[A10BJ03, lixisenatide, Lixisenatide may increase the hypoglycemic activities of Gliclazide.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Gliclazide.]
[G03AC08, etonogestrel, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Etonogestrel.]
[N03AF04, eslicarbazepine, The metabolism of Gliclazide can be decreased when combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Gliclazide can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The therapeutic efficacy of Gliclazide can be increased when used in combination with Simeprevir.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the hypoglycemic activities of Gliclazide.]
[C07AB04, acebutolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Acebutolol.]
[A16AA07, metreleptin, Metreleptin may increase the hypoglycemic activities of Gliclazide.]
[L04AA32, apremilast, The metabolism of Gliclazide can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of hyperglycemia can be increased when Betamethasone is combined with Gliclazide.]
[S01ED02, betaxolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Betaxolol.]
[C10AB02, bezafibrate, The risk or severity of hypoglycemia can be increased when Bezafibrate is combined with Gliclazide.]
[A10BJ04, albiglutide, Albiglutide may increase the hypoglycemic activities of Gliclazide.]
[L04AC11, siltuximab, The metabolism of Gliclazide can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Ceritinib.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Acenocoumarol.]
[A10BK03, empagliflozin, Empagliflozin may increase the hypoglycemic activities of Gliclazide.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Gliclazide.]
[J01XA05, oritavancin, The metabolism of Gliclazide can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Acepromazine.]
[A10BJ05, dulaglutide, Dulaglutide may increase the hypoglycemic activities of Gliclazide.]
[D05BA03, 5-methoxypsoralen, The therapeutic efficacy of Gliclazide can be increased when used in combination with Bergapten.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Gliclazide.]
[B01AA01, dicumarol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Dicoumarol.]
[L04AC10, secukinumab, The metabolism of Gliclazide can be increased when combined with Secukinumab.]
[B01AA11, tioclomarol, Gliclazide may increase the anticoagulant activities of Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Gliclazide.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Brexpiprazole.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Acarbose is combined with Gliclazide.]
[M02AA25, aceclofenac, The protein binding of Gliclazide can be decreased when combined with Aceclofenac.]
[M01AB11, acemetacin, The protein binding of Gliclazide can be decreased when combined with Acemetacin.]
[S01EC01, acetazolamide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Insulin degludec.]
[N05AB07, acetophenazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Gliclazide can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Gliclazide.]
[J02AC05, isavuconazole, The metabolism of Gliclazide can be decreased when combined with Isavuconazole.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Gliclazide.]
[M01AE16, alminoprofen, The protein binding of Gliclazide can be decreased when combined with Alminoprofen.]
[N02BA02, aloxiprin, Aloxiprin may increase the hypoglycemic activities of Gliclazide.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Gliclazide.]
[N04BC01, bromocriptine, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Bromocriptine.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Gliclazide.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Gliclazide.]
[C08CA01, amlodipine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Gliclazide.]
[C03CA02, bumetanide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Bumetanide.]
[C07AA19, bupranolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Gliclazide can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Buserelin.]
[L01XX27, arsenic trioxide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Gliclazide.]
[M02AA03, clofezone, The metabolism of Gliclazide can be decreased when combined with Rabeprazole.]
[J01MA09, sparfloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Sparfloxacin.]
[S01GX07, azelastine, The metabolism of Gliclazide can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Gliclazide can be decreased when combined with Rucaparib.]
[A07EC04, balsalazide, Balsalazide may increase the hypoglycemic activities of Gliclazide.]
[N02BF02, pregabalin, The risk or severity of hypoglycemia can be increased when Pregabalin is combined with Gliclazide.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Gliclazide.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Benfluorex.]
[J01XX08, linezolid, Linezolid may increase the hypoglycemic activities of Gliclazide.]
[J05AE09, tipranavir, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Tipranavir.]
[H03BA03, benzylthiouracil, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Benzylthiouracil.]
[L04AB02, infliximab, The metabolism of Gliclazide can be increased when combined with Infliximab.]
[H05AA04, abaloparatide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Abaloparatide.]
[N04BD03, safinamide, Safinamide may increase the hypoglycemic activities of Gliclazide.]
[J01MA23, delafloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Delafloxacin.]
[L01BC06, capecitabine, The metabolism of Gliclazide can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Gliclazide can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Gliclazide can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Bopindolol.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Gliclazide.]
[M01AB07, bumadizone, The protein binding of Gliclazide can be decreased when combined with Bumadizone.]
[J05AX18, letermovir, The metabolism of Gliclazide can be increased when combined with Letermovir.]
[N06AA15, butriptyline, Butriptyline may decrease the hypoglycemic activities of Gliclazide.]
[A10BJ06, semaglutide, Semaglutide may increase the hypoglycemic activities of Gliclazide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Ertugliflozin.]
[L02BB05, apalutamide, The serum concentration of Gliclazide can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Gliclazide can be decreased when combined with Carbamazepine.]
[H03BB01, carbimazole, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Carbimazole.]
[R05CB03, carbocysteine, The risk or severity of adverse effects can be increased when Gliclazide is combined with Carbocisteine.]
[C07AG02, carvedilol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Gliclazide can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Gliclazide can be increased when combined with Avatrombopag.]
[C07AB08, celiprolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Gliclazide can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Gliclazide can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Gliclazide can be decreased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Gliclazide.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Carbutamide.]
[M01AC05, lornoxicam, The protein binding of Gliclazide can be decreased when combined with Lornoxicam.]
[M03BA02, carisoprodol, The metabolism of Gliclazide can be decreased when combined with Carisoprodol.]
[L04AA39, emapalumab, The metabolism of Gliclazide can be increased when combined with Emapalumab.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Gliclazide.]
[C10AB08, ciprofibrate, The risk or severity of hypoglycemia can be increased when Ciprofibrate is combined with Gliclazide.]
[P02BX04, triclabendazole, The metabolism of Gliclazide can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Gliclazide.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Gliclazide.]
[J01FA09, clarithromycin, The serum concentration of Gliclazide can be increased when it is combined with Clarithromycin.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Gliclazide.]
[N05BA09, clobazam, The metabolism of Gliclazide can be decreased when combined with Clobazam.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Gliclazide.]
[H02AB14, cloprednol, The risk or severity of hyperglycemia can be increased when Cloprednol is combined with Gliclazide.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Gliclazide.]
[C09CA06, candesartan, The metabolism of Gliclazide can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Gliclazide can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of hyperglycemia can be increased when Cortivazol is combined with Gliclazide.]
[L01EM03, alpelisib, The serum concentration of Gliclazide can be decreased when it is combined with Alpelisib.]
[N05AA06, cyamemazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Cyamemazine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Gliclazide.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Gliclazide.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Insulin pork.]
[H02AB13, deflazacort, The risk or severity of hyperglycemia can be increased when Deflazacort is combined with Gliclazide.]
[G03DB05, demegestone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Demegestone.]
[G03AC09, desogestrel, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Gliclazide.]
[N03AX25, cenobamate, The serum concentration of Gliclazide can be increased when it is combined with Cenobamate.]
[L01EX18, avapritinib, The metabolism of Gliclazide can be decreased when combined with Avapritinib.]
[L04AA53, teprotumumab, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Gliclazide can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Gliclazide can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Gliclazide can be decreased when combined with Amprenavir.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Gliclazide.]
[G03DB08, dienogest, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Dienogest.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Gliclazide.]
[N02CC06, eletriptan, The metabolism of Gliclazide can be decreased when combined with Eletriptan.]
[M01AH02, rofecoxib, The protein binding of Gliclazide can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Gliclazide can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Gliclazide can be decreased when combined with Clevidipine.]
[S03AA08, chloramphenicol, The metabolism of Gliclazide can be decreased when combined with Chloramphenicol.]
[D07XB03, fluprednidene, The risk or severity of hyperglycemia can be increased when Fluprednidene is combined with Gliclazide.]
[M01AC04, droxicam, The protein binding of Gliclazide can be decreased when combined with Droxicam.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Gliclazide.]
[M02AA27, dexketoprofen, The protein binding of Gliclazide can be decreased when combined with Dexketoprofen.]
[C08CA17, levamlodipine, The risk or severity of hypoglycemia can be increased when Levamlodipine is combined with Gliclazide.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Gliclazide.]
[L04AC19, satralizumab, The serum concentration of Gliclazide can be decreased when it is combined with Satralizumab.]
[L01EX23, pralsetinib, The metabolism of Gliclazide can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Chlorothiazide.]
[G03CA06, chlorotrianisene, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Chlorotrianisene.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Gliclazide.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Chlorthalidone.]
[N02BA07, ethenzamide, The protein binding of Gliclazide can be decreased when combined with Ethenzamide.]
[N02BA03, choline salicylate, Choline salicylate may increase the hypoglycemic activities of Gliclazide.]
[N06BX18, vinpocetine, The risk or severity of hypoglycemia can be increased when Vinpocetine is combined with Gliclazide.]
[G03DC06, ethynodiol, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Etynodiol.]
[M01AB08, etodolac, The protein binding of Gliclazide can be decreased when combined with Etodolac.]
[M02AA06, etofenamate, The protein binding of Gliclazide can be decreased when combined with Etofenamate.]
[C10AB09, etofibrate, The risk or severity of hypoglycemia can be increased when Etofibrate is combined with Gliclazide.]
[A16AX20, lonafarnib, The metabolism of Gliclazide can be decreased when combined with Lonafarnib.]
[L01EX21, tepotinib, The metabolism of Gliclazide can be decreased when combined with Tepotinib.]
[N03AX10, felbamate, The metabolism of Gliclazide can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, The protein binding of Gliclazide can be decreased when combined with Fenbufen.]
[C01DX05, chromonar, The therapeutic efficacy of Gliclazide can be increased when used in combination with Carbocromen.]
[J01MB07, flumequine, The therapeutic efficacy of Gliclazide can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Gliclazide.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Gliclazide.]
[R03CC15, formoterol, The metabolism of Gliclazide can be decreased when combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Insulin human.]
[L03AB10, peginterferon alfa-2b, The metabolism of Gliclazide can be increased when combined with Peginterferon alfa-2b.]
[G03GA06, follitropin beta, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Follitropin.]
[A02BA01, cimetidine, The serum concentration of Gliclazide can be increased when it is combined with Cimetidine.]
[N07CA02, cinnarizine, The risk or severity of hypoglycemia can be increased when Cinnarizine is combined with Gliclazide.]
[J01MB06, cinoxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Cinoxacin.]
[S03AA07, ciprofloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of hypoglycemia can be increased when Citalopram is combined with Gliclazide.]
[H01AC07, somapacitan, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Somapacitan.]
[P01CA03, fexinidazole, The metabolism of Gliclazide can be decreased when combined with Fexinidazole.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Gliclazide.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Lonapegsomatropin.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Gliclazide.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Gliquidone.]
[N06AX25, St. John's wort extract, The therapeutic efficacy of Gliclazide can be decreased when used in combination with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Gliclazide can be decreased when combined with Asciminib.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Gliclazide.]
