[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Trifluoperazine.]
[A03AA05, trimebutine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Trimethadione.]
[C02BA01, trimethaphan, Trifluoperazine may decrease the antihypertensive activities of Trimethaphan.]
[N06AA06, trimipramine, Trimipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Trifluoperazine.]
[A03BB01, butylscopolamine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Trifluoperazine.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Trifluoperazine.]
[C09CA09, azilsartan medoxomil, Trifluoperazine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Tubocurarine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Trifluoperazine.]
[L02BX03, abiraterone, The serum concentration of Trifluoperazine can be increased when it is combined with Abiraterone.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Ezogabine.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Trifluoperazine.]
[C08DA01, verapamil, Verapamil may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[N06AX09, viloxazine, The metabolism of Trifluoperazine can be decreased when combined with Viloxazine.]
[C04AX07, vincamine, Trifluoperazine may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, Vincristine may increase the neurotoxic activities of Trifluoperazine.]
[B01AA03, warfarin, The metabolism of Trifluoperazine can be decreased when combined with Warfarin.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Xenon.]
[C03BA10, xipamide, Trifluoperazine may decrease the antihypertensive activities of Xipamide.]
[J01MB04, pipemidic acid, The metabolism of Trifluoperazine can be decreased when combined with Pipemidic acid.]
[N05AF05, zuclopenthixol, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Levetiracetam.]
[L01EC01, vemurafenib, The serum concentration of Trifluoperazine can be increased when it is combined with Vemurafenib.]
[J01MA13, trovafloxacin, The metabolism of Trifluoperazine can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Acetylsalicylic acid.]
[G04BD07, tolterodine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The serum concentration of Atenolol can be increased when it is combined with Trifluoperazine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Trifluoperazine can be decreased when combined with Peginterferon alfa-2a.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Atracurium.]
[S01FA01, atropine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Trifluoperazine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Trifluoperazine.]
[G04BE10, avanafil, Trifluoperazine may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Lorcaserin is combined with Trifluoperazine.]
[G04BD12, mirabegron, The therapeutic efficacy of Mirabegron can be decreased when used in combination with Trifluoperazine.]
[L04AA31, teriflunomide, The serum concentration of Trifluoperazine can be decreased when it is combined with Teriflunomide.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Trifluoperazine.]
[A02AC02, calcium silicate, Calcium silicate can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Barbital.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Trifluoperazine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[N04BD02, rasagiline, The therapeutic efficacy of Rasagiline can be decreased when used in combination with Trifluoperazine.]
[C08CA13, lercanidipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Trifluoperazine.]
[R06AC06, thonzylamine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Diethyl ether.]
[G04BE03, sildenafil, The risk or severity of hypotension and syncope can be increased when Sildenafil is combined with Trifluoperazine.]
[C04AX11, bencyclane, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Bencyclane.]
[C03AA01, bendroflumethiazide, Trifluoperazine may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Pomalidomide.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Benperidol.]
[J01MA15, gemifloxacin, The metabolism of Trifluoperazine can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Trifluoperazine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Trifluoperazine can be decreased when combined with Tegaserod.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Trifluoperazine.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Benzocaine.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Celecoxib is combined with Trifluoperazine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Trifluoperazine.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Benzatropine.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Bepridil.]
[C02KX05, riociguat, Trifluoperazine may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Trifluoperazine may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Trifluoperazine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Trifluoperazine can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Trifluoperazine can be decreased when combined with Dapagliflozin.]
[C01CA27, droxidopa, The therapeutic efficacy of Droxidopa can be decreased when used in combination with Trifluoperazine.]
[C07AB04, acebutolol, The serum concentration of Acebutolol can be increased when it is combined with Trifluoperazine.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Trifluoperazine can be increased when combined with Apremilast.]
[S01ED02, betaxolol, The serum concentration of Betaxolol can be increased when it is combined with Trifluoperazine.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Trifluoperazine.]
[L04AC11, siltuximab, The metabolism of Trifluoperazine can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, Trifluoperazine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Trifluoperazine.]
[L01XH04, belinostat, The metabolism of Trifluoperazine can be increased when combined with Belinostat.]
[L01EM01, idelalisib, The metabolism of Trifluoperazine can be decreased when combined with Idelalisib.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Alfaxalone.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Trifluoperazine.]
[D11AA01, glycopyrronium, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[N05AA04, acepromazine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Acepromazine.]
[A06AH03, naloxegol, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Naloxegol.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Trifluoperazine.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Trifluoperazine.]
[N06AX11, mirtazapine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Trifluoperazine can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, The metabolism of Trifluoperazine can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[A07DA06, eluxadoline, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Flibanserin.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Trifluoperazine.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Trifluoperazine.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Acetophenazine.]
[L01EB04, osimertinib, The serum concentration of Trifluoperazine can be decreased when it is combined with Osimertinib.]
[B01AC27, selexipag, Trifluoperazine may decrease the antihypertensive activities of Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Trifluoperazine.]
[G04CA01, alfuzosin, Trifluoperazine may increase the hypotensive activities of Alfuzosin.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Alminoprofen.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Bromazepam.]
[N04BC01, bromocriptine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Trifluoperazine.]
[N06AA19, amineptin, The serum concentration of Amineptine can be increased when it is combined with Trifluoperazine.]
[C08CA01, amlodipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Amlodipine.]
[N05AX17, pimavanserin, Trifluoperazine may increase the neurotoxic activities of Pimavanserin.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Aniracetam.]
[A05AA04, obeticholic acid, The metabolism of Trifluoperazine can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Trifluoperazine.]
[C07AA19, bupranolol, The serum concentration of Bupranolol can be increased when it is combined with Trifluoperazine.]
[N07BC01, buprenorphine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Trifluoperazine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Artemether is combined with Trifluoperazine.]
[P01BE03, artesunate, The risk or severity of QTc prolongation can be increased when Artesunate is combined with Trifluoperazine.]
[N02AF01, butorphanol, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Butorphanol.]
[S01GX07, azelastine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Trifluoperazine can be increased when combined with Rucaparib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Trifluoperazine.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Trifluoperazine.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Trifluoperazine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Trifluoperazine can be decreased when combined with Caffeine.]
[C09AA07, benazepril, Trifluoperazine may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Oxybuprocaine.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01XX08, linezolid, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Trifluoperazine.]
[L04AB02, infliximab, The metabolism of Trifluoperazine can be increased when combined with Infliximab.]
[N04BD03, safinamide, The therapeutic efficacy of Safinamide can be decreased when used in combination with Trifluoperazine.]
[L01XX59, enasidenib, The metabolism of Trifluoperazine can be decreased when combined with Enasidenib.]
[A02BX12, bismuth subnitrate, Bismuth subnitrate can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C07AB07, bisoprolol, The serum concentration of Bisoprolol can be increased when it is combined with Trifluoperazine.]
[R03AC17, bitolterol, The therapeutic efficacy of Bitolterol can be decreased when used in combination with Trifluoperazine.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Trifluoperazine.]
[C07AA17, bopindolol, The serum concentration of Bopindolol can be increased when it is combined with Trifluoperazine.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Trifluoperazine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Brotizolam.]
[N04BX03, budipine, The therapeutic efficacy of Budipine can be decreased when used in combination with Trifluoperazine.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Butobarbital.]
[N06AA15, butriptyline, The serum concentration of Butriptyline can be increased when it is combined with Trifluoperazine.]
[N01BX04, capsaicin, The metabolism of Trifluoperazine can be increased when combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Vinylbital.]
[C09AA01, captopril, Trifluoperazine may decrease the antihypertensive activities of Captopril.]
[N03AF01, carbamazepine, The metabolism of Trifluoperazine can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Trifluoperazine.]
[L03AB06, interferon alfa-n1, The metabolism of Trifluoperazine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension and syncope can be increased when Fostamatinib is combined with Trifluoperazine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Trifluoperazine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Trifluoperazine.]
[C07AB08, celiprolol, The serum concentration of Celiprolol can be increased when it is combined with Trifluoperazine.]
[P01BA07, tafenoquine, The risk or severity of QTc prolongation can be increased when Tafenoquine is combined with Trifluoperazine.]
[N03AX17, stiripentol, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Trifluoperazine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Carbromal.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Trifluoperazine.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Trifluoperazine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Trifluoperazine.]
[R03BB08, revefenacin, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Trifluoperazine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Trifluoperazine can be decreased when combined with Carmustine.]
[C09AA08, cilazapril, Trifluoperazine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Trifluoperazine.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Trifluoperazine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Trifluoperazine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Siponimod.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Trifluoperazine.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Trifluoperazine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Cloxazolam.]
[C09CA06, candesartan, Trifluoperazine may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Trifluoperazine can be increased when combined with Etanercept.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Cyamemazine.]
[C03BX03, cicletanine, Trifluoperazine may decrease the antihypertensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Trifluoperazine.]
[N07XX11, pitolisant, The metabolism of Trifluoperazine can be increased when combined with Pitolisant.]
[N04CX01, istradefylline, The therapeutic efficacy of Istradefylline can be decreased when used in combination with Trifluoperazine.]
[C03AA09, cyclothiazide, Trifluoperazine may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Trifluoperazine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Trifluoperazine.]
[A16AX16, givosiran, The serum concentration of Trifluoperazine can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Trifluoperazine.]
[N02AX03, dezocine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Lumateperone is combined with Trifluoperazine.]
[M01AX21, diacetylrhein, The metabolism of Trifluoperazine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Trifluoperazine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Trifluoperazine can be decreased when combined with Osilodrostat.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Trifluoperazine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Dutasteride.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Trifluoperazine.]
