[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cimetidine.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Cimetidine.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Cimetidine.]
[S03AA02, tetracycline, The excretion of Tetracycline can be decreased when combined with Cimetidine.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Cimetidine.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Cimetidine.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be decreased when combined with Cimetidine.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Cimetidine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Cimetidine.]
[P02CA02, thiabendazole, Cimetidine may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[A11DA01, thiamine, The risk or severity of adverse effects can be increased when Cimetidine is combined with Thiamine.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Cimetidine.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Cimetidine.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Cimetidine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Cimetidine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Cimetidine.]
[G04BE06, moxisylyte, Cimetidine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[B03AB03, sodium ironedetate, Cimetidine can cause a decrease in the absorption of Sodium feredetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL03, tiapride, Cimetidine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Cimetidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Cimetidine.]
[P01AB02, tinidazole, Cimetidine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Cimetidine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The serum concentration of Tolazamide can be increased when it is combined with Cimetidine.]
[V04CA01, tolbutamide, The serum concentration of Tolbutamide can be increased when it is combined with Cimetidine.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N06AX05, trazodone, The metabolism of Trazodone can be decreased when combined with Cimetidine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Cimetidine.]
[S01BA05, triamcinolone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Cimetidine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Cimetidine.]
[S01AD02, trifluridine, The excretion of Trifluridine can be decreased when combined with Cimetidine.]
[A03AA05, trimebutine, The serum concentration of Trimebutine can be increased when it is combined with Cimetidine.]
[N03AC02, trimethadione, The serum concentration of Trimethadione can be increased when it is combined with Cimetidine.]
[J01EA01, trimethoprim, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Trimethoprim is combined with Cimetidine.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Cimetidine.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Cimetidine.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Cimetidine is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Cimetidine.]
[L01FX04, ipilimumab, Cimetidine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Cimetidine.]
[R02AA14, oxyquinoline, Cimetidine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The serum concentration of Linagliptin can be increased when it is combined with Cimetidine.]
[J05AP03, boceprevir, The metabolism of Boceprevir can be decreased when combined with Cimetidine.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be decreased when combined with Cimetidine.]
[J05AG05, rilpivirine, Cimetidine can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AA28, vancomycin, Cimetidine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Cimetidine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Cimetidine.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Cimetidine.]
[C08DA01, verapamil, The serum concentration of Verapamil can be increased when it is combined with Cimetidine.]
[N06AX09, viloxazine, Cimetidine may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Cimetidine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Cimetidine.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Cimetidine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Cimetidine.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The excretion of Cimetidine can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Cimetidine.]
[J05AE02, indinavir, Cimetidine can cause a decrease in the absorption of Indinavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Cimetidine.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Cimetidine.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Cimetidine.]
[M05BA05, tiludronic acid, Cimetidine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Cimetidine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Cimetidine.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Cimetidine.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Cimetidine.]
[M05BA06, ibandronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Ibandronate.]
[N05AE04, ziprasidone, The metabolism of Ziprasidone can be decreased when combined with Cimetidine.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Cimetidine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The excretion of Cimetidine can be decreased when combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Cimetidine.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Cimetidine.]
[J01DH04, doripenem, The excretion of Doripenem can be decreased when combined with Cimetidine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Cimetidine.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Cimetidine.]
[S01FA01, atropine, Cimetidine may decrease the excretion rate of Atropine which could result in a higher serum level.]
[M01CB03, auranofin, Cimetidine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Cimetidine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Cimetidine.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Cimetidine.]
[B03XA04, peginesatide, Cimetidine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Cimetidine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Cimetidine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Cimetidine.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Cimetidine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Cimetidine.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Cimetidine.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be decreased when combined with Cimetidine.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Cimetidine.]
[L01EA04, bosutinib, Cimetidine can cause a decrease in the absorption of Bosutinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA31, teriflunomide, The excretion of Cimetidine can be decreased when combined with Teriflunomide.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Cimetidine.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Cimetidine.]
[D02BA02, octinoxate, Cimetidine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, Cimetidine can cause a decrease in the absorption of Nelfinavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Cimetidine.]
[N04BD02, rasagiline, Cimetidine may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[C08CA13, lercanidipine, The serum concentration of Lercanidipine can be increased when it is combined with Cimetidine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Cimetidine.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Cimetidine.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Cimetidine.]
[N02CC03, zolmitriptan, The serum concentration of Zolmitriptan can be increased when it is combined with Cimetidine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Cimetidine.]
[V09IX04, fluorodeoxyglucose F18, Cimetidine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Cimetidine.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Cimetidine.]
[V08CA11, gadofosveset, Cimetidine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Cimetidine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Cimetidine.]
[A16AX08, teduglutide, Cimetidine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Cimetidine.]
[C04AX11, bencyclane, The serum concentration of Bencyclane can be increased when it is combined with Cimetidine.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Cimetidine.]
[A16AX09, glycerol phenylbutyrate, Cimetidine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Cimetidine.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Cimetidine.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M04AB03, benzbromarone, Cimetidine may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Cimetidine.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Cimetidine.]
[J02AX04, caspofungin, The excretion of Cimetidine can be decreased when combined with Caspofungin.]
[L03AA12, ancestim, Cimetidine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Cimetidine.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Cimetidine.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Cimetidine.]
[L01EC02, dabrafenib, Cimetidine can cause a decrease in the absorption of Dabrafenib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01EE01, trametinib, Cimetidine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Cimetidine.]
[V09AX05, florbetapir F-18, Cimetidine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[B03AB04, ferric hydroxide, Cimetidine can cause a decrease in the absorption of Ferric hydroxide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Cimetidine.]
[J05AJ03, dolutegravir, The excretion of Cimetidine can be decreased when combined with Dolutegravir.]
[C08EA02, bepridil, The serum concentration of Bepridil can be increased when it is combined with Cimetidine.]
[C02KX05, riociguat, Cimetidine can cause a decrease in the absorption of Riociguat resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BJ03, lixisenatide, Cimetidine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[A05AA03, cholic acid, Cimetidine may decrease the excretion rate of Cholic Acid which could result in a higher serum level.]
[C02KX04, macitentan, Cimetidine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Cimetidine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Cimetidine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J05AP05, simeprevir, The risk or severity of liver damage can be increased when Cimetidine is combined with Simeprevir.]
[V03AE05, sucroferric oxyhydroxide, Cimetidine can cause a decrease in the absorption of Iron sucrose resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AP08, sofosbuvir, Cimetidine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Cimetidine.]
[C01CA27, droxidopa, Cimetidine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Cimetidine.]
[N05CH03, tasimelteon, Cimetidine may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Cimetidine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Cimetidine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[N07CA01, betahistine, The therapeutic efficacy of Betahistine can be decreased when used in combination with Cimetidine.]
[S03BA03, betamethasone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Betamethasone is combined with Cimetidine.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Cimetidine.]
[V03AB34, fomepizole, Cimetidine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Bezafibrate.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Cimetidine.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Cimetidine.]
[A03BA03, hyoscyamine, Cimetidine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Cimetidine.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Cimetidine.]
[N07XX08, tafamidis, The excretion of Cimetidine can be decreased when combined with Tafamidis.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Cimetidine.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[V03AE01, polystyrene sulfonate, The therapeutic efficacy of Tolevamer can be decreased when used in combination with Cimetidine.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Cimetidine.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Cimetidine.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Cimetidine.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Cimetidine.]
[V03AE08, ferric citrate, Cimetidine can cause a decrease in the absorption of Tetraferric tricitrate decahydrate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Cimetidine.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Cimetidine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Cimetidine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Cimetidine.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Cimetidine.]
[B01AF03, edoxaban, Cimetidine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Cimetidine.]
[L01EF01, palbociclib, The absorption of Palbociclib can be decreased when combined with Cimetidine.]
[L01EX08, lenvatinib, The excretion of Cimetidine can be decreased when combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Cimetidine.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Cimetidine.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Cimetidine.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Cimetidine.]
[A07DA06, eluxadoline, The excretion of Eluxadoline can be decreased when combined with Cimetidine.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Cimetidine.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Cimetidine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Acipimox.]
[A02BC03, lansoprazole, The excretion of Cimetidine can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Cimetidine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Cimetidine.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Cimetidine.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Cimetidine.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cimetidine.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Cimetidine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Cimetidine.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Cimetidine.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Cimetidine.]
[A10BB31, acetohexamide, The serum concentration of Acetohexamide can be increased when it is combined with Cimetidine.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Cimetidine.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Cimetidine.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Cimetidine.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Cimetidine.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Cimetidine.]
[N05BA08, bromazepam, Cimetidine may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Cimetidine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C08CA01, amlodipine, The serum concentration of Amlodipine can be increased when it is combined with Cimetidine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Cimetidine.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Cimetidine is combined with Obeticholic acid.]
[C03CA02, bumetanide, The excretion of Bumetanide can be decreased when combined with Cimetidine.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Cimetidine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Cimetidine.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Cimetidine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Cimetidine.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Cimetidine.]
[L01XX27, arsenic trioxide, Cimetidine may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Cimetidine.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Cimetidine.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Cimetidine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Cimetidine.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Cimetidine.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Cimetidine.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Cimetidine.]
[A06AH05, naldemedine, Cimetidine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Cimetidine.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Cimetidine.]
[P01CA02, benznidazole, Cimetidine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The excretion of Cimetidine can be decreased when combined with Linezolid.]
[J05AF06, abacavir, Cimetidine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Cimetidine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Cimetidine.]
[L04AB02, infliximab, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Infliximab is combined with Cimetidine.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Cimetidine.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Cimetidine.]
[J01MA23, delafloxacin, Cimetidine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[D01AC10, bifonazole, Cimetidine can cause a decrease in the absorption of Bifonazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Cimetidine is combined with Acetylcholine.]
[L01BC06, capecitabine, The serum concentration of the active metabolites of Capecitabine can be increased when Capecitabine is used in combination with Cimetidine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Cimetidine.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Cimetidine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Cimetidine.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Cimetidine.]
[C07AB07, bisoprolol, Cimetidine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J05AG03, efavirenz, Cimetidine may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Cimetidine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
