[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Oxazepam may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Oxazepam.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Trifluperidol.]
[N05AA05, triflupromazine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Oxazepam.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Oxazepam.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Oxazepam.]
[A03BB01, butylscopolamine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Oxazepam.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Tubocurarine.]
[R03DX07, roflumilast, Oxazepam may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Oxazepam may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Oxazepam may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[S01AA28, vancomycin, Oxazepam may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ezogabine.]
[B01AF01, rivaroxaban, Oxazepam may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, Verapamil may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Viloxazine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[B01AA03, warfarin, Oxazepam may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Levetiracetam.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M05BA05, tiludronic acid, Oxazepam may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Oxazepam may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[A02BC04, rabeprazole, Oxazepam may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Oxazepam may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Oxazepam may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Oxazepam may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The serum concentration of Oxazepam can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Oxazepam is combined with Atracurium.]
[S01FA01, atropine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Oxazepam may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[B03XA04, peginesatide, Oxazepam may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Oxazepam may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Oxazepam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Oxazepam is combined with Lorcaserin.]
[G04BD12, mirabegron, Oxazepam may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L02BB04, enzalutamide, Oxazepam may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[L01EX05, regorafenib, The metabolism of Oxazepam can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Oxazepam is combined with Barbital.]
[D02BA02, octinoxate, Oxazepam may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Oxazepam is combined with Rasagiline.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Oxazepam is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Oxazepam is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Oxazepam.]
[R06AC06, thonzylamine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Oxazepam may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Oxazepam is combined with Diethyl ether.]
[V08CA11, gadofosveset, Oxazepam may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, The serum concentration of Oxazepam can be increased when it is combined with Teduglutide.]
[A10BH04, alogliptin, Oxazepam may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Oxazepam may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pomalidomide.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Benzocaine.]
[L03AA12, ancestim, Oxazepam may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Oxazepam is combined with Naratriptan.]
[N04AC01, benztropine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[L01EE01, trametinib, Oxazepam may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Oxazepam may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Oxazepam is combined with Levomilnacipran.]
[A10BJ03, lixisenatide, Oxazepam may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Oxazepam may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Eslicarbazepine.]
[J05AP08, sofosbuvir, Oxazepam may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Oxazepam is combined with Vigabatrin.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Oxazepam may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Oxazepam is combined with Tasimelteon.]
[L04AA32, apremilast, Oxazepam may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Oxazepam may decrease the excretion rate of Formestane which could result in a higher serum level.]
[V03AB34, fomepizole, Oxazepam may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[A03BA03, hyoscyamine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Alfaxalone.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[D11AA01, glycopyrronium, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05CM19, suvorexant, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Acepromazine.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Naloxegol is combined with Oxazepam.]
[N04AA02, biperiden, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S03AA06, gentamicin, Oxazepam may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AF03, edoxaban, Oxazepam may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[A03AA09, difemerine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[A07DA06, eluxadoline, The risk or severity of adverse effects can be increased when Eluxadoline is combined with Oxazepam.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Oxazepam is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Oxazepam is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Cariprazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Oxazepam.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Acetophenazine.]
[V03AB37, idarucizumab, Oxazepam may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J02AC05, isavuconazole, The metabolism of Oxazepam can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Oxazepam.]
[L01XG03, ixazomib, Oxazepam may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Oxazepam may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Oxazepam is combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Oxazepam may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Oxazepam.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Oxazepam is combined with Amineptine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Oxazepam.]
[N07BC01, buprenorphine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxazepam.]
[L01XX27, arsenic trioxide, Oxazepam may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Oxazepam may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Oxazepam.]
[S01GX07, azelastine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[R03DA08, bamifylline, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Bamifylline.]
[A06AH05, naldemedine, Oxazepam may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of sedation and somnolence can be increased when Oxazepam is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Oxazepam can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Beclamide.]
[N06BC01, caffeine, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Caffeine.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxazepam is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Oxazepam may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Oxazepam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX13, valbenazine, Oxazepam may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Safinamide.]
[J01MA23, delafloxacin, Oxazepam may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Oxazepam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Oxazepam.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N04AA11, bornaprine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Oxazepam may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Oxazepam is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Oxazepam is combined with Butriptyline.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Oxazepam is combined with Vinylbital.]
[R06AX18, acrivastine, Oxazepam may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, Oxazepam may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Oxazepam may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A03AA03, camylofine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Oxazepam.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Oxazepam.]
[L04AA37, baricitinib, Oxazepam may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01GB14, plazomicin, Oxazepam may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[A16AX14, migalastat, Oxazepam may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Oxazepam.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Oxazepam is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Oxazepam may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[R03DA02, oxtriphylline, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Oxtriphylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Oxazepam.]
[R03BB08, revefenacin, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[A06AX05, prucalopride, Oxazepam may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, Oxazepam may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Oxazepam is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Esketamine.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Oxazepam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Cloxazolam.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
