[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluvoxamine.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Fluvoxamine.]
[C03AA06, trichlormethiazide, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Trichlormethiazide.]
[A03AB12, mepenzolate, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Fluvoxamine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Fluvoxamine.]
[S01AD02, trifluridine, Fluvoxamine may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Trifluperidol is combined with Fluvoxamine.]
[N05AA05, triflupromazine, The risk or severity of adverse effects can be increased when Triflupromazine is combined with Fluvoxamine.]
[N04AA01, trihexyphenidyl, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Fluvoxamine.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Fluvoxamine.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Fluvoxamine.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Fluvoxamine.]
[R06AC04, tripelennamine, The metabolism of Fluvoxamine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Fluvoxamine.]
[A03BB01, butylscopolamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Fluvoxamine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Fluvoxamine.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Fluvoxamine.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Fluvoxamine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Fluvoxamine.]
[L01FX04, ipilimumab, Fluvoxamine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Fluvoxamine.]
[R02AA14, oxyquinoline, Fluvoxamine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Fluvoxamine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Fluvoxamine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Fluvoxamine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be increased when it is combined with Fluvoxamine.]
[B01AD04, urokinase, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Urokinase.]
[S01AA28, vancomycin, Fluvoxamine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ezogabine is combined with Fluvoxamine.]
[B01AF01, rivaroxaban, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Rivaroxaban.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be decreased when combined with Fluvoxamine.]
[B01AC24, ticagrelor, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Fluvoxamine.]
[N06AX09, viloxazine, The metabolism of Fluvoxamine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Fluvoxamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Fluvoxamine.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Fluvoxamine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[A11HA03, vitamin E, The metabolism of Vitamin E can be decreased when combined with Fluvoxamine.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Fluvoxamine.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Fluvoxamine.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Fluvoxamine.]
[J05AE02, indinavir, The metabolism of Fluvoxamine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Fluvoxamine.]
[L01EC01, vemurafenib, The serum concentration of Fluvoxamine can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Fluvoxamine.]
[M05BA05, tiludronic acid, Fluvoxamine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Fluvoxamine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Fluvoxamine.]
[B01AE01, desirudin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Fluvoxamine.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Fluvoxamine.]
[J01MA13, trovafloxacin, The metabolism of Fluvoxamine can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Fluvoxamine.]
[V03AC02, deferiprone, Fluvoxamine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Fluvoxamine.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Fluvoxamine.]
[J01DH04, doripenem, Fluvoxamine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Fluvoxamine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Fluvoxamine can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Fluvoxamine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Atracurium is combined with Fluvoxamine.]
[S01FA01, atropine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Fluvoxamine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Fluvoxamine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Fluvoxamine.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Fluvoxamine.]
[H02AB11, prednylidene, The metabolism of Prednylidene can be decreased when combined with Fluvoxamine.]
[B03XA04, peginesatide, Fluvoxamine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Fluvoxamine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Fluvoxamine.]
[L01BC05, gemcitabine, Fluvoxamine may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[J01DF01, aztreonam, Fluvoxamine may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Fluvoxamine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Fluvoxamine.]
[G04BD12, mirabegron, The serum concentration of Fluvoxamine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Fluvoxamine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Fluvoxamine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Fluvoxamine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Fluvoxamine.]
[L04AA31, teriflunomide, The serum concentration of Fluvoxamine can be decreased when it is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Defibrotide.]
[H02AA01, aldosterone, The metabolism of Aldosterone can be decreased when combined with Fluvoxamine.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Fluvoxamine.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Fluvoxamine.]
[D02BA02, octinoxate, Fluvoxamine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Fluvoxamine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Fluvoxamine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.]
[N04BD02, rasagiline, The serum concentration of Rasagiline can be increased when it is combined with Fluvoxamine.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be decreased when combined with Fluvoxamine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Mosapride is combined with Fluvoxamine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Fluvoxamine.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Fluvoxamine.]
[N02CC03, zolmitriptan, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Fluvoxamine.]
[V09IX04, fluorodeoxyglucose F18, Fluvoxamine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Diethyl ether is combined with Fluvoxamine.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Fluvoxamine.]
[H01CB05, pasireotide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Fluvoxamine.]
[V08CA11, gadofosveset, Fluvoxamine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Fluvoxamine.]
[B01AF02, apixaban, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Apixaban.]
[A16AX08, teduglutide, Fluvoxamine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Fluvoxamine.]
[J04AK05, bedaquiline, The metabolism of Bedaquiline can be decreased when combined with Fluvoxamine.]
[C04AX11, bencyclane, The metabolism of Bencyclane can be decreased when combined with Fluvoxamine.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Fluvoxamine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Fluvoxamine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Bendroflumethiazide.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Fluvoxamine.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Fluvoxamine.]
[N02BA10, benorilate, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Benperidol is combined with Fluvoxamine.]
[A10BK02, canagliflozin, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Canagliflozin.]
[J01MA15, gemifloxacin, The metabolism of Fluvoxamine can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, Fluvoxamine may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[S01AE07, moxifloxacin, The metabolism of Fluvoxamine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Fluvoxamine.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Fluvoxamine.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Fluvoxamine.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Pramlintide.]
[L03AA12, ancestim, Fluvoxamine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of bleeding can be increased when Celecoxib is combined with Fluvoxamine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Fluvoxamine.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Fluvoxamine.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Fluvoxamine.]
[L01EC02, dabrafenib, The serum concentration of Fluvoxamine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Benzydamine.]
[L01EE01, trametinib, Fluvoxamine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Fluvoxamine.]
[H05AA03, parathyroid hormone, The therapeutic efficacy of Parathyroid hormone can be decreased when used in combination with Fluvoxamine.]
[V09AX05, florbetapir F-18, Fluvoxamine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Fluvoxamine.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Fluvoxamine.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Fluvoxamine.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Lixisenatide.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[C02KX04, macitentan, The metabolism of Macitentan can be decreased when combined with Fluvoxamine.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Fluvoxamine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Fluvoxamine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be decreased when combined with Fluvoxamine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Eslicarbazepine is combined with Fluvoxamine.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J05AP08, sofosbuvir, Fluvoxamine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Fluvoxamine.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Fluvoxamine.]
[C01CA27, droxidopa, Fluvoxamine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Fluvoxamine.]
[N05CH03, tasimelteon, The serum concentration of Tasimelteon can be increased when it is combined with Fluvoxamine.]
[A16AA07, metreleptin, The metabolism of Fluvoxamine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Fluvoxamine can be increased when combined with Apremilast.]
[L02BG02, formestane, Fluvoxamine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Betamethasone can be decreased when combined with Fluvoxamine.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Fluvoxamine.]
[B01AE03, argatroban, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Argatroban.]
[V03AB34, fomepizole, Fluvoxamine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C10AB02, bezafibrate, The metabolism of Bezafibrate can be decreased when combined with Fluvoxamine.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Albiglutide.]
[L04AC11, siltuximab, The metabolism of Fluvoxamine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Fluvoxamine.]
[B01AC26, vorapaxar, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Vorapaxar.]
[A03BA03, hyoscyamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Fluvoxamine.]
[L01XH04, belinostat, The metabolism of Fluvoxamine can be increased when combined with Belinostat.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Fluvoxamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Alfaxalone is combined with Fluvoxamine.]
[A10BK03, empagliflozin, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Empagliflozin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Fluvoxamine.]
[V08AA01, diatrizoic acid, Fluvoxamine may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[D11AA01, glycopyrronium, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Fluvoxamine may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[N05CM19, suvorexant, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Fluvoxamine.]
[J01XA05, oritavancin, The metabolism of Fluvoxamine can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Acepromazine is combined with Fluvoxamine.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Dulaglutide.]
[A06AH03, naloxegol, The metabolism of Naloxegol can be decreased when combined with Fluvoxamine.]
[N04AA02, biperiden, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A11HA08, tocophersolan, The metabolism of Tocofersolan can be decreased when combined with Fluvoxamine.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Fluvoxamine.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Fluvoxamine.]
[S03AA06, gentamicin, Fluvoxamine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Fluvoxamine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Fluvoxamine.]
[B01AA01, dicumarol, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Edoxaban.]
[N06AX11, mirtazapine, Fluvoxamine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Fluvoxamine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Fluvoxamine.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[L01XH03, panobinostat, The metabolism of Fluvoxamine can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Fluvoxamine.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Fluvoxamine.]
[L01DC01, bleomycin, Fluvoxamine may decrease the excretion rate of Bleomycin which could result in a higher serum level.]
[A03AA09, difemerine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Tioclomarol.]
[C01EB17, ivabradine, The metabolism of Ivabradine can be decreased when combined with Fluvoxamine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Fluvoxamine.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Eluxadoline is combined with Fluvoxamine.]
[B01AC25, cangrelor, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Cangrelor.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Fluvoxamine.]
