[S02DA03, antipyrine, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Antipyrine.]
[R03DX07, roflumilast, Tadalafil may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Tadalafil may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Tadalafil may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Tadalafil can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The serum concentration of Tadalafil can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Tadalafil can be increased when it is combined with Telaprevir.]
[S01AA28, vancomycin, Tadalafil may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Tadalafil may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Tadalafil may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, Indacaterol may decrease the antihypertensive activities of Tadalafil.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Tadalafil.]
[C08DA01, verapamil, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Tadalafil can be decreased when combined with Viloxazine.]
[C04AX07, vincamine, Tadalafil may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Tadalafil.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[B01AA03, warfarin, Tadalafil may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Tadalafil.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Zuclopenthixol.]
[J05AE02, indinavir, The serum concentration of Tadalafil can be increased when it is combined with Indinavir.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[M05BA05, tiludronic acid, Tadalafil may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Tadalafil may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Tadalafil.]
[A02BC04, rabeprazole, Tadalafil may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, Ziprasidone may increase the antihypertensive activities of Tadalafil.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Tadalafil may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the antihypertensive activities of Tadalafil.]
[L01EJ01, ruxolitinib, Tadalafil may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Tadalafil may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Tadalafil may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Atenolol may increase the hypotensive activities of Tadalafil.]
[L01FA01, rituximab, Tadalafil may increase the hypotensive activities of Rituximab.]
[J02AC03, voriconazole, The serum concentration of Tadalafil can be increased when it is combined with Voriconazole.]
[S01FA01, atropine, Atropine may decrease the antihypertensive activities of Tadalafil.]
[M01CB03, auranofin, Tadalafil may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Tadalafil.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Tadalafil.]
[H02AB11, prednylidene, The metabolism of Tadalafil can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Tadalafil may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Tadalafil may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Tadalafil may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Tadalafil.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Tadalafil.]
[A08AA11, lorcaserin, Tadalafil may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Mirabegron may decrease the antihypertensive activities of Tadalafil.]
[V03AX03, cobicistat, The serum concentration of Tadalafil can be increased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The serum concentration of Tadalafil can be increased when it is combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Tadalafil can be decreased when it is combined with Enzalutamide.]
[C01CA18, octopamine, Octopamine may decrease the antihypertensive activities of Tadalafil.]
[D02BA02, octinoxate, Tadalafil may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The serum concentration of Tadalafil can be increased when it is combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Tadalafil.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Tadalafil.]
[C08CA13, lercanidipine, Lercanidipine may increase the hypotensive activities of Tadalafil.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Tadalafil.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Tadalafil.]
[V09IX04, fluorodeoxyglucose F18, Tadalafil may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Tadalafil.]
[G04BE03, sildenafil, The risk or severity of adverse effects can be increased when Sildenafil is combined with Tadalafil.]
[V08CA11, gadofosveset, Tadalafil may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Tadalafil.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Tadalafil.]
[A16AX08, teduglutide, Tadalafil may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Tadalafil may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Tadalafil may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Tadalafil can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, Tadalafil may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Benorilate.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AA12, ancestim, Tadalafil may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Tadalafil.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Tadalafil can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Benzydamine.]
[L01EE01, trametinib, Tadalafil may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Tadalafil may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Tadalafil may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[C08EA02, bepridil, Tadalafil may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, The risk or severity of hypotension can be increased when Tadalafil is combined with Riociguat.]
[A10BJ03, lixisenatide, Tadalafil may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Tadalafil.]
[N06AX26, vortioxetine, Vortioxetine may decrease the antihypertensive activities of Tadalafil.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J05AP05, simeprevir, The metabolism of Tadalafil can be decreased when combined with Simeprevir.]
[S01EA03, apraclonidine, The risk or severity of hypotension can be increased when Tadalafil is combined with Apraclonidine.]
[J05AP08, sofosbuvir, Tadalafil may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Droxidopa may decrease the antihypertensive activities of Tadalafil.]
[C07AB04, acebutolol, Tadalafil may increase the hypotensive activities of Acebutolol.]
[N05CH03, tasimelteon, Tadalafil may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[A16AA07, metreleptin, The metabolism of Tadalafil can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Tadalafil can be increased when combined with Apremilast.]
[L02BG02, formestane, Tadalafil may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Tadalafil can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Betaxolol may increase the hypotensive activities of Tadalafil.]
[V03AB34, fomepizole, Tadalafil may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, Bethanidine may decrease the antihypertensive activities of Tadalafil.]
[L04AC11, siltuximab, The metabolism of Tadalafil can be increased when combined with Siltuximab.]
[A10BK03, empagliflozin, Empagliflozin may increase the hypotensive activities of Tadalafil.]
[R03AC19, olodaterol, Olodaterol may decrease the antihypertensive activities of Tadalafil.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01EE02, unoprostone, Tadalafil may increase the hypotensive activities of Unoprostone.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Acepromazine.]
[S03AA06, gentamicin, Tadalafil may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Tadalafil.]
[B01AF03, edoxaban, Tadalafil may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Mirtazapine may decrease the antihypertensive activities of Tadalafil.]
[L04AC10, secukinumab, The metabolism of Tadalafil can be increased when combined with Secukinumab.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Tadalafil.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Tadalafil.]
[N05AX16, brexpiprazole, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Brexpiprazole.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Tadalafil.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Tadalafil.]
[M02AA25, aceclofenac, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Aceclofenac.]
[M01AB11, acemetacin, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB37, idarucizumab, Tadalafil may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J02AC05, isavuconazole, The metabolism of Tadalafil can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tadalafil.]
[L01XG03, ixazomib, Tadalafil may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Tadalafil may increase the hypotensive activities of Selexipag.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Tadalafil.]
[M04AB05, lesinurad, Tadalafil may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Tadalafil.]
[M01AE16, alminoprofen, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Alminoprofen.]
[N03AX23, brivaracetam, Tadalafil may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01XX52, venetoclax, The metabolism of Tadalafil can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, Tadalafil may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Tadalafil may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Tadalafil.]
[C08CA01, amlodipine, Amlodipine may increase the hypotensive activities of Tadalafil.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01ED03, levobunolol, The risk or severity of hypotension can be increased when Tadalafil is combined with Levobunolol.]
[N01BB01, bupivacaine, Bupivacaine may increase the hypotensive activities of Tadalafil.]
[C07AA19, bupranolol, Tadalafil may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Tadalafil.]
[N05BE01, buspirone, Buspirone may decrease the antihypertensive activities of Tadalafil.]
[L01XX27, arsenic trioxide, Tadalafil may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Tadalafil.]
[M02AA03, clofezone, Tadalafil may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Tadalafil.]
[L01XK03, rucaparib, The metabolism of Tadalafil can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The serum concentration of Tadalafil can be increased when it is combined with Ribociclib.]
[A07EC04, balsalazide, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Balsalazide.]
[R03CC12, bambuterol, Bambuterol may decrease the antihypertensive activities of Tadalafil.]
[A06AH05, naldemedine, Tadalafil may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Tadalafil may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C09AA07, benazepril, Benazepril may increase the hypotensive activities of Tadalafil.]
[P01CA02, benznidazole, Tadalafil may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Tadalafil.]
[J05AF06, abacavir, Tadalafil may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The serum concentration of Tadalafil can be increased when it is combined with Tipranavir.]
[N07XX13, valbenazine, Tadalafil may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Tadalafil can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The serum concentration of Tadalafil can be increased when it is combined with Midostaurin.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Tadalafil.]
[J01MA23, delafloxacin, Tadalafil may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Tadalafil may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Tadalafil.]
[C07AB07, bisoprolol, Bisoprolol may increase the hypotensive activities of Tadalafil.]
[R03AC17, bitolterol, Bitolterol may decrease the antihypertensive activities of Tadalafil.]
[J05AG03, efavirenz, The serum concentration of Tadalafil can be increased when it is combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C01DX19, nesiritide, Nesiritide may increase the hypotensive activities of Tadalafil.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Tadalafil can be increased when combined with Budesonide.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Tadalafil.]
[M01AB07, bumadizone, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Tadalafil can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Tadalafil can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Tadalafil.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Tadalafil may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Tadalafil may increase the hypotensive activities of Captopril.]
[L02BB05, apalutamide, The metabolism of Tadalafil can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Tadalafil.]
[C07AG02, carvedilol, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of adverse effects can be increased when Tadalafil is combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Tadalafil can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, Tadalafil may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01GB14, plazomicin, Tadalafil may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Tadalafil may increase the hypotensive activities of Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Tadalafil can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Tadalafil may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The serum concentration of Tadalafil can be increased when it is combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Tadalafil.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[D08AE05, chloroxylenol, Tadalafil may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Lornoxicam.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Tadalafil.]
[L04AA39, emapalumab, The metabolism of Tadalafil can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[A06AX05, prucalopride, Tadalafil may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, Tadalafil may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, Tadalafil may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Tadalafil.]
[S01ED05, carteolol, Carteolol may increase the hypotensive activities of Tadalafil.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Tadalafil.]
[J01FA09, clarithromycin, The serum concentration of Tadalafil can be increased when it is combined with Clarithromycin.]
[N06BA14, solriamfetol, Solriamfetol may decrease the antihypertensive activities of Tadalafil.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[H02AB14, cloprednol, The metabolism of Tadalafil can be increased when combined with Cloprednol.]
[C09CA06, candesartan, Tadalafil may increase the hypotensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Tadalafil can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Tadalafil can be increased when combined with Cortivazol.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
