[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Sertraline.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Tetracaine is combined with Sertraline.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Lurasidone is combined with Sertraline.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Sertraline.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Sertraline.]
[L04AX02, thalidomide, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Sertraline.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Sertraline.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Sertraline.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Thioproperazine is combined with Sertraline.]
[N05AC02, thioridazine, The metabolism of Sertraline can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Thiothixene is combined with Sertraline.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Sertraline.]
[V04CJ01, thyrotropin, The therapeutic efficacy of Thyrotropin can be decreased when used in combination with Sertraline.]
[V04CJ02, thyrotropin-releasing hormone, The therapeutic efficacy of Protirelin can be decreased when used in combination with Sertraline.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Tiapride is combined with Sertraline.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Sertraline is combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of serotonin syndrome can be increased when Tilidine is combined with Sertraline.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Sertraline.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Tolazamide.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of bleeding can be increased when Tolmetin is combined with Sertraline.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Tolperisone is combined with Sertraline.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Sertraline is combined with Trapidil.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Sertraline.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Sertraline.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Sertraline.]
[C03AA06, trichlormethiazide, The risk or severity of hyponatremia can be increased when Sertraline is combined with Trichlormethiazide.]
[A03AB12, mepenzolate, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Sertraline.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Trifluperidol is combined with Sertraline.]
[N05AA05, triflupromazine, The risk or severity of adverse effects can be increased when Triflupromazine is combined with Sertraline.]
[N04AA01, trihexyphenidyl, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Sertraline.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Sertraline.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Sertraline.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Sertraline.]
[R06AC04, tripelennamine, The metabolism of Sertraline can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Sertraline.]
[A03BB01, butylscopolamine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Sertraline can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Sertraline can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Sertraline.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Sertraline.]
[L02BX03, abiraterone, The metabolism of Sertraline can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Sertraline can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Sertraline can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Sertraline can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Sertraline is combined with Urokinase.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ezogabine is combined with Sertraline.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Sertraline is combined with Rivaroxaban.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Sertraline is combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Sertraline can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Sertraline can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Sertraline can be decreased when combined with Vinblastine.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Sertraline is combined with Warfarin.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Sertraline.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Zuclopenthixol is combined with Sertraline.]
[J05AE02, indinavir, The metabolism of Sertraline can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Sertraline.]
[L01EC01, vemurafenib, The metabolism of Sertraline can be decreased when combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Sertraline can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Sertraline is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Sertraline can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Sertraline can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Sertraline is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Sertraline is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Sertraline.]
[G04BD07, tolterodine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The serum concentration of Atenolol can be increased when it is combined with Sertraline.]
[J02AC03, voriconazole, The metabolism of Sertraline can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Atracurium is combined with Sertraline.]
[S01FA01, atropine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Sertraline.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Sertraline.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Sertraline.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Sertraline.]
[A08AA11, lorcaserin, The metabolism of Sertraline can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Sertraline can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Sertraline can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Sertraline can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Sertraline can be decreased when it is combined with Enzalutamide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Sertraline is combined with Defibrotide.]
[L01EX05, regorafenib, The metabolism of Sertraline can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Sertraline.]
[J05AE04, nelfinavir, The metabolism of Sertraline can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Sertraline.]
[N04BD02, rasagiline, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Rasagiline.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Mosapride is combined with Sertraline.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Sertraline.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Sertraline.]
[N02CC03, zolmitriptan, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Sertraline can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Diethyl ether is combined with Sertraline.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Sertraline.]
[H01CB05, pasireotide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sertraline can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Sertraline.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Sertraline is combined with Apixaban.]
[A10BH04, alogliptin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Sertraline can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of hyponatremia can be increased when Sertraline is combined with Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Sertraline.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Sertraline.]
[N02BA10, benorilate, The risk or severity of bleeding can be increased when Benorilate is combined with Sertraline.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Benperidol is combined with Sertraline.]
[A10BK02, canagliflozin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Canagliflozin.]
[M04AB03, benzbromarone, The metabolism of Sertraline can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Sertraline can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Sertraline.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Insulin detemir.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Benzocaine is combined with Sertraline.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Pramlintide.]
[M01AH01, celecoxib, The risk or severity of bleeding can be increased when Celecoxib is combined with Sertraline.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Sertraline.]
[L04AA18, everolimus, The metabolism of Sertraline can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Sertraline can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of bleeding can be increased when Benzydamine is combined with Sertraline.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Benzyl alcohol is combined with Sertraline.]
[H05AA03, parathyroid hormone, The therapeutic efficacy of Parathyroid hormone can be decreased when used in combination with Sertraline.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Sertraline is combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Sertraline can be decreased when combined with Bepridil.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Lixisenatide.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Sertraline.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Sertraline.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Eslicarbazepine is combined with Sertraline.]
[D01AC18, luliconazole, The serum concentration of Sertraline can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Sertraline can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Sertraline.]
[A10BK01, dapagliflozin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Dapagliflozin.]
[C07AB04, acebutolol, The serum concentration of Acebutolol can be increased when it is combined with Sertraline.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Tasimelteon is combined with Sertraline.]
[A16AA07, metreleptin, The metabolism of Sertraline can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Sertraline can be increased when combined with Apremilast.]
[S01ED02, betaxolol, The serum concentration of Betaxolol can be increased when it is combined with Sertraline.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Sertraline is combined with Argatroban.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Albiglutide.]
[L04AC11, siltuximab, The metabolism of Sertraline can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Sertraline can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Sertraline is combined with Vorapaxar.]
[A03BA03, hyoscyamine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Sertraline is combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Alfaxalone is combined with Sertraline.]
[A10BK03, empagliflozin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Empagliflozin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Sertraline.]
[D11AA01, glycopyrronium, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Sertraline can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Sertraline can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Acepromazine is combined with Sertraline.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Dulaglutide.]
[A06AH03, naloxegol, The risk or severity of serotonin syndrome can be increased when Naloxegol is combined with Sertraline.]
[N04AA02, biperiden, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Sertraline.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Sertraline.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Sertraline is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Sertraline is combined with Edoxaban.]
[N06AX11, mirtazapine, Sertraline may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Sertraline can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Sertraline can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Sertraline.]
[A03AA09, difemerine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Sertraline is combined with Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Sertraline can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Eluxadoline is combined with Sertraline.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Sertraline is combined with Cangrelor.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Brexpiprazole is combined with Sertraline.]
[A04AD14, rolapitant, The metabolism of Sertraline can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Flibanserin is combined with Sertraline.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Cariprazine is combined with Sertraline.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Acarbose.]
[M02AA25, aceclofenac, The risk or severity of bleeding can be increased when Aceclofenac is combined with Sertraline.]
[M01AB11, acemetacin, The risk or severity of bleeding can be increased when Acemetacin is combined with Sertraline.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Sertraline.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Insulin degludec.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Sertraline.]
[A02BC03, lansoprazole, The metabolism of Sertraline can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Sertraline.]
[J02AC05, isavuconazole, The metabolism of Sertraline can be decreased when combined with Isavuconazole.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Sertraline.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Sertraline.]
[M01AE16, alminoprofen, The risk or severity of bleeding can be increased when Alminoprofen is combined with Sertraline.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Sertraline.]
[L01XX52, venetoclax, The metabolism of Sertraline can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Sertraline.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Bromocriptine is combined with Sertraline.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Sertraline.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Sertraline.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Amineptine is combined with Sertraline.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Aniracetam is combined with Sertraline.]
[M02AA09, bufexamac, The risk or severity of bleeding can be increased when Bufexamac is combined with Sertraline.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Sertraline.]
[C07AA19, bupranolol, The serum concentration of Bupranolol can be increased when it is combined with Sertraline.]
[N07BC01, buprenorphine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Sertraline.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Sertraline.]
[M02AA03, clofezone, The metabolism of Sertraline can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, The risk or severity of serotonin syndrome can be increased when Butorphanol is combined with Sertraline.]
[S01GX07, azelastine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Sertraline can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Sertraline can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of bleeding can be increased when Balsalazide is combined with Sertraline.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Sertraline.]
[N02BF02, pregabalin, The therapeutic efficacy of Sertraline can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Beclamide is combined with Sertraline.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Benfluorex.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Sertraline.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Sertraline.]
[J05AE09, tipranavir, The metabolism of Sertraline can be decreased when combined with Tipranavir.]
[H03BA03, benzylthiouracil, The therapeutic efficacy of Benzylthiouracil can be decreased when used in combination with Sertraline.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Sertraline.]
[L04AB02, infliximab, The metabolism of Sertraline can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Sertraline can be decreased when combined with Midostaurin.]
[H05AA04, abaloparatide, The therapeutic efficacy of Abaloparatide can be decreased when used in combination with Sertraline.]
[N04BD03, safinamide, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Safinamide.]
[J01MA23, delafloxacin, The metabolism of Sertraline can be increased when combined with Delafloxacin.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Sertraline is combined with Betrixaban.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Sertraline.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Sertraline.]
[C07AB07, bisoprolol, The serum concentration of Bisoprolol can be increased when it is combined with Sertraline.]
[J05AG03, efavirenz, The serum concentration of Sertraline can be decreased when it is combined with Efavirenz.]
[C07AA17, bopindolol, The serum concentration of Bopindolol can be increased when it is combined with Sertraline.]
[N04AA11, bornaprine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[S01BC11, bromfenac, The risk or severity of bleeding can be increased when Bromfenac is combined with Sertraline.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Bromperidol is combined with Sertraline.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Brotizolam is combined with Sertraline.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Sertraline is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of bleeding can be increased when Bumadizone is combined with Sertraline.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Sertraline.]
[J05AX18, letermovir, The metabolism of Sertraline can be increased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Butriptyline is combined with Sertraline.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Semaglutide.]
[A10BK04, ertugliflozin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Vinylbital is combined with Sertraline.]
[L02BB05, apalutamide, The serum concentration of Sertraline can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Sertraline can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[H03BB01, carbimazole, The therapeutic efficacy of Carbimazole can be decreased when used in combination with Sertraline.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Sertraline.]
[C07AG02, carvedilol, The serum concentration of Carvedilol can be increased when it is combined with Sertraline.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Sertraline.]
[B02BX08, avatrombopag, The metabolism of Sertraline can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Sertraline.]
[C07AB08, celiprolol, The serum concentration of Celiprolol can be increased when it is combined with Sertraline.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Sertraline.]
[L01XX62, ivosidenib, The metabolism of Sertraline can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Sertraline.]
[N03AX17, stiripentol, The metabolism of Sertraline can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Sertraline can be decreased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Sertraline.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Sertraline.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Carbromal is combined with Sertraline.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Carbutamide.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Sertraline.]
[R06AA06, chlorphenoxamine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of bleeding can be increased when Lornoxicam is combined with Sertraline.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Sertraline.]
[R03BB08, revefenacin, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Sertraline can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The therapeutic efficacy of Sertraline can be decreased when used in combination with Gilteritinib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Sertraline is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Cibenzoline.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Sertraline is combined with Caplacizumab.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Sertraline.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Cinitapride is combined with Sertraline.]
[P02BX04, triclabendazole, The metabolism of Sertraline can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Sertraline is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Sertraline.]
