[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nifedipine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Nifedipine can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The serum concentration of Nifedipine can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, Nifedipine may increase the neuromuscular blocking activities of Atracurium.]
[S01FA01, atropine, Atropine may increase the arrhythmogenic activities of Nifedipine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Nifedipine.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Nifedipine.]
[H02AB11, prednylidene, The metabolism of Nifedipine can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Nifedipine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Nifedipine can be decreased when combined with Azathioprine.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Nifedipine.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[A08AA11, lorcaserin, The metabolism of Nifedipine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Nifedipine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Nifedipine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Nifedipine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Nifedipine can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Nifedipine.]
[L04AA31, teriflunomide, The serum concentration of Nifedipine can be decreased when it is combined with Teriflunomide.]
[A02AA05, magnesium silicate, The risk or severity of hypotension can be increased when Magnesium silicate is combined with Nifedipine.]
[L01EX05, regorafenib, Nifedipine may increase the bradycardic activities of Regorafenib.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Nifedipine.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may increase the arrhythmogenic activities of Nifedipine.]
[D02BA02, octinoxate, Nifedipine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Nifedipine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Nifedipine.]
[N04BD02, rasagiline, Rasagiline may increase the orthostatic hypotensive activities of Nifedipine.]
[C08CA13, lercanidipine, Lercanidipine may increase the arrhythmogenic activities of Nifedipine.]
[N06DA02, donepezil, Donepezil may increase the bradycardic activities of Nifedipine.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Nifedipine.]
[L04AA29, tofacitinib, Nifedipine may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Nifedipine.]
[G04BD10, darifenacin, The metabolism of Nifedipine can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Nifedipine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Nifedipine.]
[G04BE03, sildenafil, The risk or severity of hypotension can be increased when Sildenafil is combined with Nifedipine.]
[V08CA11, gadofosveset, Nifedipine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Nifedipine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Nifedipine.]
[A16AX08, teduglutide, Nifedipine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Bedaquiline.]
[C04AX11, bencyclane, Nifedipine may increase the arrhythmogenic activities of Bencyclane.]
[A10BH04, alogliptin, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Nifedipine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Nifedipine.]
[G03XC05, ospemifene, The metabolism of Nifedipine can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Benorilate.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Gemifloxacin.]
[M04AB03, benzbromarone, Nifedipine may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[A12CC09, magnesium orotate, The risk or severity of hypotension can be increased when Magnesium orotate is combined with Nifedipine.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Nifedipine.]
[A06AX06, tegaserod, The metabolism of Nifedipine can be decreased when combined with Tegaserod.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Nifedipine can be decreased when combined with Benzocaine.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Pramlintide.]
[L03AA12, ancestim, Nifedipine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Nifedipine can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The metabolism of Nifedipine can be decreased when combined with Everolimus.]
[A12CC05, magnesium aspartate, The risk or severity of hypotension can be increased when Magnesium aspartate is combined with Nifedipine.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Nifedipine.]
[L01EC02, dabrafenib, The serum concentration of Nifedipine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Benzydamine.]
[L01EE01, trametinib, Nifedipine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Nifedipine.]
[V09AX05, florbetapir F-18, Nifedipine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Nifedipine.]
[C08EA02, bepridil, Nifedipine may increase the arrhythmogenic activities of Bepridil.]
[C02KX05, riociguat, The risk or severity of adverse effects can be increased when Nifedipine is combined with Riociguat.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Lixisenatide.]
[A05AA03, cholic acid, Nifedipine may decrease the excretion rate of Cholic Acid which could result in a higher serum level.]
[C02KX04, macitentan, Nifedipine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Nifedipine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Nifedipine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J05AP08, sofosbuvir, Nifedipine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Nifedipine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Nifedipine.]
[A16AA07, metreleptin, The metabolism of Nifedipine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Nifedipine can be increased when combined with Apremilast.]
[L02BG02, formestane, Nifedipine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Nifedipine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Betaxolol.]
[V03AB34, fomepizole, The metabolism of Nifedipine can be decreased when combined with Fomepizole.]
[C02CC01, bethanidine, Nifedipine may increase the hypotensive activities of Bethanidine.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Albiglutide.]
[L04AC11, siltuximab, The metabolism of Nifedipine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, Nifedipine may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, Hyoscyamine may increase the arrhythmogenic activities of Nifedipine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be increased when combined with Nifedipine.]
[L01XH04, belinostat, The metabolism of Nifedipine can be increased when combined with Belinostat.]
[A10BK03, empagliflozin, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Nifedipine.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[A16AX10, eliglustat, The metabolism of Nifedipine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Nifedipine can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of hypotension can be increased when Acepromazine is combined with Nifedipine.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Nifedipine.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Dulaglutide.]
[N04AA02, biperiden, The metabolism of Nifedipine can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Nifedipine.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Nifedipine.]
[S03AA06, gentamicin, Nifedipine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Nifedipine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Nifedipine.]
[B01AF03, edoxaban, Nifedipine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Nifedipine can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Nifedipine can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L01XH03, panobinostat, The metabolism of Nifedipine can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Nifedipine.]
[N02BE01, acetaminophen, Nifedipine may increase the hepatotoxic activities of Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C01EB17, ivabradine, Nifedipine may increase the bradycardic activities of Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Nifedipine can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The risk or severity of hypotension can be increased when Brexpiprazole is combined with Nifedipine.]
[A04AD14, rolapitant, The metabolism of Nifedipine can be decreased when combined with Rolapitant.]
[A06AD03, magnesium peroxide, The risk or severity of hypotension can be increased when Magnesium peroxide is combined with Nifedipine.]
[A10BF01, acarbose, Nifedipine may decrease the hypoglycemic activities of Acarbose.]
[M02AA25, aceclofenac, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Insulin degludec.]
[A02BC03, lansoprazole, The metabolism of Nifedipine can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Nifedipine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Nifedipine.]
[J02AC05, isavuconazole, The metabolism of Nifedipine can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Nifedipine can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Nifedipine.]
[L01XG03, ixazomib, Nifedipine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Nifedipine may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Acetohexamide.]
[G04CA01, alfuzosin, The risk or severity of hypotension can be increased when Alfuzosin is combined with Nifedipine.]
[M04AB05, lesinurad, Nifedipine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Nifedipine.]
[M01AE16, alminoprofen, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Alminoprofen.]
[N03AX23, brivaracetam, Nifedipine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01XX52, venetoclax, The metabolism of Nifedipine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Nifedipine.]
[N04BC01, bromocriptine, The risk or severity of hypotension can be increased when Bromocriptine is combined with Nifedipine.]
[A02AD05, aluminum magnesium silicate, Nifedipine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Nifedipine.]
[C08CA01, amlodipine, Amlodipine may increase the arrhythmogenic activities of Nifedipine.]
[A05AA04, obeticholic acid, The metabolism of Nifedipine can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Nifedipine.]
[C07AA19, bupranolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Nifedipine can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Nifedipine.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Rivastigmine may increase the bradycardic activities of Nifedipine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Artemether.]
[M02AA03, clofezone, Nifedipine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Nifedipine.]
[S01GX07, azelastine, The metabolism of Nifedipine can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Nifedipine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Nifedipine.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Nifedipine.]
[L01EF02, ribociclib, The metabolism of Nifedipine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hyperkalemia can be increased when Balsalazide is combined with Nifedipine.]
