[S02DA03, antipyrine, The metabolism of Perampanel can be decreased when combined with Antipyrine.]
[N03AC02, trimethadione, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Trimethadione.]
[N06AA06, trimipramine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Trimipramine.]
[R06AX07, triprolidine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Triprolidine.]
[A03BB01, butylscopolamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Perampanel can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[N06AX02, tryptophan, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tryptophan.]
[M03AA02, tubocurarine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tubocurarine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be increased when combined with Perampanel.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Perampanel.]
[L02BX03, abiraterone, The serum concentration of Perampanel can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Perampanel can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Perampanel can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Perampanel can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Perampanel.]
[N03AX21, ezogabine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ezogabine.]
[B01AF01, rivaroxaban, The metabolism of Perampanel can be decreased when combined with Rivaroxaban.]
[B01AC24, ticagrelor, The metabolism of Perampanel can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Perampanel can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Perampanel can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Perampanel can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Perampanel.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Perampanel.]
[A11HA03, vitamin E, The metabolism of Perampanel can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Perampanel can be increased when combined with Warfarin.]
[N05AF05, zuclopenthixol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Perampanel can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Perampanel can be increased when combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Perampanel.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Perampanel.]
[J01MA13, trovafloxacin, The metabolism of Perampanel can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Perampanel is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Perampanel.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Perampanel.]
[G04BD07, tolterodine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Perampanel can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Perampanel can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Atracurium.]
[S01FA01, atropine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Perampanel.]
[R07AX02, ivacaftor, The metabolism of Perampanel can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Perampanel can be increased when combined with Prednylidene.]
[L04AX01, azathioprine, The metabolism of Perampanel can be decreased when combined with Azathioprine.]
[J01CA09, azlocillin, The therapeutic efficacy of Perampanel can be decreased when used in combination with Azlocillin.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Perampanel.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Perampanel.]
[A08AA11, lorcaserin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Lorcaserin.]
[V03AX03, cobicistat, The metabolism of Perampanel can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Perampanel can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The metabolism of Perampanel can be increased when combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Perampanel.]
[L04AA31, teriflunomide, The serum concentration of Perampanel can be decreased when it is combined with Teriflunomide.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Perampanel.]
[N05CA04, barbital, The metabolism of Perampanel can be increased when combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Perampanel can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Perampanel can be decreased when combined with Bendamustine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Perampanel.]
[N04BD02, rasagiline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Rasagiline.]
[C08CA13, lercanidipine, The metabolism of Perampanel can be decreased when combined with Lercanidipine.]
[A03FA09, mosapride, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Mosapride.]
[N06DA02, donepezil, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[S01AA13, fusidic acid, The metabolism of Perampanel can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The metabolism of Perampanel can be decreased when combined with Pipemidic acid.]
[N02CC03, zolmitriptan, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Zolmitriptan.]
[R06AC06, thonzylamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Diethyl ether.]
[G04BE03, sildenafil, The metabolism of Perampanel can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Perampanel.]
[B01AF02, apixaban, The metabolism of Perampanel can be decreased when combined with Apixaban.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Perampanel.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Perampanel can be increased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Perampanel can be decreased when combined with Ospemifene.]
[N05AD07, benperidol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Benperidol.]
[J01MA15, gemifloxacin, The metabolism of Perampanel can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Perampanel can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Perampanel can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Benzocaine.]
[N02CC02, naratriptan, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Naratriptan.]
[L04AA18, everolimus, The metabolism of Everolimus can be increased when combined with Perampanel.]
[N04AC01, benztropine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The metabolism of Perampanel can be increased when combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Perampanel can be increased when combined with Trametinib.]
[P03AX06, benzyl alcohol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Benzyl alcohol.]
[N06AX28, levomilnacipran, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Levomilnacipran.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Perampanel.]
[N06AX26, vortioxetine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Perampanel.]
[N03AF04, eslicarbazepine, The metabolism of Perampanel can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Perampanel can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Perampanel can be decreased when combined with Dapagliflozin.]
[N05CH03, tasimelteon, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Perampanel can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Perampanel can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Perampanel can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Perampanel can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Perampanel can be decreased when combined with Betaxolol.]
[L04AC11, siltuximab, The metabolism of Perampanel can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be increased when combined with Perampanel.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be increased when combined with Perampanel.]
[A03BA03, hyoscyamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be increased when combined with Perampanel.]
[L01XH04, belinostat, The metabolism of Perampanel can be increased when combined with Belinostat.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Perampanel.]
[N01AX05, alfaxalone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Alfaxalone.]
[D11AA01, glycopyrronium, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[J01XA05, oritavancin, The metabolism of Perampanel can be increased when combined with Oritavancin.]
[N05AA04, acepromazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Acepromazine.]
[N04AA02, biperiden, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Perampanel can be decreased when combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Perampanel.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Perampanel.]
[N06AX11, mirtazapine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Perampanel can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Perampanel.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Perampanel.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Perampanel.]
[N02BE01, acetaminophen, The metabolism of Perampanel can be increased when combined with Acetaminophen.]
[A03AA09, difemerine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AP06, asunaprevir, The metabolism of Perampanel can be increased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Brexpiprazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Perampanel.]
[G02CX02, flibanserin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Flibanserin.]
[N05AX15, cariprazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cariprazine.]
[S01EC01, acetazolamide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Acetazolamide.]
[N05AB07, acetophenazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Perampanel can be increased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Perampanel.]
[J02AC05, isavuconazole, The metabolism of Perampanel can be increased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Perampanel can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Perampanel.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be increased when combined with Perampanel.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Perampanel.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Perampanel.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Perampanel.]
[N05CA05, aprobarbital, The metabolism of Perampanel can be increased when combined with Aprobarbital.]
[N03AX23, brivaracetam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Perampanel.]
[N05BA08, bromazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Bromazepam.]
[N04BC01, bromocriptine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Bromocriptine.]
[A03AX08, alverine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Alverine.]
[R06AB01, brompheniramine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dexbrompheniramine.]
[N06AA19, amineptin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Amineptine.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Perampanel.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Perampanel.]
[N06BX11, aniracetam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Aniracetam.]
[A05AA04, obeticholic acid, The metabolism of Perampanel can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Bupivacaine.]
[N07BC01, buprenorphine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Perampanel.]
[P01BE02, artemether, The metabolism of Perampanel can be increased when combined with Artemether.]
[N02AF01, butorphanol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Butorphanol.]
[R06AX09, azatadine, The therapeutic efficacy of Perampanel can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Perampanel can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be increased when combined with Perampanel.]
[L01EF02, ribociclib, The metabolism of Perampanel can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, Perampanel may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Perampanel.]
[N02BF02, pregabalin, The therapeutic efficacy of Perampanel can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Beclamide.]
[N06BC01, caffeine, The metabolism of Perampanel can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Perampanel can be increased when combined with Calcitriol.]
[J01XX08, linezolid, The therapeutic efficacy of Perampanel can be decreased when used in combination with Linezolid.]
[J05AE09, tipranavir, The metabolism of Perampanel can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Perampanel.]
[L04AB02, infliximab, The metabolism of Perampanel can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Perampanel can be increased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Perampanel can be increased when combined with Brigatinib.]
[N04BD03, safinamide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Safinamide.]
[L04AC14, sarilumab, The metabolism of Perampanel can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, The metabolism of Perampanel can be increased when combined with Delafloxacin.]
[L01XX59, enasidenib, The metabolism of Perampanel can be increased when combined with Enasidenib.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Perampanel.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Perampanel.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Perampanel.]
[J05AG03, efavirenz, The metabolism of Perampanel can be increased when combined with Efavirenz.]
[N04AA11, bornaprine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Bromperidol.]
[N05CD09, brotizolam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Brotizolam.]
[R03BA02, budesonide, The metabolism of Perampanel can be increased when combined with Budesonide.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Perampanel.]
[N05CA03, butobarbital, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Butobarbital.]
[J05AX18, letermovir, The metabolism of Perampanel can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Butriptyline.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Perampanel is combined with Capsaicin.]
[N05CA08, butylvinal, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Vinylbital.]
[L02BB05, apalutamide, The metabolism of Perampanel can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Perampanel can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Carbinoxamine.]
[L03AB06, interferon alfa-n1, The metabolism of Perampanel can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Perampanel can be decreased when combined with Carvedilol.]
[N03AX24, cannabidiol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cannabidiol.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Perampanel.]
[L01XX62, ivosidenib, The metabolism of Perampanel can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Perampanel can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Perampanel can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Perampanel.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be increased when combined with Perampanel.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be increased when combined with Perampanel.]
[S01GX12, cetirizine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cetirizine.]
[N05CM04, carbromal, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Carbromal.]
[N01BA04, chloroprocaine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Chloroprocaine.]
[R06AA06, chlorphenoxamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[R03DA02, oxtriphylline, Perampanel may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Perampanel.]
[R03BB08, revefenacin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Perampanel can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Perampanel can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Perampanel can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be increased when combined with Perampanel.]
[B01AC23, cilostazol, The metabolism of Perampanel can be decreased when combined with Cilostazol.]
[A03FA08, cinitapride, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Perampanel can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Perampanel can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Perampanel.]
[J01FA09, clarithromycin, The metabolism of Perampanel can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Solriamfetol.]
[N06AX29, brexanolone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Perampanel.]
[N05BA09, clobazam, The metabolism of Perampanel can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Perampanel can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cloxazolam.]
[L04AB01, etanercept, The metabolism of Perampanel can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Perampanel can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Perampanel can be increased when combined with Alpelisib.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Perampanel.]
[J01DD01, cefotaxime, The therapeutic efficacy of Perampanel can be decreased when used in combination with Cefotaxime.]
[N05AA06, cyamemazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Perampanel.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Perampanel.]
[N07XX11, pitolisant, The metabolism of Perampanel can be increased when combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Perampanel.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be increased when combined with Perampanel.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Perampanel.]
[G04BE04, yohimbine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[A10AE03, insulin, regular, pork, The metabolism of Perampanel can be increased when combined with Insulin pork.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Perampanel.]
[J01DB03, cephalothin, The therapeutic efficacy of Perampanel can be decreased when used in combination with Cefalotin.]
[J01DB09, cephradine, The metabolism of Perampanel can be increased when combined with Cefradine.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Perampanel.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Perampanel.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Perampanel.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Perampanel.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Perampanel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Perampanel.]
[N03AX25, cenobamate, The metabolism of Perampanel can be increased when combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Perampanel can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dexbrompheniramine.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Perampanel can be decreased when used in combination with Dexchlorpheniramine.]
[N02AX03, dezocine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dezocine.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Perampanel.]
