[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Morphine.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Morphine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Morphine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the analgesic activities of Morphine.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Morphine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Morphine.]
[C03DB02, triamterene, The therapeutic efficacy of Triamterene can be decreased when used in combination with Morphine.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Morphine is combined with Triazolam.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Trichlormethiazide can be decreased when used in combination with Morphine.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Mepenzolate is combined with Morphine.]
[N05AB06, trifluoperazine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Morphine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Morphine is combined with Trifluperidol.]
[N05AA05, triflupromazine, The risk or severity of adverse effects can be increased when Triflupromazine is combined with Morphine.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Morphine.]
[R03BA07, mometasone, The metabolism of Morphine can be decreased when combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of adverse effects can be increased when Trimebutine is combined with Morphine.]
[R06AD01, trimeprazine, The risk or severity of hypotension and CNS depression can be increased when Alimemazine is combined with Morphine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Morphine is combined with Trimethadione.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Trimethaphan is combined with Morphine.]
[J01EA01, trimethoprim, The metabolism of Morphine can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Morphine is combined with Trimipramine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Morphine is combined with Triprolidine.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Butylscopolamine is combined with Morphine.]
[J01FA08, troleandomycin, The metabolism of Morphine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Morphine is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Morphine.]
[C09CA09, azilsartan medoxomil, The risk or severity of adverse effects can be increased when Morphine is combined with Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Morphine.]
[L01EX04, vandetanib, The serum concentration of Morphine can be increased when it is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Morphine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Morphine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Morphine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Morphine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Morphine can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Morphine is combined with Ezogabine.]
[B01AF01, rivaroxaban, The serum concentration of Rivaroxaban can be increased when it is combined with Morphine.]
[R03AC18, indacaterol, The serum concentration of Indacaterol can be increased when it is combined with Morphine.]
[B01AC24, ticagrelor, The therapeutic efficacy of Ticagrelor can be decreased when used in combination with Morphine.]
[C08DA01, verapamil, The metabolism of Morphine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Morphine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Morphine.]
[C04AX07, vincamine, Morphine may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The serum concentration of Vincristine can be increased when it is combined with Morphine.]
[S01AA13, fusidic acid, The metabolism of Morphine can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, The therapeutic efficacy of Xipamide can be decreased when used in combination with Morphine.]
[J05AF01, zidovudine, The metabolism of Morphine can be increased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Morphine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Morphine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Morphine is combined with Levetiracetam.]
[L01EC01, vemurafenib, The serum concentration of Morphine can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Morphine.]
[L01ED01, crizotinib, The metabolism of Morphine can be decreased when combined with Crizotinib.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Morphine is combined with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Drospirenone can be decreased when used in combination with Morphine.]
[G04BD07, tolterodine, The risk or severity of adverse effects can be increased when Tolterodine is combined with Morphine.]
[C07AB03, atenolol, The risk or severity of adverse effects can be increased when Morphine is combined with Atenolol.]
[J02AC03, voriconazole, The metabolism of Morphine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Atracurium is combined with Morphine.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Atropine is combined with Morphine.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Morphine.]
[R07AX02, ivacaftor, The serum concentration of Morphine can be increased when it is combined with Ivacaftor.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Morphine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Morphine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Morphine is combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Morphine can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Morphine can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Morphine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Morphine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Morphine can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Morphine.]
[L01EA04, bosutinib, The metabolism of Morphine can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Morphine can be decreased when combined with Teriflunomide.]
[L01EX05, regorafenib, The serum concentration of Morphine can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Morphine.]
[J05AE04, nelfinavir, The metabolism of Morphine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Morphine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[N04BD02, rasagiline, Rasagiline may increase the analgesic activities of Morphine.]
[C08CA13, lercanidipine, The risk or severity of adverse effects can be increased when Morphine is combined with Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Morphine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Morphine is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Morphine is combined with Zolmitriptan.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Thonzylamine is combined with Morphine.]
[G04BD10, darifenacin, The risk or severity of adverse effects can be increased when Darifenacin is combined with Morphine.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Morphine is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Morphine can be decreased when combined with Cabozantinib.]
[G04BE03, sildenafil, The serum concentration of Morphine can be increased when it is combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Morphine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Morphine.]
[C10AX12, lomitapide, The serum concentration of Morphine can be increased when it is combined with Lomitapide.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Bendroflumethiazide can be decreased when used in combination with Morphine.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Morphine is combined with Pomalidomide.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Morphine is combined with Benperidol.]
[A10BK02, canagliflozin, The serum concentration of Morphine can be increased when it is combined with Canagliflozin.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Morphine is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Morphine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Morphine is combined with Naratriptan.]
[L04AA18, everolimus, The serum concentration of Morphine can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Benzatropine is combined with Morphine.]
[L01EC02, dabrafenib, The serum concentration of Morphine can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Morphine can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Morphine is combined with Benzyl alcohol.]
[L01EB03, afatinib, The serum concentration of Morphine can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Levomilnacipran.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be increased when it is combined with Morphine.]
[C08EA02, bepridil, The risk or severity of adverse effects can be increased when Morphine is combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Morphine.]
[C02KX04, macitentan, Morphine may increase the hypotensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Morphine is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Morphine is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Morphine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be increased when it is combined with Morphine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Morphine is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Morphine.]
[C07AB04, acebutolol, The risk or severity of adverse effects can be increased when Morphine is combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Morphine is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Morphine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Morphine can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Morphine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The risk or severity of adverse effects can be increased when Betaxolol is combined with Morphine.]
[C02CC01, bethanidine, Morphine may increase the hypotensive activities of Bethanidine.]
[C10AB02, bezafibrate, The metabolism of Morphine can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Morphine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Morphine.]
[B01AC26, vorapaxar, The serum concentration of Morphine can be increased when it is combined with Vorapaxar.]
[A03BA03, hyoscyamine, The risk or severity of adverse effects can be increased when Hyoscyamine is combined with Morphine.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Morphine.]
[L01EM01, idelalisib, The serum concentration of Idelalisib can be increased when it is combined with Morphine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Morphine is combined with Alfaxalone.]
[A10BK03, empagliflozin, The risk or severity of adverse effects can be increased when Morphine is combined with Empagliflozin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Morphine.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Glycopyrronium is combined with Morphine.]
[N05CM19, suvorexant, Morphine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The serum concentration of Morphine can be increased when it is combined with Eliglustat.]
[N05AA04, acepromazine, The risk or severity of hypotension and CNS depression can be increased when Acepromazine is combined with Morphine.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Morphine.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Morphine is combined with Naloxegol.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Biperiden is combined with Morphine.]
[L01EX09, nintedanib, The serum concentration of Nintedanib can be increased when it is combined with Morphine.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Morphine.]
[J05AP09, dasabuvir, The metabolism of Morphine can be decreased when combined with Dasabuvir.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Morphine.]
[N06AX11, mirtazapine, Morphine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Morphine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Morphine can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The serum concentration of Lenvatinib can be increased when it is combined with Morphine.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be increased when it is combined with Morphine.]
[J05AP07, daclatasvir, The serum concentration of Morphine can be increased when it is combined with Daclatasvir.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Difemerine is combined with Morphine.]
[J05AP06, asunaprevir, The serum concentration of Morphine can be increased when it is combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Morphine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Morphine is combined with Brexpiprazole.]
[A04AD14, rolapitant, The serum concentration of Morphine can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Morphine is combined with Flibanserin.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Morphine.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Morphine is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Morphine is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of hypotension and CNS depression can be increased when Acetophenazine is combined with Morphine.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Morphine.]
[J02AC05, isavuconazole, The serum concentration of Morphine can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Osimertinib can be increased when it is combined with Morphine.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Morphine.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Morphine.]
[J05AP10, elbasvir, The serum concentration of Elbasvir can be increased when it is combined with Morphine.]
[J05AP11, grazoprevir, The serum concentration of Grazoprevir can be increased when it is combined with Morphine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Morphine.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Morphine is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Morphine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Morphine is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Morphine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Brompheniramine is combined with Morphine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Morphine is combined with Amineptine.]
[C08CA01, amlodipine, The risk or severity of adverse effects can be increased when Morphine is combined with Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Morphine is combined with Aniracetam.]
[C03CA02, bumetanide, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Morphine.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Morphine is combined with Bupivacaine.]
[C07AA19, bupranolol, Morphine may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, Morphine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Morphine is combined with Buspirone.]
[L01XX27, arsenic trioxide, The serum concentration of Morphine can be increased when it is combined with Arsenic trioxide.]
[N02AF01, butorphanol, The therapeutic efficacy of Morphine can be decreased when used in combination with Butorphanol.]
[S01GX07, azelastine, Morphine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Morphine.]
[L01EF02, ribociclib, The metabolism of Morphine can be decreased when combined with Ribociclib.]
[A06AH05, naldemedine, The therapeutic efficacy of Morphine can be decreased when used in combination with Naldemedine.]
[N02BF02, pregabalin, The therapeutic efficacy of Morphine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Morphine is combined with Beclamide.]
[C09AA07, benazepril, The risk or severity of adverse effects can be increased when Morphine is combined with Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Morphine is combined with Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Morphine.]
[J05AE09, tipranavir, The metabolism of Morphine can be decreased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Morphine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Morphine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Morphine.]
[N04BD03, safinamide, Safinamide may increase the analgesic activities of Morphine.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Morphine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Morphine.]
[L01EH02, neratinib, The serum concentration of Morphine can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Morphine.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Morphine.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Morphine.]
[C07AB07, bisoprolol, The serum concentration of Bisoprolol can be increased when it is combined with Morphine.]
[J05AG03, efavirenz, The metabolism of Morphine can be decreased when combined with Efavirenz.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Bornaprine is combined with Morphine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Morphine is combined with Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Morphine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Morphine is combined with Brotizolam.]
[C03DA03, canrenone, The therapeutic efficacy of Canrenone can be decreased when used in combination with Morphine.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Morphine.]
[J05AX18, letermovir, The metabolism of Morphine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Morphine is combined with Butriptyline.]
[A10BK04, ertugliflozin, The metabolism of Morphine can be decreased when combined with Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Morphine is combined with Vinylbital.]
[C09AA01, captopril, The risk or severity of adverse effects can be increased when Morphine is combined with Captopril.]
[L02BB05, apalutamide, The serum concentration of Morphine can be decreased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Morphine can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Morphine.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Camylofin is combined with Morphine.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Morphine is combined with Carbinoxamine.]
[C07AG02, carvedilol, The serum concentration of Morphine can be increased when it is combined with Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Morphine can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Morphine.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be increased when it is combined with Morphine.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Morphine.]
[C07AB08, celiprolol, Morphine may increase the hypotensive activities of Celiprolol.]
[H01CC03, elagolix, The serum concentration of Morphine can be increased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The metabolism of Morphine can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Morphine can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be increased when it is combined with Morphine.]
[J05AX24, tecovirimat, The metabolism of Morphine can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The serum concentration of Duvelisib can be increased when it is combined with Morphine.]
[L01EB07, dacomitinib, The serum concentration of Morphine can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Morphine can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Morphine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Morphine is combined with Cetirizine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Morphine is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Morphine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Chlorphenoxamine is combined with Morphine.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Morphine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Morphine.]
[R03BB08, revefenacin, The risk or severity of adverse effects can be increased when Revefenacin is combined with Morphine.]
[L04AA39, emapalumab, The metabolism of Morphine can be increased when combined with Emapalumab.]
[L01EX12, larotrectinib, The serum concentration of Larotrectinib can be increased when it is combined with Morphine.]
[L01EX13, gilteritinib, The serum concentration of Gilteritinib can be increased when it is combined with Morphine.]
[L01XJ03, glasdegib, The serum concentration of Morphine can be increased when it is combined with Glasdegib.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Morphine.]
[C09AA08, cilazapril, The risk or severity of adverse effects can be increased when Morphine is combined with Cilazapril.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Morphine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Morphine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Morphine is combined with Esketamine.]
[J01FA09, clarithromycin, The metabolism of Morphine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Morphine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Morphine is combined with Brexanolone.]
[L01EN01, erdafitinib, The serum concentration of Morphine can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Morphine is combined with Clobazam.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Morphine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Morphine is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Morphine can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Morphine can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Morphine can be decreased when combined with Alpelisib.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Morphine.]
[L01EX15, pexidartinib, The metabolism of Morphine can be decreased when combined with Pexidartinib.]
[N05AA06, cyamemazine, The risk or severity of hypotension and CNS depression can be increased when Cyamemazine is combined with Morphine.]
[C03BX03, cicletanine, The therapeutic efficacy of Cicletanine can be decreased when used in combination with Morphine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Morphine.]
[L01EJ02, fedratinib, The serum concentration of Morphine can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The serum concentration of Morphine can be increased when it is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Morphine can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, The serum concentration of Lefamulin can be increased when it is combined with Morphine.]
[N04CX01, istradefylline, The serum concentration of Morphine can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Cyclothiazide can be decreased when used in combination with Morphine.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Morphine is combined with Yohimbine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Morphine.]
[J01XX09, daptomycin, The serum concentration of Morphine can be increased when it is combined with Daptomycin.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be increased when it is combined with Morphine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Morphine.]
