[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Zidovudine is combined with Antipyrine.]
[J01MA23, delafloxacin, The metabolism of Delafloxacin can be increased when combined with Zidovudine.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Zidovudine.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Zidovudine.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Zidovudine is combined with Vorinostat.]
[L01EF03, abemaciclib, Abemaciclib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Zidovudine can be decreased when combined with Efavirenz.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Zidovudine.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Zidovudine.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Zidovudine.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Zidovudine.]
[M01AB07, bumadizone, The risk or severity of bleeding can be increased when Zidovudine is combined with Bumadizone.]
[J05AX18, letermovir, The excretion of Zidovudine can be decreased when combined with Letermovir.]
[A10BK04, ertugliflozin, The metabolism of Zidovudine can be decreased when combined with Ertugliflozin.]
[C09AA01, captopril, The excretion of Captopril can be decreased when combined with Zidovudine.]
[L02BB05, apalutamide, The metabolism of Zidovudine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Carbamazepine.]
[J01CA03, carbenicillin, The excretion of Zidovudine can be decreased when combined with Carbenicillin.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Zidovudine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Zidovudine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be increased when combined with Zidovudine.]
[B02BX09, fostamatinib, Fostamatinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[N03AX24, cannabidiol, Cannabidiol may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[B02BX08, avatrombopag, The excretion of Zidovudine can be decreased when combined with Avatrombopag.]
[L04AA37, baricitinib, The serum concentration of Baricitinib can be increased when it is combined with Zidovudine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be increased when combined with Zidovudine.]
[J01DD14, ceftibuten, The excretion of Ceftibuten can be decreased when combined with Zidovudine.]
[H01CC03, elagolix, The metabolism of Elagolix can be increased when combined with Zidovudine.]
[L01XX62, ivosidenib, The metabolism of Zidovudine can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, The metabolism of Migalastat can be increased when combined with Zidovudine.]
[N03AX17, stiripentol, The metabolism of Zidovudine can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Zidovudine can be increased when combined with Tecovirimat.]
[L01EB07, dacomitinib, Dacomitinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Zidovudine.]
[M01AC05, lornoxicam, The risk or severity of bleeding can be increased when Zidovudine is combined with Lornoxicam.]
[L04AA39, emapalumab, The metabolism of Zidovudine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Zidovudine.]
[L01EX13, gilteritinib, Gilteritinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L01XJ03, glasdegib, Glasdegib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Zidovudine.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Cilostazol is combined with Zidovudine.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Ciprofibrate.]
[P02BX04, triclabendazole, The metabolism of Zidovudine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Zidovudine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Zidovudine is combined with Siponimod.]
[J01FA09, clarithromycin, Clarithromycin may increase the myelosuppressive activities of Zidovudine.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Zidovudine.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Zidovudine is combined with Cloprednol.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Ubidecarenone.]
[C09CA06, candesartan, The metabolism of Zidovudine can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Zidovudine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Zidovudine is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Zidovudine can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, The excretion of Cefaclor can be decreased when combined with Zidovudine.]
[J01DB05, cefadroxil, The excretion of Zidovudine can be decreased when combined with Cefadroxil.]
[J01DC03, cefamandole, The excretion of Zidovudine can be decreased when combined with Cefamandole.]
[J01DB04, cefazolin, The excretion of Cefazolin can be decreased when combined with Zidovudine.]
[L02BB06, darolutamide, The serum concentration of Zidovudine can be increased when it is combined with Darolutamide.]
[L01EX15, pexidartinib, The metabolism of Zidovudine can be decreased when combined with Pexidartinib.]
[J01DD12, cefoperazone, The excretion of Zidovudine can be decreased when combined with Cefoperazone.]
[J01DD01, cefotaxime, The excretion of Zidovudine can be decreased when combined with Cefotaxime.]
[J01DC07, cefotiam, The excretion of Zidovudine can be decreased when combined with Cefotiam.]
[J01DD07, ceftizoxime, The excretion of Ceftizoxime can be decreased when combined with Zidovudine.]
