[P02BB01, trichlorfon, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Metrifonate.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Quetiapine is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Quetiapine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Quetiapine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Quetiapine.]
[S01BA05, triamcinolone, The metabolism of Quetiapine can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C03AA06, trichlormethiazide, Quetiapine may increase the hypotensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Demecarium.]
[A16AX12, trientine, Quetiapine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05AA05, triflupromazine, Triflupromazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Quetiapine.]
[R03BA07, mometasone, The metabolism of Quetiapine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[S01ED04, metipranolol, Quetiapine may increase the hypotensive activities of Metipranolol.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C02BA01, trimethaphan, Quetiapine may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06AA06, trimipramine, Trimipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[R06AC04, tripelennamine, The metabolism of Quetiapine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A03BB01, butylscopolamine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The serum concentration of Quetiapine can be increased when it is combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Quetiapine can be decreased when combined with Vilazodone.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Tropicamide is combined with Quetiapine.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C09CA09, azilsartan medoxomil, Quetiapine may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[R03DX07, roflumilast, Quetiapine may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Quetiapine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Tyrothricin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Vandetanib.]
[R02AA14, oxyquinoline, Quetiapine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Quetiapine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Quetiapine.]
[J05AP03, boceprevir, The serum concentration of Quetiapine can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Quetiapine can be increased when it is combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Quetiapine can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Quetiapine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[B01AF01, rivaroxaban, Quetiapine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Quetiapine.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Quetiapine.]
[C08DA01, verapamil, Verapamil may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[N06AX09, viloxazine, The metabolism of Quetiapine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Quetiapine can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Quetiapine may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Quetiapine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[B01AA03, warfarin, Quetiapine may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Quetiapine can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Quetiapine is combined with Xenon.]
[C03BA10, xipamide, Quetiapine may increase the hypotensive activities of Xipamide.]
[N05AF05, zuclopenthixol, Quetiapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Zuclopenthixol.]
[J05AE02, indinavir, The serum concentration of Quetiapine can be increased when it is combined with Indinavir.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[B06AC02, icatibant, Quetiapine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Quetiapine.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Quetiapine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Quetiapine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Acetylsalicylic acid is combined with Quetiapine.]
[L01EJ01, ruxolitinib, Quetiapine may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Quetiapine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Quetiapine may increase the hypotensive activities of Atenolol.]
[J02AC03, voriconazole, The serum concentration of Quetiapine can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S01FA01, atropine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Quetiapine.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Quetiapine.]
[H02AB11, prednylidene, The metabolism of Quetiapine can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Quetiapine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[G04BE10, avanafil, Quetiapine may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A08AA11, lorcaserin, The metabolism of Quetiapine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Quetiapine is combined with Mirabegron.]
[V03AX03, cobicistat, The serum concentration of Quetiapine can be increased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The serum concentration of Quetiapine can be increased when it is combined with Elvitegravir.]
[L02BB04, enzalutamide, The metabolism of Quetiapine can be increased when combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Quetiapine.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Quetiapine.]
[N05CA04, barbital, Barbital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[D02BA02, octinoxate, Quetiapine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The serum concentration of Quetiapine can be increased when it is combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N04BD02, rasagiline, The therapeutic efficacy of Rasagiline can be decreased when used in combination with Quetiapine.]
[C08CA13, lercanidipine, Quetiapine may increase the hypotensive activities of Lercanidipine.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06DA02, donepezil, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[R06AC06, thonzylamine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Quetiapine can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Quetiapine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Quetiapine.]
[G04BE03, sildenafil, The risk or severity of hypotension and syncope can be increased when Sildenafil is combined with Quetiapine.]
[V08CA11, gadofosveset, Quetiapine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Quetiapine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Quetiapine.]
[A16AX08, teduglutide, Quetiapine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of hypotension can be increased when Quetiapine is combined with Bencyclane.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Quetiapine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Quetiapine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Quetiapine may increase the hypotensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[G03XC05, ospemifene, The metabolism of Quetiapine can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Quetiapine is combined with Benorilate.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Quetiapine.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Quetiapine.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Quetiapine.]
[A06AX06, tegaserod, The metabolism of Quetiapine can be decreased when combined with Tegaserod.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Quetiapine.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Quetiapine.]
[L03AA12, ancestim, Quetiapine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Quetiapine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L04AA18, everolimus, The metabolism of Quetiapine can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Quetiapine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Quetiapine is combined with Benzydamine.]
[L01EE01, trametinib, Quetiapine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[V09AX05, florbetapir F-18, Quetiapine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Quetiapine is combined with Levomilnacipran.]
[C08EA02, bepridil, Quetiapine may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, Quetiapine may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Quetiapine.]
[C02KX04, macitentan, Quetiapine may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Quetiapine.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[J05AP05, simeprevir, The metabolism of Quetiapine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Quetiapine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Quetiapine.]
[C01CA27, droxidopa, The therapeutic efficacy of Droxidopa can be decreased when used in combination with Quetiapine.]
[C07AB04, acebutolol, Quetiapine may increase the hypotensive activities of Acebutolol.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A16AA07, metreleptin, The metabolism of Quetiapine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Quetiapine can be increased when combined with Apremilast.]
[L02BG02, formestane, Quetiapine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[N07CA01, betahistine, The therapeutic efficacy of Betahistine can be decreased when used in combination with Quetiapine.]
[A16AA06, betaine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Betaine.]
[S03BA03, betamethasone, The metabolism of Quetiapine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Quetiapine may increase the hypotensive activities of Betaxolol.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C02CC01, bethanidine, Quetiapine may increase the hypotensive activities of Bethanidine.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Quetiapine.]
[L04AC11, siltuximab, The metabolism of Quetiapine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Ceritinib.]
[A03BA03, hyoscyamine, Quetiapine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Quetiapine is combined with Acenocoumarol.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Quetiapine.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Quetiapine.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[S01EE02, unoprostone, Quetiapine may increase the hypotensive activities of Unoprostone.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Quetiapine is combined with Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N05CM19, suvorexant, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Quetiapine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Quetiapine can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N05AA04, acepromazine, Quetiapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Acepromazine.]
[V04CX03, methacholine, Quetiapine may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Quetiapine.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Quetiapine.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Quetiapine is combined with Naloxegol.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Quetiapine.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Quetiapine.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Quetiapine.]
[S03AA06, gentamicin, Quetiapine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Quetiapine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Quetiapine.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Quetiapine is combined with Dicoumarol.]
[B01AF03, edoxaban, Quetiapine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Quetiapine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Quetiapine can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Quetiapine can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Quetiapine.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[A03AA09, difemerine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Quetiapine is combined with Tioclomarol.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Quetiapine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Quetiapine can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Quetiapine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Quetiapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Quetiapine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Quetiapine.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Quetiapine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Quetiapine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Quetiapine is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Quetiapine.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A02BC03, lansoprazole, The metabolism of Quetiapine can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Quetiapine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Quetiapine.]
[J02AC05, isavuconazole, The metabolism of Quetiapine can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Quetiapine.]
[L01XG03, ixazomib, Quetiapine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Quetiapine may increase the hypotensive activities of Selexipag.]
