[G03XB02, ulipristal, The therapeutic efficacy of Ulipristal can be decreased when used in combination with Cloxacillin.]
[J01AA15, omadacycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Omadacycline.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Chloroprocaine.]
[J01AA11, clomocycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Clomocycline.]
[G03DB05, demegestone, The therapeutic efficacy of Demegestone can be decreased when used in combination with Cloxacillin.]
[G03AC09, desogestrel, The therapeutic efficacy of Desogestrel can be decreased when used in combination with Cloxacillin.]
[S01AE06, gatifloxacin, The serum concentration of Gatifloxacin can be increased when it is combined with Cloxacillin.]
[G03DB08, dienogest, The therapeutic efficacy of Dienogest can be decreased when used in combination with Cloxacillin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Dyclonine.]
[G03DC06, ethynodiol, The therapeutic efficacy of Etynodiol can be decreased when used in combination with Cloxacillin.]
[J01MB07, flumequine, The serum concentration of Flumequine can be increased when it is combined with Cloxacillin.]
[J01MB06, cinoxacin, The serum concentration of Cinoxacin can be increased when it is combined with Cloxacillin.]
[S03AA07, ciprofloxacin, The serum concentration of Ciprofloxacin can be increased when it is combined with Cloxacillin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Levobupivacaine.]
[J01MB04, pipemidic acid, The serum concentration of Pipemidic acid can be increased when it is combined with Cloxacillin.]
[J01GB12, arbekacin, The serum concentration of Arbekacin can be decreased when it is combined with Cloxacillin.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Cocaine.]
[J01XB01, colistin, The serum concentration of Colistin can be decreased when it is combined with Cloxacillin.]
[S01AE04, lomefloxacin, The serum concentration of Lomefloxacin can be increased when it is combined with Cloxacillin.]
[J01AA01, demeclocycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Demeclocycline.]
[G03DB04, nomegestrol, The therapeutic efficacy of Nomegestrol can be decreased when used in combination with Cloxacillin.]
[M03AC11, cisatracurium, Cloxacillin may increase the neuromuscular blocking activities of Cisatracurium.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Cinchocaine.]
[L02AA01, diethylstilbestrol, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Cloxacillin.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Pramocaine.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Diphenhydramine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The serum concentration of Rosoxacin can be increased when it is combined with Cloxacillin.]
[J01AA02, doxycycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Doxycycline.]
[J01MA05, temafloxacin, The serum concentration of Temafloxacin can be increased when it is combined with Cloxacillin.]
[J01AA12, tigecycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Tigecycline.]
[J01MA04, enoxacin, The serum concentration of Enoxacin can be increased when it is combined with Cloxacillin.]
[G03CA03, estradiol, The therapeutic efficacy of Estradiol can be decreased when used in combination with Cloxacillin.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Cloxacillin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Etidocaine.]
[J01MA08, fleroxacin, The serum concentration of Fleroxacin can be increased when it is combined with Cloxacillin.]
[S01AA07, framycetin, The serum concentration of Framycetin can be decreased when it is combined with Cloxacillin.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be increased when used in combination with Cloxacillin.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be increased when used in combination with Cloxacillin.]
[G03XA02, gestrinone, The therapeutic efficacy of Gestrinone can be decreased when used in combination with Cloxacillin.]
[B01AA12, fluindione, Cloxacillin may increase the anticoagulant activities of Fluindione.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Articaine.]
[S01AA24, kanamycin, The serum concentration of Kanamycin can be decreased when it is combined with Cloxacillin.]
[J01MB02, nalidixic acid, The serum concentration of Nalidixic acid can be increased when it is combined with Cloxacillin.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Cloxacillin.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Cloxacillin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Lidocaine.]
[S01AA21, amikacin, The serum concentration of Amikacin can be decreased when it is combined with Cloxacillin.]
[J01AA04, lymecycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Lymecycline.]
[G03DC03, lynestrenol, The therapeutic efficacy of Lynestrenol can be decreased when used in combination with Cloxacillin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Mepivacaine.]
[J01AA05, methacycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Metacycline.]
[L04AX03, methotrexate, The excretion of Methotrexate can be decreased when combined with Cloxacillin.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Cloxacillin.]
[J01AA08, minocycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Minocycline.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Cloxacillin.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be increased when used in combination with Cloxacillin.]
[S03AA01, neomycin, The serum concentration of Neomycin can be decreased when it is combined with Cloxacillin.]
[S01AA23, netilmicin, The serum concentration of Netilmicin can be decreased when it is combined with Cloxacillin.]
[G03DC02, norethindrone, The therapeutic efficacy of Norethisterone can be decreased when used in combination with Cloxacillin.]
[S01AE02, norfloxacin, The serum concentration of Norfloxacin can be increased when it is combined with Cloxacillin.]
[G03AC07, norgestrienone, The therapeutic efficacy of Norgestrienone can be decreased when used in combination with Cloxacillin.]
[S02AA16, ofloxacin, The serum concentration of Ofloxacin can be increased when it is combined with Cloxacillin.]
[J01MB05, oxolinic acid, The serum concentration of Oxolinic acid can be increased when it is combined with Cloxacillin.]
[S01AA04, oxytetracycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Oxytetracycline.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be increased when used in combination with Cloxacillin.]
[J04AB30, capreomycin, The serum concentration of Capreomycin can be decreased when it is combined with Cloxacillin.]
[G03DB06, chlormadinone, The therapeutic efficacy of Chlormadinone can be decreased when used in combination with Cloxacillin.]
[A07AA06, paromomycin, The serum concentration of Paromomycin can be decreased when it is combined with Cloxacillin.]
[J01MA03, pefloxacin, The serum concentration of Pefloxacin can be increased when it is combined with Cloxacillin.]
[B01AA02, phenindione, Cloxacillin may increase the anticoagulant activities of Phenindione.]
[B01AA04, phenprocoumon, Cloxacillin may increase the anticoagulant activities of Phenprocoumon.]
[S01AE05, levofloxacin, The serum concentration of Levofloxacin can be increased when it is combined with Cloxacillin.]
[J01MA11, grepafloxacin, The serum concentration of Grepafloxacin can be increased when it is combined with Cloxacillin.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Prilocaine.]
[M04AB01, probenecid, The excretion of Cloxacillin can be decreased when combined with Probenecid.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Procaine.]
[G03DA04, progesterone, The therapeutic efficacy of Progesterone can be decreased when used in combination with Cloxacillin.]
[J01AA09, rolitetracycline, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Rolitetracycline.]
[J01GB08, sisomicin, The serum concentration of Sisomicin can be decreased when it is combined with Cloxacillin.]
