[S02DA03, antipyrine, The metabolism of Pirfenidone can be decreased when combined with Antipyrine.]
[V04CA01, tolbutamide, The metabolism of Pirfenidone can be decreased when combined with Tolbutamide.]
[N02AX02, tramadol, The metabolism of Pirfenidone can be decreased when combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Pirfenidone can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The metabolism of Pirfenidone can be decreased when combined with Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Pirfenidone.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Pirfenidone.]
[C03DB02, triamterene, The metabolism of Pirfenidone can be decreased when combined with Triamterene.]
[N05AB06, trifluoperazine, The metabolism of Pirfenidone can be decreased when combined with Trifluoperazine.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Pirfenidone.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Pirfenidone.]
[N03AC02, trimethadione, The metabolism of Pirfenidone can be decreased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Pirfenidone can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Pirfenidone.]
[R06AC04, tripelennamine, The metabolism of Pirfenidone can be decreased when combined with Tripelennamine.]
[N06AX24, vilazodone, The metabolism of Pirfenidone can be decreased when combined with Vilazodone.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Pirfenidone.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Belimumab.]
[L02BX03, abiraterone, The serum concentration of Pirfenidone can be increased when it is combined with Abiraterone.]
[J05AG05, rilpivirine, The metabolism of Pirfenidone can be decreased when combined with Rilpivirine.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Belatacept.]
[B01AC24, ticagrelor, The metabolism of Pirfenidone can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Pirfenidone can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Pirfenidone can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Pirfenidone.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Pirfenidone.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Pirfenidone.]
[B01AA03, warfarin, The metabolism of Pirfenidone can be decreased when combined with Warfarin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Pirfenidone.]
[N05AF05, zuclopenthixol, The metabolism of Pirfenidone can be decreased when combined with Zuclopenthixol.]
[L01EC01, vemurafenib, The serum concentration of Pirfenidone can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Brentuximab vedotin.]
[R03DC01, zafirlukast, The metabolism of Pirfenidone can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Pirfenidone can be decreased when combined with Rabeprazole.]
[J01MA13, trovafloxacin, The metabolism of Pirfenidone can be decreased when combined with Trovafloxacin.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Pirfenidone.]
[N02BA01, aspirin, The metabolism of Pirfenidone can be decreased when combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Ruxolitinib.]
[G04BD07, tolterodine, The metabolism of Pirfenidone can be decreased when combined with Tolterodine.]
[C07AB03, atenolol, The metabolism of Pirfenidone can be decreased when combined with Atenolol.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Pirfenidone.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Pirfenidone.]
[J02AC03, voriconazole, The metabolism of Pirfenidone can be decreased when combined with Voriconazole.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Pirfenidone.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Pirfenidone.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Pirfenidone.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Pirfenidone.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Pirfenidone.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Pirfenidone.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Pirfenidone.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Pirfenidone.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Pirfenidone.]
[A08AA11, lorcaserin, The metabolism of Pirfenidone can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Pirfenidone can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Pirfenidone can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, The serum concentration of Pirfenidone can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Bosutinib.]
[L04AA31, teriflunomide, The serum concentration of Pirfenidone can be decreased when it is combined with Teriflunomide.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Pirfenidone.]
[L01EX05, regorafenib, The metabolism of Pirfenidone can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Pirfenidone can be decreased when combined with Barbital.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Bendamustine.]
[N04BD02, rasagiline, The metabolism of Pirfenidone can be decreased when combined with Rasagiline.]
[N06DA02, donepezil, The metabolism of Pirfenidone can be decreased when combined with Donepezil.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Pirfenidone.]
[L04AA29, tofacitinib, Pirfenidone may increase the immunosuppressive activities of Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Pirfenidone.]
[G04BD10, darifenacin, The metabolism of Pirfenidone can be decreased when combined with Darifenacin.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Pirfenidone.]
[G04BE03, sildenafil, The metabolism of Pirfenidone can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Pirfenidone.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Pirfenidone.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Pirfenidone.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Pirfenidone can be decreased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Pirfenidone can be decreased when combined with Ospemifene.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The metabolism of Pirfenidone can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Pirfenidone can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The metabolism of Pirfenidone can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Pirfenidone can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Pirfenidone can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Everolimus is combined with Pirfenidone.]
[N04AC01, benztropine, The metabolism of Pirfenidone can be decreased when combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Pirfenidone can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Pirfenidone.]
[C08EA02, bepridil, The metabolism of Pirfenidone can be decreased when combined with Bepridil.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Pirfenidone.]
[N03AF04, eslicarbazepine, The metabolism of Pirfenidone can be decreased when combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Pirfenidone can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Pirfenidone can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The metabolism of Pirfenidone can be decreased when combined with Dapagliflozin.]
[C07AB04, acebutolol, The metabolism of Pirfenidone can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Pirfenidone.]
[L04AA32, apremilast, The metabolism of Pirfenidone can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Pirfenidone.]
[S01ED02, betaxolol, The metabolism of Pirfenidone can be decreased when combined with Betaxolol.]
[V03AB34, fomepizole, The metabolism of Pirfenidone can be decreased when combined with Fomepizole.]
[L04AC11, siltuximab, The metabolism of Pirfenidone can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Pirfenidone can be decreased when combined with Ceritinib.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The metabolism of Pirfenidone can be decreased when combined with Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Idelalisib.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Pirfenidone.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Peginterferon beta-1a.]
[A16AX10, eliglustat, The metabolism of Pirfenidone can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Pirfenidone can be decreased when combined with Oritavancin.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Pirfenidone.]
[N04AA02, biperiden, The metabolism of Pirfenidone can be decreased when combined with Biperiden.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Pirfenidone can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The metabolism of Pirfenidone can be decreased when combined with Pipemidic acid.]
[L01EX09, nintedanib, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Nintedanib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Pirfenidone.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Olaparib.]
[B01AA01, dicumarol, The metabolism of Pirfenidone can be decreased when combined with Dicoumarol.]
[N06AX11, mirtazapine, The metabolism of Pirfenidone can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Pirfenidone can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Palbociclib.]
[L01XH03, panobinostat, The metabolism of Pirfenidone can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, Pirfenidone may increase the hepatotoxic activities of Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Pirfenidone.]
[J05AP06, asunaprevir, The metabolism of Pirfenidone can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Pirfenidone.]
[A04AD14, rolapitant, The metabolism of Pirfenidone can be decreased when combined with Rolapitant.]
[A02BC03, lansoprazole, The metabolism of Pirfenidone can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Pirfenidone.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Pirfenidone can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Pirfenidone can be decreased when it is combined with Osimertinib.]
[A10BB31, acetohexamide, The metabolism of Pirfenidone can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Pirfenidone.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Pirfenidone.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Ixekizumab.]
[N05BA08, bromazepam, The metabolism of Pirfenidone can be decreased when combined with Bromazepam.]
[A05AA04, obeticholic acid, The metabolism of Pirfenidone can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Bupivacaine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Pirfenidone.]
[N07BC01, buprenorphine, The metabolism of Pirfenidone can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, The metabolism of Pirfenidone can be decreased when combined with Buspirone.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Pirfenidone.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Pirfenidone.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Pirfenidone.]
[M02AA03, clofezone, The metabolism of Pirfenidone can be decreased when combined with Rabeprazole.]
[S01GX07, azelastine, The metabolism of Pirfenidone can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Pirfenidone can be decreased when combined with Rucaparib.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Brodalumab.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Pirfenidone.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Ocrelizumab.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Pirfenidone.]
[N06BC01, caffeine, The metabolism of Pirfenidone can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Oxybuprocaine.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Pirfenidone.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Pirfenidone.]
[J05AE09, tipranavir, The metabolism of Pirfenidone can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Pirfenidone.]
[L04AB02, infliximab, The metabolism of Pirfenidone can be increased when combined with Infliximab.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Sarilumab.]
[J01MA23, delafloxacin, The metabolism of Pirfenidone can be increased when combined with Delafloxacin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Pirfenidone can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Pirfenidone.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Pirfenidone.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Pirfenidone.]
[J05AG03, efavirenz, The metabolism of Pirfenidone can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Pirfenidone.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Pirfenidone.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Pirfenidone.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Pirfenidone.]
[J05AX18, letermovir, The metabolism of Pirfenidone can be increased when combined with Letermovir.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Capsaicin.]
[L02BB05, apalutamide, The serum concentration of Pirfenidone can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Pirfenidone can be increased when combined with Carbamazepine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Pirfenidone.]
[C07AG02, carvedilol, The metabolism of Pirfenidone can be decreased when combined with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Pirfenidone can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Pirfenidone can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Baricitinib.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Pirfenidone.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Pirfenidone.]
[C07AB08, celiprolol, The metabolism of Pirfenidone can be decreased when combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Pirfenidone.]
[L01XX62, ivosidenib, The metabolism of Pirfenidone can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Pirfenidone.]
[N03AX17, stiripentol, The metabolism of Pirfenidone can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Pirfenidone can be decreased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Pirfenidone.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Pirfenidone.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Chloroprocaine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Pirfenidone.]
[R03DA02, oxtriphylline, The metabolism of Pirfenidone can be decreased when combined with Oxtriphylline.]
[M03BA02, carisoprodol, The metabolism of Pirfenidone can be decreased when combined with Carisoprodol.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Pirfenidone.]
[L04AA39, emapalumab, The metabolism of Pirfenidone can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Pirfenidone.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Ravulizumab.]
[B01AC23, cilostazol, The metabolism of Pirfenidone can be decreased when combined with Cilostazol.]
[P02BX04, triclabendazole, The metabolism of Pirfenidone can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Pirfenidone.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Siponimod.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Pirfenidone.]
[N05BA09, clobazam, The metabolism of Pirfenidone can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Pirfenidone can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Pirfenidone can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Pirfenidone can be decreased when it is combined with Alpelisib.]
[M03BX08, cyclobenzaprine, The metabolism of Pirfenidone can be decreased when combined with Cyclobenzaprine.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Upadacitinib.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Pirfenidone.]
[N07XX11, pitolisant, The metabolism of Pirfenidone can be decreased when combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Pirfenidone.]
[G04BE04, yohimbine, The metabolism of Pirfenidone can be decreased when combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The metabolism of Pirfenidone can be increased when combined with Insulin pork.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Pirfenidone.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Diroximel fumarate.]
[G03AC09, desogestrel, The metabolism of Pirfenidone can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Pirfenidone.]
[N03AX25, cenobamate, The serum concentration of Pirfenidone can be increased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Pirfenidone can be increased when it is combined with Givosiran.]
[R06AB02, dexchlorpheniramine, The metabolism of Pirfenidone can be decreased when combined with Dexchlorpheniramine.]
[L01EX18, avapritinib, The metabolism of Pirfenidone can be decreased when combined with Avapritinib.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Pirfenidone can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Pirfenidone can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Pirfenidone can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Pirfenidone can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Pirfenidone can be decreased when combined with Frovatriptan.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Pirfenidone.]
[N02AA08, dihydrocodeine, The metabolism of Pirfenidone can be decreased when combined with Dihydrocodeine.]
[N02CC06, eletriptan, The metabolism of Pirfenidone can be decreased when combined with Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Pirfenidone can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Pirfenidone.]
[C08CA16, clevidipine, The metabolism of Pirfenidone can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Pirfenidone can be decreased when combined with Dronedarone.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Pirfenidone.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Pirfenidone.]
[L01EX17, capmatinib, The metabolism of Pirfenidone can be decreased when combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Fluprednidene.]
[G04BD09, trospium, The metabolism of Pirfenidone can be decreased when combined with Trospium.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Pirfenidone is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Pirfenidone.]
[P01BB01, proguanil, The metabolism of Pirfenidone can be decreased when combined with Proguanil.]
[L04AC19, satralizumab, The serum concentration of Pirfenidone can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Pirfenidone.]
[P01BA01, chloroquine, The metabolism of Pirfenidone can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Pirfenidone can be decreased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, The metabolism of Pirfenidone can be decreased when combined with Chlorpheniramine.]
