[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Zolpidem.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J01MA15, gemifloxacin, The metabolism of Zolpidem can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Zolpidem can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The metabolism of Zolpidem can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Zolpidem can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AH01, celecoxib, The metabolism of Zolpidem can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L04AA18, everolimus, The metabolism of Zolpidem can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Zolpidem can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C08EA02, bepridil, The metabolism of Zolpidem can be decreased when combined with Bepridil.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Zolpidem.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[D01AC18, luliconazole, The serum concentration of Zolpidem can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Zolpidem can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A10BK01, dapagliflozin, The metabolism of Zolpidem can be decreased when combined with Dapagliflozin.]
[C07AB04, acebutolol, The metabolism of Zolpidem can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A16AA07, metreleptin, The metabolism of Zolpidem can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Zolpidem can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Zolpidem can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Zolpidem can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Zolpidem can be decreased when combined with Betaxolol.]
[L04AC11, siltuximab, The metabolism of Zolpidem can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Zolpidem can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Zolpidem.]
[L01XH04, belinostat, The metabolism of Zolpidem can be increased when combined with Belinostat.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Zolpidem.]
[D11AA01, glycopyrronium, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Zolpidem can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Zolpidem can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, Acepromazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04AA02, biperiden, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Zolpidem.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Zolpidem.]
[B01AA01, dicumarol, The metabolism of Zolpidem can be decreased when combined with Dicoumarol.]
[N06AX11, mirtazapine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L04AC10, secukinumab, The metabolism of Zolpidem can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Zolpidem can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Zolpidem can be increased when combined with Acetaminophen.]
[A03AA09, difemerine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AP06, asunaprevir, The metabolism of Zolpidem can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, Brexpiprazole may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A04AD14, rolapitant, The metabolism of Zolpidem can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A02BC03, lansoprazole, The metabolism of Zolpidem can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Zolpidem.]
[J02AC05, isavuconazole, The metabolism of Zolpidem can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Zolpidem can be decreased when it is combined with Osimertinib.]
[A10BB31, acetohexamide, The metabolism of Zolpidem can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Zolpidem.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01XX52, venetoclax, The metabolism of Zolpidem can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04BC01, bromocriptine, Bromocriptine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A05AA04, obeticholic acid, The metabolism of Zolpidem can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Zolpidem.]
[N07BC01, buprenorphine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Zolpidem.]
[M02AA03, clofezone, The metabolism of Zolpidem can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, Butorphanol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01GX07, azelastine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Zolpidem can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Zolpidem can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Zolpidem.]
[N07XX16, deutetrabenazine, The risk or severity of sedation and somnolence can be increased when Zolpidem is combined with Deutetrabenazine.]
[N02BF02, pregabalin, Pregabalin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06BC01, caffeine, The metabolism of Zolpidem can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[D05AX03, calcitriol, The metabolism of Zolpidem can be increased when combined with Calcitriol.]
[J05AE09, tipranavir, The metabolism of Zolpidem can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Zolpidem.]
[L04AB02, infliximab, The metabolism of Zolpidem can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Zolpidem can be increased when combined with Midostaurin.]
[N04BD03, safinamide, Safinamide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J01MA23, delafloxacin, The metabolism of Zolpidem can be increased when combined with Delafloxacin.]
[L01BC06, capecitabine, The metabolism of Zolpidem can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Zolpidem can be increased when combined with Enasidenib.]
[J05AG03, efavirenz, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Zolpidem.]
[N04AA11, bornaprine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R03BA02, budesonide, The metabolism of Zolpidem can be increased when combined with Budesonide.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J05AX18, letermovir, The metabolism of Zolpidem can be increased when combined with Letermovir.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N01BX04, capsaicin, The metabolism of Zolpidem can be increased when combined with Capsaicin.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L02BB05, apalutamide, The serum concentration of Zolpidem can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[A03AA03, camylofine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L03AB06, interferon alfa-n1, The metabolism of Zolpidem can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Zolpidem.]
[N03AX24, cannabidiol, Cannabidiol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[B02BX08, avatrombopag, The metabolism of Zolpidem can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Zolpidem.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Zolpidem.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Zolpidem.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Zolpidem.]
[L01XX62, ivosidenib, The metabolism of Zolpidem can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Zolpidem.]
[N03AX17, stiripentol, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J05AX24, tecovirimat, The metabolism of Zolpidem can be decreased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Zolpidem.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Zolpidem.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R06AA06, chlorphenoxamine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Zolpidem.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Zolpidem.]
[M03BA02, carisoprodol, Carisoprodol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R03BB08, revefenacin, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Zolpidem can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Zolpidem can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Zolpidem can be decreased when combined with Carmustine.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Zolpidem.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[P02BX04, triclabendazole, The metabolism of Zolpidem can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, Esketamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Zolpidem.]
[J01FA09, clarithromycin, The metabolism of Zolpidem can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Solriamfetol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Zolpidem.]
[N05BA09, clobazam, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[H02AB14, cloprednol, The metabolism of Zolpidem can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C09CA06, candesartan, The metabolism of Zolpidem can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Zolpidem can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Zolpidem can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The serum concentration of Zolpidem can be decreased when it is combined with Alpelisib.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Zolpidem.]
[N07XX11, pitolisant, The serum concentration of Zolpidem can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Zolpidem.]
[G04BE04, yohimbine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A10AE03, insulin, regular, pork, The metabolism of Zolpidem can be increased when combined with Insulin pork.]
[J01DB09, cephradine, The metabolism of Zolpidem can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Zolpidem can be increased when combined with Deflazacort.]
[N02CC08, lasmiditan, Lasmiditan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[G03AC09, desogestrel, The metabolism of Zolpidem can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Zolpidem.]
[N03AX25, cenobamate, The metabolism of Zolpidem can be increased when combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Zolpidem can be increased when it is combined with Givosiran.]
