[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Vindesine.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Vindesine.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Vindesine is combined with Trifluridine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Vindesine is combined with Fluclorolone.]
[R03BA07, mometasone, The metabolism of Vindesine can be increased when combined with Mometasone.]
[J01FA08, troleandomycin, The metabolism of Vindesine can be decreased when combined with Troleandomycin.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Vindesine.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Belimumab.]
[A10BH05, linagliptin, The metabolism of Vindesine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Vindesine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Vindesine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Vindesine can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Vindesine.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Vindesine is combined with Belatacept.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Rivaroxaban is combined with Vindesine.]
[B01AC24, ticagrelor, The metabolism of Vindesine can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Vindesine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Vindesine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vindesine can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vindesine is combined with Vincristine.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Vindesine is combined with Antilymphocyte immunoglobulin (horse).]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Vindesine.]
[A11HA03, vitamin E, The metabolism of Vindesine can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Vindesine can be increased when combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Vindesine can be decreased when combined with Fusidic acid.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Vindesine is combined with Zidovudine.]
[N05AF05, zuclopenthixol, The metabolism of Vindesine can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Vindesine can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The metabolism of Vindesine can be increased when combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Vindesine can be decreased when combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The metabolism of Vindesine can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Vindesine.]
[R03DC01, zafirlukast, The metabolism of Vindesine can be decreased when combined with Zafirlukast.]
[N05AE04, ziprasidone, The metabolism of Vindesine can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Vindesine can be decreased when combined with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Vindesine.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Vindesine.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Vindesine is combined with Ruxolitinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Vindesine.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Vindesine.]
[J02AC03, voriconazole, The metabolism of Vindesine can be decreased when combined with Voriconazole.]
[R07AX02, ivacaftor, The metabolism of Vindesine can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Vindesine can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Vindesine.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Vindesine is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Vindesine is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Vindesine is combined with Gemcitabine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Vindesine.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Vindesine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Vindesine.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Vindesine is combined with Pertuzumab.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Vindesine is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Vindesine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Vindesine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Vindesine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Vindesine can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Vindesine is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Vindesine.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Vindesine is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Vindesine is combined with Aldosterone.]
[N05CA04, barbital, The metabolism of Vindesine can be increased when combined with Barbital.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Vindesine.]
[J05AE04, nelfinavir, The metabolism of Vindesine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Vindesine is combined with Bendamustine.]
[N03AX22, perampanel, The metabolism of Vindesine can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, Vindesine may increase the immunosuppressive activities of Tofacitinib.]
[H01CB05, pasireotide, The metabolism of Vindesine can be decreased when combined with Pasireotide.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Vindesine is combined with Ponatinib.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Apixaban is combined with Vindesine.]
[C10AX12, lomitapide, The metabolism of Vindesine can be decreased when combined with Lomitapide.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Vindesine can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Vindesine.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Vindesine is combined with Pomalidomide.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Vindesine is combined with Dimethyl fumarate.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Benzocaine.]
[L03AA12, ancestim, The risk or severity of peripheral neuropathy can be increased when Ancestim is combined with Vindesine.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Vindesine is combined with Everolimus.]
[L01EC02, dabrafenib, The serum concentration of Vindesine can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Benzyl alcohol.]
[L03AA14, lipegfilgrastim, Vindesine may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Vindesine is combined with Ibrutinib.]
[N03AF04, eslicarbazepine, The metabolism of Vindesine can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Vindesine can be decreased when combined with Simeprevir.]
[N05CH03, tasimelteon, The metabolism of Vindesine can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Vindesine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Vindesine can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Vindesine can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Vindesine can be increased when combined with Betamethasone.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Vindesine.]
[L04AC11, siltuximab, The metabolism of Vindesine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Vindesine can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The metabolism of Vindesine can be decreased when combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Acenocoumarol is combined with Vindesine.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Vindesine is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Vindesine is combined with Idelalisib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Vindesine is combined with Peginterferon beta-1a.]
[N05CM19, suvorexant, The metabolism of Vindesine can be decreased when combined with Suvorexant.]
[J01XA05, oritavancin, The metabolism of Vindesine can be increased when combined with Oritavancin.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Vindesine is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Vindesine is combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Vindesine can be decreased when combined with Nintedanib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Vindesine is combined with Blinatumomab.]
[L01XK01, olaparib, The metabolism of Vindesine can be decreased when combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Vindesine.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Vindesine.]
[N06AX11, mirtazapine, The metabolism of Vindesine can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Vindesine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Vindesine can be decreased when combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Vindesine is combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Vindesine can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Vindesine.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Vindesine.]
[J05AP06, asunaprevir, The metabolism of Vindesine can be increased when combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Vindesine.]
[S01EC01, acetazolamide, The metabolism of Vindesine can be decreased when combined with Acetazolamide.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Vindesine is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Vindesine can be increased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Vindesine can be decreased when combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The metabolism of Vindesine can be decreased when combined with Tenofovir alafenamide.]
[L01EE02, cobimetinib, The metabolism of Vindesine can be decreased when combined with Cobimetinib.]
[M04AB05, lesinurad, The metabolism of Vindesine can be increased when combined with Lesinurad.]
[N05CA05, aprobarbital, The metabolism of Vindesine can be increased when combined with Aprobarbital.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Vindesine can be decreased when combined with Venetoclax.]
[N05AX17, pimavanserin, The metabolism of Vindesine can be decreased when combined with Pimavanserin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Bupivacaine.]
[N07BC01, buprenorphine, The metabolism of Vindesine can be decreased when combined with Buprenorphine.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Vindesine is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Vindesine is combined with Arsenic trioxide.]
[L01XK03, rucaparib, The metabolism of Vindesine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Vindesine can be decreased when combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Vindesine can be decreased when combined with Ribociclib.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Vindesine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Vindesine can be increased when combined with Calcitriol.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Vindesine.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Vindesine is combined with Linezolid.]
[J05AE09, tipranavir, The metabolism of Vindesine can be decreased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Vindesine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Vindesine can be decreased when combined with Midostaurin.]
[L04AC14, sarilumab, The metabolism of Vindesine can be increased when combined with Sarilumab.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Vindesine.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Vindesine can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Vindesine is combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Vindesine can be increased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vindesine is combined with Vorinostat.]
[J05AG03, efavirenz, The metabolism of Vindesine can be decreased when combined with Efavirenz.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Vindesine.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Vindesine.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Vindesine.]
[R03BA02, budesonide, The metabolism of Vindesine can be increased when combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Vindesine.]
[L01EL02, acalabrutinib, The metabolism of Vindesine can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Vindesine can be decreased when combined with Letermovir.]
[C01AA02, acetyldigoxins, Acetyldigoxin may decrease the cardiotoxic activities of Vindesine.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Capsaicin.]
[L02BB05, apalutamide, The metabolism of Vindesine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Vindesine can be increased when combined with Carbamazepine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Vindesine.]
[B02BX09, fostamatinib, The metabolism of Vindesine can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Vindesine can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Vindesine is combined with Baricitinib.]
[L01XX62, ivosidenib, The metabolism of Vindesine can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Vindesine can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Vindesine can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Vindesine can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The metabolism of Vindesine can be decreased when combined with Dacomitinib.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Chloroprocaine.]
[L01ED05, lorlatinib, The metabolism of Vindesine can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Vindesine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Vindesine.]
[L01EX13, gilteritinib, The metabolism of Vindesine can be decreased when combined with Gilteritinib.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Vindesine.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Cilostazol is combined with Vindesine.]
[P02BX04, triclabendazole, The metabolism of Vindesine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Vindesine can be increased when combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Vindesine is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Vindesine can be decreased when combined with Clarithromycin.]
[N05BA09, clobazam, The metabolism of Vindesine can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Vindesine can be increased when combined with Cloprednol.]
[L04AB01, etanercept, The metabolism of Vindesine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Vindesine can be increased when combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Vindesine can be increased when combined with Alpelisib.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Vindesine is combined with Upadacitinib.]
[N07XX11, pitolisant, The serum concentration of Vindesine can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Vindesine can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, The serum concentration of Vindesine can be increased when it is combined with Lefamulin.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Vindesine.]
[J01DB01, cephalexin, The metabolism of Vindesine can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Vindesine can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Vindesine can be increased when combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Vindesine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Vindesine is combined with Trastuzumab emtansine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Vindesine is combined with Diroximel fumarate.]
[B06AX03, voxelotor, The serum concentration of Vindesine can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Vindesine can be decreased when it is combined with Cenobamate.]
[L01XX72, tazemetostat, The metabolism of Vindesine can be decreased when combined with Tazemetostat.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Teprotumumab.]
[J05AB16, remdesivir, The metabolism of Vindesine can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Vindesine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Vindesine can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Vindesine is combined with Ozanimod.]
[M01AH02, rofecoxib, The metabolism of Vindesine can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Vindesine can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Vindesine can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Vindesine can be decreased when combined with Dronedarone.]
[J01FA13, dirithromycin, The metabolism of Vindesine can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Vindesine.]
[S03AA08, chloramphenicol, The metabolism of Vindesine can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Vindesine.]
[D07XB03, fluprednidene, The metabolism of Vindesine can be increased when combined with Fluprednidene.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Vindesine.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Vindesine is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Vindesine is combined with Stepronin.]
[R06AX22, ebastine, The metabolism of Vindesine can be decreased when combined with Ebastine.]
[L04AC19, satralizumab, The serum concentration of Vindesine can be decreased when it is combined with Satralizumab.]
[L01EX23, pralsetinib, The metabolism of Vindesine can be increased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Vindesine.]
[N05AA01, chlorpromazine, The metabolism of Vindesine can be increased when combined with Chlorpromazine.]
[B06AC06, berotralstat, The serum concentration of Vindesine can be increased when it is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Vindesine can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Vindesine is combined with Fludarabine.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Vindesine is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Vindesine can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The metabolism of Vindesine can be increased when combined with Felbamate.]
[R03BA03, flunisolide, The metabolism of Vindesine can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Vindesine can be increased when combined with Fluocinolone acetonide.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Vindesine is combined with Ponesimod.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Vindesine.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Vindesine.]
[A02BA01, cimetidine, The metabolism of Vindesine can be decreased when combined with Cimetidine.]
[L01XX73, sotorasib, The serum concentration of Vindesine can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Vindesine can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The metabolism of Vindesine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Vindesine is combined with Cisplatin.]
[N06AB04, citalopram, The metabolism of Vindesine can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Vindesine is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Vindesine is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Vindesine can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Vindesine can be decreased when it is combined with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Vindesine can be decreased when it is combined with Mobocertinib.]
[L04AA59, avacopan, The metabolism of Vindesine can be decreased when combined with Avacopan.]
[J01FF01, clindamycin, The serum concentration of Vindesine can be increased when it is combined with Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Vindesine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Vindesine can be increased when it is combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Vindesine is combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The metabolism of Vindesine can be decreased when combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Vindesine.]
[C10AB01, clofibrate, The metabolism of Vindesine can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Vindesine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Vindesine can be increased when it is combined with Pacritinib.]
[C01EB24, mavacamten, The serum concentration of Vindesine can be decreased when it is combined with Mavacamten.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Vindesine is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Vindesine is combined with Deucravacitinib.]
[J05AX31, lenacapavir, The metabolism of Vindesine can be decreased when combined with Lenacapavir.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Vindesine is combined with Clozapine.]
[H01AC08, somatrogon, The metabolism of Vindesine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Vindesine can be increased when combined with Bimekizumab.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Vindesine is combined with Leflunomide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Vindesine is combined with Nelarabine.]
[J01FA15, telithromycin, The metabolism of Vindesine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Vindesine is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Vindesine.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Vindesine.]
[J02AC02, itraconazole, The metabolism of Vindesine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Vindesine.]
[N05BA10, ketazolam, The metabolism of Vindesine can be decreased when combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Vindesine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Vindesine can be decreased when combined with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Vindesine.]
[S01BA03, cortisone, The metabolism of Vindesine can be increased when combined with Cortisone.]
