[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Duloxetine.]
[A03AB12, mepenzolate, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Duloxetine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Duloxetine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Trifluperidol is combined with Duloxetine.]
[N05AA05, triflupromazine, The risk or severity of adverse effects can be increased when Triflupromazine is combined with Duloxetine.]
[N04AA01, trihexyphenidyl, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Duloxetine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Duloxetine.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Duloxetine.]
[R06AC04, tripelennamine, The metabolism of Duloxetine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Duloxetine.]
[A03BB01, butylscopolamine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Duloxetine.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Duloxetine.]
[C09CA09, azilsartan medoxomil, The risk or severity of orthostatic hypotension and syncope can be increased when Azilsartan medoxomil is combined with Duloxetine.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Duloxetine.]
[R03DX07, roflumilast, Duloxetine may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Duloxetine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Duloxetine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Duloxetine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Linagliptin.]
[J05AG05, rilpivirine, The metabolism of Duloxetine can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Urokinase.]
[S01AA28, vancomycin, Duloxetine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ezogabine is combined with Duloxetine.]
[B01AF01, rivaroxaban, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Rivaroxaban.]
[R03AC18, indacaterol, Duloxetine may increase the tachycardic activities of Indacaterol.]
[B01AC24, ticagrelor, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Ticagrelor.]
[C08DA01, verapamil, The risk or severity of orthostatic hypotension and syncope can be increased when Verapamil is combined with Duloxetine.]
[N06AX09, viloxazine, The metabolism of Duloxetine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Duloxetine can be decreased when combined with Vinblastine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[B01AA03, warfarin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Duloxetine.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Duloxetine.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Duloxetine.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Duloxetine.]
[L01EC01, vemurafenib, The metabolism of Duloxetine can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[M05BA05, tiludronic acid, Duloxetine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Duloxetine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[B01AE01, desirudin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Duloxetine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Duloxetine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Duloxetine is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Duloxetine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Duloxetine may increase the antiplatelet activities of Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Duloxetine may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Duloxetine.]
[J01DH04, doripenem, Duloxetine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The risk or severity of orthostatic hypotension and syncope can be increased when Atenolol is combined with Duloxetine.]
[J02AC03, voriconazole, The metabolism of Duloxetine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Atracurium is combined with Duloxetine.]
[S01FA01, atropine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Duloxetine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Duloxetine.]
[B03XA04, peginesatide, Duloxetine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Duloxetine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Duloxetine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Duloxetine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Duloxetine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Duloxetine.]
[G04BD12, mirabegron, The serum concentration of Duloxetine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Duloxetine can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, The serum concentration of Duloxetine can be decreased when it is combined with Enzalutamide.]
[B01AX01, defibrotide, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Defibrotide.]
[C01CA18, octopamine, Duloxetine may increase the tachycardic activities of Octopamine.]
[L01EX05, regorafenib, The metabolism of Duloxetine can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Duloxetine.]
[D02BA02, octinoxate, Duloxetine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Duloxetine.]
[N04BD02, rasagiline, The risk or severity of serotonin syndrome can be increased when Rasagiline is combined with Duloxetine.]
[C08CA13, lercanidipine, The risk or severity of orthostatic hypotension and syncope can be increased when Lercanidipine is combined with Duloxetine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Mosapride is combined with Duloxetine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Duloxetine.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Duloxetine.]
[N02CC03, zolmitriptan, The risk or severity of serotonin syndrome can be increased when Duloxetine is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Duloxetine.]
[V09IX04, fluorodeoxyglucose F18, Duloxetine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Diethyl ether is combined with Duloxetine.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Duloxetine.]
[H01CB05, pasireotide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Duloxetine.]
[V08CA11, gadofosveset, Duloxetine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Duloxetine.]
[B01AF02, apixaban, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Apixaban.]
[A16AX08, teduglutide, Duloxetine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Duloxetine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Duloxetine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of orthostatic hypotension and syncope can be increased when Bendroflumethiazide is combined with Duloxetine.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Duloxetine.]
[G03XC05, ospemifene, The metabolism of Duloxetine can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Benperidol is combined with Duloxetine.]
[A10BK02, canagliflozin, The risk or severity of orthostatic hypotension and syncope can be increased when Canagliflozin is combined with Duloxetine.]
[M04AB03, benzbromarone, The metabolism of Duloxetine can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Duloxetine.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Duloxetine.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Duloxetine.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Pramlintide.]
[L03AA12, ancestim, Duloxetine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of bleeding can be increased when Celecoxib is combined with Duloxetine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Duloxetine.]
[L04AA18, everolimus, The metabolism of Duloxetine can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Duloxetine.]
[L01EC02, dabrafenib, The serum concentration of Duloxetine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Benzydamine.]
[L01EE01, trametinib, Duloxetine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Duloxetine.]
[H05AA03, parathyroid hormone, The therapeutic efficacy of Parathyroid hormone can be decreased when used in combination with Duloxetine.]
[V09AX05, florbetapir F-18, Duloxetine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Duloxetine.]
[C08EA02, bepridil, The risk or severity of orthostatic hypotension and syncope can be increased when Bepridil is combined with Duloxetine.]
[C02KX05, riociguat, The risk or severity of orthostatic hypotension and syncope can be increased when Riociguat is combined with Duloxetine.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Lixisenatide.]
[C02KX04, macitentan, Duloxetine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Duloxetine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Duloxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Eslicarbazepine is combined with Duloxetine.]
[J05AP08, sofosbuvir, Duloxetine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Duloxetine.]
[A10BK01, dapagliflozin, The risk or severity of orthostatic hypotension and syncope can be increased when Dapagliflozin is combined with Duloxetine.]
[C01CA27, droxidopa, Duloxetine may increase the tachycardic activities of Droxidopa.]
[C07AB04, acebutolol, The risk or severity of orthostatic hypotension and syncope can be increased when Acebutolol is combined with Duloxetine.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Tasimelteon is combined with Duloxetine.]
[L04AA32, apremilast, The metabolism of Duloxetine can be increased when combined with Apremilast.]
[L02BG02, formestane, Duloxetine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S01ED02, betaxolol, The risk or severity of orthostatic hypotension and syncope can be increased when Betaxolol is combined with Duloxetine.]
[B01AE03, argatroban, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Argatroban.]
[V03AB34, fomepizole, Duloxetine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, Duloxetine may increase the tachycardic activities of Bethanidine.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Albiglutide.]
[L04AC11, siltuximab, The metabolism of Duloxetine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Duloxetine can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Vorapaxar.]
[A03BA03, hyoscyamine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Alfaxalone is combined with Duloxetine.]
[A10BK03, empagliflozin, The risk or severity of orthostatic hypotension and syncope can be increased when Empagliflozin is combined with Duloxetine.]
[R03AC19, olodaterol, Duloxetine may increase the tachycardic activities of Olodaterol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[D11AA01, glycopyrronium, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N05CM19, suvorexant, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Duloxetine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Duloxetine can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Acepromazine is combined with Duloxetine.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Dulaglutide.]
[A06AH03, naloxegol, The risk or severity of serotonin syndrome can be increased when Naloxegol is combined with Duloxetine.]
[N04AA02, biperiden, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Duloxetine.]
[S03AA06, gentamicin, Duloxetine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Duloxetine.]
[B01AA01, dicumarol, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Edoxaban.]
[N06AX11, mirtazapine, Duloxetine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Duloxetine can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Duloxetine can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Duloxetine.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[A03AA09, difemerine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Duloxetine.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Eluxadoline is combined with Duloxetine.]
[B01AC25, cangrelor, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Cangrelor.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Duloxetine.]
[A04AD14, rolapitant, The metabolism of Duloxetine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Flibanserin is combined with Duloxetine.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Cariprazine is combined with Duloxetine.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Acarbose.]
[M02AA25, aceclofenac, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Duloxetine.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Insulin degludec.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Duloxetine.]
[A02BC03, lansoprazole, The metabolism of Duloxetine can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Duloxetine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Duloxetine.]
[J02AC05, isavuconazole, The metabolism of Duloxetine can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Duloxetine.]
[L01XG03, ixazomib, Duloxetine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Acetohexamide.]
[M04AB05, lesinurad, Duloxetine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Duloxetine.]
[M01AE16, alminoprofen, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Duloxetine.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Duloxetine.]
[N04BC01, bromocriptine, The risk or severity of orthostatic hypotension and syncope can be increased when Bromocriptine is combined with Duloxetine.]
[A02AD05, aluminum magnesium silicate, Duloxetine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Duloxetine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Duloxetine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Amineptine is combined with Duloxetine.]
[C08CA01, amlodipine, The risk or severity of orthostatic hypotension and syncope can be increased when Amlodipine is combined with Duloxetine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Aniracetam is combined with Duloxetine.]
[C03CA02, bumetanide, The risk or severity of orthostatic hypotension and syncope can be increased when Bumetanide is combined with Duloxetine.]
[N01BB01, bupivacaine, The risk or severity of orthostatic hypotension and syncope can be increased when Bupivacaine is combined with Duloxetine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Duloxetine.]
[N07BC01, buprenorphine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Duloxetine.]
[L01XX27, arsenic trioxide, The risk or severity of orthostatic hypotension and syncope can be increased when Arsenic trioxide is combined with Duloxetine.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Duloxetine.]
[M02AA03, clofezone, Duloxetine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of serotonin syndrome can be increased when Butorphanol is combined with Duloxetine.]
