[S02DA03, antipyrine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Antipyrine.]
[N06AA06, trimipramine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Trimipramine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Guanfacine.]
[A03BB01, butylscopolamine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Guanfacine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Guanfacine.]
[C09CA09, azilsartan medoxomil, Guanfacine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Tubocurarine.]
[R03DX07, roflumilast, Guanfacine may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Guanfacine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Guanfacine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Guanfacine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Guanfacine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Guanfacine can be decreased when combined with Telaprevir.]
[S01AA28, vancomycin, Guanfacine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Ezogabine.]
[B01AF01, rivaroxaban, Guanfacine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, Indacaterol may decrease the antihypertensive activities of Guanfacine.]
[C08DA01, verapamil, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Verapamil.]
[N06AX09, viloxazine, The metabolism of Guanfacine can be decreased when combined with Viloxazine.]
[C04AX07, vincamine, Guanfacine may decrease the antihypertensive activities of Vincamine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[B01AA03, warfarin, Guanfacine may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Guanfacine.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Guanfacine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Levetiracetam.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[M05BA05, tiludronic acid, Guanfacine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Guanfacine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Guanfacine.]
[A02BC04, rabeprazole, Guanfacine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Guanfacine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the antihypertensive activities of Guanfacine.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Guanfacine.]
[G04BD07, tolterodine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Guanfacine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Atenolol.]
[L01FA01, rituximab, Guanfacine may increase the hypotensive activities of Rituximab.]
[J02AC03, voriconazole, The metabolism of Guanfacine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Guanfacine is combined with Atracurium.]
[S01FA01, atropine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[B03XA04, peginesatide, Guanfacine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Guanfacine.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Guanfacine.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Guanfacine is combined with Lorcaserin.]
[G04BD12, mirabegron, Mirabegron may decrease the antihypertensive activities of Guanfacine.]
[V03AX03, cobicistat, The metabolism of Guanfacine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Guanfacine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The metabolism of Guanfacine can be increased when combined with Enzalutamide.]
[C01CA18, octopamine, Octopamine may decrease the antihypertensive activities of Guanfacine.]
[L01EX05, regorafenib, Guanfacine may increase the bradycardic activities of Regorafenib.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Guanfacine.]
[D02BA02, octinoxate, Guanfacine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Guanfacine can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Guanfacine.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Guanfacine.]
[C08CA13, lercanidipine, Guanfacine may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Guanfacine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Guanfacine.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[L04AA29, tofacitinib, Guanfacine may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Guanfacine.]
[R06AC06, thonzylamine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Guanfacine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Guanfacine is combined with Diethyl ether.]
[H01CB05, pasireotide, Guanfacine may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, Sildenafil may increase the antihypertensive activities of Guanfacine.]
[V08CA11, gadofosveset, Guanfacine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Guanfacine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, Guanfacine may increase the bradycardic activities of Bencyclane.]
[A10BH04, alogliptin, Guanfacine may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Guanfacine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Guanfacine can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Pomalidomide.]
[N02BA10, benorilate, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Guanfacine is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Benzocaine.]
[L03AA12, ancestim, Guanfacine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Guanfacine.]
[N04AC01, benztropine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Guanfacine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Benzydamine.]
[L01EE01, trametinib, Guanfacine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Guanfacine is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Guanfacine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Guanfacine is combined with Levomilnacipran.]
[C08EA02, bepridil, Guanfacine may decrease the antihypertensive activities of Bepridil.]
[C02KX05, riociguat, Guanfacine may decrease the antihypertensive activities of Riociguat.]
[A10BJ03, lixisenatide, Guanfacine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Guanfacine may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Guanfacine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Guanfacine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Guanfacine is combined with Vigabatrin.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Droxidopa may decrease the antihypertensive activities of Guanfacine.]
[C07AB04, acebutolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Guanfacine is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Guanfacine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, Guanfacine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Guanfacine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S01ED02, betaxolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Betaxolol.]
[V03AB34, fomepizole, Guanfacine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, Bethanidine may decrease the antihypertensive activities of Guanfacine.]
[L01ED02, ceritinib, Guanfacine may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Alfaxalone.]
[A10BK03, empagliflozin, The risk or severity of adverse effects can be increased when Guanfacine is combined with Empagliflozin.]
[R03AC19, olodaterol, Olodaterol may decrease the antihypertensive activities of Guanfacine.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[S01EE02, unoprostone, Guanfacine may increase the hypotensive activities of Unoprostone.]
[D11AA01, glycopyrronium, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05CM19, suvorexant, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05AA04, acepromazine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Acepromazine.]
[N04AA02, biperiden, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S03AA06, gentamicin, Guanfacine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AF03, edoxaban, Guanfacine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Palbociclib is combined with Guanfacine.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[A03AA09, difemerine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, Guanfacine may increase the bradycardic activities of Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Guanfacine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Cariprazine.]
[M02AA25, aceclofenac, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Aceclofenac.]
[M01AB11, acemetacin, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Guanfacine.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Acetophenazine.]
[V03AB37, idarucizumab, Guanfacine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J02AC05, isavuconazole, The metabolism of Guanfacine can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Guanfacine.]
[L01XG03, ixazomib, Guanfacine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Guanfacine may decrease the antihypertensive activities of Selexipag.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Guanfacine.]
[M04AB05, lesinurad, Guanfacine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Guanfacine is combined with Aprobarbital.]
[M01AE16, alminoprofen, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Guanfacine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Bromazepam.]
[N04BC01, bromocriptine, Bromocriptine may increase the hypertensive and vasoconstricting activities of Guanfacine.]
[A02AD05, aluminum magnesium silicate, Guanfacine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Guanfacine.]
[N06AA19, amineptin, The risk or severity of hypertension can be increased when Amineptine is combined with Guanfacine.]
[C08CA01, amlodipine, Guanfacine may decrease the antihypertensive activities of Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Guanfacine.]
[C07AA19, bupranolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Bupranolol.]
[N07BC01, buprenorphine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Guanfacine.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Rivastigmine may increase the bradycardic activities of Guanfacine.]
[M02AA03, clofezone, Guanfacine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Guanfacine.]
[S01GX07, azelastine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01EF02, ribociclib, The metabolism of Guanfacine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Balsalazide.]
[R03CC12, bambuterol, Bambuterol may decrease the antihypertensive activities of Guanfacine.]
[A06AH05, naldemedine, Guanfacine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Guanfacine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The therapeutic efficacy of Guanfacine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Beclamide.]
[C09AA07, benazepril, Guanfacine may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Guanfacine.]
[P01CA02, benznidazole, Guanfacine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Guanfacine.]
[J05AF06, abacavir, Guanfacine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Guanfacine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Guanfacine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L01EX10, midostaurin, The metabolism of Guanfacine can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Guanfacine.]
[J01MA23, delafloxacin, Guanfacine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Acetylcholine.]
[L01BC06, capecitabine, Guanfacine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C07AB07, bisoprolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, Bitolterol may decrease the antihypertensive activities of Guanfacine.]
[J05AG03, efavirenz, The metabolism of Guanfacine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C07AA17, bopindolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Bopindolol.]
[N04AA11, bornaprine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Guanfacine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Guanfacine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Guanfacine.]
[M01AB07, bumadizone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Guanfacine is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of hypertension can be increased when Butriptyline is combined with Guanfacine.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Guanfacine is combined with Vinylbital.]
[R06AX18, acrivastine, Guanfacine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Guanfacine may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, The metabolism of Guanfacine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Guanfacine can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Guanfacine.]
[C07AG02, carvedilol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Carvedilol.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Guanfacine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Guanfacine.]
