[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Vigabatrin.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Viloxazine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Levetiracetam.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Vigabatrin.]
[G04BD07, tolterodine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Atracurium.]
[S01FA01, atropine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J01CA09, azlocillin, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Azlocillin.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Vigabatrin.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Lorcaserin.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Barbital.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Vigabatrin.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Rasagiline.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Vigabatrin.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Vigabatrin.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Vigabatrin.]
[R06AC06, thonzylamine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Diethyl ether.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Pomalidomide.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Benperidol.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Benzocaine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Vigabatrin.]
[N04AC01, benztropine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Levomilnacipran.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Vigabatrin.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Eslicarbazepine.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Tasimelteon.]
[A16AA06, betaine, The therapeutic efficacy of Betaine can be decreased when used in combination with Vigabatrin.]
[A03BA03, hyoscyamine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Alfaxalone.]
[D11AA01, glycopyrronium, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Acepromazine.]
[N04AA02, biperiden, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AX11, mirtazapine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A03AA09, difemerine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Vigabatrin.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Vigabatrin.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Vigabatrin.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Vigabatrin.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Amineptine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Aniracetam.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Bupivacaine.]
[N07BC01, buprenorphine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Vigabatrin.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Vigabatrin.]
[R06AX09, azatadine, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[R03DA08, bamifylline, Vigabatrin may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BF02, pregabalin, The therapeutic efficacy of Vigabatrin can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Beclamide.]
[N06BC01, caffeine, Vigabatrin may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Oxybuprocaine.]
[J01XX08, linezolid, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Linezolid.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Safinamide.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Vigabatrin.]
[N04AA11, bornaprine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Brotizolam.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Butriptyline.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Vinylbital.]
[N03AF01, carbamazepine, Carbamazepine may increase the Change in thyroid function activities of Vigabatrin.]
[A03AA03, camylofine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Vigabatrin.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Vigabatrin.]
[N03AX17, stiripentol, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Vigabatrin.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[R03DA02, oxtriphylline, Vigabatrin may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Vigabatrin.]
[R03BB08, revefenacin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Esketamine.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Vigabatrin.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Cloxazolam.]
[J01DD01, cefotaxime, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Cefotaxime.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Vigabatrin.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Yohimbine.]
[J01DB03, cephalothin, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Cefalotin.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Vigabatrin.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Vigabatrin.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Vigabatrin.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Vigabatrin.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Lumateperone.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Vigabatrin.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Dichloralphenazone.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Vigabatrin.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Vigabatrin.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Valpromide.]
[L01AA02, chlorambucil, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Chlorambucil.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Vigabatrin.]
[A03AA08, dihexyverine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[G04BD09, trospium, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Dyclonine.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Remimazolam.]
[N07XX04, sodium oxybate, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Vigabatrin is combined with Oliceridine.]
[P01BA01, chloroquine, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Chloroquine.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[N05AF03, chlorprothixene, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Vigabatrin.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Ethyl loflazepate.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Vigabatrin.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Vigabatrin.]
[N06BA10, fenethylline, Vigabatrin may increase the excretion rate of Fenethylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Trichloroethylene.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Vigabatrin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Citalopram.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Vigabatrin.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Vigabatrin is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Vigabatrin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Levobupivacaine.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Clomipramine.]
[N03AE01, clonazepam, The serum concentration of Clonazepam can be increased when it is combined with Vigabatrin.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Vigabatrin.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Vigabatrin.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Vigabatrin.]
[N05AH02, clozapine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Vigabatrin.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Cocaine.]
[C02KB01, metyrosine, Vigabatrin may increase the sedative activities of Metyrosine.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Vigabatrin.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Vigabatrin.]
[A03AB10, hexocyclium, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Ifenprodil.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Vigabatrin.]
[J05AB14, valganciclovir, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Valganciclovir.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Vigabatrin.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Ketazolam.]
[N03AX09, lamotrigine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Vigabatrin can be increased when used in combination with Lofexidine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Vigabatrin.]
[A03AA04, mebeverine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Medifoxamine.]
[R06AD04, methdilazine, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Cyclobarbital.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Melperone.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Vigabatrin.]
[S01XA18, cyclosporine, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Moclobemide.]
[R06AX02, cyproheptadine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Vigabatrin.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Nordazepam.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Niaprazine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Vigabatrin.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Vigabatrin.]
[C01CA23, theodrenaline, Vigabatrin may increase the excretion rate of Theodrenaline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Vigabatrin.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Escitalopram.]
[G04BD08, solifenacin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Vigabatrin.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Oxiracetam.]
[N04AA08, dexetimide, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Vigabatrin.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Vigabatrin.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Diamorphine.]
[C04AD01, pentifylline, Vigabatrin may increase the excretion rate of Pentifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Vigabatrin.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Phenacemide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Vigabatrin.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Cinchocaine.]
[A03AA07, dicyclomine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Pipamperone.]
[A03AB14, pipenzolate, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Vigabatrin.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Vigabatrin.]
[A03AB11, poldine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Vigabatrin.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Vigabatrin.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Pramocaine.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Vigabatrin.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Pridinol.]
[R06AB03, dimethindene, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Vigabatrin.]
[N06BC02, propentofylline, Vigabatrin may increase the excretion rate of Propentofylline which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Proparacaine.]
[R03DA03, proxyphylline, Vigabatrin may increase the excretion rate of Proxyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Diphenhydramine.]
