[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Labetalol.]
[B01AA03, warfarin, Labetalol may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Labetalol can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Labetalol.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Labetalol can be increased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Labetalol can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The metabolism of Labetalol can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[M05BA05, tiludronic acid, Labetalol may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Labetalol may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Labetalol.]
[R03DC01, zafirlukast, The metabolism of Labetalol can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Labetalol can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, Ziprasidone may increase the antihypertensive activities of Labetalol.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Labetalol may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the antihypertensive activities of Labetalol.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Labetalol.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Labetalol.]
[J01DH04, doripenem, Labetalol may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Atenolol may increase the orthostatic hypotensive activities of Labetalol.]
[L01FA01, rituximab, Labetalol may increase the hypotensive activities of Rituximab.]
[J02AC03, voriconazole, The metabolism of Labetalol can be decreased when combined with Voriconazole.]
[S01FA01, atropine, Atropine may decrease the antihypertensive activities of Labetalol.]
[M01CB03, auranofin, Labetalol may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Labetalol.]
[B03XA04, peginesatide, Labetalol may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Labetalol may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Labetalol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[G04BE10, avanafil, Labetalol may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Labetalol.]
[A08AA11, lorcaserin, The metabolism of Labetalol can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Labetalol can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Labetalol can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, The serum concentration of Labetalol can be decreased when it is combined with Enzalutamide.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Labetalol.]
[L01EX05, regorafenib, Regorafenib may increase the bradycardic activities of Labetalol.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Labetalol.]
[C01AA01, acetyldigitoxin, Labetalol may increase the bradycardic activities of Acetyldigitoxin.]
[D02BA02, octinoxate, Labetalol may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Labetalol can be increased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Labetalol.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Labetalol.]
[C08CA13, lercanidipine, The risk or severity of bradycardia can be increased when Lercanidipine is combined with Labetalol.]
[N06DA02, donepezil, Donepezil may increase the bradycardic activities of Labetalol.]
[L04AA29, tofacitinib, Labetalol may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Labetalol.]
[R06AC06, thonzylamine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Labetalol can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Labetalol may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Labetalol.]
[H01CB05, pasireotide, Labetalol may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, The risk or severity of hypotension and syncope can be increased when Sildenafil is combined with Labetalol.]
[V08CA11, gadofosveset, Labetalol may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Labetalol.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Labetalol.]
[A16AX08, teduglutide, Labetalol may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, The risk or severity of bradycardia can be increased when Bencyclane is combined with Labetalol.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Labetalol.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Labetalol can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Labetalol can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, Labetalol may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[G03XC05, ospemifene, The metabolism of Labetalol can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the antihypertensive activities of Labetalol.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Labetalol.]
[M04AB03, benzbromarone, The metabolism of Labetalol can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Labetalol can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Labetalol.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Labetalol.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Labetalol.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Labetalol.]
[L03AA12, ancestim, Labetalol may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the antihypertensive activities of Labetalol.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Labetalol.]
[L04AA18, everolimus, The metabolism of Labetalol can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Labetalol.]
[L01EC02, dabrafenib, The serum concentration of Labetalol can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the antihypertensive activities of Labetalol.]
[L01EE01, trametinib, Labetalol may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Labetalol.]
[H05AA03, parathyroid hormone, The risk or severity of adverse effects can be increased when Labetalol is combined with Parathyroid hormone.]
[V09AX05, florbetapir F-18, Labetalol may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The serum concentration of Labetalol can be increased when it is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of bradycardia can be increased when Bepridil is combined with Labetalol.]
[C02KX05, riociguat, Labetalol may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Labetalol.]
[C02KX04, macitentan, Labetalol may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Labetalol.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Labetalol.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The metabolism of Labetalol can be decreased when combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Labetalol can be increased when it is combined with Luliconazole.]
[J05AP08, sofosbuvir, Labetalol may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Labetalol.]
[C01CA27, droxidopa, The therapeutic efficacy of Labetalol can be increased when used in combination with Droxidopa.]
[C07AB04, acebutolol, Acebutolol may increase the orthostatic hypotensive activities of Labetalol.]
[N05CH03, tasimelteon, Labetalol may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, The metabolism of Labetalol can be increased when combined with Apremilast.]
[L02BG02, formestane, Labetalol may decrease the excretion rate of Formestane which could result in a higher serum level.]
[A16AA06, betaine, Betaine may increase the bradycardic activities of Labetalol.]
[S01ED02, betaxolol, Betaxolol may increase the orthostatic hypotensive activities of Labetalol.]
[V03AB34, fomepizole, Labetalol may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Labetalol.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Labetalol.]
[L04AC11, siltuximab, The metabolism of Labetalol can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, Labetalol may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of Tachycardia can be increased when Hyoscyamine is combined with Labetalol.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Labetalol.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Labetalol.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Labetalol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[S01EE02, unoprostone, Labetalol may increase the hypotensive activities of Unoprostone.]
[D11AA01, glycopyrronium, The risk or severity of Tachycardia can be increased when Labetalol is combined with Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[A16AX10, eliglustat, The metabolism of Labetalol can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Labetalol can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N05AA04, acepromazine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Acepromazine.]
[V04CX03, methacholine, Labetalol may increase the bronchoconstrictory activities of Methacholine.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Labetalol.]
[N04AA02, biperiden, The metabolism of Labetalol can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Labetalol.]
[S03AA06, gentamicin, Labetalol may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Labetalol can be decreased when combined with Dasabuvir.]
[B01AF03, edoxaban, Labetalol may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Labetalol.]
[L04AC10, secukinumab, The metabolism of Labetalol can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Labetalol can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Labetalol.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[A03AA09, difemerine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Difemerine.]
[C01EB17, ivabradine, Labetalol may increase the bradycardic activities of Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Labetalol can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Labetalol can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Labetalol.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Labetalol.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Labetalol.]
[M02AA25, aceclofenac, Aceclofenac may decrease the antihypertensive activities of Labetalol.]
[M01AB11, acemetacin, Acemetacin may decrease the antihypertensive activities of Labetalol.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Labetalol.]
[N05AB07, acetophenazine, The serum concentration of Labetalol can be increased when it is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Labetalol can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Labetalol may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Labetalol.]
[J02AC05, isavuconazole, The metabolism of Labetalol can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Labetalol.]
[L01XG03, ixazomib, Labetalol may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Labetalol may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Labetalol.]
[G04CA01, alfuzosin, Labetalol may increase the hypotensive activities of Alfuzosin.]
[M04AB05, lesinurad, Labetalol may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may decrease the antihypertensive activities of Labetalol.]
[N03AX23, brivaracetam, Labetalol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Labetalol may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Labetalol may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Brompheniramine.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Labetalol.]
[C08CA01, amlodipine, The risk or severity of bradycardia can be increased when Amlodipine is combined with Labetalol.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The serum concentration of Bupivacaine can be increased when it is combined with Labetalol.]
[C07AA19, bupranolol, Bupranolol may increase the orthostatic hypotensive activities of Labetalol.]
[N07BC01, buprenorphine, The metabolism of Labetalol can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Labetalol.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Labetalol is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Labetalol may increase the bradycardic activities of Rivastigmine.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Labetalol.]
[M02AA03, clofezone, The metabolism of Labetalol can be decreased when combined with Rabeprazole.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Labetalol.]
[L01XK03, rucaparib, The metabolism of Labetalol can be decreased when combined with Rucaparib.]
[A07EC04, balsalazide, Balsalazide may decrease the antihypertensive activities of Labetalol.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Labetalol.]
[R03DA08, bamifylline, The risk or severity of adverse effects can be increased when Labetalol is combined with Bamifylline.]
[A06AH05, naldemedine, Labetalol may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Labetalol.]
[N02BF02, pregabalin, Pregabalin may increase the bradycardic activities of Labetalol.]
[N06BC01, caffeine, The risk or severity of adverse effects can be increased when Labetalol is combined with Caffeine.]
[C09AA07, benazepril, Benazepril may increase the hypotensive activities of Labetalol.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Labetalol.]
[A12AA04, calcium carbonate, The therapeutic efficacy of Labetalol can be decreased when used in combination with Calcium carbonate.]
[P01CA02, benznidazole, Labetalol may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[G04BA03, calcium chloride, The therapeutic efficacy of Labetalol can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Labetalol.]
[J05AF06, abacavir, Labetalol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Labetalol can be decreased when combined with Tipranavir.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Labetalol can be decreased when used in combination with Calcium gluconate.]
[H03BA03, benzylthiouracil, The risk or severity of adverse effects can be increased when Labetalol is combined with Benzylthiouracil.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Labetalol.]
[L04AB02, infliximab, The metabolism of Labetalol can be increased when combined with Infliximab.]
[A12AA01, calcium phosphate, The therapeutic efficacy of Labetalol can be decreased when used in combination with Calcium Phosphate.]
[H05AA04, abaloparatide, The risk or severity of adverse effects can be increased when Labetalol is combined with Abaloparatide.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Labetalol.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Labetalol is combined with Bethanechol.]
[J01MA23, delafloxacin, Labetalol may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Labetalol is combined with Acetylcholine.]
[L01BC06, capecitabine, Labetalol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Labetalol.]
[C07AB07, bisoprolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Labetalol.]
[R03AC17, bitolterol, The therapeutic efficacy of Bitolterol can be decreased when used in combination with Labetalol.]
