[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Epinephrine.]
[V04CJ02, thyrotropin-releasing hormone, The risk or severity of adverse effects can be increased when Epinephrine is combined with Protirelin.]
[S01ED01, timolol, Timolol may decrease the bronchodilatory activities of Epinephrine.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Epinephrine.]
[M02AX02, tolazoline, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Tolazoline.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Epinephrine.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Epinephrine.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Epinephrine.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypertensive activities of Epinephrine.]
[N06AX05, trazodone, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Trazodone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Epinephrine.]
[S01BA05, triamcinolone, The risk or severity of hypokalemia can be increased when Triamcinolone is combined with Epinephrine.]
[C03DB02, triamterene, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Triamterene.]
[C03AA06, trichlormethiazide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Trichlormethiazide.]
[A03AB12, mepenzolate, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Mepenzolate.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Trifluoperazine.]
[N05AA05, triflupromazine, The risk or severity of Tachycardia can be increased when Triflupromazine is combined with Epinephrine.]
[D07AC02, fluclorolone, The risk or severity of hypokalemia can be increased when Fluclorolone is combined with Epinephrine.]
[N04AA01, trihexyphenidyl, The risk or severity of Tachycardia can be increased when Trihexyphenidyl is combined with Epinephrine.]
[R03BA07, mometasone, The risk or severity of hypokalemia can be increased when Mometasone is combined with Epinephrine.]
[A03AA05, trimebutine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Trimebutine.]
[R06AD01, trimeprazine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Alimemazine.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Epinephrine.]
[C02BA01, trimethaphan, Epinephrine may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The serum concentration of Epinephrine can be increased when it is combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Epinephrine.]
[R06AC04, tripelennamine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Tripelennamine.]
[R06AX07, triprolidine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Triprolidine.]
[A03BB01, butylscopolamine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of hypertension can be increased when Epinephrine is combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, Epinephrine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Epinephrine.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Epinephrine.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Epinephrine.]
[R03AC18, indacaterol, The risk or severity of adverse effects can be increased when Epinephrine is combined with Indacaterol.]
[C08DA01, verapamil, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Verapamil.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Epinephrine.]
[C04AX07, vincamine, Epinephrine may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Epinephrine.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Epinephrine.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Epinephrine.]
[N01AX15, xenon, Xenon may increase the arrhythmogenic activities of Epinephrine.]
[C03BA10, xipamide, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Xipamide.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Epinephrine.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Zuclopenthixol.]
[J05AE02, indinavir, The risk or severity of adverse effects can be increased when Indinavir is combined with Epinephrine.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Epinephrine.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Epinephrine.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Epinephrine.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Epinephrine.]
[N05AE04, ziprasidone, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Epinephrine.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Epinephrine.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Epinephrine.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Epinephrine.]
[C07AB03, atenolol, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Atenolol.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Epinephrine.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Atropine is combined with Epinephrine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Epinephrine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Epinephrine.]
[H02AB11, prednylidene, The risk or severity of hypokalemia can be increased when Prednylidene is combined with Epinephrine.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Epinephrine.]
[G04BD12, mirabegron, The risk or severity of hypertension can be increased when Epinephrine is combined with Mirabegron.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Epinephrine.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Epinephrine.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Epinephrine is combined with Octopamine.]
[H02AA01, aldosterone, The risk or severity of hypokalemia can be increased when Aldosterone is combined with Epinephrine.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Epinephrine.]
[C01AA01, acetyldigitoxin, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Acetyldigitoxin.]
[J05AE04, nelfinavir, The risk or severity of adverse effects can be increased when Nelfinavir is combined with Epinephrine.]
[N04BD02, rasagiline, Rasagiline may increase the hypertensive activities of Epinephrine.]
[C08CA13, lercanidipine, Epinephrine may decrease the antihypertensive activities of Lercanidipine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Epinephrine.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Epinephrine.]
[N02CC03, zolmitriptan, The risk or severity of hypertension can be increased when Zolmitriptan is combined with Epinephrine.]
[R06AC06, thonzylamine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Thonzylamine.]
[G04BD10, darifenacin, The risk or severity of Tachycardia can be increased when Darifenacin is combined with Epinephrine.]
[N01AA01, ethyl ether, Diethyl ether may increase the arrhythmogenic activities of Epinephrine.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Epinephrine.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Epinephrine.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Epinephrine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Epinephrine.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Epinephrine.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Epinephrine.]
[C03AA01, bendroflumethiazide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Bendroflumethiazide.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Epinephrine.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Epinephrine.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Epinephrine is combined with Benorilate.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Epinephrine.]
[H03AA04, tiratricol, The risk or severity of adverse effects can be increased when Epinephrine is combined with Tiratricol.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Epinephrine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Epinephrine.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Epinephrine.]
[N02CC02, naratriptan, The risk or severity of hypertension can be increased when Epinephrine is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Epinephrine.]
[N04AC01, benztropine, The risk or severity of Tachycardia can be increased when Benzatropine is combined with Epinephrine.]
[L01EC02, dabrafenib, The metabolism of Dabrafenib can be decreased when combined with Epinephrine.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Epinephrine is combined with Benzydamine.]
[H05AA03, parathyroid hormone, The risk or severity of adverse effects can be increased when Epinephrine is combined with Parathyroid hormone.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the tachycardic activities of Epinephrine.]
[J05AJ03, dolutegravir, The serum concentration of Epinephrine can be increased when it is combined with Dolutegravir.]
[C08EA02, bepridil, Epinephrine may decrease the antihypertensive activities of Bepridil.]
[C02KX05, riociguat, Epinephrine may decrease the antihypertensive activities of Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Epinephrine.]
[C02KX04, macitentan, Epinephrine may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Epinephrine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Epinephrine.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Epinephrine.]
[C01CA27, droxidopa, The therapeutic efficacy of Epinephrine can be increased when used in combination with Droxidopa.]
[C07AB04, acebutolol, The therapeutic efficacy of Acebutolol can be increased when used in combination with Epinephrine.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Epinephrine.]
[N07CA01, betahistine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Betahistine.]
[S03BA03, betamethasone, The risk or severity of hypokalemia can be increased when Betamethasone is combined with Epinephrine.]
[S01ED02, betaxolol, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Betaxolol.]
[C02CC01, bethanidine, Epinephrine may decrease the antihypertensive activities of Bethanidine.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Epinephrine.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Epinephrine.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Epinephrine.]
[A03BA03, hyoscyamine, The risk or severity of Tachycardia can be increased when Hyoscyamine is combined with Epinephrine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Epinephrine.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Epinephrine.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Epinephrine.]
[R03AC19, olodaterol, The risk or severity of adverse effects can be increased when Epinephrine is combined with Olodaterol.]
[D11AA01, glycopyrronium, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Glycopyrronium.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Epinephrine.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Epinephrine.]
[N05AA04, acepromazine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Acepromazine.]
[V04CX03, methacholine, Epinephrine may decrease effectiveness of Methacholine as a diagnostic agent.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Epinephrine.]
[N04AA02, biperiden, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Epinephrine.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Epinephrine.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Epinephrine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Epinephrine.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Epinephrine.]
[N06AX11, mirtazapine, Mirtazapine may decrease the antihypertensive activities of Epinephrine.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Epinephrine.]
[L01EX08, lenvatinib, The serum concentration of Epinephrine can be increased when it is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Epinephrine.]
[A03AA09, difemerine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Difemerine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Epinephrine.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Brexpiprazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Epinephrine.]
[G02CX02, flibanserin, The risk or severity of hypertension can be increased when Epinephrine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of hypertension can be increased when Epinephrine is combined with Cariprazine.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Epinephrine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Epinephrine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Epinephrine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Acetazolamide.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Epinephrine.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Epinephrine.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Epinephrine.]
[J02AC05, isavuconazole, The serum concentration of Epinephrine can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Epinephrine.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be decreased when combined with Epinephrine.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Epinephrine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Epinephrine.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Epinephrine.]
[B01AC27, selexipag, Epinephrine may decrease the antihypertensive activities of Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Epinephrine.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Epinephrine.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Epinephrine.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Epinephrine is combined with Alminoprofen.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Epinephrine.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Epinephrine.]
[N04BC01, bromocriptine, Bromocriptine may increase the hypertensive and vasoconstricting activities of Epinephrine.]
[R06AB01, brompheniramine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Dexbrompheniramine.]
[N06AA19, amineptin, Amineptine may increase the vasopressor activities of Epinephrine.]
[C08CA01, amlodipine, Epinephrine may decrease the antihypertensive activities of Amlodipine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Epinephrine.]
[C03CA02, bumetanide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Bumetanide.]
[C07AA19, bupranolol, Bupranolol may decrease the bronchodilatory activities of Epinephrine.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Epinephrine.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Buspirone is combined with Epinephrine.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Epinephrine.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Epinephrine.]
[R06AX09, azatadine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Azatadine.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Epinephrine.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Epinephrine.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Epinephrine.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Epinephrine is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of adverse effects can be increased when Epinephrine is combined with Bambuterol.]
[R03DA08, bamifylline, The risk or severity of adverse effects can be increased when Epinephrine is combined with Bamifylline.]
[N06BC01, caffeine, The risk or severity of adverse effects can be increased when Epinephrine is combined with Caffeine.]
[C09AA07, benazepril, Epinephrine may decrease the antihypertensive activities of Benazepril.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Epinephrine.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Epinephrine.]
[H03BA03, benzylthiouracil, The risk or severity of adverse effects can be increased when Epinephrine is combined with Benzylthiouracil.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Epinephrine.]
[H05AA04, abaloparatide, The risk or severity of adverse effects can be increased when Epinephrine is combined with Abaloparatide.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Epinephrine.]
[N04BD03, safinamide, Safinamide may increase the hypertensive activities of Epinephrine.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Epinephrine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Epinephrine.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Epinephrine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Epinephrine.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Epinephrine.]
[C07AB07, bisoprolol, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of adverse effects can be increased when Epinephrine is combined with Bitolterol.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Epinephrine.]
[C07AA17, bopindolol, Bopindolol may decrease the bronchodilatory activities of Epinephrine.]
[N04AA11, bornaprine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Bornaprine.]
[C03DA03, canrenone, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Canrenone.]
[R03BA02, budesonide, The risk or severity of hypokalemia can be increased when Budesonide is combined with Epinephrine.]
[C04AX20, buflomedil, Buflomedil may decrease the hypertensive activities of Epinephrine.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Epinephrine is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Epinephrine.]
[N06AA15, butriptyline, Butriptyline may increase the vasopressor activities of Epinephrine.]
[C01AA02, acetyldigoxins, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Epinephrine.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Epinephrine.]
[R06AX18, acrivastine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Acrivastine.]
[C09AA01, captopril, Epinephrine may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, The serum concentration of Epinephrine can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Epinephrine.]
[A03AA03, camylofine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Camylofin.]
[H03BB01, carbimazole, The risk or severity of adverse effects can be increased when Epinephrine is combined with Carbimazole.]
[R06AA08, carbinoxamine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Carbinoxamine.]
[C07AG02, carvedilol, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Epinephrine.]
[C07AB08, celiprolol, The therapeutic efficacy of Celiprolol can be increased when used in combination with Epinephrine.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Epinephrine.]
[P01BA07, tafenoquine, The serum concentration of Epinephrine can be increased when it is combined with Tafenoquine.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Epinephrine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Epinephrine.]
[S01GX12, cetirizine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Cetirizine.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Epinephrine.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Epinephrine is combined with Chloroprocaine.]
[R06AC03, chloropyramine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Chloropyramine.]
[R06AA06, chlorphenoxamine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Chlorphenoxamine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Epinephrine.]
[R03DA02, oxtriphylline, The risk or severity of adverse effects can be increased when Epinephrine is combined with Oxtriphylline.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Epinephrine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Epinephrine.]
[C09AA08, cilazapril, Epinephrine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Epinephrine.]
[A03FA08, cinitapride, The risk or severity of hypertension can be increased when Epinephrine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Epinephrine.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Epinephrine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Epinephrine.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Epinephrine.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Epinephrine.]
[H02AB14, cloprednol, The risk or severity of hypokalemia can be increased when Cloprednol is combined with Epinephrine.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Epinephrine.]
[H02AB17, cortivazol, The risk or severity of hypokalemia can be increased when Cortivazol is combined with Epinephrine.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Epinephrine.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Epinephrine.]
[C03BX03, cicletanine, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Cicletanine.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Epinephrine.]
[N07XX11, pitolisant, The risk or severity of adverse effects can be increased when Pitolisant is combined with Epinephrine.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Epinephrine.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be decreased when combined with Epinephrine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Epinephrine.]
[C03AA09, cyclothiazide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the hypertensive activities of Epinephrine.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Epinephrine.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Epinephrine.]
[H02AB13, deflazacort, The risk or severity of hypokalemia can be increased when Deflazacort is combined with Epinephrine.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Epinephrine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Epinephrine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Epinephrine.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Epinephrine.]
[R06AB06, dexbrompheniramine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Dexbrompheniramine.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Dexchlorpheniramine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Epinephrine.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Epinephrine.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Epinephrine.]
[N02CC07, frovatriptan, The risk or severity of hypertension can be increased when Epinephrine is combined with Frovatriptan.]
[G04CB02, dutasteride, Dutasteride may decrease the hypertensive activities of Epinephrine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Epinephrine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Epinephrine.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Epinephrine.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Epinephrine.]
