[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Nelarabine.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Nelarabine.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Nelarabine is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Nelarabine.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Nelarabine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Nelarabine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Nelarabine.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Nelarabine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Nelarabine.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Carfilzomib.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Nelarabine is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Nelarabine.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Nelarabine is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Nelarabine is combined with Aldosterone.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Bendamustine.]
[L04AA29, tofacitinib, Nelarabine may increase the immunosuppressive activities of Tofacitinib.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ponatinib.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Apixaban is combined with Nelarabine.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Nelarabine.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Nelarabine is combined with Pomalidomide.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Nelarabine is combined with Dimethyl fumarate.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Benzocaine.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Nelarabine is combined with Everolimus.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Benzyl alcohol.]
[L03AA14, lipegfilgrastim, Nelarabine may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ibrutinib.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Nelarabine is combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Nelarabine.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Nelarabine.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Siltuximab.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Vorapaxar is combined with Nelarabine.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Acenocoumarol is combined with Nelarabine.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Nelarabine is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Idelalisib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Nelarabine is combined with Peginterferon beta-1a.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Nelarabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Nelarabine is combined with Pirfenidone.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Blinatumomab.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Nelarabine.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Nelarabine.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Nelarabine is combined with Panobinostat.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Nelarabine.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Nelarabine.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Nelarabine.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Nelarabine is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Mepolizumab.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ixekizumab.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Bupivacaine.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Nelarabine.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Nelarabine.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Brodalumab.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Nelarabine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Oxybuprocaine.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Nelarabine.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Nelarabine.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Nelarabine.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Sarilumab.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Nelarabine.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Nelarabine.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Nelarabine is combined with Vorinostat.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Nelarabine.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Nelarabine.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Nelarabine.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Nelarabine.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Nelarabine.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Capsaicin.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Nelarabine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Nelarabine.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Baricitinib.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Chloroprocaine.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Nelarabine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Nelarabine.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Cilostazol is combined with Nelarabine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Nelarabine is combined with Siponimod.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Nelarabine is combined with Cloprednol.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Nelarabine.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Nelarabine is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Risankizumab.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Upadacitinib.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Nelarabine.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Nelarabine is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Nelarabine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Trastuzumab emtansine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Nelarabine is combined with Diroximel fumarate.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Teprotumumab.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ozanimod.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Nelarabine.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Nelarabine.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Nelarabine.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Nelarabine is combined with Fluprednidene.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Nelarabine.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Nelarabine is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Nelarabine is combined with Stepronin.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Satralizumab.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Nelarabine.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Nelarabine.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Nelarabine is combined with Voclosporin.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Nelarabine.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ponesimod.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Nelarabine.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Nelarabine.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Nelarabine is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Nelarabine is combined with Belumosudil.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Anifrolumab.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ropeginterferon alfa-2b.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Nelarabine.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Levobupivacaine.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Deucravacitinib.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Nelarabine is combined with Clozapine.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Cocaine.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Bimekizumab.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Nelarabine is combined with Leflunomide.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Antilymphocyte immunoglobulin (horse).]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Nelarabine.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Nelarabine.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Nelarabine.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Nelarabine.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Nelarabine.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Nelarabine is combined with Meprednisone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Nelarabine.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Nelarabine.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Nelarabine.]
[S01XA18, cyclosporine, Nelarabine may increase the immunosuppressive activities of Cyclosporine.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Nelarabine.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Nelarabine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Nelarabine.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Nelarabine.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Nelarabine.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Nelarabine.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Nelarabine.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Nelarabine.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Dexamethasone is combined with Nelarabine.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Nelarabine.]
[B01AC04, clopidogrel, The risk or severity of bleeding can be increased when Clopidogrel is combined with Nelarabine.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Cinchocaine.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ixabepilone.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Nelarabine is combined with Pirarubicin.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Nelarabine is combined with Difluocortolone.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Nelarabine.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Nelarabine.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Pramocaine.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Nelarabine.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Nelarabine.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Nelarabine.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Natalizumab.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Nelarabine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Ropivacaine.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Sunitinib is combined with Nelarabine.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Nelarabine.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Doxorubicin is combined with Nelarabine.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Nelarabine is combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Nelarabine.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Nelarabine.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Nelarabine.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Nelarabine is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Nelarabine.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Nelarabine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Nelarabine.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Nelarabine.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Nelarabine.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Nelarabine.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Nelarabine.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Nelarabine is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Nelarabine is combined with Fluticasone.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Nelarabine.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Nelarabine.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Nelarabine.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Nelarabine.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Nelarabine.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Nelarabine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Nelarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Nelarabine.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Nelarabine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Nelarabine.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Nelarabine.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Nelarabine is combined with Fluocortolone.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Nelarabine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Nelarabine.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Nelarabine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Nelarabine.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Dasatinib is combined with Nelarabine.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Sorafenib is combined with Nelarabine.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Nelarabine.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Nelarabine.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Nelarabine.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Nelarabine.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Nelarabine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Nelarabine.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Nelarabine.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Nelarabine.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Nelarabine.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Nelarabine.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Nelarabine.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Nelarabine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Paclitaxel is combined with Nelarabine.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Nelarabine is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Nelarabine.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Nelarabine.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Nelarabine.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Nelarabine.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Nelarabine.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Articaine.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Nelarabine.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Nelarabine.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Nelarabine.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Nelarabine.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Nelarabine.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Nelarabine is combined with Abatacept.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Nelarabine.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Lidocaine.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Nelarabine.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Nelarabine is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Nelarabine is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Nilotinib.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Nelarabine.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Nelarabine.]
