[S02DA03, antipyrine, The protein binding of Glimepiride can be decreased when combined with Antipyrine.]
[V04CJ01, thyrotropin, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Thyrotropin.]
[V04CJ02, thyrotropin-releasing hormone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Protirelin.]
[B01AC05, ticlopidine, The metabolism of Glimepiride can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Timolol.]
[P01AB02, tinidazole, Glimepiride may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Tolazamide.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Tolbutamide.]
[M02AA21, tolmetin, The protein binding of Glimepiride can be decreased when combined with Tolmetin.]
[N06AF04, tranylcypromine, The metabolism of Glimepiride can be decreased when combined with Tranylcypromine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Glimepiride.]
[S01BA05, triamcinolone, The risk or severity of hyperglycemia can be increased when Triamcinolone is combined with Glimepiride.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Trichlormethiazide.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Trifluoperazine.]
[N05AA05, triflupromazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Triflupromazine.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Glimepiride.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Glimepiride.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Glimepiride.]
[R03BA07, mometasone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Glimepiride.]
[A03AA05, trimebutine, The risk or severity of hypoglycemia can be increased when Trimebutine is combined with Glimepiride.]
[R06AD01, trimeprazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of hypoglycemia can be increased when Trimethadione is combined with Glimepiride.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Glimepiride.]
[N06AA06, trimipramine, Trimipramine may decrease the hypoglycemic activities of Glimepiride.]
[D05BA01, trioxsalen, The therapeutic efficacy of Glimepiride can be increased when used in combination with Trioxsalen.]
[A10BH05, linagliptin, Linagliptin may increase the hypoglycemic activities of Glimepiride.]
[J05AG05, rilpivirine, The metabolism of Glimepiride can be decreased when combined with Rilpivirine.]
[B01AC24, ticagrelor, The metabolism of Glimepiride can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The risk or severity of hypoglycemia can be increased when Verapamil is combined with Glimepiride.]
[L01CA01, vinblastine, Vinblastine may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[L01CA02, vincristine, Glimepiride may decrease the excretion rate of Vincristine which could result in a higher serum level.]
[B01AA03, warfarin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Warfarin.]
[C03BA10, xipamide, The therapeutic efficacy of Glimepiride can be increased when used in combination with Xipamide.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Glimepiride.]
[J05AE02, indinavir, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Indinavir.]
[L01EC01, vemurafenib, The therapeutic efficacy of Glimepiride can be increased when used in combination with Vemurafenib.]
[R03DC01, zafirlukast, The metabolism of Glimepiride can be decreased when combined with Zafirlukast.]
[J01MA13, trovafloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Trovafloxacin.]
[N05AE04, ziprasidone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Drospirenone.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Glimepiride.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Glimepiride.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Glimepiride.]
[C07AB03, atenolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Atenolol.]
[J02AC03, voriconazole, The serum concentration of Glimepiride can be increased when it is combined with Voriconazole.]
[S01FA01, atropine, Glimepiride may decrease the excretion rate of Atropine which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Glimepiride.]
[H02AB11, prednylidene, The risk or severity of hyperglycemia can be increased when Prednylidene is combined with Glimepiride.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Glimepiride.]
[M03BX01, baclofen, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Baclofen.]
[L02BB04, enzalutamide, The serum concentration of Glimepiride can be decreased when it is combined with Enzalutamide.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Glimepiride.]
[L01EX05, regorafenib, The metabolism of Glimepiride can be decreased when combined with Regorafenib.]
[J05AE04, nelfinavir, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Nelfinavir.]
[N04BD02, rasagiline, Rasagiline may increase the hypoglycemic activities of Glimepiride.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Glimepiride.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Glimepiride.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Glimepiride.]
[H01CB05, pasireotide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Glimepiride can be decreased when combined with Sildenafil.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Glimepiride.]
[C04AX11, bencyclane, The risk or severity of hypoglycemia can be increased when Bencyclane is combined with Glimepiride.]
[A10BH04, alogliptin, Alogliptin may increase the hypoglycemic activities of Glimepiride.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Bendroflumethiazide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Glimepiride.]
[N02BA10, benorilate, The protein binding of Glimepiride can be decreased when combined with Benorilate.]
[A10BK02, canagliflozin, Canagliflozin may increase the hypoglycemic activities of Glimepiride.]
[J01MA15, gemifloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Gemifloxacin.]
[M04AB03, benzbromarone, Glimepiride may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[S01AE07, moxifloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Moxifloxacin.]
[H03AA04, tiratricol, Tiratricol may decrease the hypoglycemic activities of Glimepiride.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Insulin detemir.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Pramlintide.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Glimepiride resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA18, everolimus, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Everolimus.]
[L01EC02, dabrafenib, The serum concentration of Glimepiride can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The protein binding of Glimepiride can be decreased when combined with Benzydamine.]
[H05AA03, parathyroid hormone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Parathyroid hormone.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Levomilnacipran is combined with Glimepiride.]
[C08EA02, bepridil, The risk or severity of hypoglycemia can be increased when Bepridil is combined with Glimepiride.]
[A10BJ03, lixisenatide, Lixisenatide may increase the hypoglycemic activities of Glimepiride.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Glimepiride.]
[G03AC08, etonogestrel, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Etonogestrel.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the hypoglycemic activities of Glimepiride.]
[C07AB04, acebutolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Acebutolol.]
[A16AA07, metreleptin, Metreleptin may increase the hypoglycemic activities of Glimepiride.]
[L04AA32, apremilast, The metabolism of Glimepiride can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of hyperglycemia can be increased when Betamethasone is combined with Glimepiride.]
[S01ED02, betaxolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Betaxolol.]
[C10AB02, bezafibrate, The risk or severity of hypoglycemia can be increased when Bezafibrate is combined with Glimepiride.]
[A10BJ04, albiglutide, Albiglutide may increase the hypoglycemic activities of Glimepiride.]
[L04AC11, siltuximab, The metabolism of Glimepiride can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Ceritinib.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Acenocoumarol.]
[A10BK03, empagliflozin, Empagliflozin may increase the hypoglycemic activities of Glimepiride.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Glimepiride.]
[J01XA05, oritavancin, The metabolism of Glimepiride can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Acepromazine.]
[A10BJ05, dulaglutide, Dulaglutide may increase the hypoglycemic activities of Glimepiride.]
[D05BA03, 5-methoxypsoralen, The therapeutic efficacy of Glimepiride can be increased when used in combination with Bergapten.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Glimepiride.]
[B01AA01, dicumarol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Dicoumarol.]
[L04AC10, secukinumab, The metabolism of Glimepiride can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[B01AA11, tioclomarol, Glimepiride may increase the anticoagulant activities of Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Glimepiride.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Brexpiprazole.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Acarbose.]
[M02AA25, aceclofenac, The protein binding of Glimepiride can be decreased when combined with Aceclofenac.]
[M01AB11, acemetacin, The protein binding of Glimepiride can be decreased when combined with Acemetacin.]
[S01EC01, acetazolamide, The therapeutic efficacy of Glimepiride can be increased when used in combination with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Insulin degludec.]
[N05AB07, acetophenazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Glimepiride.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Glimepiride.]
[J02AC05, isavuconazole, The metabolism of Glimepiride can be decreased when combined with Isavuconazole.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Glimepiride.]
[M01AE16, alminoprofen, The protein binding of Glimepiride can be decreased when combined with Alminoprofen.]
[N02BA02, aloxiprin, Aloxiprin may increase the hypoglycemic activities of Glimepiride.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Glimepiride.]
[N04BC01, bromocriptine, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Bromocriptine.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Glimepiride.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Glimepiride.]
[C08CA01, amlodipine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Glimepiride.]
[C03CA02, bumetanide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Bumetanide.]
[C07AA19, bupranolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Glimepiride.]
[L02AE01, buserelin, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Buserelin.]
[L01XX27, arsenic trioxide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Glimepiride.]
[J01MA09, sparfloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Sparfloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Glimepiride.]
[L01XK03, rucaparib, The metabolism of Glimepiride can be decreased when combined with Rucaparib.]
[A07EC04, balsalazide, Balsalazide may increase the hypoglycemic activities of Glimepiride.]
[N02BF02, pregabalin, The risk or severity of hypoglycemia can be increased when Pregabalin is combined with Glimepiride.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Glimepiride.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Benfluorex.]
[J01XX08, linezolid, Linezolid may increase the hypoglycemic activities of Glimepiride.]
[J05AE09, tipranavir, Tipranavir may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[H03BA03, benzylthiouracil, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Benzylthiouracil.]
[L04AB02, infliximab, The metabolism of Glimepiride can be increased when combined with Infliximab.]
[H05AA04, abaloparatide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Abaloparatide.]
[N04BD03, safinamide, Safinamide may increase the hypoglycemic activities of Glimepiride.]
[J01MA23, delafloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Delafloxacin.]
[L01BC06, capecitabine, The metabolism of Glimepiride can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Glimepiride can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Glimepiride can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Bopindolol.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Glimepiride.]
[M01AB07, bumadizone, The protein binding of Glimepiride can be decreased when combined with Bumadizone.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[N06AA15, butriptyline, Butriptyline may decrease the hypoglycemic activities of Glimepiride.]
[A10BJ06, semaglutide, Semaglutide may increase the hypoglycemic activities of Glimepiride.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Ertugliflozin.]
[L02BB05, apalutamide, The metabolism of Glimepiride can be increased when combined with Apalutamide.]
[H03BB01, carbimazole, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Carbimazole.]
[R05CB03, carbocysteine, The risk or severity of adverse effects can be increased when Glimepiride is combined with Carbocisteine.]
[C07AG02, carvedilol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Glimepiride can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Glimepiride can be increased when combined with Avatrombopag.]
[C07AB08, celiprolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Glimepiride can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Glimepiride can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Glimepiride.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Carbutamide.]
[M01AC05, lornoxicam, The protein binding of Glimepiride can be decreased when combined with Lornoxicam.]
[L04AA39, emapalumab, The metabolism of Glimepiride can be increased when combined with Emapalumab.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Glimepiride.]
[C10AB08, ciprofibrate, The risk or severity of hypoglycemia can be increased when Ciprofibrate is combined with Glimepiride.]
[P02BX04, triclabendazole, The metabolism of Glimepiride can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Glimepiride.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Glimepiride.]
[J01FA09, clarithromycin, The serum concentration of Glimepiride can be increased when it is combined with Clarithromycin.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Glimepiride.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Glimepiride.]
[H02AB14, cloprednol, The risk or severity of hyperglycemia can be increased when Cloprednol is combined with Glimepiride.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Glimepiride.]
[C09CA06, candesartan, The metabolism of Glimepiride can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Glimepiride can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of hyperglycemia can be increased when Cortivazol is combined with Glimepiride.]
[L01EM03, alpelisib, The serum concentration of Glimepiride can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Glimepiride may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[N05AA06, cyamemazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Cyamemazine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Glimepiride.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Insulin pork.]
[H02AB13, deflazacort, The risk or severity of hyperglycemia can be increased when Deflazacort is combined with Glimepiride.]
[G03DB05, demegestone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Demegestone.]
[G03AC09, desogestrel, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Glimepiride.]
[L01EX18, avapritinib, The metabolism of Glimepiride can be decreased when combined with Avapritinib.]
[L04AA53, teprotumumab, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Glimepiride can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Gatifloxacin.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Glimepiride.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Glimepiride.]
[G03DB08, dienogest, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Dienogest.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Glimepiride.]
[N02CC06, eletriptan, The metabolism of Glimepiride can be decreased when combined with Eletriptan.]
[M01AH02, rofecoxib, The protein binding of Glimepiride can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Glimepiride.]
[C08CA16, clevidipine, The metabolism of Glimepiride can be decreased when combined with Clevidipine.]
[S03AA08, chloramphenicol, The metabolism of Glimepiride can be decreased when combined with Chloramphenicol.]
[D07XB03, fluprednidene, The risk or severity of hyperglycemia can be increased when Fluprednidene is combined with Glimepiride.]
[M01AC04, droxicam, The protein binding of Glimepiride can be decreased when combined with Droxicam.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Glimepiride.]
[M02AA27, dexketoprofen, The protein binding of Glimepiride can be decreased when combined with Dexketoprofen.]
[C08CA17, levamlodipine, The risk or severity of hypoglycemia can be increased when Levamlodipine is combined with Glimepiride.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Glimepiride.]
[L01FX15, belantamab mafodotin, Glimepiride may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Glimepiride can be decreased when it is combined with Satralizumab.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Chlorothiazide.]
[G03CA06, chlorotrianisene, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Chlorotrianisene.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Chlorpropamide.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Chlorthalidone.]
[N02BA07, ethenzamide, The protein binding of Glimepiride can be decreased when combined with Ethenzamide.]
[N02BA03, choline salicylate, Choline salicylate may increase the hypoglycemic activities of Glimepiride.]
[N06BX18, vinpocetine, The risk or severity of hypoglycemia can be increased when Vinpocetine is combined with Glimepiride.]
[G03DC06, ethynodiol, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Etynodiol.]
[M01AB08, etodolac, The protein binding of Glimepiride can be decreased when combined with Etodolac.]
[M02AA06, etofenamate, The protein binding of Glimepiride can be decreased when combined with Etofenamate.]
[C10AB09, etofibrate, The risk or severity of hypoglycemia can be increased when Etofibrate is combined with Glimepiride.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Glimepiride.]
[L01EX21, tepotinib, The metabolism of Glimepiride can be decreased when combined with Tepotinib.]
[N03AX10, felbamate, The metabolism of Glimepiride can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, The protein binding of Glimepiride can be decreased when combined with Fenbufen.]
[C01DX05, chromonar, The therapeutic efficacy of Glimepiride can be increased when used in combination with Carbocromen.]
[J01MB07, flumequine, The therapeutic efficacy of Glimepiride can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Glimepiride.]
[S01JA01, fluorescein, Glimepiride may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Glimepiride.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Insulin human.]
[L03AB10, peginterferon alfa-2b, The metabolism of Glimepiride can be increased when combined with Peginterferon alfa-2b.]
[G03GA06, follitropin beta, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Follitropin.]
[A02BA01, cimetidine, The serum concentration of Glimepiride can be increased when it is combined with Cimetidine.]
[N07CA02, cinnarizine, The risk or severity of hypoglycemia can be increased when Cinnarizine is combined with Glimepiride.]
[J01MB06, cinoxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Cinoxacin.]
[S03AA07, ciprofloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of hypoglycemia can be increased when Citalopram is combined with Glimepiride.]
[H01AC07, somapacitan, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Somapacitan.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Lonapegsomatropin.]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[J01MB04, pipemidic acid, The therapeutic efficacy of Glimepiride can be increased when used in combination with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Glimepiride.]
[M01AG01, mefenamic acid, The protein binding of Glimepiride can be decreased when combined with Mefenamic acid.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Gliquidone.]
[N06AX25, St. John's wort extract, The therapeutic efficacy of Glimepiride can be decreased when used in combination with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Glimepiride can be decreased when combined with Asciminib.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Glimepiride.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Glimepiride.]
[C10AB01, clofibrate, The risk or severity of hypoglycemia can be increased when Clofibrate is combined with Glimepiride.]
[B06AX04, mitapivat, The therapeutic efficacy of Glimepiride can be increased when used in combination with Mitapivat.]
