[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Imatinib.]
[P02CA02, thiabendazole, The metabolism of Imatinib can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Imatinib is combined with Eribulin.]
[L01AC01, thiotepa, The serum concentration of Thiotepa can be increased when it is combined with Imatinib.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Imatinib.]
[N05CA19, thiopental, The metabolism of Imatinib can be decreased when combined with Thiopental.]
[N05AC02, thioridazine, The serum concentration of Thioridazine can be increased when it is combined with Imatinib.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Imatinib.]
[C01BB04, aprindine, The serum concentration of Aprindine can be increased when it is combined with Imatinib.]
[V04CJ01, thyrotropin, The therapeutic efficacy of Thyrotropin can be decreased when used in combination with Imatinib.]
[V04CJ02, thyrotropin-releasing hormone, The therapeutic efficacy of Protirelin can be decreased when used in combination with Imatinib.]
[B01AC05, ticlopidine, The serum concentration of Ticlopidine can be increased when it is combined with Imatinib.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Imatinib.]
[P01AB02, tinidazole, Imatinib may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Imatinib.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Imatinib.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Imatinib.]
[N06AF04, tranylcypromine, The metabolism of Imatinib can be decreased when combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Imatinib.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Imatinib.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Imatinib is combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Imatinib is combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Imatinib can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The serum concentration of Triazolam can be increased when it is combined with Imatinib.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Imatinib.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Imatinib.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Imatinib.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Imatinib is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Imatinib is combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Trimebutine is combined with Imatinib.]
[S01ED04, metipranolol, The serum concentration of Metipranolol can be increased when it is combined with Imatinib.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Imatinib.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Imatinib.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Imatinib.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Imatinib.]
[R06AC04, tripelennamine, The metabolism of Imatinib can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Imatinib.]
[J01FA08, troleandomycin, The serum concentration of Imatinib can be increased when it is combined with Troleandomycin.]
[N06AX24, vilazodone, The serum concentration of Vilazodone can be increased when it is combined with Imatinib.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Imatinib.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Belimumab.]
[L01EX04, vandetanib, The serum concentration of Vandetanib can be increased when it is combined with Imatinib.]
[L02BX03, abiraterone, The serum concentration of Imatinib can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Imatinib can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The serum concentration of Imatinib can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Imatinib can be increased when it is combined with Telaprevir.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Imatinib.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Imatinib.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Imatinib is combined with Belatacept.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Imatinib.]
[B01AF01, rivaroxaban, Imatinib may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Imatinib.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Imatinib.]
[C08DA01, verapamil, The metabolism of Imatinib can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Imatinib can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Imatinib.]
[L01CA02, vincristine, The serum concentration of Vincristine can be increased when it is combined with Imatinib.]
[L01CA03, vindesine, The serum concentration of Vindesine can be increased when it is combined with Imatinib.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Imatinib.]
[B01AA03, warfarin, Imatinib may increase the anticoagulant activities of Warfarin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Imatinib.]
[N05AF05, zuclopenthixol, The serum concentration of Zuclopenthixol can be increased when it is combined with Imatinib.]
[J05AE02, indinavir, The serum concentration of Imatinib can be increased when it is combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Imatinib can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Imatinib.]
[L01ED01, crizotinib, The serum concentration of Crizotinib can be increased when it is combined with Imatinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Imatinib.]
[R03DC01, zafirlukast, The metabolism of Imatinib can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Imatinib.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Trovafloxacin.]
[L01XX02, asparaginase, The risk or severity of liver damage can be increased when Asparaginase Escherichia coli is combined with Imatinib.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Imatinib.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Imatinib.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Imatinib.]
[L01EJ01, ruxolitinib, The serum concentration of Ruxolitinib can be increased when it is combined with Imatinib.]
[G04BD07, tolterodine, The serum concentration of Tolterodine can be increased when it is combined with Imatinib.]
[C07AB03, atenolol, The serum concentration of Atenolol can be increased when it is combined with Imatinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Imatinib.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Imatinib.]
[J02AC03, voriconazole, The serum concentration of Imatinib can be increased when it is combined with Voriconazole.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Imatinib.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Imatinib.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Imatinib.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Imatinib.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Imatinib is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Imatinib.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Imatinib is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Imatinib is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Imatinib.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Imatinib.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Imatinib.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Imatinib.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Imatinib is combined with Pertuzumab.]
[A08AA11, lorcaserin, The serum concentration of Lorcaserin can be increased when it is combined with Imatinib.]
[G04BD12, mirabegron, The serum concentration of Imatinib can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Imatinib is combined with Carfilzomib.]
[V03AX03, cobicistat, The serum concentration of Imatinib can be increased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The serum concentration of Imatinib can be increased when it is combined with Elvitegravir.]
[L02BB04, enzalutamide, The metabolism of Imatinib can be increased when combined with Enzalutamide.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Imatinib.]
[L04AA31, teriflunomide, The serum concentration of Imatinib can be decreased when it is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Imatinib.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Imatinib is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Imatinib is combined with Aldosterone.]
[L01EX05, regorafenib, The serum concentration of Regorafenib can be increased when it is combined with Imatinib.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Imatinib.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Imatinib.]
[J05AE04, nelfinavir, The serum concentration of Imatinib can be increased when it is combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Imatinib is combined with Bendamustine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Imatinib.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be decreased when combined with Imatinib.]
[N06DA02, donepezil, The serum concentration of Donepezil can be increased when it is combined with Imatinib.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Imatinib.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Imatinib.]
[N02CC03, zolmitriptan, The metabolism of Imatinib can be decreased when combined with Zolmitriptan.]
[G04BD10, darifenacin, The serum concentration of Darifenacin can be increased when it is combined with Imatinib.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Imatinib.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Imatinib.]
[G04BE03, sildenafil, The serum concentration of Sildenafil can be increased when it is combined with Imatinib.]
[L01EA05, ponatinib, The serum concentration of Ponatinib can be increased when it is combined with Imatinib.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Imatinib.]
[C10AX12, lomitapide, The serum concentration of Lomitapide can be increased when it is combined with Imatinib.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Bedaquiline is combined with Imatinib.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Imatinib.]
[A10BH04, alogliptin, The serum concentration of Alogliptin can be increased when it is combined with Imatinib.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Imatinib can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Imatinib.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Imatinib.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Imatinib.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Imatinib is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Imatinib.]
[M04AB03, benzbromarone, Imatinib may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Imatinib.]
[A06AX06, tegaserod, The serum concentration of Tegaserod can be increased when it is combined with Imatinib.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Imatinib.]
[R02AD01, benzocaine, The serum concentration of Benzocaine can be increased when it is combined with Imatinib.]
[M01AH01, celecoxib, The serum concentration of Celecoxib can be increased when it is combined with Imatinib.]
[L04AA18, everolimus, The serum concentration of Everolimus can be increased when it is combined with Imatinib.]
[N04AC01, benztropine, The serum concentration of Benzatropine can be increased when it is combined with Imatinib.]
[L01EC02, dabrafenib, The serum concentration of Imatinib can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Imatinib can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The serum concentration of Benzyl alcohol can be increased when it is combined with Imatinib.]
[H05AA03, parathyroid hormone, The therapeutic efficacy of Parathyroid hormone can be decreased when used in combination with Imatinib.]
[L01EB03, afatinib, Imatinib may decrease the excretion rate of Afatinib which could result in a higher serum level.]
[N06AX28, levomilnacipran, The serum concentration of Levomilnacipran can be increased when it is combined with Imatinib.]
[J05AJ03, dolutegravir, Imatinib may decrease the excretion rate of Dolutegravir which could result in a higher serum level.]
[C08EA02, bepridil, The serum concentration of Bepridil can be increased when it is combined with Imatinib.]
[C02KX05, riociguat, Imatinib may decrease the excretion rate of Riociguat which could result in a higher serum level.]
[L03AA14, lipegfilgrastim, Imatinib may increase the myelosuppressive activities of Lipegfilgrastim.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Imatinib.]
[N06AX26, vortioxetine, The serum concentration of Vortioxetine can be increased when it is combined with Imatinib.]
[N03AF04, eslicarbazepine, The metabolism of Imatinib can be decreased when combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Imatinib can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[J05AP08, sofosbuvir, Imatinib may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The serum concentration of Dapagliflozin can be increased when it is combined with Imatinib.]
[C07AB04, acebutolol, The serum concentration of Acebutolol can be increased when it is combined with Imatinib.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Imatinib.]
[A16AA07, metreleptin, The metabolism of Imatinib can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Imatinib can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Imatinib.]
[S01ED02, betaxolol, The serum concentration of Betaxolol can be increased when it is combined with Imatinib.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Imatinib.]
[C10AB02, bezafibrate, The metabolism of Imatinib can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Imatinib can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Imatinib.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Imatinib.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Vedolizumab.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Imatinib.]
[B01AA07, acenocoumarol, Imatinib may increase the anticoagulant activities of Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Imatinib is combined with Belinostat.]
[L01EM01, idelalisib, The serum concentration of Idelalisib can be increased when it is combined with Imatinib.]
[N07XX08, tafamidis, The serum concentration of Imatinib can be increased when it is combined with Tafamidis.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Imatinib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Imatinib is combined with Peginterferon beta-1a.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Imatinib.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Imatinib.]
[J01XA05, oritavancin, The metabolism of Imatinib can be decreased when combined with Oritavancin.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Imatinib is combined with Decitabine.]
[N04AA02, biperiden, The metabolism of Imatinib can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The serum concentration of Pirfenidone can be increased when it is combined with Imatinib.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Imatinib.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Imatinib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Imatinib is combined with Blinatumomab.]
[J05AP09, dasabuvir, The serum concentration of Dasabuvir can be increased when it is combined with Imatinib.]
[L01XK01, olaparib, The serum concentration of Olaparib can be increased when it is combined with Imatinib.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Imatinib.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Imatinib.]
[N06AX11, mirtazapine, The serum concentration of Mirtazapine can be increased when it is combined with Imatinib.]
[L04AC10, secukinumab, The metabolism of Imatinib can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Palbociclib can be increased when it is combined with Imatinib.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Lenvatinib is combined with Imatinib.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be increased when it is combined with Imatinib.]
[J05AP07, daclatasvir, Daclatasvir may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Imatinib.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Imatinib.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Imatinib.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Ivabradine.]
[J05AP06, asunaprevir, The serum concentration of Asunaprevir can be increased when it is combined with Imatinib.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Imatinib.]
[N05AX16, brexpiprazole, The serum concentration of Brexpiprazole can be increased when it is combined with Imatinib.]
[L01XJ02, sonidegib, The serum concentration of Sonidegib can be increased when it is combined with Imatinib.]
[A04AD14, rolapitant, The metabolism of Imatinib can be decreased when combined with Rolapitant.]
[A02BC03, lansoprazole, Lansoprazole may increase the dermatologic adverse activities of Imatinib.]
[L01CX01, trabectedin, The serum concentration of Trabectedin can be increased when it is combined with Imatinib.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Imatinib can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Osimertinib can be increased when it is combined with Imatinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Imatinib.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Imatinib.]
[L01XG03, ixazomib, The serum concentration of Ixazomib can be increased when it is combined with Imatinib.]
[L01ED03, alectinib, The serum concentration of Alectinib can be increased when it is combined with Imatinib.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Imatinib.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Imatinib.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Imatinib.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Imatinib.]
[J05AP10, elbasvir, Elbasvir may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[J05AP11, grazoprevir, Grazoprevir may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Imatinib.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Ixekizumab.]
[L01XX52, venetoclax, The serum concentration of Venetoclax can be increased when it is combined with Imatinib.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Imatinib.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Imatinib.]
[C08CA01, amlodipine, The serum concentration of Amlodipine can be increased when it is combined with Imatinib.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Imatinib.]
[A05AA04, obeticholic acid, The metabolism of Imatinib can be decreased when combined with Obeticholic acid.]
[S01ED03, levobunolol, The serum concentration of Levobunolol can be increased when it is combined with Imatinib.]
[N01BB01, bupivacaine, The serum concentration of Bupivacaine can be increased when it is combined with Imatinib.]
[C07AA19, bupranolol, The serum concentration of Bupranolol can be increased when it is combined with Imatinib.]
[N07BC01, buprenorphine, The serum concentration of Buprenorphine can be increased when it is combined with Imatinib.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Imatinib.]
[N05BE01, buspirone, The serum concentration of Buspirone can be increased when it is combined with Imatinib.]
[L01AB01, busulfan, The serum concentration of Busulfan can be increased when it is combined with Imatinib.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Imatinib is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Artemether.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Imatinib.]
[S01GX07, azelastine, The serum concentration of Azelastine can be increased when it is combined with Imatinib.]
[L01XK03, rucaparib, The serum concentration of Rucaparib can be increased when it is combined with Imatinib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Imatinib.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Brodalumab.]
[L01EF02, ribociclib, The serum concentration of Imatinib can be increased when it is combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Imatinib.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Ocrelizumab.]
[N07XX16, deutetrabenazine, The serum concentration of Deutetrabenazine can be increased when it is combined with Imatinib.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Imatinib.]
[N06BC01, caffeine, The metabolism of Imatinib can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Oxybuprocaine.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Imatinib.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Imatinib.]
[J05AE09, tipranavir, The serum concentration of Imatinib can be increased when it is combined with Tipranavir.]
[H03BA03, benzylthiouracil, The therapeutic efficacy of Benzylthiouracil can be decreased when used in combination with Imatinib.]
[N07XX13, valbenazine, The serum concentration of Valbenazine can be increased when it is combined with Imatinib.]
[L04AB02, infliximab, The metabolism of Imatinib can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Imatinib can be increased when combined with Midostaurin.]
[H05AA04, abaloparatide, The therapeutic efficacy of Abaloparatide can be decreased when used in combination with Imatinib.]
[L01ED04, brigatinib, The serum concentration of Brigatinib can be increased when it is combined with Imatinib.]
[N04BD03, safinamide, Safinamide may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Sarilumab.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Imatinib.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Imatinib.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Guselkumab.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Imatinib.]
[L01XX59, enasidenib, The serum concentration of Enasidenib can be increased when it is combined with Imatinib.]
[L01EH02, neratinib, The serum concentration of Neratinib can be increased when it is combined with Imatinib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Imatinib is combined with Vorinostat.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Imatinib.]
