[P02BB01, trichlorfon, The therapeutic efficacy of Imipramine can be decreased when used in combination with Metrifonate.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L04AX02, thalidomide, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Imipramine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Imipramine.]
[P02CA02, thiabendazole, The metabolism of Imipramine can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Imipramine.]
[R06AD03, thiethylperazine, The serum concentration of Imipramine can be increased when it is combined with Thiethylperazine.]
[L01AC01, thiotepa, The metabolism of Imipramine can be decreased when combined with Thiotepa.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Imipramine.]
[N05AB08, thioproperazine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioproperazine.]
[N05AC02, thioridazine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioridazine.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Imipramine.]
[B02AB01, aprotinin, The therapeutic efficacy of Imipramine can be decreased when used in combination with Aprotinin.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Imipramine is combined with Moxisylyte.]
[V04CJ01, thyrotropin, The risk or severity of Cardiac Arrhythmia can be increased when Thyrotropin is combined with Imipramine.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Imipramine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Imipramine is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Imipramine.]
[P01AB02, tinidazole, Imipramine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Imipramine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Imipramine may decrease the hypoglycemic activities of Tolazamide.]
[M02AX02, tolazoline, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, Imipramine may decrease the hypoglycemic activities of Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Tolmetin.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Imipramine is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the serotonergic activities of Imipramine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Imipramine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Imipramine.]
[S01BA05, triamcinolone, The metabolism of Imipramine can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Imipramine.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Imipramine can be decreased when used in combination with Demecarium.]
[A16AX12, trientine, Imipramine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05AA05, triflupromazine, The serum concentration of Imipramine can be increased when it is combined with Triflupromazine.]
[N04AA01, trihexyphenidyl, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The serum concentration of Imipramine can be increased when it is combined with Alimemazine.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Imipramine.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Trimethaphan is combined with Imipramine.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[N06AA06, trimipramine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trimipramine.]
[R06AC04, tripelennamine, The metabolism of Imipramine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A03BB01, butylscopolamine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Imipramine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Imipramine.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Imipramine is combined with Tropicamide.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C09CA09, azilsartan medoxomil, Imipramine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Imipramine.]
[L01FX04, ipilimumab, Imipramine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, The therapeutic efficacy of Imipramine can be decreased when used in combination with Tyrothricin.]
[L01EX04, vandetanib, The serum concentration of Imipramine can be increased when it is combined with Vandetanib.]
[R02AA14, oxyquinoline, Imipramine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Imipramine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The serum concentration of Imipramine can be increased when it is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Imipramine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Imipramine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Imipramine can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Imipramine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[B01AF01, rivaroxaban, The serum concentration of Imipramine can be increased when it is combined with Rivaroxaban.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Imipramine.]
[B01AC24, ticagrelor, The serum concentration of Imipramine can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Verapamil.]
[N06AX09, viloxazine, The metabolism of Imipramine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Imipramine can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Imipramine may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Imipramine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Imipramine is combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Imipramine.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Imipramine is combined with Xenon.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Imipramine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01EC01, vemurafenib, The serum concentration of Imipramine can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[M05BA05, tiludronic acid, Imipramine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Imipramine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The serum concentration of Imipramine can be increased when it is combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Imipramine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Imipramine.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Imipramine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Imipramine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Imipramine may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Imipramine.]
[J01DH04, doripenem, Imipramine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Imipramine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Imipramine can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Imipramine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[S01FA01, atropine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Imipramine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Imipramine.]
[R07AX02, ivacaftor, The serum concentration of Imipramine can be increased when it is combined with Ivacaftor.]
[B03XA04, peginesatide, Imipramine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Imipramine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Imipramine.]
[L01BC05, gemcitabine, The serum concentration of Imipramine can be increased when it is combined with Gemcitabine.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[G04BE10, avanafil, Imipramine may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, The risk or severity of CNS depression and hypotonia can be increased when Baclofen is combined with Imipramine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Imipramine.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Imipramine is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Imipramine can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Imipramine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Imipramine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Imipramine can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Imipramine.]
[L04AA31, teriflunomide, The serum concentration of Imipramine can be decreased when it is combined with Teriflunomide.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Imipramine.]
[L01EX05, regorafenib, The serum concentration of Imipramine can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Imipramine.]
[D02BA02, octinoxate, Imipramine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Imipramine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Imipramine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N04BD02, rasagiline, Rasagiline may increase the serotonergic activities of Imipramine.]
[C08CA13, lercanidipine, The risk or severity of hypotension can be increased when Imipramine is combined with Lercanidipine.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N06DA02, donepezil, The therapeutic efficacy of Imipramine can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Imipramine.]
[R06AC06, thonzylamine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Imipramine.]
[V09IX04, fluorodeoxyglucose F18, Imipramine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Imipramine.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Imipramine.]
[V08CA11, gadofosveset, Imipramine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Imipramine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Imipramine.]
[A16AX08, teduglutide, Imipramine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The serum concentration of Imipramine can be increased when it is combined with Lomitapide.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of hypotension can be increased when Imipramine is combined with Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Imipramine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Imipramine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Imipramine.]
[G03XC05, ospemifene, The metabolism of Imipramine can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Benorilate.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A10BK02, canagliflozin, The serum concentration of Imipramine can be increased when it is combined with Canagliflozin.]
[J01MA15, gemifloxacin, The metabolism of Imipramine can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Imipramine can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The metabolism of Imipramine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Imipramine.]
[H03AA04, tiratricol, The risk or severity of Cardiac Arrhythmia can be increased when Tiratricol is combined with Imipramine.]
[A10AE05, insulin detemir, Imipramine may decrease the hypoglycemic activities of Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Imipramine.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Imipramine.]
[L03AA12, ancestim, Imipramine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Imipramine.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L04AA18, everolimus, The serum concentration of Imipramine can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Imipramine.]
[L01EC02, dabrafenib, The serum concentration of Imipramine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Benzydamine.]
[L01EE01, trametinib, Imipramine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Imipramine.]
[V09AX05, florbetapir F-18, Imipramine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[L01EB03, afatinib, The serum concentration of Imipramine can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Imipramine.]
[J05AJ03, dolutegravir, The serum concentration of Imipramine can be increased when it is combined with Dolutegravir.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Imipramine.]
[C02KX05, riociguat, The serum concentration of Imipramine can be increased when it is combined with Riociguat.]
[A10BJ03, lixisenatide, Imipramine may decrease the hypoglycemic activities of Lixisenatide.]
[C02KX04, macitentan, Imipramine may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Imipramine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Imipramine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The metabolism of Imipramine can be decreased when combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Imipramine can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The serum concentration of Imipramine can be increased when it is combined with Simeprevir.]
[J05AP08, sofosbuvir, The serum concentration of Imipramine can be increased when it is combined with Sofosbuvir.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Imipramine.]
[C01CA27, droxidopa, Imipramine may increase the vasopressor activities of Droxidopa.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Imipramine.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A16AA07, metreleptin, The metabolism of Imipramine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Imipramine can be increased when combined with Apremilast.]
[L02BG02, formestane, Imipramine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[N07CA01, betahistine, The therapeutic efficacy of Betahistine can be decreased when used in combination with Imipramine.]
[A16AA06, betaine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Betaine.]
[S03BA03, betamethasone, The metabolism of Imipramine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Imipramine.]
[V03AB34, fomepizole, Imipramine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Imipramine.]
[A10BJ04, albiglutide, Imipramine may decrease the hypoglycemic activities of Albiglutide.]
[L04AC11, siltuximab, The metabolism of Imipramine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Ceritinib.]
[B01AC26, vorapaxar, The serum concentration of Imipramine can be increased when it is combined with Vorapaxar.]
[A03BA03, hyoscyamine, Imipramine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Imipramine is combined with Acenocoumarol.]
[L01XH04, belinostat, The metabolism of Imipramine can be increased when combined with Belinostat.]
[L01EM01, idelalisib, The serum concentration of Imipramine can be increased when it is combined with Idelalisib.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A10BK03, empagliflozin, Imipramine may decrease the hypoglycemic activities of Empagliflozin.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Imipramine.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Imipramine is combined with Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[N05CM19, suvorexant, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Imipramine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Imipramine can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[N05AA04, acepromazine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Acepromazine.]
[V04CX03, methacholine, Imipramine may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Imipramine.]
[A10BJ05, dulaglutide, Imipramine may decrease the hypoglycemic activities of Dulaglutide.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Imipramine is combined with Naloxegol.]
[N04AA02, biperiden, The metabolism of Imipramine can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Imipramine.]
[L01EX09, nintedanib, The serum concentration of Imipramine can be increased when it is combined with Nintedanib.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Imipramine.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Imipramine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Imipramine.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Imipramine is combined with Dicoumarol.]
[B01AF03, edoxaban, The serum concentration of Imipramine can be increased when it is combined with Edoxaban.]
[N06AX11, mirtazapine, Imipramine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Imipramine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Imipramine can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Imipramine can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The serum concentration of Imipramine can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Imipramine.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[A03AA09, difemerine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Imipramine is combined with Tioclomarol.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Imipramine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Imipramine.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Imipramine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Imipramine.]
[A04AD14, rolapitant, The metabolism of Imipramine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Flibanserin can be increased when it is combined with Imipramine.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Imipramine.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A10BF01, acarbose, Imipramine may decrease the hypoglycemic activities of Acarbose.]
[M02AA25, aceclofenac, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A10AE06, insulin degludec, Imipramine may decrease the hypoglycemic activities of Insulin degludec.]
[N05AB07, acetophenazine, The serum concentration of Imipramine can be increased when it is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Imipramine can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Imipramine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
