[S02DA03, antipyrine, The metabolism of Pomalidomide can be decreased when combined with Antipyrine.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Pomalidomide.]
[L01FX04, ipilimumab, Ipilimumab may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01EX04, vandetanib, The serum concentration of Pomalidomide can be increased when it is combined with Vandetanib.]
[R02AA14, oxyquinoline, Pomalidomide may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Pomalidomide can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The serum concentration of Pomalidomide can be increased when it is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Pomalidomide can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Pomalidomide can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Pomalidomide can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Pomalidomide.]
[S01AA28, vancomycin, Pomalidomide may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Pomalidomide.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ezogabine is combined with Pomalidomide.]
[B01AF01, rivaroxaban, The serum concentration of Pomalidomide can be increased when it is combined with Rivaroxaban.]
[R03AC18, indacaterol, The serum concentration of Pomalidomide can be increased when it is combined with Indacaterol.]
[B01AC24, ticagrelor, The serum concentration of Pomalidomide can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Pomalidomide can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Pomalidomide can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Pomalidomide can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Pomalidomide.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Pomalidomide.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Pomalidomide.]
[A11HA03, vitamin E, The metabolism of Pomalidomide can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Pomalidomide can be increased when combined with Warfarin.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Pomalidomide.]
[N05AF05, zuclopenthixol, The metabolism of Pomalidomide can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Pomalidomide can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Pomalidomide.]
[L01EC01, vemurafenib, The serum concentration of Pomalidomide can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Pomalidomide can be decreased when combined with Brentuximab vedotin.]
[M05BA05, tiludronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Pomalidomide is combined with Tiludronic acid.]
[B06AC02, icatibant, Icatibant may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Pomalidomide can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Pomalidomide.]
[R03DC01, zafirlukast, The metabolism of Pomalidomide can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Pomalidomide is combined with Ibandronate.]
[J01MA13, trovafloxacin, The metabolism of Pomalidomide can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Pomalidomide can be decreased when combined with Drospirenone.]
[V03AC02, deferiprone, Deferiprone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Pomalidomide.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Pomalidomide.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Ruxolitinib is combined with Pomalidomide.]
[G04BD07, tolterodine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Doripenem may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Pomalidomide.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Pomalidomide.]
[J02AC03, voriconazole, The metabolism of Pomalidomide can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Atracurium.]
[S01FA01, atropine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Pomalidomide can be decreased when combined with Axitinib.]
[R07AX02, ivacaftor, The serum concentration of Pomalidomide can be increased when it is combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Pomalidomide can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Pomalidomide.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Pomalidomide.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Pomalidomide.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Pomalidomide.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Pomalidomide.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Pomalidomide.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Pomalidomide.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Lorcaserin is combined with Pomalidomide.]
[G04BD12, mirabegron, The serum concentration of Pomalidomide can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Pomalidomide can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Pomalidomide can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Pomalidomide can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Pomalidomide can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Pomalidomide can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The serum concentration of Pomalidomide can be decreased when it is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Pomalidomide.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Abetimus is combined with Pomalidomide.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Pomalidomide.]
[L01EX05, regorafenib, The serum concentration of Pomalidomide can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Pomalidomide can be increased when combined with Barbital.]
[D02BA02, octinoxate, Pomalidomide may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Pomalidomide can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Bendamustine is combined with Pomalidomide.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Rasagiline is combined with Pomalidomide.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Pomalidomide.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[L04AA29, tofacitinib, Pomalidomide may increase the immunosuppressive activities of Tofacitinib.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Pomalidomide.]
[R06AC06, thonzylamine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Pomalidomide may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Diethyl ether.]
[H01CB05, pasireotide, The metabolism of Pomalidomide can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Pomalidomide can be increased when it is combined with Sildenafil.]
[V08CA11, gadofosveset, Gadofosveset trisodium may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01EA05, ponatinib, The serum concentration of Pomalidomide can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The serum concentration of Pomalidomide can be increased when it is combined with Apixaban.]
[A16AX08, teduglutide, Teduglutide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C10AX12, lomitapide, The serum concentration of Pomalidomide can be increased when it is combined with Lomitapide.]
[A10BH04, alogliptin, Alogliptin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Pomalidomide can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Pomalidomide can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The metabolism of Pomalidomide can be decreased when combined with Pipemidic acid.]
[M05BA03, pamidronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Pomalidomide is combined with Pamidronic acid.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Benperidol.]
[A10BK02, canagliflozin, The serum concentration of Pomalidomide can be increased when it is combined with Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Dimethyl fumarate is combined with Pomalidomide.]
[J01MA15, gemifloxacin, The metabolism of Pomalidomide can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Pomalidomide can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Pomalidomide can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Benzocaine.]
[L03AA12, ancestim, Pomalidomide may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Pomalidomide.]
[L04AA18, everolimus, The serum concentration of Pomalidomide can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Pomalidomide can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01EE01, trametinib, Pomalidomide may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Pomalidomide may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[L01EB03, afatinib, The serum concentration of Pomalidomide can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Levomilnacipran.]
[J05AJ03, dolutegravir, The serum concentration of Pomalidomide can be increased when it is combined with Dolutegravir.]
[C02KX05, riociguat, The serum concentration of Pomalidomide can be increased when it is combined with Riociguat.]
[L03AA14, lipegfilgrastim, Pomalidomide may increase the myelosuppressive activities of Lipegfilgrastim.]
[A10BJ03, lixisenatide, Pomalidomide may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Pomalidomide may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Ibrutinib.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The metabolism of Pomalidomide can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The serum concentration of Pomalidomide can be increased when it is combined with Simeprevir.]
[J05AP08, sofosbuvir, The serum concentration of Pomalidomide can be increased when it is combined with Sofosbuvir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Pomalidomide.]
[A10BK01, dapagliflozin, The metabolism of Pomalidomide can be decreased when combined with Dapagliflozin.]
[C01CA27, droxidopa, Droxidopa may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Pomalidomide can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Pomalidomide can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Pomalidomide can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Pomalidomide can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Pomalidomide can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Pomalidomide can be decreased when combined with Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Pomalidomide.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Pomalidomide can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Pomalidomide can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The serum concentration of Pomalidomide can be increased when it is combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Vedolizumab.]
[A03BA03, hyoscyamine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Pomalidomide can be decreased when combined with Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Pomalidomide.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Idelalisib.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Alfaxalone.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[D11AA01, glycopyrronium, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05CM19, suvorexant, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The serum concentration of Pomalidomide can be increased when it is combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Pomalidomide can be increased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Acepromazine is combined with Pomalidomide.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Pomalidomide.]
[N04AA02, biperiden, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Pomalidomide.]
[L01EX09, nintedanib, The metabolism of Pomalidomide can be decreased when combined with Nintedanib.]
[S03AA06, gentamicin, Pomalidomide may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Blinatumomab.]
[J05AP09, dasabuvir, The serum concentration of Pomalidomide can be increased when it is combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Pomalidomide can be decreased when combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Pomalidomide.]
[B01AF03, edoxaban, The serum concentration of Pomalidomide can be increased when it is combined with Edoxaban.]
[N06AX11, mirtazapine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Pomalidomide can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Pomalidomide can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The serum concentration of Pomalidomide can be increased when it is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Panobinostat is combined with Pomalidomide.]
[J05AP07, daclatasvir, The serum concentration of Pomalidomide can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Pomalidomide can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Pomalidomide.]
[A03AA09, difemerine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Pomalidomide.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J05AP06, asunaprevir, The serum concentration of Pomalidomide can be increased when it is combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Pomalidomide.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Brexpiprazole.]
[A04AD14, rolapitant, The serum concentration of Pomalidomide can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Pomalidomide can be increased when it is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Cariprazine is combined with Pomalidomide.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
