[S02DA03, antipyrine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Antipyrine.]
[A16AX08, teduglutide, Metolazone may increase the excretion rate of Teduglutide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Metolazone.]
[A16AX09, glycerol phenylbutyrate, Metolazone may increase the excretion rate of Glycerol phenylbutyrate which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Metolazone can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, Metolazone may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA10, benorilate, The therapeutic efficacy of Metolazone can be decreased when used in combination with Benorilate.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Metolazone.]
[A06AX06, tegaserod, The risk or severity of adverse effects can be increased when Metolazone is combined with Tegaserod.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Metolazone is combined with Insulin detemir.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Metolazone.]
[L03AA12, ancestim, Metolazone may increase the excretion rate of Ancestim which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH01, celecoxib, The therapeutic efficacy of Metolazone can be decreased when used in combination with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Metolazone.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Metolazone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, Metolazone may increase the excretion rate of Benzatropine which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AX03, benzydamine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Benzydamine.]
[L01EE01, trametinib, Metolazone may increase the excretion rate of Trametinib which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AX05, florbetapir F-18, Metolazone may increase the excretion rate of Florbetapir (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX28, levomilnacipran, The risk or severity of hyponatremia can be increased when Levomilnacipran is combined with Metolazone.]
[C08EA02, bepridil, Metolazone may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, Metolazone may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Metolazone.]
[C02KX04, macitentan, Metolazone may increase the excretion rate of Macitentan which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX26, vortioxetine, Metolazone may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AC08, etonogestrel, Metolazone may increase the excretion rate of Etonogestrel which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP08, sofosbuvir, Metolazone may increase the excretion rate of Sofosbuvir which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Metolazone.]
[C01CA27, droxidopa, Metolazone may increase the excretion rate of Droxidopa which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB04, acebutolol, Metolazone may increase the hypotensive activities of Acebutolol.]
[N05CH03, tasimelteon, Metolazone may increase the excretion rate of Tasimelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA32, apremilast, Metolazone may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BG02, formestane, Metolazone may increase the excretion rate of Formestane which could result in a lower serum level and potentially a reduction in efficacy.]
[S03BA03, betamethasone, Betamethasone may increase the hypokalemic activities of Metolazone.]
[S01ED02, betaxolol, Betaxolol may increase the hypotensive activities of Metolazone.]
[V03AB34, fomepizole, Metolazone may increase the excretion rate of Fomepizole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02CC01, bethanidine, Bethanidine may decrease the antihypertensive activities of Metolazone.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Metolazone.]
[A03BA03, hyoscyamine, The serum concentration of Metolazone can be increased when it is combined with Hyoscyamine.]
[A10BK03, empagliflozin, Empagliflozin may increase the diuretic activities of Metolazone.]
[R03AC19, olodaterol, Olodaterol may decrease the antihypertensive activities of Metolazone.]
[V08AA01, diatrizoic acid, Metolazone may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EE02, unoprostone, Metolazone may increase the hypotensive activities of Unoprostone.]
[D11AA01, glycopyrronium, The serum concentration of Metolazone can be increased when it is combined with Glycopyrronium.]
[V08AA04, iothalamic acid, Metolazone may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[N05AA04, acepromazine, Acepromazine may decrease the antihypertensive activities of Metolazone.]
[A06AB04, phenolphthalein, The risk or severity of adverse effects can be increased when Metolazone is combined with Phenolphthalein.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Metolazone.]
[A06AH03, naloxegol, The therapeutic efficacy of Metolazone can be decreased when used in combination with Naloxegol.]
[N04AA02, biperiden, The serum concentration of Metolazone can be increased when it is combined with Biperiden.]
[A06AG02, bisacodyl, The risk or severity of adverse effects can be increased when Metolazone is combined with Bisacodyl.]
[S03AA06, gentamicin, Metolazone may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AF03, edoxaban, Metolazone may increase the excretion rate of Edoxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX11, mirtazapine, Mirtazapine may decrease the antihypertensive activities of Metolazone.]
[N02BE01, acetaminophen, Metolazone may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC01, bleomycin, Metolazone may increase the excretion rate of Bleomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AA09, difemerine, The serum concentration of Metolazone can be increased when it is combined with Difemerine.]
[C01EB17, ivabradine, The risk or severity of Cardiac Arrhythmia can be increased when Metolazone is combined with Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[A07DA06, eluxadoline, The therapeutic efficacy of Metolazone can be decreased when used in combination with Eluxadoline.]
[N05AX16, brexpiprazole, Brexpiprazole may decrease the antihypertensive activities of Metolazone.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Metolazone.]
[A06AD03, magnesium peroxide, The risk or severity of adverse effects can be increased when Metolazone is combined with Magnesium peroxide.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Metolazone.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Metolazone.]
[M02AA25, aceclofenac, The therapeutic efficacy of Metolazone can be decreased when used in combination with Aceclofenac.]
[M01AB11, acemetacin, The therapeutic efficacy of Metolazone can be decreased when used in combination with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Metolazone is combined with Insulin degludec.]
[V03AB37, idarucizumab, Metolazone may increase the excretion rate of Idarucizumab which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Metolazone.]
[L01XG03, ixazomib, Metolazone may increase the excretion rate of Ixazomib which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC27, selexipag, Metolazone may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Metolazone.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Metolazone.]
[M04AB05, lesinurad, Metolazone may increase the excretion rate of Lesinurad which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA05, aprobarbital, The serum concentration of Metolazone can be increased when it is combined with Aprobarbital.]
[M01AE16, alminoprofen, The therapeutic efficacy of Metolazone can be decreased when used in combination with Alminoprofen.]
[N03AX23, brivaracetam, Metolazone may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA08, bromazepam, Metolazone may increase the excretion rate of Bromazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Metolazone.]
[A02AD05, aluminum magnesium silicate, Metolazone may increase the excretion rate of Almasilate which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB01, brompheniramine, The serum concentration of Metolazone can be increased when it is combined with Brompheniramine.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Metolazone.]
[C08CA01, amlodipine, Amlodipine may increase the hypotensive activities of Metolazone.]
[C03CA02, bumetanide, Metolazone may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Metolazone.]
[C07AA19, bupranolol, Metolazone may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Buprenorphine.]
[N05BE01, buspirone, Metolazone may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX27, arsenic trioxide, Metolazone may increase the excretion rate of Arsenic trioxide which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA03, clofezone, Metolazone may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AF01, butorphanol, The therapeutic efficacy of Metolazone can be decreased when used in combination with Butorphanol.]
[A06AX07, plecanatide, The risk or severity of adverse effects can be increased when Metolazone is combined with Plecanatide.]
[A07EC04, balsalazide, The therapeutic efficacy of Metolazone can be decreased when used in combination with Balsalazide.]
[R03CC12, bambuterol, Bambuterol may decrease the antihypertensive activities of Metolazone.]
[A06AH05, naldemedine, Metolazone may increase the excretion rate of Naldemedine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, Metolazone may increase the excretion rate of Deutetrabenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BF02, pregabalin, Metolazone may increase the excretion rate of Pregabalin which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA07, benazepril, The risk or severity of hypotension can be increased when Metolazone is combined with Benazepril.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Metolazone.]
[H05BX05, calcifediol, The risk or severity of hypokalemia can be increased when Calcifediol is combined with Metolazone.]
[D05AX03, calcitriol, The risk or severity of hypokalemia can be increased when Calcitriol is combined with Metolazone.]
[A12AA04, calcium carbonate, Metolazone may decrease the excretion rate of Calcium carbonate which could result in a higher serum level.]
[P01CA02, benznidazole, Metolazone may increase the excretion rate of Benznidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BA03, calcium chloride, Metolazone may decrease the excretion rate of Calcium chloride which could result in a higher serum level.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Metolazone.]
[J05AF06, abacavir, Metolazone may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[D11AX03, calcium gluconate, Metolazone may decrease the excretion rate of Calcium gluconate which could result in a higher serum level.]
[N07XX13, valbenazine, Metolazone may increase the excretion rate of Valbenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A12AA01, calcium phosphate, Metolazone may decrease the excretion rate of Calcium Phosphate which could result in a higher serum level.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Metolazone.]
[J01MA23, delafloxacin, Metolazone may increase the excretion rate of Delafloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC06, capecitabine, Metolazone may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB07, bisoprolol, Metolazone may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03AC17, bitolterol, Bitolterol may decrease the antihypertensive activities of Metolazone.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[N04AA11, bornaprine, The serum concentration of Metolazone can be increased when it is combined with Bornaprine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Metolazone is combined with Nesiritide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Budesonide may increase the hypokalemic activities of Metolazone.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Metolazone.]
[M01AB07, bumadizone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Bumadizone.]
[N05CA03, butobarbital, The serum concentration of Metolazone can be increased when it is combined with Butobarbital.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Metolazone.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Metolazone is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Metolazone.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Metolazone.]
[R06AX18, acrivastine, Metolazone may increase the excretion rate of Acrivastine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA01, captopril, The risk or severity of hypotension can be increased when Metolazone is combined with Captopril.]
[L02BB05, apalutamide, Metolazone may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Metolazone is combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, Metolazone may decrease the excretion rate of Calcium polycarbophil which could result in a higher serum level.]
[A03AA03, camylofine, The serum concentration of Metolazone can be increased when it is combined with Camylofin.]
[C07AG02, carvedilol, Metolazone may increase the hypotensive activities of Carvedilol.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Metolazone.]
[N03AX24, cannabidiol, Cannabidiol may decrease the antihypertensive activities of Metolazone.]
[L04AA37, baricitinib, Metolazone may increase the excretion rate of Baricitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Metolazone which could result in a higher serum level.]
