[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Ranolazine.]
[B01AC05, ticlopidine, The serum concentration of Ticlopidine can be increased when it is combined with Ranolazine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Ranolazine.]
[P01AB02, tinidazole, Ranolazine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Ranolazine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Ranolazine may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Ranolazine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N02AX02, tramadol, The serum concentration of Tramadol can be increased when it is combined with Ranolazine.]
[N06AF04, tranylcypromine, The metabolism of Ranolazine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Ranolazine.]
[S01BA05, triamcinolone, The metabolism of Ranolazine can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Ranolazine may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Ranolazine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Ranolazine may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[R03BA07, mometasone, The metabolism of Ranolazine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Trimebutine is combined with Ranolazine.]
[S01ED04, metipranolol, The serum concentration of Metipranolol can be increased when it is combined with Ranolazine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Ranolazine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Ranolazine.]
[J01EA01, trimethoprim, Ranolazine may decrease the excretion rate of Trimethoprim which could result in a higher serum level.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Ranolazine.]
[R06AC04, tripelennamine, The metabolism of Ranolazine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Ranolazine.]
[J01FA08, troleandomycin, The metabolism of Ranolazine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The serum concentration of Vilazodone can be increased when it is combined with Ranolazine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Ranolazine.]
[L01FX04, ipilimumab, Ranolazine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The serum concentration of Ranolazine can be increased when it is combined with Vandetanib.]
[R02AA14, oxyquinoline, Ranolazine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Ranolazine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The serum concentration of Ranolazine can be increased when it is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Ranolazine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Ranolazine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be increased when it is combined with Ranolazine.]
[S01AA28, vancomycin, Ranolazine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Ranolazine.]
[B01AF01, rivaroxaban, The serum concentration of Rivaroxaban can be increased when it is combined with Ranolazine.]
[R03AC18, indacaterol, The serum concentration of Indacaterol can be increased when it is combined with Ranolazine.]
[B01AC24, ticagrelor, The serum concentration of Ranolazine can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Ranolazine can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Ranolazine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Ranolazine can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The serum concentration of Vincristine can be increased when it is combined with Ranolazine.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Ranolazine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[A11HA03, vitamin E, The metabolism of Ranolazine can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Ranolazine can be increased when combined with Warfarin.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The serum concentration of Zuclopenthixol can be increased when it is combined with Ranolazine.]
[J05AE02, indinavir, The metabolism of Ranolazine can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The metabolism of Ranolazine can be increased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Ranolazine.]
[M05BA05, tiludronic acid, Ranolazine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Ranolazine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The serum concentration of Ranolazine can be increased when it is combined with Crizotinib.]
[A02BC04, rabeprazole, Ranolazine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Ranolazine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Ranolazine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Ranolazine.]
[G04BD07, tolterodine, The serum concentration of Tolterodine can be increased when it is combined with Ranolazine.]
[J01DH04, doripenem, Ranolazine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The serum concentration of Atenolol can be increased when it is combined with Ranolazine.]
[J02AC03, voriconazole, The metabolism of Ranolazine can be decreased when combined with Voriconazole.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Atropine.]
[M01CB03, auranofin, Ranolazine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Ranolazine.]
[R07AX02, ivacaftor, The serum concentration of Ranolazine can be increased when it is combined with Ivacaftor.]
[B03XA04, peginesatide, Ranolazine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Ranolazine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Ranolazine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Ranolazine.]
[J01DF01, aztreonam, Ranolazine may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Ranolazine.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[A08AA11, lorcaserin, The serum concentration of Lorcaserin can be increased when it is combined with Ranolazine.]
[G04BD12, mirabegron, The serum concentration of Ranolazine can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Ranolazine can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Ranolazine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Ranolazine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The metabolism of Ranolazine can be increased when combined with Enzalutamide.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Ranolazine.]
[L01EX05, regorafenib, The serum concentration of Ranolazine can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Ranolazine can be increased when combined with Barbital.]
[D02BA02, octinoxate, Ranolazine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Ranolazine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Ranolazine.]
[N04BD02, rasagiline, Ranolazine may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[N06DA02, donepezil, The serum concentration of Donepezil can be increased when it is combined with Ranolazine.]
[N03AX22, perampanel, The metabolism of Ranolazine can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Ranolazine.]
[G04BD10, darifenacin, The serum concentration of Darifenacin can be increased when it is combined with Ranolazine.]
[V09IX04, fluorodeoxyglucose F18, Ranolazine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Ranolazine.]
[G04BE03, sildenafil, The serum concentration of Ranolazine can be increased when it is combined with Sildenafil.]
[V08CA11, gadofosveset, Ranolazine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The serum concentration of Ranolazine can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The serum concentration of Apixaban can be increased when it is combined with Ranolazine.]
[A16AX08, teduglutide, Ranolazine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Ranolazine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Ranolazine.]
[A10BH04, alogliptin, The serum concentration of Alogliptin can be increased when it is combined with Ranolazine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Ranolazine can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Ranolazine.]
[G03XC05, ospemifene, The metabolism of Ranolazine can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[A10BK02, canagliflozin, The serum concentration of Ranolazine can be increased when it is combined with Canagliflozin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Gemifloxacin.]
[M04AB03, benzbromarone, Ranolazine may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Ranolazine.]
[A06AX06, tegaserod, The serum concentration of Tegaserod can be increased when it is combined with Ranolazine.]
[R02AD01, benzocaine, The serum concentration of Benzocaine can be increased when it is combined with Ranolazine.]
[L03AA12, ancestim, Ranolazine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The serum concentration of Celecoxib can be increased when it is combined with Ranolazine.]
[L04AA18, everolimus, The serum concentration of Ranolazine can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, The serum concentration of Benzatropine can be increased when it is combined with Ranolazine.]
[L01EC02, dabrafenib, The metabolism of Ranolazine can be increased when combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L01EE01, trametinib, The metabolism of Ranolazine can be increased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The serum concentration of Benzyl alcohol can be increased when it is combined with Ranolazine.]
[V09AX05, florbetapir F-18, Ranolazine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[L01EB03, afatinib, The serum concentration of Ranolazine can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, The serum concentration of Levomilnacipran can be increased when it is combined with Ranolazine.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be increased when it is combined with Ranolazine.]
[C08EA02, bepridil, The serum concentration of Bepridil can be increased when it is combined with Ranolazine.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Ranolazine.]
[A10BJ03, lixisenatide, Ranolazine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C02KX04, macitentan, Ranolazine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Ranolazine.]
[N06AX26, vortioxetine, The serum concentration of Vortioxetine can be increased when it is combined with Ranolazine.]
[G03AC08, etonogestrel, Ranolazine may decrease the excretion rate of Etonogestrel which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The metabolism of Ranolazine can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The serum concentration of Ranolazine can be increased when it is combined with Simeprevir.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be increased when it is combined with Ranolazine.]
[A10BK01, dapagliflozin, The serum concentration of Dapagliflozin can be increased when it is combined with Ranolazine.]
[C01CA27, droxidopa, Ranolazine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The serum concentration of Acebutolol can be increased when it is combined with Ranolazine.]
[N05CH03, tasimelteon, Ranolazine may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[A16AA07, metreleptin, The metabolism of Ranolazine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Ranolazine can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Ranolazine can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Ranolazine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The serum concentration of Betaxolol can be increased when it is combined with Ranolazine.]
[V03AB34, fomepizole, Ranolazine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Ranolazine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Ranolazine.]
[B01AC26, vorapaxar, The serum concentration of Ranolazine can be increased when it is combined with Vorapaxar.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Ranolazine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Ranolazine.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Ranolazine.]
[L01EM01, idelalisib, The serum concentration of Idelalisib can be increased when it is combined with Ranolazine.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ranolazine.]
[V08AA01, diatrizoic acid, Ranolazine may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[V08AA04, iothalamic acid, Ranolazine may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[N05CM19, suvorexant, The serum concentration of Ranolazine can be increased when it is combined with Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Ranolazine.]
[J01XA05, oritavancin, The metabolism of Ranolazine can be increased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[A06AH03, naloxegol, The serum concentration of Naloxegol can be increased when it is combined with Ranolazine.]
[N04AA02, biperiden, The metabolism of Ranolazine can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The serum concentration of Pirfenidone can be increased when it is combined with Ranolazine.]
[L01EX09, nintedanib, The serum concentration of Nintedanib can be increased when it is combined with Ranolazine.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Ranolazine.]
[J05AP09, dasabuvir, The serum concentration of Dasabuvir can be increased when it is combined with Ranolazine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Ranolazine.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Ranolazine.]
[N06AX11, mirtazapine, The serum concentration of Mirtazapine can be increased when it is combined with Ranolazine.]
[L04AC10, secukinumab, The metabolism of Ranolazine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Ranolazine can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The serum concentration of Lenvatinib can be increased when it is combined with Ranolazine.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be increased when it is combined with Ranolazine.]
[J05AP07, daclatasvir, The serum concentration of Ranolazine can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Ranolazine can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, Ranolazine may decrease the excretion rate of Bleomycin which could result in a higher serum level.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Ranolazine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Ranolazine can be increased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The serum concentration of Brexpiprazole can be increased when it is combined with Ranolazine.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Ranolazine.]
[A04AD14, rolapitant, The serum concentration of Ranolazine can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Ranolazine can be increased when it is combined with Flibanserin.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC03, lansoprazole, The metabolism of Ranolazine can be increased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Ranolazine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The serum concentration of Trabectedin can be increased when it is combined with Ranolazine.]
[J02AC05, isavuconazole, The metabolism of Ranolazine can be increased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Osimertinib can be increased when it is combined with Ranolazine.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ranolazine.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Ranolazine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Ranolazine.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Ranolazine.]
[B01AC27, selexipag, The serum concentration of Selexipag can be increased when it is combined with Ranolazine.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Ranolazine.]
[M04AB05, lesinurad, Ranolazine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The serum concentration of Elbasvir can be increased when it is combined with Ranolazine.]
[J05AP11, grazoprevir, The serum concentration of Grazoprevir can be increased when it is combined with Ranolazine.]
[N05CA05, aprobarbital, The metabolism of Ranolazine can be increased when combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N03AX23, brivaracetam, Ranolazine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01XX52, venetoclax, The serum concentration of Ranolazine can be increased when it is combined with Venetoclax.]
[N05BA08, bromazepam, Ranolazine may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Ranolazine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Ranolazine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Ranolazine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01ED03, levobunolol, The serum concentration of Levobunolol can be increased when it is combined with Ranolazine.]
[N01BB01, bupivacaine, Ranolazine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[C07AA19, bupranolol, The serum concentration of Bupranolol can be increased when it is combined with Ranolazine.]
[N07BC01, buprenorphine, The serum concentration of Buprenorphine can be increased when it is combined with Ranolazine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Ranolazine.]
[N05BE01, buspirone, The serum concentration of Buspirone can be increased when it is combined with Ranolazine.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Ranolazine.]
[L01XX27, arsenic trioxide, The serum concentration of Ranolazine can be increased when it is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Ranolazine can be increased when combined with Artemether.]
[M02AA03, clofezone, Ranolazine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Ranolazine.]
[S01GX07, azelastine, The serum concentration of Azelastine can be increased when it is combined with Ranolazine.]
[L01XK03, rucaparib, The serum concentration of Rucaparib can be increased when it is combined with Ranolazine.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Ranolazine.]
[L01EF02, ribociclib, The metabolism of Ranolazine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[A06AH05, naldemedine, Ranolazine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The serum concentration of Deutetrabenazine can be increased when it is combined with Ranolazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Ranolazine.]
[D05AX03, calcitriol, The metabolism of Ranolazine can be increased when combined with Calcitriol.]
[P01CA02, benznidazole, Ranolazine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Ranolazine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Ranolazine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The serum concentration of Valbenazine can be increased when it is combined with Ranolazine.]
[L04AB02, infliximab, The metabolism of Ranolazine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Ranolazine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Ranolazine can be increased when combined with Brigatinib.]
[L04AC14, sarilumab, The metabolism of Ranolazine can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, The metabolism of Ranolazine can be increased when combined with Delafloxacin.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Ranolazine.]
[L01BC06, capecitabine, Ranolazine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Ranolazine can be increased when combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Ranolazine can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Ranolazine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Ranolazine.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Ranolazine.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Ranolazine.]
[C07AB07, bisoprolol, The serum concentration of Bisoprolol can be increased when it is combined with Ranolazine.]
[J05AG03, efavirenz, The metabolism of Ranolazine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
