[P02BB01, trichlorfon, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Metrifonate.]
[V04CJ01, thyrotropin, The therapeutic efficacy of Thyrotropin can be decreased when used in combination with Paroxetine.]
[V04CJ02, thyrotropin-releasing hormone, The therapeutic efficacy of Protirelin can be decreased when used in combination with Paroxetine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Tiapride is combined with Paroxetine.]
[B01AC05, ticlopidine, The metabolism of Paroxetine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of serotonin syndrome can be increased when Tilidine is combined with Paroxetine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Paroxetine.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Tolazamide.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Tolmetin.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Tolperisone is combined with Paroxetine.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the serotonergic activities of Paroxetine.]
[C01DX11, trapidil, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Trapidil.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Paroxetine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Paroxetine.]
[C03DB02, triamterene, The metabolism of Paroxetine can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Paroxetine.]
[C03AA06, trichlormethiazide, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Trichlormethiazide.]
[A03AB12, mepenzolate, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Demecarium.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Paroxetine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Trifluperidol is combined with Paroxetine.]
[N05AA05, triflupromazine, The risk or severity of adverse effects can be increased when Triflupromazine is combined with Paroxetine.]
[N04AA01, trihexyphenidyl, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Paroxetine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Paroxetine.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Paroxetine is combined with Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Paroxetine.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Paroxetine.]
[R06AC04, tripelennamine, The metabolism of Paroxetine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Paroxetine.]
[A03BB01, butylscopolamine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Paroxetine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Paroxetine can be decreased when combined with Vilazodone.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Paroxetine is combined with Tropicamide.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Paroxetine is combined with Tryptophan.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Paroxetine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Paroxetine.]
[S01AA05, tyrothricin, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Tyrothricin.]
[L02BX03, abiraterone, The serum concentration of Paroxetine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Paroxetine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Paroxetine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be increased when it is combined with Paroxetine.]
[B01AD04, urokinase, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Urokinase.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ezogabine is combined with Paroxetine.]
[B01AF01, rivaroxaban, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Rivaroxaban.]
[R03AC18, indacaterol, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Indacaterol.]
[B01AC24, ticagrelor, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Paroxetine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Paroxetine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Paroxetine can be decreased when combined with Vinblastine.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Paroxetine is combined with Warfarin.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Paroxetine.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Paroxetine.]
[J05AE02, indinavir, The metabolism of Paroxetine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Paroxetine.]
[L01EC01, vemurafenib, The serum concentration of Paroxetine can be increased when it is combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Paroxetine can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Paroxetine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Paroxetine can be decreased when combined with Rabeprazole.]
[J01MA13, trovafloxacin, The metabolism of Paroxetine can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Paroxetine is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Paroxetine.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Paroxetine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Paroxetine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Paroxetine can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Paroxetine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Atracurium is combined with Paroxetine.]
[S01FA01, atropine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Paroxetine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Paroxetine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Paroxetine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Paroxetine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Paroxetine.]
[A08AA11, lorcaserin, The metabolism of Paroxetine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Paroxetine is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Paroxetine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Paroxetine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Paroxetine can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Paroxetine.]
[L04AA31, teriflunomide, The serum concentration of Paroxetine can be decreased when it is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Defibrotide.]
[C01CA18, octopamine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Octopamine.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Paroxetine.]
[J05AE04, nelfinavir, The metabolism of Paroxetine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Paroxetine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Paroxetine.]
[N04BD02, rasagiline, Rasagiline may increase the serotonergic activities of Paroxetine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Mosapride is combined with Paroxetine.]
[N06DA02, donepezil, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Paroxetine.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Paroxetine.]
[N02CC03, zolmitriptan, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Paroxetine can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Diethyl ether is combined with Paroxetine.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Paroxetine.]
[H01CB05, pasireotide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Paroxetine.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Paroxetine.]
[B01AF02, apixaban, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Apixaban.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Paroxetine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Paroxetine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Paroxetine.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Paroxetine.]
[N02BA10, benorilate, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Benperidol is combined with Paroxetine.]
[A10BK02, canagliflozin, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Canagliflozin.]
[J01MA15, gemifloxacin, The metabolism of Paroxetine can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Paroxetine can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The metabolism of Paroxetine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Paroxetine can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Paroxetine.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Paroxetine.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Paroxetine.]
[M01AH01, celecoxib, The risk or severity of bleeding can be increased when Celecoxib is combined with Paroxetine.]
[N02CC02, naratriptan, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Paroxetine can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Paroxetine.]
[L01EC02, dabrafenib, The serum concentration of Paroxetine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Paroxetine.]
[H05AA03, parathyroid hormone, The therapeutic efficacy of Parathyroid hormone can be decreased when used in combination with Paroxetine.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Paroxetine.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Paroxetine.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Lixisenatide.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Paroxetine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Paroxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Eslicarbazepine is combined with Paroxetine.]
[D01AC18, luliconazole, The serum concentration of Paroxetine can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Paroxetine can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Paroxetine.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Paroxetine.]
[C01CA27, droxidopa, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Droxidopa.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Paroxetine.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Tasimelteon is combined with Paroxetine.]
[A16AA07, metreleptin, The metabolism of Paroxetine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Paroxetine can be increased when combined with Apremilast.]
[A16AA06, betaine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Betaine.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Paroxetine.]
[B01AE03, argatroban, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Argatroban.]
[C02CC01, bethanidine, The risk or severity of Tachycardia can be increased when Bethanidine is combined with Paroxetine.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Albiglutide.]
[L04AC11, siltuximab, The metabolism of Paroxetine can be increased when combined with Siltuximab.]
[B01AC26, vorapaxar, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Vorapaxar.]
[A03BA03, hyoscyamine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Paroxetine.]
[L01XH04, belinostat, The metabolism of Paroxetine can be increased when combined with Belinostat.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Alfaxalone is combined with Paroxetine.]
[A10BK03, empagliflozin, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Empagliflozin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Paroxetine.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Paroxetine is combined with Glycopyrronium.]
[N05CM19, suvorexant, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Paroxetine.]
[J01XA05, oritavancin, The metabolism of Paroxetine can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Acepromazine is combined with Paroxetine.]
[V04CX03, methacholine, Paroxetine may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Paroxetine.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Dulaglutide.]
[A06AH03, naloxegol, The risk or severity of serotonin syndrome can be increased when Naloxegol is combined with Paroxetine.]
[N04AA02, biperiden, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Paroxetine.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Paroxetine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Paroxetine.]
[B01AA01, dicumarol, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Edoxaban.]
[N06AX11, mirtazapine, Paroxetine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Paroxetine can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Paroxetine can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Paroxetine.]
[A03AA09, difemerine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Paroxetine can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Paroxetine is combined with Eluxadoline.]
[B01AC25, cangrelor, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Cangrelor.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Paroxetine.]
[A04AD14, rolapitant, The metabolism of Paroxetine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Flibanserin is combined with Paroxetine.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Paroxetine.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Cariprazine is combined with Paroxetine.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Acarbose.]
[M02AA25, aceclofenac, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Paroxetine.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Insulin degludec.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Paroxetine.]
[A02BC03, lansoprazole, The metabolism of Paroxetine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Paroxetine.]
[J02AC05, isavuconazole, The metabolism of Paroxetine can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Paroxetine can be decreased when it is combined with Osimertinib.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Acetohexamide.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Paroxetine.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Paroxetine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Paroxetine.]
[M01AE16, alminoprofen, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Paroxetine.]
[L01XX52, venetoclax, The metabolism of Paroxetine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Paroxetine.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Bromocriptine is combined with Paroxetine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Paroxetine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Paroxetine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Amineptine is combined with Paroxetine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Aniracetam is combined with Paroxetine.]
[A05AA04, obeticholic acid, The metabolism of Paroxetine can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Paroxetine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Paroxetine.]
[N07BC01, buprenorphine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Paroxetine.]
[N06DA03, rivastigmine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Paroxetine.]
[M02AA03, clofezone, The metabolism of Paroxetine can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, The risk or severity of serotonin syndrome can be increased when Butorphanol is combined with Paroxetine.]
[S01GX07, azelastine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Paroxetine can be decreased when combined with Rucaparib.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Paroxetine.]
[L01EF02, ribociclib, The metabolism of Paroxetine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Bambuterol.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Paroxetine.]
[N07XX16, deutetrabenazine, The serum concentration of the active metabolites of Deutetrabenazine can be increased when Deutetrabenazine is used in combination with Paroxetine.]
[N02BF02, pregabalin, The therapeutic efficacy of Paroxetine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Beclamide is combined with Paroxetine.]
[N06BC01, caffeine, The metabolism of Paroxetine can be decreased when combined with Caffeine.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Benfluorex.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Paroxetine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Paroxetine.]
[J05AE09, tipranavir, The metabolism of Paroxetine can be decreased when combined with Tipranavir.]
[H03BA03, benzylthiouracil, The therapeutic efficacy of Benzylthiouracil can be decreased when used in combination with Paroxetine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Paroxetine.]
[L04AB02, infliximab, The metabolism of Paroxetine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Paroxetine can be decreased when combined with Midostaurin.]
[H05AA04, abaloparatide, The therapeutic efficacy of Abaloparatide can be decreased when used in combination with Paroxetine.]
[N04BD03, safinamide, Safinamide may increase the serotonergic activities of Paroxetine.]
[B01AF04, betrixaban, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Betrixaban.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Paroxetine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Paroxetine.]
[C07AB07, bisoprolol, The serum concentration of Bisoprolol can be increased when it is combined with Paroxetine.]
[R03AC17, bitolterol, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Bitolterol.]
[J05AG03, efavirenz, The metabolism of Paroxetine can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Paroxetine.]
[N04AA11, bornaprine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Bromperidol is combined with Paroxetine.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Brotizolam is combined with Paroxetine.]
[C04AX20, buflomedil, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Paroxetine.]
