[P02BB01, trichlorfon, The therapeutic efficacy of Trospium can be decreased when used in combination with Metrifonate.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Trospium.]
[N02BF02, pregabalin, Pregabalin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Trospium.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Trospium.]
[N04BD03, safinamide, Safinamide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Trospium.]
[R03AC17, bitolterol, The risk or severity of Tachycardia can be increased when Trospium is combined with Bitolterol.]
[J05AG03, efavirenz, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Trospium.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Trospium is combined with Bornaprine.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Trospium.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01BX04, capsaicin, The therapeutic efficacy of Trospium can be decreased when used in combination with Capsaicin.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Trospium.]
[N03AF01, carbamazepine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Trospium.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Trospium is combined with Camylofin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Trospium.]
[N03AX24, cannabidiol, The risk or severity of Tachycardia and drowsiness can be increased when Trospium is combined with Cannabidiol.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Trospium.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Trospium.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Trospium.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Trospium.]
[N03AX17, stiripentol, The metabolism of Trospium can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Trospium.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Trospium is combined with Chlorphenoxamine.]
[M03BA02, carisoprodol, Carisoprodol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03BB08, revefenacin, The risk or severity of adverse effects can be increased when Trospium is combined with Revefenacin.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Trospium.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Trospium.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Trospium.]
[N06AX27, esketamine, Esketamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Trospium.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BA09, clobazam, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Trospium.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be decreased when combined with Trospium.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Trospium.]
[G04BE04, yohimbine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Trospium.]
[N02CC08, lasmiditan, Lasmiditan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Trospium.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Trospium is combined with Dezocine.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Trospium.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Trospium is combined with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Trospium.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Trospium is combined with Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of Tachycardia can be increased when Trospium is combined with Dopexamine.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Trospium.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N07XX04, sodium oxybate, Sodium oxybate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02AX07, oliceridine, The risk or severity of urinary retention, reduced gastrointestinal motility, and constipation can be increased when Trospium is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Trospium.]
[C03AA04, chlorothiazide, The serum concentration of Chlorothiazide can be increased when it is combined with Trospium.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AF03, chlorprothixene, Chlorprothixene may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C03BA04, chlorthalidone, The serum concentration of Chlorthalidone can be increased when it is combined with Trospium.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06BA08, fenozolone, The risk or severity of Tachycardia can be increased when Trospium is combined with Fenozolone.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Trospium.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Trospium.]
[L01XA01, cisplatin, The therapeutic efficacy of Trospium can be decreased when used in combination with Cisplatin.]
[N06AB04, citalopram, Citalopram may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Trospium.]
[R06AA04, clemastine, Clemastine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03CC13, clenbuterol, The risk or severity of Tachycardia can be increased when Trospium is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, St. John's Wort may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Trospium.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Trospium.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A04AA01, ondansetron, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AH02, clozapine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S02DA02, cocaine, The risk or severity of adverse effects can be increased when Trospium is combined with Cocaine.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Trospium is combined with Codeine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Trospium is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Trospium is combined with Homatropine methylbromide.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Trospium is combined with Homatropine.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Trospium.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Trospium.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[H01AX01, pegvisomant, The therapeutic efficacy of Trospium can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, The risk or severity of Tachycardia can be increased when Trospium is combined with Isometheptene.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Trospium.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Trospium.]
[N03AX09, lamotrigine, Lamotrigine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N07BC04, lofexidine, Lofexidine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R06AX13, loratadine, Trospium may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Trospium.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Trospium is combined with Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A08AA09, mefenorex, The risk or severity of Tachycardia can be increased when Trospium is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Trospium.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Trospium.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Trospium is combined with Adenosine.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Trospium is combined with Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of Tachycardia can be increased when Trospium is combined with Methoxyphenamine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
