[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rilpivirine.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Rilpivirine.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Rilpivirine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Rilpivirine.]
[J01FA08, troleandomycin, The serum concentration of Rilpivirine can be increased when it is combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Rilpivirine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Rilpivirine.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Rilpivirine.]
[A10BH05, linagliptin, The metabolism of Rilpivirine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Rilpivirine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Rilpivirine can be decreased when combined with Telaprevir.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Rilpivirine.]
[B01AF01, rivaroxaban, Rilpivirine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Rilpivirine.]
[C08DA01, verapamil, The serum concentration of Rilpivirine can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, The serum concentration of Rilpivirine can be increased when it is combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Rilpivirine can be decreased when it is combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Rilpivirine.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Rilpivirine.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Rilpivirine.]
[S01AA13, fusidic acid, The metabolism of Rilpivirine can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Pipemidic acid.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The serum concentration of Rilpivirine can be increased when it is combined with Indinavir.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Rilpivirine.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Rilpivirine.]
[L01ED01, crizotinib, The serum concentration of Rilpivirine can be increased when it is combined with Crizotinib.]
[R03DC01, zafirlukast, The serum concentration of Rilpivirine can be increased when it is combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Rilpivirine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Rilpivirine.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Rilpivirine.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Rilpivirine.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Rilpivirine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Rilpivirine.]
[J02AC03, voriconazole, The metabolism of Rilpivirine can be decreased when combined with Voriconazole.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Rilpivirine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Rilpivirine.]
[H02AB11, prednylidene, The serum concentration of Rilpivirine can be decreased when it is combined with Prednylidene.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Rilpivirine.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Rilpivirine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Rilpivirine.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Mirabegron.]
[V03AX03, cobicistat, The serum concentration of Rilpivirine can be increased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Rilpivirine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Rilpivirine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Rilpivirine.]
[L04AA31, teriflunomide, Rilpivirine may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AC02, calcium silicate, Calcium silicate can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Rilpivirine.]
[N05CA04, barbital, The serum concentration of Rilpivirine can be decreased when it is combined with Barbital.]
[J05AE04, nelfinavir, The serum concentration of Rilpivirine can be increased when it is combined with Nelfinavir.]
[N06DA02, donepezil, Rilpivirine may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N03AX22, perampanel, The serum concentration of Rilpivirine can be decreased when it is combined with Perampanel.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Rilpivirine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Rilpivirine.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Rilpivirine.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Rilpivirine.]
[G04BE03, sildenafil, The metabolism of Rilpivirine can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Rilpivirine.]
[B01AF02, apixaban, Rilpivirine may decrease the excretion rate of Apixaban which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Rilpivirine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Rilpivirine.]
[A16AX09, glycerol phenylbutyrate, The serum concentration of Rilpivirine can be decreased when it is combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Rilpivirine.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Rilpivirine.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Rilpivirine can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Moxifloxacin.]
[A06AX06, tegaserod, Rilpivirine may decrease the excretion rate of Tegaserod which could result in a higher serum level.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Rilpivirine.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Rilpivirine.]
[M01AH01, celecoxib, Rilpivirine may decrease the excretion rate of Celecoxib which could result in a higher serum level.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Rilpivirine.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Rilpivirine.]
[L01EC02, dabrafenib, The serum concentration of Rilpivirine can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The serum concentration of Rilpivirine can be decreased when it is combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Rilpivirine.]
[L01EB03, afatinib, Rilpivirine may decrease the excretion rate of Afatinib which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Rilpivirine.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Bepridil.]
[C02KX05, riociguat, Rilpivirine may decrease the excretion rate of Riociguat which could result in a higher serum level.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Rilpivirine.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Rilpivirine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Rilpivirine.]
[N03AF04, eslicarbazepine, The serum concentration of Rilpivirine can be decreased when it is combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Rilpivirine can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Rilpivirine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Rilpivirine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Rilpivirine.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Rilpivirine.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Rilpivirine.]
[A16AA07, metreleptin, The metabolism of Rilpivirine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Rilpivirine can be increased when combined with Apremilast.]
[L02BG02, formestane, The serum concentration of Rilpivirine can be decreased when it is combined with Formestane.]
[S03BA03, betamethasone, The serum concentration of Rilpivirine can be decreased when it is combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Rilpivirine.]
[L04AC11, siltuximab, The serum concentration of Rilpivirine can be decreased when it is combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Rilpivirine.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Rilpivirine.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Rilpivirine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Rilpivirine.]
[L01EM01, idelalisib, The serum concentration of Rilpivirine can be increased when it is combined with Idelalisib.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Olodaterol.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Rilpivirine.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Rilpivirine.]
[J01XA05, oritavancin, The serum concentration of Rilpivirine can be decreased when it is combined with Oritavancin.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Rilpivirine.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Rilpivirine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Rilpivirine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Rilpivirine.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Rilpivirine.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Rilpivirine.]
[L04AC10, secukinumab, The metabolism of Rilpivirine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Rilpivirine.]
[L01EX08, lenvatinib, Rilpivirine may decrease the excretion rate of Lenvatinib which could result in a higher serum level.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Rilpivirine.]
[N02BE01, acetaminophen, The serum concentration of Rilpivirine can be increased when it is combined with Acetaminophen.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Ivabradine.]
[J05AP06, asunaprevir, The serum concentration of Rilpivirine can be decreased when it is combined with Asunaprevir.]
[A07DA06, eluxadoline, The serum concentration of Eluxadoline can be increased when it is combined with Rilpivirine.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Rilpivirine.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Rilpivirine.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BC03, lansoprazole, Lansoprazole can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Rilpivirine.]
[J02AC05, isavuconazole, The serum concentration of Rilpivirine can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Rilpivirine.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Rilpivirine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Rilpivirine.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Rilpivirine.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Rilpivirine.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Rilpivirine.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Rilpivirine.]
[M04AB05, lesinurad, The serum concentration of Rilpivirine can be decreased when it is combined with Lesinurad.]
[J05AP11, grazoprevir, The excretion of Grazoprevir can be decreased when combined with Rilpivirine.]
[N05CA05, aprobarbital, The serum concentration of Rilpivirine can be decreased when it is combined with Aprobarbital.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Rilpivirine.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Rilpivirine.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[D07AC11, amcinonide, The serum concentration of Rilpivirine can be decreased when it is combined with Amcinonide.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Rilpivirine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Rilpivirine.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Rilpivirine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Rilpivirine.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Rilpivirine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Rilpivirine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Rilpivirine.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Rilpivirine.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Arsenic trioxide.]
[P01BE02, artemether, The serum concentration of Rilpivirine can be decreased when it is combined with Artemether.]
[M02AA03, clofezone, Rabeprazole can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Sparfloxacin.]
[R06AX09, azatadine, The serum concentration of Rilpivirine can be decreased when it is combined with Azatadine.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Rilpivirine.]
[L01XK03, rucaparib, Rilpivirine may decrease the excretion rate of Rucaparib which could result in a higher serum level.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Azithromycin.]
[L01EF02, ribociclib, The metabolism of Rilpivirine can be decreased when combined with Ribociclib.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Rilpivirine.]
[D05AX03, calcitriol, The serum concentration of Rilpivirine can be decreased when it is combined with Calcitriol.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AE09, tipranavir, The serum concentration of Rilpivirine can be increased when it is combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Rilpivirine.]
[L04AB02, infliximab, The metabolism of Rilpivirine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The serum concentration of Rilpivirine can be decreased when it is combined with Midostaurin.]
[L01ED04, brigatinib, The serum concentration of Rilpivirine can be decreased when it is combined with Brigatinib.]
[L04AC14, sarilumab, The serum concentration of Rilpivirine can be decreased when it is combined with Sarilumab.]
[J01MA23, delafloxacin, The serum concentration of Rilpivirine can be decreased when it is combined with Delafloxacin.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Rilpivirine.]
[L01XX59, enasidenib, The serum concentration of Rilpivirine can be decreased when it is combined with Enasidenib.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Rilpivirine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Rilpivirine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Rilpivirine.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Rilpivirine.]
[A02BX12, bismuth subnitrate, Bismuth subnitrate can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AG03, efavirenz, The serum concentration of Rilpivirine can be decreased when it is combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Rilpivirine.]
[R03BA02, budesonide, The serum concentration of Rilpivirine can be decreased when it is combined with Budesonide.]
[L01EL02, acalabrutinib, The serum concentration of Rilpivirine can be increased when it is combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Rilpivirine can be increased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Acetyldigoxin.]
[A10BK04, ertugliflozin, Rilpivirine may decrease the excretion rate of Ertugliflozin which could result in a higher serum level.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Acrivastine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Macimorelin.]
[L02BB05, apalutamide, The serum concentration of Rilpivirine can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Rilpivirine can be decreased when it is combined with Carbamazepine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Rilpivirine.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Rilpivirine.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Rilpivirine.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Rilpivirine.]
[H01CC03, elagolix, The serum concentration of Rilpivirine can be decreased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The metabolism of Rilpivirine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Rilpivirine.]
[N03AX17, stiripentol, The metabolism of Rilpivirine can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, Rilpivirine may decrease the excretion rate of Lusutrombopag which could result in a higher serum level.]
[J05AX24, tecovirimat, The metabolism of Rilpivirine can be decreased when combined with Tecovirimat.]
[L01EM04, duvelisib, Rilpivirine may decrease the excretion rate of Duvelisib which could result in a higher serum level.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Rilpivirine.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Rilpivirine.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Rilpivirine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Rilpivirine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Inotersen.]
[L01XK04, talazoparib, Rilpivirine may decrease the excretion rate of Talazoparib which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be decreased when combined with Rilpivirine.]
[R03BB08, revefenacin, Rilpivirine may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The serum concentration of Rilpivirine can be decreased when it is combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Rilpivirine can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Amifampridine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Rilpivirine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Cibenzoline.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Rilpivirine.]
[P02BX04, triclabendazole, The metabolism of Rilpivirine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The serum concentration of Rilpivirine can be decreased when it is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Rilpivirine.]
[J01FA09, clarithromycin, The serum concentration of Rilpivirine can be increased when it is combined with Clarithromycin.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Rilpivirine.]
[N05BA09, clobazam, The serum concentration of Rilpivirine can be decreased when it is combined with Clobazam.]
[H02AB14, cloprednol, The serum concentration of Rilpivirine can be decreased when it is combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Rilpivirine.]
[L04AB01, etanercept, The metabolism of Rilpivirine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The serum concentration of Rilpivirine can be decreased when it is combined with Cortivazol.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be increased when it is combined with Rilpivirine.]
[L02BB06, darolutamide, Rilpivirine may decrease the excretion rate of Darolutamide which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Rilpivirine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Cicletanine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Rilpivirine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Rilpivirine can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Rilpivirine.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Rilpivirine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Rilpivirine.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Rilpivirine.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Rilpivirine.]
[J01DB09, cephradine, The serum concentration of Rilpivirine can be decreased when it is combined with Cefradine.]
[H02AB13, deflazacort, The serum concentration of Rilpivirine can be decreased when it is combined with Deflazacort.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Rilpivirine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Rilpivirine.]
