[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Dobutamine is combined with Antipyrine.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dobutamine.]
[L01XG03, ixazomib, Dobutamine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Dobutamine may decrease the antihypertensive activities of Selexipag.]
[G04CA01, alfuzosin, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Alfuzosin.]
[M04AB05, lesinurad, Dobutamine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Dobutamine is combined with Alminoprofen.]
[N03AX23, brivaracetam, Dobutamine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Dobutamine may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, Bromocriptine may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[A02AD05, aluminum magnesium silicate, Dobutamine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The risk or severity of Tachycardia can be increased when Brompheniramine is combined with Dobutamine.]
[N06AA19, amineptin, Amineptine may increase the vasopressor activities of Dobutamine.]
[C08CA01, amlodipine, Dobutamine may decrease the antihypertensive activities of Amlodipine.]
[C03CA02, bumetanide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Bumetanide.]
[N01BB01, bupivacaine, Dobutamine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[C07AA19, bupranolol, Bupranolol may decrease the bronchodilatory activities of Dobutamine.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Buspirone is combined with Dobutamine.]
[L01XX27, arsenic trioxide, Dobutamine may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Dobutamine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Dobutamine is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of adverse effects can be increased when Dobutamine is combined with Bambuterol.]
[R03DA08, bamifylline, The risk or severity of adverse effects can be increased when Dobutamine is combined with Bamifylline.]
[A06AH05, naldemedine, Dobutamine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Dobutamine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N06BC01, caffeine, The risk or severity of adverse effects can be increased when Dobutamine is combined with Caffeine.]
[C09AA07, benazepril, Dobutamine may decrease the antihypertensive activities of Benazepril.]
[A12AA04, calcium carbonate, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium carbonate.]
[P01CA02, benznidazole, Dobutamine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[G04BA03, calcium chloride, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Dobutamine.]
[J05AF06, abacavir, Dobutamine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium gluconate.]
[H03BA03, benzylthiouracil, The risk or severity of adverse effects can be increased when Dobutamine is combined with Benzylthiouracil.]
[N07XX13, valbenazine, Dobutamine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[A12AA01, calcium phosphate, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium Phosphate.]
[H05AA04, abaloparatide, The risk or severity of adverse effects can be increased when Dobutamine is combined with Abaloparatide.]
[N04BD03, safinamide, Safinamide may increase the hypertensive activities of Dobutamine.]
[J01MA23, delafloxacin, Dobutamine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Dobutamine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C07AB07, bisoprolol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of adverse effects can be increased when Dobutamine is combined with Bitolterol.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C07AA17, bopindolol, Bopindolol may decrease the bronchodilatory activities of Dobutamine.]
[N04AA11, bornaprine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Bornaprine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of hypokalemia can be increased when Budesonide is combined with Dobutamine.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Dobutamine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Dobutamine is combined with Bumadizone.]
[N06AA15, butriptyline, Butriptyline may increase the vasopressor activities of Dobutamine.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Dobutamine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Dobutamine may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, Dobutamine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Dobutamine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium polycarbophil.]
[A03AA03, camylofine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Camylofin.]
[H03BB01, carbimazole, The risk or severity of adverse effects can be increased when Dobutamine is combined with Carbimazole.]
[C07AG02, carvedilol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of hypertension can be increased when Dobutamine is combined with Cannabidiol.]
[L04AA37, baricitinib, Dobutamine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01GB14, plazomicin, Dobutamine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Celiprolol.]
[A16AX14, migalastat, Dobutamine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Dobutamine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[D08AE05, chloroxylenol, Dobutamine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Dobutamine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The risk or severity of adverse effects can be increased when Dobutamine is combined with Oxtriphylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A06AX05, prucalopride, Dobutamine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, Dobutamine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, Dobutamine may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of hypertension can be increased when Dobutamine is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Dobutamine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Dobutamine is combined with Siponimod.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Dobutamine.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[H02AB14, cloprednol, The risk or severity of hypokalemia can be increased when Cloprednol is combined with Dobutamine.]
[V03AE07, calcium acetate, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, Dobutamine may decrease the antihypertensive activities of Candesartan.]
[H02AB17, cortivazol, The risk or severity of hypokalemia can be increased when Cortivazol is combined with Dobutamine.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N07XX11, pitolisant, Dobutamine may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[C03AA09, cyclothiazide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of hypertension can be increased when Dobutamine is combined with Yohimbine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
