[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dexmedetomidine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Tretinoin.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Dexmedetomidine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Dexmedetomidine.]
[C02BA01, trimethaphan, Dexmedetomidine may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Dexmedetomidine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Dexmedetomidine.]
[A03BB01, butylscopolamine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Dexmedetomidine.]
[C09CA09, azilsartan medoxomil, Dexmedetomidine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Dexmedetomidine.]
[L01FX04, ipilimumab, Dexmedetomidine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Dexmedetomidine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[S01AA28, vancomycin, Dexmedetomidine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ezogabine.]
[B01AF01, rivaroxaban, Dexmedetomidine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Indacaterol.]
[C08DA01, verapamil, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Verapamil.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Viloxazine.]
[C04AX07, vincamine, Dexmedetomidine may decrease the antihypertensive activities of Vincamine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Dexmedetomidine.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Dexmedetomidine.]
[N01AX15, xenon, The therapeutic efficacy of Xenon can be increased when used in combination with Dexmedetomidine.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Levetiracetam.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[M05BA05, tiludronic acid, Dexmedetomidine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Dexmedetomidine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Dexmedetomidine.]
[A02BC04, rabeprazole, Dexmedetomidine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Dexmedetomidine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Dexmedetomidine.]
[G04BD07, tolterodine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Dexmedetomidine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Atenolol.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Atracurium.]
[S01FA01, atropine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Dexmedetomidine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Dexmedetomidine.]
[B03XA04, peginesatide, Dexmedetomidine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Dexmedetomidine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Dexmedetomidine.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[G04BE10, avanafil, The risk or severity of hypotension can be increased when Avanafil is combined with Dexmedetomidine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Lorcaserin.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Dexmedetomidine.]
[L02BB04, enzalutamide, Dexmedetomidine may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Octopamine.]
[L01EX05, regorafenib, Dexmedetomidine may increase the bradycardic activities of Regorafenib.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Dexmedetomidine.]
[D02BA02, octinoxate, Dexmedetomidine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Dexmedetomidine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[N04BD02, rasagiline, Rasagiline may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[C08CA13, lercanidipine, Dexmedetomidine may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[L04AA29, tofacitinib, Dexmedetomidine may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Dexmedetomidine.]
[R06AC06, thonzylamine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AB02, chloroform, The therapeutic efficacy of Chloroform can be increased when used in combination with Dexmedetomidine.]
[V09IX04, fluorodeoxyglucose F18, Dexmedetomidine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Diethyl ether.]
[H01CB05, pasireotide, Dexmedetomidine may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Dexmedetomidine.]
[V08CA11, gadofosveset, Dexmedetomidine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Dexmedetomidine.]
[A16AX08, teduglutide, Dexmedetomidine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, Dexmedetomidine may increase the bradycardic activities of Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Dexmedetomidine.]
[A16AX09, glycerol phenylbutyrate, Dexmedetomidine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Dexmedetomidine.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Dexmedetomidine.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Benzocaine.]
[L03AA12, ancestim, Dexmedetomidine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Dexmedetomidine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Naratriptan.]
[N04AC01, benztropine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Benzydamine.]
[L01EE01, trametinib, Dexmedetomidine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Dexmedetomidine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Dexmedetomidine.]
[C02KX05, riociguat, Dexmedetomidine may decrease the antihypertensive activities of Riociguat.]
[A10BJ03, lixisenatide, Dexmedetomidine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Dexmedetomidine may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Dexmedetomidine.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Eslicarbazepine.]
[J05AP08, sofosbuvir, Dexmedetomidine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Vigabatrin.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Droxidopa.]
[C07AB04, acebutolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Dexmedetomidine.]
[L02BG02, formestane, Dexmedetomidine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S01ED02, betaxolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Betaxolol.]
[V03AB34, fomepizole, Dexmedetomidine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, Dexmedetomidine may decrease the antihypertensive activities of Bethanidine.]
[L01ED02, ceritinib, Dexmedetomidine may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Dexmedetomidine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Alfaxalone.]
[A10BK03, empagliflozin, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Olodaterol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[D11AA01, glycopyrronium, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N05CM19, suvorexant, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Dexmedetomidine.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N05AA04, acepromazine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Acepromazine.]
[N04AA02, biperiden, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Dexmedetomidine.]
[S03AA06, gentamicin, Dexmedetomidine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Dexmedetomidine.]
[B01AF03, edoxaban, Dexmedetomidine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Dexmedetomidine.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[A03AA09, difemerine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, Dexmedetomidine may increase the bradycardic activities of Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Dexmedetomidine.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Acetophenazine.]
[V03AB37, idarucizumab, Dexmedetomidine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Dexmedetomidine.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dexmedetomidine.]
[L01XG03, ixazomib, Dexmedetomidine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Dexmedetomidine may decrease the antihypertensive activities of Selexipag.]
[G04CA01, alfuzosin, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Alfuzosin.]
[M04AB05, lesinurad, Dexmedetomidine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Bromazepam.]
[N04BC01, bromocriptine, Bromocriptine may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[A02AD05, aluminum magnesium silicate, Dexmedetomidine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Dexmedetomidine.]
[N06AA19, amineptin, The risk or severity of hypertension can be increased when Amineptine is combined with Dexmedetomidine.]
[C08CA01, amlodipine, Dexmedetomidine may decrease the antihypertensive activities of Amlodipine.]
[N01AH05, anileridine, The therapeutic efficacy of Anileridine can be increased when used in combination with Dexmedetomidine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Dexmedetomidine.]
[C07AA19, bupranolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Bupranolol.]
[N07BC01, buprenorphine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Dexmedetomidine.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Dexmedetomidine may increase the bradycardic activities of Rivastigmine.]
[M02AA03, clofezone, Dexmedetomidine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Dexmedetomidine.]
[S01GX07, azelastine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Dexmedetomidine.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Bambuterol.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Dexmedetomidine.]
[A06AH05, naldemedine, Dexmedetomidine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of sedation and somnolence can be increased when Dexmedetomidine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Dexmedetomidine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Dexmedetomidine.]
[C09AA07, benazepril, Dexmedetomidine may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Dexmedetomidine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, Linezolid may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[J05AF06, abacavir, Dexmedetomidine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Dexmedetomidine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Dexmedetomidine.]
[N04BD03, safinamide, Safinamide may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[J01MA23, delafloxacin, Dexmedetomidine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Dexmedetomidine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Dexmedetomidine.]
[C07AB07, bisoprolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Bitolterol.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dexmedetomidine.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C07AA17, bopindolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Bopindolol.]
[N04AA11, bornaprine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Bromperidol.]
