[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Halothane.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Halothane.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Halothane.]
[R06AC06, thonzylamine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Halothane may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AB02, chloroform, The therapeutic efficacy of Chloroform can be increased when used in combination with Halothane.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Halothane is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Halothane.]
[G04BE03, sildenafil, The metabolism of Halothane can be decreased when combined with Sildenafil.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Halothane.]
[C03AA01, bendroflumethiazide, Halothane may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Halothane is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Halothane.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Halothane is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Halothane is combined with Benperidol.]
[A10BK02, canagliflozin, The risk or severity of adverse effects can be increased when Halothane is combined with Canagliflozin.]
[M04AB03, benzbromarone, The metabolism of Halothane can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Halothane can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Benzocaine is combined with Halothane.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Celecoxib is combined with Halothane.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Halothane.]
[N04AC01, benztropine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Halothane can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Halothane is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Halothane is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Halothane is combined with Levomilnacipran.]
[C08EA02, bepridil, Halothane may decrease the antihypertensive activities of Bepridil.]
[C02KX05, riociguat, Halothane may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Halothane may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Halothane is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Halothane is combined with Eslicarbazepine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Halothane.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Halothane.]
[C01CA27, droxidopa, The risk or severity of hypertension can be increased when Halothane is combined with Droxidopa.]
[C07AB04, acebutolol, Halothane may decrease the antihypertensive activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Halothane is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Halothane can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Halothane can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Halothane can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Halothane may decrease the antihypertensive activities of Betaxolol.]
[V03AB34, fomepizole, The metabolism of Halothane can be decreased when combined with Fomepizole.]
[C02CC01, bethanidine, Halothane may decrease the antihypertensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Halothane can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Halothane can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Halothane.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Halothane is combined with Alfaxalone.]
[A10BK03, empagliflozin, The risk or severity of adverse effects can be increased when Halothane is combined with Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Halothane is combined with Olodaterol.]
[D11AA01, glycopyrronium, Halothane may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Halothane may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[J01XA05, oritavancin, The metabolism of Halothane can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Halothane is combined with Acepromazine.]
[N04AA02, biperiden, Halothane may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Halothane.]
[B01AA01, dicumarol, The metabolism of Halothane can be decreased when combined with Dicoumarol.]
[N06AX11, mirtazapine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Halothane can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, Halothane may increase the hepatotoxic activities of Acetaminophen.]
[A03AA09, difemerine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Halothane.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Halothane is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Halothane is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Halothane is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Halothane is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Halothane is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Halothane.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Halothane.]
[A02BC03, lansoprazole, The metabolism of Halothane can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Halothane.]
[J02AC05, isavuconazole, The metabolism of Halothane can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Halothane may decrease the antihypertensive activities of Selexipag.]
[A10BB31, acetohexamide, The metabolism of Halothane can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Halothane.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Halothane is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Halothane is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Halothane is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Halothane is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Halothane is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Halothane is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Halothane.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Halothane is combined with Amineptine.]
[C08CA01, amlodipine, Halothane may decrease the antihypertensive activities of Amlodipine.]
[N01AH05, anileridine, The therapeutic efficacy of Halothane can be increased when used in combination with Anileridine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Halothane is combined with Aniracetam.]
[C03CA02, bumetanide, The risk or severity of adverse effects can be increased when Bumetanide is combined with Halothane.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Halothane.]
[C07AA19, bupranolol, Halothane may decrease the antihypertensive activities of Bupranolol.]
[N07BC01, buprenorphine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Halothane.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Halothane is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Halothane.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Halothane.]
[S01GX07, azelastine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Halothane can be decreased when combined with Rucaparib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Balsalazide is combined with Halothane.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Halothane is combined with Bambuterol.]
[N02BF02, pregabalin, The therapeutic efficacy of Halothane can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Halothane is combined with Beclamide.]
[C09AA07, benazepril, Halothane may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Halothane.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Halothane is combined with Linezolid.]
[L04AB02, infliximab, The metabolism of Halothane can be increased when combined with Infliximab.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Halothane is combined with Safinamide.]
[J01MA23, delafloxacin, The metabolism of Halothane can be increased when combined with Delafloxacin.]
[D01AC10, bifonazole, The metabolism of Halothane can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The metabolism of Halothane can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Halothane.]
[C07AB07, bisoprolol, Halothane may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Bitolterol is combined with Halothane.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Halothane.]
[C07AA17, bopindolol, Halothane may increase the cardiodepressant activities of Bopindolol.]
[N04AA11, bornaprine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Halothane is combined with Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Halothane is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Halothane is combined with Brotizolam.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Halothane is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Halothane is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Halothane is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Halothane is combined with Butriptyline.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Halothane is combined with Vinylbital.]
[C09AA01, captopril, Halothane may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, The metabolism of Halothane can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Halothane.]
[A03AA03, camylofine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Halothane.]
[C07AG02, carvedilol, The metabolism of Halothane can be decreased when combined with Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Halothane.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Halothane.]
[B02BX08, avatrombopag, The metabolism of Halothane can be increased when combined with Avatrombopag.]
[C07AB08, celiprolol, Halothane may decrease the antihypertensive activities of Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Halothane can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Halothane can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Halothane.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Halothane.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Halothane is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Halothane.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Halothane is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Halothane is combined with Lornoxicam.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Halothane.]
[R03BB08, revefenacin, Halothane may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Halothane can be increased when combined with Emapalumab.]
[C09AA08, cilazapril, Halothane may decrease the antihypertensive activities of Cilazapril.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Halothane is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Halothane can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Halothane.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Halothane is combined with Siponimod.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Halothane.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Halothane is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Halothane.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Halothane.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Halothane is combined with Cloxazolam.]
[C09CA06, candesartan, Halothane may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Halothane can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Halothane can be decreased when it is combined with Alpelisib.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Halothane is combined with Cyamemazine.]
[C03BX03, cicletanine, Halothane may decrease the antihypertensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Halothane.]
[N07XX11, pitolisant, The serum concentration of Halothane can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Halothane.]
[C03AA09, cyclothiazide, Halothane may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Halothane is combined with Yohimbine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Halothane.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Halothane.]
[G03AC09, desogestrel, The metabolism of Halothane can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Halothane.]
[N03AX25, cenobamate, The serum concentration of Halothane can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Halothane.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Halothane is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Halothane can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The serum concentration of Halothane can be decreased when it is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Halothane is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Halothane can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Halothane.]
[J05AE05, amprenavir, The metabolism of Halothane can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Halothane.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dutasteride is combined with Halothane.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Halothane is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Halothane.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Halothane is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Halothane is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Halothane.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Halothane.]
[L01XF03, bexarotene, The metabolism of Halothane can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Halothane can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The risk or severity of hypertension can be increased when Halothane is combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Halothane is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Halothane.]
[C02AA06, methoserpidine, Halothane may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Halothane.]
[A03AA08, dihexyverine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Halothane is combined with Opicapone.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Halothane is combined with Dopexamine.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Halothane.]
[G04BD09, trospium, Halothane may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Halothane is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Halothane is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Halothane is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Halothane is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Halothane is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Halothane.]
[C08CA17, levamlodipine, Halothane may decrease the antihypertensive activities of Levamlodipine.]
[P01BB01, proguanil, The metabolism of Halothane can be decreased when combined with Proguanil.]
