[S02DA03, antipyrine, The metabolism of Vortioxetine can be decreased when combined with Antipyrine.]
[C04AX07, vincamine, Vortioxetine may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Vortioxetine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[B01AA03, warfarin, Vortioxetine may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Vortioxetine is combined with Xenon.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Vortioxetine can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Vortioxetine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Vortioxetine.]
[L01EC01, vemurafenib, The metabolism of Vortioxetine can be decreased when combined with Vemurafenib.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[B06AC02, icatibant, Icatibant may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Vortioxetine.]
[R03DC01, zafirlukast, The metabolism of Vortioxetine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Vortioxetine can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Deferiprone may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Vortioxetine is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Ruxolitinib may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G04BD07, tolterodine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Doripenem may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C07AB03, atenolol, Vortioxetine may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Vortioxetine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Atracurium.]
[S01FA01, atropine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vortioxetine can be decreased when combined with Vismodegib.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Vortioxetine.]
[R07AX02, ivacaftor, The metabolism of Vortioxetine can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Vortioxetine can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Peginesatide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Vortioxetine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[A08AA11, lorcaserin, The metabolism of Vortioxetine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Vortioxetine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Vortioxetine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Vortioxetine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The metabolism of Vortioxetine can be increased when combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Vortioxetine can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Vortioxetine can be decreased when combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Vortioxetine is combined with Defibrotide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Vortioxetine is combined with Octopamine.]
[L01EX05, regorafenib, The metabolism of Vortioxetine can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Vortioxetine.]
[D02BA02, octinoxate, Vortioxetine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Vortioxetine can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[N04BD02, rasagiline, The metabolism of Vortioxetine can be decreased when combined with Rasagiline.]
[C08CA13, lercanidipine, Vortioxetine may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Vortioxetine.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[N02CC03, zolmitriptan, The risk or severity of vasospastic reactions can be increased when Vortioxetine is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Vortioxetine can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Vortioxetine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Vortioxetine can be decreased when combined with Cabozantinib.]
[G04BE03, sildenafil, The metabolism of Vortioxetine can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Gadofosveset trisodium may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Vortioxetine.]
[B01AF02, apixaban, The metabolism of Vortioxetine can be decreased when combined with Apixaban.]
[A16AX08, teduglutide, Teduglutide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[A10BH04, alogliptin, Alogliptin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Vortioxetine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Vortioxetine.]
[G03XC05, ospemifene, The metabolism of Vortioxetine can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Vortioxetine is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[M04AB03, benzbromarone, The metabolism of Vortioxetine can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Vortioxetine can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Benzocaine is combined with Vortioxetine.]
[L03AA12, ancestim, Vortioxetine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Vortioxetine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Vortioxetine.]
[L04AA18, everolimus, The metabolism of Vortioxetine can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Vortioxetine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Vortioxetine is combined with Benzydamine.]
[L01EE01, trametinib, The metabolism of Vortioxetine can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Benzyl alcohol is combined with Vortioxetine.]
[V09AX05, florbetapir F-18, Vortioxetine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Vortioxetine can be decreased when combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Vortioxetine can be decreased when combined with Riociguat.]
[A10BJ03, lixisenatide, Vortioxetine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Vortioxetine may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Vortioxetine can be decreased when combined with Ibrutinib.]
[S01AA13, fusidic acid, The metabolism of Vortioxetine can be decreased when combined with Fusidic acid.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Vortioxetine can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Vortioxetine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Sofosbuvir may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Vortioxetine.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Vortioxetine may increase the hypertensive activities of Droxidopa.]
[C07AB04, acebutolol, The metabolism of Vortioxetine can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Vortioxetine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Vortioxetine can be increased when combined with Apremilast.]
[L02BG02, formestane, Formestane may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Vortioxetine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Vortioxetine may decrease the antihypertensive activities of Betaxolol.]
[V03AB34, fomepizole, The metabolism of Vortioxetine can be decreased when combined with Fomepizole.]
[C02CC01, bethanidine, Vortioxetine may decrease the antihypertensive activities of Bethanidine.]
[C10AB02, bezafibrate, The metabolism of Vortioxetine can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Vortioxetine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Vortioxetine can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Vortioxetine is combined with Vorapaxar.]
[A03BA03, hyoscyamine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Vortioxetine can be decreased when combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Alfaxalone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Vortioxetine.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[D11AA01, glycopyrronium, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05CM19, suvorexant, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Vortioxetine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Vortioxetine can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Acepromazine.]
[N04AA02, biperiden, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Vortioxetine can be decreased when combined with Pirfenidone.]
[S03AA06, gentamicin, Vortioxetine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Vortioxetine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Vortioxetine.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Dicoumarol.]
[B01AF03, edoxaban, Vortioxetine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Vortioxetine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Vortioxetine can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Vortioxetine can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Vortioxetine.]
[N02BE01, acetaminophen, The metabolism of Vortioxetine can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[A03AA09, difemerine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Vortioxetine can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Vortioxetine is combined with Eluxadoline.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Vortioxetine is combined with Cangrelor.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Vortioxetine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Flibanserin is combined with Vortioxetine.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Aceclofenac is combined with Vortioxetine.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Vortioxetine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Vortioxetine.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Vortioxetine can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Vortioxetine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Vortioxetine.]
[J02AC05, isavuconazole, The metabolism of Vortioxetine can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Vortioxetine.]
[L01XG03, ixazomib, Vortioxetine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Vortioxetine.]
[A10BB31, acetohexamide, The metabolism of Vortioxetine can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, Vortioxetine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Vortioxetine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Vortioxetine.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Vortioxetine is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Vortioxetine.]
[L01XX52, venetoclax, The metabolism of Vortioxetine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Vortioxetine.]
[N04BC01, bromocriptine, Bromocriptine may increase the vasoconstricting activities of Vortioxetine.]
[A02AD05, aluminum magnesium silicate, Vortioxetine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Vortioxetine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Vortioxetine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Amineptine is combined with Vortioxetine.]
[C08CA01, amlodipine, Vortioxetine may decrease the antihypertensive activities of Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Aniracetam is combined with Vortioxetine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Vortioxetine.]
[C07AA19, bupranolol, Vortioxetine may decrease the antihypertensive activities of Bupranolol.]
[N07BC01, buprenorphine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Vortioxetine.]
