[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Pioglitazone.]
[L02BX03, abiraterone, The metabolism of Pioglitazone can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Pioglitazone can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Pioglitazone can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Pioglitazone can be decreased when combined with Rilpivirine.]
[C08DA01, verapamil, The metabolism of Pioglitazone can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Pioglitazone can be decreased when combined with Viloxazine.]
[C03BA10, xipamide, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Xipamide.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Pioglitazone.]
[J05AE02, indinavir, The metabolism of Pioglitazone can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Pioglitazone can be decreased when combined with Crizotinib.]
[J01MA13, trovafloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Trovafloxacin.]
[N05AE04, ziprasidone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Drospirenone.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Pioglitazone.]
[C07AB03, atenolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Atenolol.]
[J02AC03, voriconazole, The metabolism of Pioglitazone can be decreased when combined with Voriconazole.]
[H02AB11, prednylidene, The risk or severity of hyperglycemia can be increased when Prednylidene is combined with Pioglitazone.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Pioglitazone.]
[M03BX01, baclofen, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Baclofen.]
[V03AX03, cobicistat, The metabolism of Pioglitazone can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Pioglitazone can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Pioglitazone can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Pioglitazone can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Pioglitazone can be decreased when combined with Teriflunomide.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Pioglitazone.]
[J05AE04, nelfinavir, The metabolism of Pioglitazone can be decreased when combined with Nelfinavir.]
[N04BD02, rasagiline, Rasagiline may increase the hypoglycemic activities of Pioglitazone.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Pioglitazone.]
[L01EX07, cabozantinib, The metabolism of Pioglitazone can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Pasireotide.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Pioglitazone.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Pioglitazone.]
[C04AX11, bencyclane, The risk or severity of hypoglycemia can be increased when Bencyclane is combined with Pioglitazone.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Bendroflumethiazide.]
[A10BK02, canagliflozin, Canagliflozin may increase the hypoglycemic activities of Pioglitazone.]
[J01MA15, gemifloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Gemifloxacin.]
[S01AE07, moxifloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Pioglitazone can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, Tiratricol may decrease the hypoglycemic activities of Pioglitazone.]
[A10AE05, insulin detemir, The risk or severity of adverse effects can be increased when Pioglitazone is combined with Insulin detemir.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Pramlintide.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Pioglitazone.]
[L04AA18, everolimus, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Everolimus.]
[L01EC02, dabrafenib, The serum concentration of Pioglitazone can be increased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The serum concentration of Pioglitazone can be increased when it is combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Pioglitazone.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Levomilnacipran is combined with Pioglitazone.]
[C08EA02, bepridil, The risk or severity of hypoglycemia can be increased when Bepridil is combined with Pioglitazone.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Pioglitazone.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Lixisenatide.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Pioglitazone.]
[G03AC08, etonogestrel, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Etonogestrel.]
[J05AP05, simeprevir, The metabolism of Pioglitazone can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the hypoglycemic activities of Pioglitazone.]
[C07AB04, acebutolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Acebutolol.]
[A16AA07, metreleptin, The metabolism of Pioglitazone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Pioglitazone can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Pioglitazone can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Betaxolol.]
[C10AB02, bezafibrate, The metabolism of Pioglitazone can be decreased when combined with Bezafibrate.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Albiglutide.]
[L04AC11, siltuximab, The metabolism of Pioglitazone can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Ceritinib.]
[A10BK03, empagliflozin, Empagliflozin may increase the hypoglycemic activities of Pioglitazone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Pioglitazone.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Dulaglutide.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Pioglitazone.]
[L04AC10, secukinumab, The metabolism of Pioglitazone can be increased when combined with Secukinumab.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Brexpiprazole.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Acarbose is combined with Pioglitazone.]
[S01EC01, acetazolamide, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of adverse effects can be increased when Pioglitazone is combined with Insulin degludec.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Pioglitazone.]
[J02AC05, isavuconazole, The metabolism of Pioglitazone can be increased when combined with Isavuconazole.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Pioglitazone.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Pioglitazone.]
[N02BA02, aloxiprin, Aloxiprin may increase the hypoglycemic activities of Pioglitazone.]
[L01XX52, venetoclax, The metabolism of Pioglitazone can be decreased when combined with Venetoclax.]
[N04BC01, bromocriptine, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Bromocriptine.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Pioglitazone.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Pioglitazone.]
[C08CA01, amlodipine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Pioglitazone.]
[C03CA02, bumetanide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Bumetanide.]
[C07AA19, bupranolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Pioglitazone.]
[L02AE01, buserelin, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Buserelin.]
[L01XX27, arsenic trioxide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Arsenic trioxide.]
[J01MA09, sparfloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Sparfloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Pioglitazone.]
[L01EF02, ribociclib, The metabolism of Pioglitazone can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the hypoglycemic activities of Pioglitazone.]
[N02BF02, pregabalin, The risk or severity of weight gain and edema formation can be increased when Pregabalin is combined with Pioglitazone.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Pioglitazone.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Benfluorex.]
[J01XX08, linezolid, Linezolid may increase the hypoglycemic activities of Pioglitazone.]
[J05AE09, tipranavir, The metabolism of Pioglitazone can be decreased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Pioglitazone can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Pioglitazone can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Pioglitazone.]
[N04BD03, safinamide, Safinamide may increase the hypoglycemic activities of Pioglitazone.]
[J01MA23, delafloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Delafloxacin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Pioglitazone.]
[L01XH01, vorinostat, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Pioglitazone can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Bopindolol.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Pioglitazone.]
[J05AX18, letermovir, The metabolism of Pioglitazone can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, Butriptyline may decrease the hypoglycemic activities of Pioglitazone.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Semaglutide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Ertugliflozin.]
[L02BB05, apalutamide, The metabolism of Pioglitazone can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Pioglitazone can be increased when combined with Carbamazepine.]
[C07AG02, carvedilol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Pioglitazone can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Pioglitazone can be increased when combined with Avatrombopag.]
[C07AB08, celiprolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Pioglitazone.]
[L01XX62, ivosidenib, The metabolism of Pioglitazone can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Pioglitazone can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Pioglitazone can be increased when combined with Tecovirimat.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Pioglitazone.]
[L04AA39, emapalumab, The metabolism of Pioglitazone can be increased when combined with Emapalumab.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Pioglitazone.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Pioglitazone.]
[P02BX04, triclabendazole, The metabolism of Pioglitazone can be decreased when combined with Triclabendazole.]
[J01FA09, clarithromycin, The metabolism of Pioglitazone can be decreased when combined with Clarithromycin.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Pioglitazone.]
[H02AB14, cloprednol, The risk or severity of hyperglycemia can be increased when Cloprednol is combined with Pioglitazone.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Pioglitazone.]
[C09CA06, candesartan, The metabolism of Pioglitazone can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Pioglitazone can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of hyperglycemia can be increased when Cortivazol is combined with Pioglitazone.]
[L01EM03, alpelisib, The metabolism of Pioglitazone can be decreased when combined with Alpelisib.]
[N07XX11, pitolisant, The serum concentration of Pioglitazone can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Pioglitazone.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of adverse effects can be increased when Pioglitazone is combined with Insulin pork.]
[H02AB13, deflazacort, The risk or severity of hyperglycemia can be increased when Deflazacort is combined with Pioglitazone.]
[G03AC09, desogestrel, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Desogestrel.]
[N03AX25, cenobamate, The serum concentration of Pioglitazone can be decreased when it is combined with Cenobamate.]
[L04AA53, teprotumumab, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Teprotumumab.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Gatifloxacin.]
[J05AE05, amprenavir, The metabolism of Pioglitazone can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Pioglitazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Pioglitazone.]
[G03DB08, dienogest, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Dienogest.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Pioglitazone.]
[M01AH02, rofecoxib, The metabolism of Pioglitazone can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Pioglitazone can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The risk or severity of hypoglycemia can be increased when Clevidipine is combined with Pioglitazone.]
[C01BD07, dronedarone, The metabolism of Pioglitazone can be decreased when combined with Dronedarone.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Pioglitazone.]
[D07XB03, fluprednidene, The risk or severity of hyperglycemia can be increased when Fluprednidene is combined with Pioglitazone.]
[L01EX22, selpercatinib, The serum concentration of Pioglitazone can be increased when it is combined with Selpercatinib.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Pioglitazone.]
[C08CA17, levamlodipine, The risk or severity of hypoglycemia can be increased when Levamlodipine is combined with Pioglitazone.]
[L04AC19, satralizumab, The serum concentration of Pioglitazone can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Pioglitazone.]
[L01EX23, pralsetinib, The metabolism of Pioglitazone can be increased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Chlorothiazide.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Pioglitazone.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Chlorthalidone.]
[N02BA03, choline salicylate, Choline salicylate may increase the hypoglycemic activities of Pioglitazone.]
[N06BX18, vinpocetine, The risk or severity of hypoglycemia can be increased when Vinpocetine is combined with Pioglitazone.]
[B06AC06, berotralstat, The metabolism of Pioglitazone can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Pioglitazone can be decreased when combined with Lonafarnib.]
[P03AX07, abametapir, The serum concentration of Pioglitazone can be increased when it is combined with Abametapir.]
[J01MB07, flumequine, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Pioglitazone.]
[A10AF01, insulin, regular, human, The risk or severity of adverse effects can be increased when Pioglitazone is combined with Insulin human.]
[A02BA01, cimetidine, The metabolism of Pioglitazone can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The risk or severity of hypoglycemia can be increased when Cinnarizine is combined with Pioglitazone.]
[J01MB06, cinoxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Pioglitazone can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of hypoglycemia can be increased when Citalopram is combined with Pioglitazone.]
[H01AC07, somapacitan, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Somapacitan.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Pioglitazone.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Lonapegsomatropin.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Pioglitazone.]
[N06AX25, St. John's wort extract, The metabolism of Pioglitazone can be increased when combined with St. John's Wort.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Pioglitazone.]
[B06AX04, mitapivat, The metabolism of Pioglitazone can be increased when combined with Mitapivat.]
[N06AA04, clomipramine, Clomipramine may decrease the hypoglycemic activities of Pioglitazone.]
[C01EB24, mavacamten, The serum concentration of Pioglitazone can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Tirzepatide.]
[C03BA03, clopamide, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Clopamide.]
[H01CC04, linzagolix, The serum concentration of Pioglitazone can be increased when it is combined with Linzagolix.]
[N05AH02, clozapine, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Sotagliflozin.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Pioglitazone.]
[H01AC08, somatrogon, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Pioglitazone can be increased when combined with Bimekizumab.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Nateglinide is combined with Pioglitazone.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of adverse effects can be increased when Pioglitazone is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Pioglitazone can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of hyperglycemia can be increased when Ciclesonide is combined with Pioglitazone.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Pioglitazone.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Pioglitazone.]
[J02AC02, itraconazole, The metabolism of Pioglitazone can be decreased when combined with Itraconazole.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Pioglitazone.]
[J02AC04, posaconazole, The metabolism of Pioglitazone can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of hypoglycemia can be increased when Lacidipine is combined with Pioglitazone.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Pioglitazone.]
[S01AE04, lomefloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Lomefloxacin.]
[R06AX13, loratadine, The metabolism of Pioglitazone can be decreased when combined with Loratadine.]
[C08CA11, manidipine, The risk or severity of hypoglycemia can be increased when Manidipine is combined with Pioglitazone.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Pioglitazone.]
[C07AA14, mepindolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of hyperglycemia can be increased when Meprednisone is combined with Pioglitazone.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Pioglitazone.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Miglitol is combined with Pioglitazone.]
[L01AA01, cyclophosphamide, The metabolism of Pioglitazone can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the hypoglycemic activities of Pioglitazone.]
[S01XA18, cyclosporine, The metabolism of Pioglitazone can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the hypoglycemic activities of Pioglitazone.]
[C10AA07, rosuvastatin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Pioglitazone can be decreased when combined with Conivaptan.]
[G03XA01, danazol, The metabolism of Pioglitazone can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Pioglitazone.]
[C07AB12, nebivolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Nebivolol.]
[N06AX06, nefazodone, The metabolism of Pioglitazone can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Pioglitazone can be decreased when combined with Nilutamide.]
[N06AB10, escitalopram, The risk or severity of hypoglycemia can be increased when Escitalopram is combined with Pioglitazone.]
[A07EC03, olsalazine, Olsalazine may increase the hypoglycemic activities of Pioglitazone.]
[N06AA01, desipramine, Desipramine may decrease the hypoglycemic activities of Pioglitazone.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Pioglitazone.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Pioglitazone.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Pioglitazone.]
[S03BA01, dexamethasone, The metabolism of Pioglitazone can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Pioglitazone can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Pioglitazone can be increased when combined with Adalimumab.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Pioglitazone.]
[N06AB05, paroxetine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Pioglitazone.]
[B01AC04, clopidogrel, The serum concentration of Pioglitazone can be increased when it is combined with Clopidogrel.]
[V03AH01, diazoxide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Pioglitazone.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Pioglitazone.]
[A07AB02, phthalylsulfathiazole, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Phthalylsulfathiazole.]
[A03AX04, pinaverium, The risk or severity of hypoglycemia can be increased when Pinaverium is combined with Pioglitazone.]
