[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Zaleplon is combined with Tiapride.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Tilidine.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[S01AA12, tobramycin, Zaleplon may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[V04CA01, tolbutamide, Zaleplon may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Zaleplon is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Zaleplon.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Zaleplon can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Zaleplon can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Zaleplon.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Zaleplon may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Zaleplon.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Zaleplon is combined with Trifluperidol.]
[N05AA05, triflupromazine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Zaleplon can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Zaleplon.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Zaleplon.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Zaleplon.]
[A03BB01, butylscopolamine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Zaleplon can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Zaleplon.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Tubocurarine.]
[R03DX07, roflumilast, Zaleplon may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Zaleplon may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Zaleplon may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Zaleplon can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Zaleplon can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Zaleplon can be decreased when combined with Telaprevir.]
[S01AA28, vancomycin, Zaleplon may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Ezogabine.]
[B01AF01, rivaroxaban, Zaleplon may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Zaleplon.]
[C08DA01, verapamil, The metabolism of Zaleplon can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Zaleplon can be decreased when combined with Viloxazine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Zaleplon.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[B01AA03, warfarin, Zaleplon may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Zaleplon can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Zaleplon is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Zaleplon can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Levetiracetam.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M05BA05, tiludronic acid, Zaleplon may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Zaleplon may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Zaleplon.]
[A02BC04, rabeprazole, Zaleplon may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Zaleplon.]
[V03AC02, deferiprone, Zaleplon may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Zaleplon may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Zaleplon may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The metabolism of Zaleplon can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Zaleplon is combined with Atracurium.]
[S01FA01, atropine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Zaleplon may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Zaleplon.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Zaleplon.]
[H02AB11, prednylidene, The metabolism of Zaleplon can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Zaleplon may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L04AX01, azathioprine, Zaleplon may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01CA09, azlocillin, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Azlocillin.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Zaleplon.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Zaleplon is combined with Lorcaserin.]
[G04BD12, mirabegron, Zaleplon may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[V03AX03, cobicistat, The metabolism of Zaleplon can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Zaleplon can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Zaleplon can be decreased when it is combined with Enzalutamide.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Zaleplon is combined with Barbital.]
[D02BA02, octinoxate, Zaleplon may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Zaleplon can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Zaleplon is combined with Rasagiline.]
[C08CA13, lercanidipine, The metabolism of Zaleplon can be decreased when combined with Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Zaleplon is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Zaleplon.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Zaleplon.]
[R06AC06, thonzylamine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Zaleplon may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Zaleplon is combined with Diethyl ether.]
[G04BE03, sildenafil, The metabolism of Zaleplon can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Zaleplon may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Zaleplon.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Zaleplon.]
[A16AX08, teduglutide, Zaleplon may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Zaleplon may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Zaleplon may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Pomalidomide.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Zaleplon is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Benzocaine.]
[L03AA12, ancestim, Zaleplon may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Zaleplon.]
[N04AC01, benztropine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Zaleplon can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L01EE01, trametinib, Zaleplon may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Zaleplon may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Zaleplon is combined with Levomilnacipran.]
[A10BJ03, lixisenatide, Zaleplon may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Zaleplon may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Zaleplon.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Zaleplon.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Zaleplon can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Zaleplon may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Zaleplon is combined with Vigabatrin.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Zaleplon may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Zaleplon can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Zaleplon can be increased when combined with Apremilast.]
[L02BG02, formestane, Zaleplon may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Zaleplon can be increased when combined with Betamethasone.]
[V03AB34, fomepizole, Zaleplon may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Zaleplon can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Alfaxalone.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[D11AA01, glycopyrronium, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05CM19, suvorexant, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Acepromazine.]
[N04AA02, biperiden, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S03AA06, gentamicin, Zaleplon may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Zaleplon.]
[B01AF03, edoxaban, Zaleplon may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Zaleplon can be increased when combined with Secukinumab.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Zaleplon.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A03AA09, difemerine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Zaleplon.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Zaleplon is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Zaleplon is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Cariprazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Zaleplon.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Acetophenazine.]
[V03AB37, idarucizumab, Zaleplon may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J02AC05, isavuconazole, The metabolism of Zaleplon can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Zaleplon.]
[L01XG03, ixazomib, Zaleplon may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Zaleplon may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Zaleplon.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Zaleplon is combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Zaleplon can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Zaleplon may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Zaleplon.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Zaleplon is combined with Amineptine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Bupivacaine.]
[N07BC01, buprenorphine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Zaleplon.]
[L01XX27, arsenic trioxide, Zaleplon may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Zaleplon.]
[M02AA03, clofezone, Zaleplon may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Zaleplon.]
[R06AX09, azatadine, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Zaleplon can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Zaleplon can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R03DA08, bamifylline, Zaleplon may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AH05, naldemedine, Zaleplon may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of sedation and somnolence can be increased when Zaleplon is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Zaleplon can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Beclamide.]
[N06BC01, caffeine, Zaleplon may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Zaleplon may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Linezolid.]
[J05AF06, abacavir, Zaleplon may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Zaleplon can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Zaleplon may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Zaleplon can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Zaleplon can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Safinamide.]
[J01MA23, delafloxacin, Zaleplon may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Zaleplon may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Zaleplon.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Zaleplon can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04AA11, bornaprine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Zaleplon is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Zaleplon can be increased when combined with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Zaleplon can be decreased when combined with Acalabrutinib.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Zaleplon is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Zaleplon can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Zaleplon is combined with Butriptyline.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Zaleplon is combined with Vinylbital.]
[R06AX18, acrivastine, Zaleplon may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Zaleplon can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, Carbamazepine may increase the Change in thyroid function activities of Zaleplon.]
[A03AA03, camylofine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Zaleplon.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Zaleplon.]
[L04AA37, baricitinib, Zaleplon may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
