[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Trovafloxacin.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Trovafloxacin.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Trovafloxacin.]
[M02AA21, tolmetin, Tolmetin may increase the neuroexcitatory activities of Trovafloxacin.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Trovafloxacin.]
[S01BA05, triamcinolone, The risk or severity of tendinopathy can be increased when Triamcinolone is combined with Trovafloxacin.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Trovafloxacin.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Trovafloxacin.]
[D07AC02, fluclorolone, The risk or severity of tendinopathy can be increased when Fluclorolone is combined with Trovafloxacin.]
[R03BA07, mometasone, The risk or severity of tendinopathy can be increased when Mometasone is combined with Trovafloxacin.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Trimebutine is combined with Trovafloxacin.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Trovafloxacin.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Trovafloxacin.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Trovafloxacin.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Trovafloxacin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Trovafloxacin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Vandetanib.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Trovafloxacin.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Trovafloxacin.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Trovafloxacin.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Trovafloxacin.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Trovafloxacin.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be increased when used in combination with Trovafloxacin.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Zuclopenthixol.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Vemurafenib.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Crizotinib is combined with Trovafloxacin.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Trovafloxacin.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Ziprasidone.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the neuroexcitatory activities of Trovafloxacin.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Trovafloxacin.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Trovafloxacin.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Trovafloxacin.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Trovafloxacin.]
[H02AB11, prednylidene, The risk or severity of tendinopathy can be increased when Prednylidene is combined with Trovafloxacin.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Trovafloxacin.]
[J01CA09, azlocillin, The serum concentration of Trovafloxacin can be increased when it is combined with Azlocillin.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Trovafloxacin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Mirabegron is combined with Trovafloxacin.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AA01, aldosterone, The risk or severity of tendinopathy can be increased when Aldosterone is combined with Trovafloxacin.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Trovafloxacin.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Trovafloxacin.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Trovafloxacin.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Trovafloxacin.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Trovafloxacin.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Trovafloxacin.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Bedaquiline is combined with Trovafloxacin.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Trovafloxacin.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Trovafloxacin.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Trovafloxacin.]
[N02BA10, benorilate, Benorilate may increase the neuroexcitatory activities of Trovafloxacin.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Trovafloxacin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Trovafloxacin.]
[A12CC09, magnesium orotate, Magnesium orotate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Trovafloxacin.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Trovafloxacin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Trovafloxacin.]
[M01AH01, celecoxib, Celecoxib may increase the neuroexcitatory activities of Trovafloxacin.]
[A12CC05, magnesium aspartate, Magnesium aspartate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Trovafloxacin.]
[L01EC02, dabrafenib, The risk or severity of QTc prolongation can be increased when Dabrafenib is combined with Trovafloxacin.]
[R02AX03, benzydamine, Benzydamine may increase the neuroexcitatory activities of Trovafloxacin.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Benzyl alcohol.]
[B03AB04, ferric hydroxide, Ferric hydroxide can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Bepridil.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Trovafloxacin.]
[V03AE05, sucroferric oxyhydroxide, Iron sucrose can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Trovafloxacin.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Trovafloxacin.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Trovafloxacin.]
[S03BA03, betamethasone, The risk or severity of tendinopathy can be increased when Betamethasone is combined with Trovafloxacin.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Trovafloxacin.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Trovafloxacin.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Ceritinib is combined with Trovafloxacin.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Trovafloxacin.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Trovafloxacin.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Trovafloxacin.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Trovafloxacin.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Eliglustat.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Trovafloxacin.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Trovafloxacin.]
[V03AE08, ferric citrate, Tetraferric tricitrate decahydrate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Trovafloxacin.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Trovafloxacin.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Lenvatinib is combined with Trovafloxacin.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Panobinostat is combined with Trovafloxacin.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Trovafloxacin.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Trovafloxacin.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Ivabradine.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Trovafloxacin.]
[M02AA25, aceclofenac, Aceclofenac may increase the neuroexcitatory activities of Trovafloxacin.]
[M01AB11, acemetacin, Acemetacin may increase the neuroexcitatory activities of Trovafloxacin.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Trovafloxacin.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Trovafloxacin.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Trovafloxacin.]
[M01AE16, alminoprofen, Alminoprofen may increase the neuroexcitatory activities of Trovafloxacin.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Trovafloxacin.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Trovafloxacin.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Trovafloxacin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Trovafloxacin.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Trovafloxacin.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Trovafloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Trovafloxacin.]
[J01CE04, azidocillin, The serum concentration of Trovafloxacin can be increased when it is combined with Azidocillin.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Trovafloxacin.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Trovafloxacin.]
[J01CA06, bacampicillin, The serum concentration of Trovafloxacin can be increased when it is combined with Bacampicillin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the neuroexcitatory activities of Trovafloxacin.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Trovafloxacin.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Trovafloxacin.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Trovafloxacin.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Trovafloxacin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Oxybuprocaine.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[D11AX03, calcium gluconate, Calcium gluconate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA01, calcium phosphate, Calcium Phosphate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Trovafloxacin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Trovafloxacin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Trovafloxacin.]
[J05AG03, efavirenz, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Trovafloxacin.]
[R03BA02, budesonide, The risk or severity of tendinopathy can be increased when Budesonide is combined with Trovafloxacin.]
[M01AB07, bumadizone, Bumadizone may increase the neuroexcitatory activities of Trovafloxacin.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Trovafloxacin.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Trovafloxacin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Trovafloxacin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Trovafloxacin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Trovafloxacin.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Macimorelin.]
[A06AC08, calcium polycarbophil, Calcium polycarbophil can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA03, carbenicillin, The serum concentration of Trovafloxacin can be increased when it is combined with Carbenicillin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Trovafloxacin.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Trovafloxacin.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Trovafloxacin.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Trovafloxacin.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Trovafloxacin.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be decreased when combined with Trovafloxacin.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Trovafloxacin.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Trovafloxacin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Chloroprocaine.]
[M01AC05, lornoxicam, Lornoxicam may increase the neuroexcitatory activities of Trovafloxacin.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Trovafloxacin.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Trovafloxacin.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Trovafloxacin.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Gilteritinib is combined with Trovafloxacin.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Amifampridine is combined with Trovafloxacin.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Trovafloxacin.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Trovafloxacin.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Triclabendazole is combined with Trovafloxacin.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Clarithromycin is combined with Trovafloxacin.]
[H02AB14, cloprednol, The risk or severity of tendinopathy can be increased when Cloprednol is combined with Trovafloxacin.]
[V03AE07, calcium acetate, Calcium acetate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC06, magnesium lactate, Magnesium lactate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of tendinopathy can be increased when Cortivazol is combined with Trovafloxacin.]
[J01CF03, methicillin, The serum concentration of Trovafloxacin can be increased when it is combined with Meticillin.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Trovafloxacin.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Trovafloxacin.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Entrectinib.]
[N07XX11, pitolisant, Trovafloxacin may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Trovafloxacin.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Trovafloxacin.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Trovafloxacin.]
[H02AB13, deflazacort, The risk or severity of tendinopathy can be increased when Deflazacort is combined with Trovafloxacin.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Trovafloxacin.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Dexchlorpheniramine is combined with Trovafloxacin.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Trovafloxacin.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Trovafloxacin.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Trovafloxacin.]
[M01AH02, rofecoxib, Rofecoxib may increase the neuroexcitatory activities of Trovafloxacin.]
[C01BD07, dronedarone, Trovafloxacin may increase the QTc-prolonging activities of Dronedarone.]
[V03AE03, lanthanum carbonate, Lanthanum carbonate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Trovafloxacin.]
[D07XB03, fluprednidene, The risk or severity of tendinopathy can be increased when Fluprednidene is combined with Trovafloxacin.]
[M01AC04, droxicam, Droxicam may increase the neuroexcitatory activities of Trovafloxacin.]
[M02AA27, dexketoprofen, Dexketoprofen may increase the neuroexcitatory activities of Trovafloxacin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Dyclonine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Trovafloxacin.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Trovafloxacin.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Trovafloxacin.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Chlorpheniramine is combined with Trovafloxacin.]
[N05AA01, chlorpromazine, The risk or severity of QTc prolongation can be increased when Chlorpromazine is combined with Trovafloxacin.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Trovafloxacin.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Trovafloxacin.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Trovafloxacin.]
[N02BA07, ethenzamide, Ethenzamide may increase the neuroexcitatory activities of Trovafloxacin.]
[M01AB08, etodolac, Etodolac may increase the neuroexcitatory activities of Trovafloxacin.]
[M02AA06, etofenamate, Etofenamate may increase the neuroexcitatory activities of Trovafloxacin.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Berotralstat is combined with Trovafloxacin.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Trovafloxacin.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Trovafloxacin.]
[M01AE05, fenbufen, Fenbufen may increase the neuroexcitatory activities of Trovafloxacin.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Trovafloxacin.]
[V08CA07, ferric ammonium citrate, Ferric ammonium citrate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Prussian blue can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Iron sucrose can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA05, ferrous chloride, Ferrous chloride can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Ferrous fumarate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Ferrous gluconate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Ferrous succinate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Ferrous sulfate anhydrous can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Trovafloxacin.]
[R03BA03, flunisolide, The risk or severity of tendinopathy can be increased when Flunisolide is combined with Trovafloxacin.]
[S02BA08, fluocinolone acetonide, The risk or severity of tendinopathy can be increased when Fluocinolone acetonide is combined with Trovafloxacin.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Trovafloxacin.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Trovafloxacin.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Trovafloxacin.]
[B03AB10, ferric maltol, Ferric maltol can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Cinnarizine is combined with Trovafloxacin.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Trovafloxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Trovafloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Citalopram is combined with Trovafloxacin.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Trovafloxacin is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Clemastine is combined with Trovafloxacin.]
[M01AG01, mefenamic acid, Mefenamic acid may increase the neuroexcitatory activities of Trovafloxacin.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Trovafloxacin.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Trovafloxacin.]
