[S02DA03, antipyrine, The metabolism of Pimozide can be decreased when combined with Antipyrine.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Pimozide can be decreased when combined with Drospirenone.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Pimozide.]
[G04BD07, tolterodine, The metabolism of Pimozide can be decreased when combined with Tolterodine.]
[C07AB03, atenolol, The metabolism of Pimozide can be decreased when combined with Atenolol.]
[L03AB11, peginterferon alfa-2a, The metabolism of Pimozide can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation and torsade de pointes can be increased when Voriconazole is combined with Pimozide.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Pimozide is combined with Atracurium.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Pimozide.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Pimozide.]
[R07AX02, ivacaftor, The metabolism of Pimozide can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Pimozide can be increased when combined with Prednylidene.]
[L04AX01, azathioprine, The metabolism of Pimozide can be decreased when combined with Azathioprine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Pimozide.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Pimozide.]
[A08AA11, lorcaserin, The metabolism of Pimozide can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Pimozide can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Pimozide can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Pimozide can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Pimozide can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Pimozide can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The serum concentration of Pimozide can be decreased when it is combined with Teriflunomide.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Pimozide.]
[N05CA04, barbital, The metabolism of Pimozide can be increased when combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Pimozide can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Pimozide.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Pimozide.]
[N04BD02, rasagiline, The therapeutic efficacy of Rasagiline can be decreased when used in combination with Pimozide.]
[C08CA13, lercanidipine, The metabolism of Pimozide can be decreased when combined with Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Pimozide is combined with Mosapride.]
[N06DA02, donepezil, The metabolism of Pimozide can be decreased when combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pimozide.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Pimozide.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Pimozide.]
[R06AC06, thonzylamine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Pimozide can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Pimozide is combined with Diethyl ether.]
[H01CB05, pasireotide, The metabolism of Pimozide can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Pimozide can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Pimozide.]
[B01AF02, apixaban, The metabolism of Pimozide can be decreased when combined with Apixaban.]
[C10AX12, lomitapide, The metabolism of Pimozide can be decreased when combined with Lomitapide.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Bedaquiline is combined with Pimozide.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Pimozide.]
[A10BH04, alogliptin, The metabolism of Pimozide can be decreased when combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Pimozide can be increased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Pimozide.]
[G03XC05, ospemifene, The metabolism of Pimozide can be decreased when combined with Ospemifene.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Pimozide is combined with Benperidol.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Pimozide.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Pimozide.]
[A06AX06, tegaserod, The metabolism of Pimozide can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The metabolism of Pimozide can be decreased when combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Pimozide can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Pimozide.]
[L04AA18, everolimus, The metabolism of Pimozide can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Pimozide is combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Pimozide can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The metabolism of Pimozide can be decreased when combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of QTc prolongation can be increased when Levomilnacipran is combined with Pimozide.]
[C08EA02, bepridil, The metabolism of Pimozide can be decreased when combined with Bepridil.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Pimozide.]
[N06AX26, vortioxetine, The metabolism of Pimozide can be decreased when combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The metabolism of Pimozide can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Pimozide can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Pimozide.]
[A10BK01, dapagliflozin, The metabolism of Pimozide can be decreased when combined with Dapagliflozin.]
[C07AB04, acebutolol, The metabolism of Pimozide can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Pimozide can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Pimozide can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Pimozide can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Pimozide can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Pimozide can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Pimozide can be decreased when combined with Betaxolol.]
[L04AC11, siltuximab, The metabolism of Pimozide can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Pimozide can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The metabolism of Pimozide can be decreased when combined with Vorapaxar.]
[A03BA03, hyoscyamine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Pimozide.]
[L01XH04, belinostat, The metabolism of Pimozide can be increased when combined with Belinostat.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Pimozide.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Pimozide is combined with Alfaxalone.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Pimozide.]
[D11AA01, glycopyrronium, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Pimozide.]
[J01XA05, oritavancin, The metabolism of Pimozide can be increased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Pimozide is combined with Acepromazine.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Pimozide.]
[L04AX05, pirfenidone, The metabolism of Pimozide can be decreased when combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Pimozide can be decreased when combined with Nintedanib.]
[J05AP09, dasabuvir, The metabolism of Pimozide can be decreased when combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Pimozide can be decreased when combined with Olaparib.]
[N06AX11, mirtazapine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Pimozide can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Pimozide can be decreased when combined with Palbociclib.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Lenvatinib is combined with Pimozide.]
[L01XH03, panobinostat, The metabolism of Pimozide can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Pimozide can be decreased when combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Pimozide can be increased when combined with Acetaminophen.]
[A03AA09, difemerine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Pimozide can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The metabolism of Pimozide can be decreased when combined with Brexpiprazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Pimozide.]
[A04AD14, rolapitant, The metabolism of Pimozide can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Pimozide is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Pimozide is combined with Cariprazine.]
[S01EC01, acetazolamide, The metabolism of Pimozide can be decreased when combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Pimozide.]
[A02BC03, lansoprazole, The metabolism of Pimozide can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Pimozide.]
[J02AC05, isavuconazole, The metabolism of Pimozide can be increased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Pimozide can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The metabolism of Pimozide can be decreased when combined with Tenofovir alafenamide.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Pimozide.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Pimozide.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Pimozide.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Pimozide.]
[M04AB05, lesinurad, The metabolism of Pimozide can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The metabolism of Pimozide can be decreased when combined with Elbasvir.]
[N05CA05, aprobarbital, The metabolism of Pimozide can be increased when combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Pimozide is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Pimozide can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Pimozide is combined with Bromazepam.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Pimozide.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Pimozide is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Pimozide.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Pimozide is combined with Amineptine.]
[N05AX17, pimavanserin, The metabolism of Pimozide can be decreased when combined with Pimavanserin.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Pimozide is combined with Aniracetam.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Pimozide.]
[N01BB01, bupivacaine, The metabolism of Pimozide can be decreased when combined with Bupivacaine.]
[C07AA19, bupranolol, The metabolism of Pimozide can be decreased when combined with Bupranolol.]
[N07BC01, buprenorphine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Pimozide.]
[N05BE01, buspirone, The metabolism of Pimozide can be decreased when combined with Buspirone.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Pimozide.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Pimozide can be decreased when combined with Artemether.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Pimozide.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Pimozide.]
[S01GX07, azelastine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Pimozide can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation and ventricular arrhythmias can be increased when Azithromycin is combined with Pimozide.]
[L01EF02, ribociclib, The metabolism of Pimozide can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Pimozide.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Pimozide is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Pimozide can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Pimozide is combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Pimozide can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Pimozide.]
[D05AX03, calcitriol, The metabolism of Pimozide can be increased when combined with Calcitriol.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Pimozide.]
[J05AE09, tipranavir, The metabolism of Pimozide can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Pimozide can be decreased when combined with Valbenazine.]
[L04AB02, infliximab, The metabolism of Pimozide can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Pimozide can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Pimozide.]
[N04BD03, safinamide, The therapeutic efficacy of Safinamide can be decreased when used in combination with Pimozide.]
[L04AC14, sarilumab, The metabolism of Pimozide can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Pimozide.]
[D01AC10, bifonazole, The metabolism of Pimozide can be decreased when combined with Bifonazole.]
[L01XX59, enasidenib, The metabolism of Pimozide can be increased when combined with Enasidenib.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Pimozide.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Pimozide.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Pimozide.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Pimozide.]
[A02BX12, bismuth subnitrate, Pimozide may increase the neurotoxic activities of Bismuth subnitrate.]
[J05AG03, efavirenz, The metabolism of Pimozide can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Pimozide can be decreased when combined with Bopindolol.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Pimozide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Pimozide is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Pimozide is combined with Brotizolam.]
[R03BA02, budesonide, The metabolism of Pimozide can be increased when combined with Budesonide.]
[N04BX03, budipine, The therapeutic efficacy of Budipine can be decreased when used in combination with Pimozide.]
[L01EL02, acalabrutinib, The metabolism of Pimozide can be decreased when combined with Acalabrutinib.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Pimozide is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Pimozide can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Pimozide.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Pimozide.]
[N01BX04, capsaicin, The metabolism of Pimozide can be decreased when combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Pimozide is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Pimozide.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Pimozide can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Pimozide can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Pimozide.]
[L03AB06, interferon alfa-n1, The metabolism of Pimozide can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Pimozide can be decreased when combined with Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Pimozide can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Pimozide.]
[L01EC03, encorafenib, The metabolism of Pimozide can be decreased when combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Pimozide.]
[C07AB08, celiprolol, The metabolism of Pimozide can be decreased when combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Pimozide can be decreased when combined with Elagolix.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Pimozide can be decreased when combined with Tafenoquine.]
[N03AX17, stiripentol, The metabolism of Pimozide can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Pimozide can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Pimozide can be decreased when combined with Doravirine.]
[L01EM04, duvelisib, The metabolism of Pimozide can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The metabolism of Pimozide can be decreased when combined with Dacomitinib.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Pimozide.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Pimozide is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Pimozide is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Pimozide.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Pimozide.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Pimozide.]
[R03BB08, revefenacin, The metabolism of Pimozide can be decreased when combined with Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Pimozide can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Pimozide can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Pimozide can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Gilteritinib is combined with Pimozide.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Glasdegib.]
