[P02BB01, trichlorfon, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Metrifonate.]
[C01CA18, octopamine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Octopamine.]
[H02AA01, aldosterone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Aldosterone.]
[N05CA04, barbital, Barbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01AA01, acetyldigitoxin, The risk or severity of Cardiac Arrhythmia can be increased when Rocuronium is combined with Acetyldigitoxin.]
[J05AE04, nelfinavir, The risk or severity of adverse effects can be increased when Nelfinavir is combined with Rocuronium.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N04BD02, rasagiline, Rasagiline may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C08CA13, lercanidipine, Lercanidipine may increase the neuromuscular blocking activities of Rocuronium.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06DA02, donepezil, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R06AC06, thonzylamine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C04AX11, bencyclane, Bencyclane may increase the neuromuscular blocking activities of Rocuronium.]
[C03AA01, bendroflumethiazide, The serum concentration of Bendroflumethiazide can be increased when it is combined with Rocuronium.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A12CC09, magnesium orotate, The therapeutic efficacy of Rocuronium can be increased when used in combination with Magnesium orotate.]
[A06AX06, tegaserod, The therapeutic efficacy of Tegaserod can be decreased when used in combination with Rocuronium.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Rocuronium.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A12CC05, magnesium aspartate, The therapeutic efficacy of Rocuronium can be increased when used in combination with Magnesium aspartate.]
[N04AC01, benztropine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Rocuronium is combined with Levomilnacipran.]
[C08EA02, bepridil, Bepridil may increase the neuromuscular blocking activities of Rocuronium.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01CA27, droxidopa, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Droxidopa.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A16AA06, betaine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Betaine.]
[S03BA03, betamethasone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Betamethasone.]
[C02CC01, bethanidine, The risk or severity of Tachycardia can be increased when Bethanidine is combined with Rocuronium.]
[A03BA03, hyoscyamine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03AC19, olodaterol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Olodaterol.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Rocuronium is combined with Glycopyrronium.]
[N05CM19, suvorexant, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[S01AA15, dihydrostreptomycin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Dihydrostreptomycin.]
[N05AA04, acepromazine, Acepromazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[V04CX03, methacholine, Rocuronium may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Rocuronium.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Rocuronium is combined with Naloxegol.]
[N04AA02, biperiden, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Rocuronium.]
[S03AA06, gentamicin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Gentamicin.]
[N06AX11, mirtazapine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Palbociclib is combined with Rocuronium.]
[A03AA09, difemerine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Rocuronium is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Brexpiprazole may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Rocuronium.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N04BC01, bromocriptine, Bromocriptine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A02AD05, aluminum magnesium silicate, The therapeutic efficacy of Rocuronium can be increased when used in combination with Magnesium Aluminum Silicate.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C08CA01, amlodipine, Amlodipine may increase the neuromuscular blocking activities of Rocuronium.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C03CA02, bumetanide, Bumetanide may decrease the neuromuscular blocking activities of Rocuronium.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N07BC01, buprenorphine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06DA03, rivastigmine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Rivastigmine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Rocuronium is combined with Butorphanol.]
[S01GX07, azelastine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[J01CE04, azidocillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Azidocillin.]
[J01CA06, bacampicillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Bacampicillin.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Rocuronium.]
[R03CC12, bambuterol, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Bambuterol.]
[N02BF02, pregabalin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N04BD03, safinamide, Safinamide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Acetylcholine.]
[R03AC17, bitolterol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Bitolterol.]
[J05AG03, efavirenz, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N04AA11, bornaprine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03BA02, budesonide, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Budesonide.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01AA02, acetyldigoxins, The risk or severity of Cardiac Arrhythmia can be increased when Rocuronium is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Capsaicin.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Rocuronium.]
[N03AF01, carbamazepine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Rocuronium.]
[A03AA03, camylofine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[J01CA03, carbenicillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Carbenicillin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C07AG02, carvedilol, Carvedilol may increase the neuromuscular blocking activities of Rocuronium.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Rocuronium.]
[J01GB14, plazomicin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Plazomicin.]
[N03AX17, stiripentol, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[L01EB07, dacomitinib, The risk or severity of adverse effects can be increased when Dacomitinib is combined with Rocuronium.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R06AA06, chlorphenoxamine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Rocuronium.]
[R03BB08, revefenacin, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01EX13, gilteritinib, The risk or severity of adverse effects can be increased when Gilteritinib is combined with Rocuronium.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Rocuronium.]
[B01AC23, cilostazol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Cilostazol.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Esketamine.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Rocuronium.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05BA09, clobazam, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01AA11, clomocycline, The therapeutic efficacy of Rocuronium can be increased when used in combination with Clomocycline.]
[H02AB14, cloprednol, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Cloprednol.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Rocuronium.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[H02AB17, cortivazol, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Cortivazol.]
[J01CF03, methicillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Meticillin.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Rocuronium.]
[N07XX11, pitolisant, The risk or severity of adverse effects can be increased when Pitolisant is combined with Rocuronium.]
[G04BE04, yohimbine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Rocuronium.]
[H02AB13, deflazacort, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Deflazacort.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Rocuronium.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Dezocine.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C08CA16, clevidipine, Clevidipine may increase the neuromuscular blocking activities of Rocuronium.]
[C01BD07, dronedarone, The risk or severity of adverse effects can be increased when Dronedarone is combined with Rocuronium.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A03AA08, dihexyverine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Dopexamine.]
[D07XB03, fluprednidene, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Fluprednidene.]
[G04BD09, trospium, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C08CA17, levamlodipine, Levamlodipine may increase the neuromuscular blocking activities of Rocuronium.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Rocuronium is combined with Remimazolam.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Rocuronium is combined with Oliceridine.]
[P01BA01, chloroquine, The therapeutic efficacy of Rocuronium can be increased when used in combination with Chloroquine.]
[C03AA04, chlorothiazide, The serum concentration of Chlorothiazide can be increased when it is combined with Rocuronium.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AF03, chlorprothixene, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, The serum concentration of Chlorthalidone can be increased when it is combined with Rocuronium.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02BA03, choline salicylate, The risk or severity of adverse effects can be increased when Rocuronium is combined with Choline salicylate.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06BA08, fenozolone, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Fenozolone.]
[R03BA03, flunisolide, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Fluocinolone acetonide.]
[R03CC15, formoterol, The risk or severity of adverse effects can be increased when Rocuronium is combined with Formoterol.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A02BA01, cimetidine, The risk or severity of adverse effects can be increased when Cimetidine is combined with Rocuronium.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N07CA02, cinnarizine, Cinnarizine may increase the neuromuscular blocking activities of Rocuronium.]
[L01XA01, cisplatin, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Cisplatin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Rocuronium is combined with Citalopram.]
[R06AA04, clemastine, Clemastine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03CC13, clenbuterol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Clenbuterol.]
[J01FF01, clindamycin, The risk or severity of neuromuscular blockade can be increased when Clindamycin is combined with Rocuronium.]
[N06AX25, St. John's wort extract, St. John's Wort may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Rocuronium.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[L01EJ03, pacritinib, The serum concentration of Rocuronium can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, Clomipramine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Rocuronium.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A04AA01, ondansetron, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
