[S02DA03, antipyrine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Antipyrine.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Torasemide can be increased when used in combination with Trichlormethiazide.]
[A16AX12, trientine, Torasemide may increase the excretion rate of Triethylenetetramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB06, trifluoperazine, Trifluoperazine may decrease the antihypertensive activities of Torasemide.]
[S01AD02, trifluridine, Torasemide may increase the excretion rate of Trifluridine which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AC02, fluclorolone, The risk or severity of hypokalemia can be increased when Fluclorolone is combined with Torasemide.]
[R03BA07, mometasone, The metabolism of Torasemide can be decreased when combined with Mometasone.]
[A03AA05, trimebutine, Torasemide may increase the excretion rate of Trimebutine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01ED04, metipranolol, Torasemide may increase the hypotensive activities of Metipranolol.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Torasemide.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Torasemide is combined with Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Torasemide can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Torasemide.]
[N06AX24, vilazodone, Vilazodone may decrease the antihypertensive activities of Torasemide.]
[C09CA09, azilsartan medoxomil, Torasemide may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Torasemide may decrease the neuromuscular blocking activities of Tubocurarine.]
[R03DX07, roflumilast, Torasemide may increase the excretion rate of Roflumilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FX04, ipilimumab, Torasemide may increase the excretion rate of Ipilimumab which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AA14, oxyquinoline, Torasemide may increase the excretion rate of Oxyquinoline which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BX03, abiraterone, The metabolism of Torasemide can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Torasemide.]
[J05AP02, telaprevir, The excretion of Torasemide can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Torasemide can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Torasemide may increase the excretion rate of Vancomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX21, ezogabine, Torasemide may increase the excretion rate of Ezogabine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AF01, rivaroxaban, Torasemide may increase the excretion rate of Rivaroxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[R03AC18, indacaterol, The risk or severity of hypokalemia can be increased when Indacaterol is combined with Torasemide.]
[B01AC24, ticagrelor, The metabolism of Torasemide can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, Torasemide may increase the excretion rate of Verapamil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX09, viloxazine, Torasemide may increase the excretion rate of Viloxazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CA01, vinblastine, The excretion of Torasemide can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Torasemide may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The excretion of Torasemide can be decreased when combined with Vincristine.]
[B03BA01, vitamin B12, Torasemide may increase the excretion rate of Cyanocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Torasemide.]
[C03BA10, xipamide, Torasemide may increase the hypotensive activities of Xipamide.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Torasemide.]
[N05AF05, zuclopenthixol, Zuclopenthixol may decrease the antihypertensive activities of Torasemide.]
[J05AE02, indinavir, The excretion of Torasemide can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The metabolism of Torasemide can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, The risk or severity of hypocalcemia can be increased when Torasemide is combined with Pamidronic acid.]
[M05BA05, tiludronic acid, The risk or severity of hypocalcemia can be increased when Torasemide is combined with Tiludronic acid.]
[B06AC02, icatibant, Torasemide may increase the excretion rate of Icatibant which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Torasemide.]
[A02BC04, rabeprazole, Torasemide may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA06, ibandronic acid, The risk or severity of hypocalcemia can be increased when Torasemide is combined with Ibandronate.]
[N05AE04, ziprasidone, Ziprasidone may increase the antihypertensive activities of Torasemide.]
[V03AC02, deferiprone, Torasemide may increase the excretion rate of Deferiprone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Torasemide which could result in a higher serum level.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Torasemide.]
[G04BD07, tolterodine, Torasemide may increase the excretion rate of Tolterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DH04, doripenem, Torasemide may increase the excretion rate of Doripenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB03, atenolol, Torasemide may increase the hypotensive activities of Atenolol.]
[L01FA01, rituximab, Torasemide may increase the hypotensive activities of Rituximab.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Torasemide.]
[M03AC04, atracurium, Torasemide may decrease the neuromuscular blocking activities of Atracurium.]
[S01FA01, atropine, Atropine may decrease the antihypertensive activities of Torasemide.]
[M01CB03, auranofin, Torasemide may increase the excretion rate of Auranofin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Torasemide.]
[L01EK01, axitinib, The excretion of Torasemide can be decreased when combined with Axitinib.]
[H02AB11, prednylidene, The risk or severity of hypokalemia can be increased when Prednylidene is combined with Torasemide.]
[B03XA04, peginesatide, Torasemide may increase the excretion rate of Peginesatide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC07, azacitidine, Torasemide may increase the excretion rate of Azacitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX01, azathioprine, Torasemide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC05, gemcitabine, Torasemide may increase the excretion rate of Gemcitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DF01, aztreonam, Torasemide may increase the excretion rate of Aztreonam which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE10, avanafil, Torasemide may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Torasemide.]
[A08AA11, lorcaserin, Torasemide may increase the excretion rate of Lorcaserin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD12, mirabegron, Torasemide may increase the excretion rate of Mirabegron which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AX03, cobicistat, The excretion of Torasemide can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, The serum concentration of Torasemide can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The risk or severity of adverse effects can be increased when Torasemide is combined with Linaclotide.]
[L01EA04, bosutinib, The metabolism of Torasemide can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Torasemide can be decreased when combined with Teriflunomide.]
[C01CA18, octopamine, Octopamine may decrease the antihypertensive activities of Torasemide.]
[H02AA01, aldosterone, The risk or severity of hypokalemia can be increased when Aldosterone is combined with Torasemide.]
[L01EX05, regorafenib, The metabolism of Torasemide can be decreased when combined with Regorafenib.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Torasemide.]
[C01AA01, acetyldigitoxin, The risk or severity of adverse effects can be increased when Torasemide is combined with Acetyldigitoxin.]
[D02BA02, octinoxate, Torasemide may increase the excretion rate of Octinoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE04, nelfinavir, The excretion of Torasemide can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Torasemide.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Torasemide.]
[C08CA13, lercanidipine, Torasemide may increase the hypotensive activities of Lercanidipine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Torasemide.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Torasemide.]
[V09IX04, fluorodeoxyglucose F18, Torasemide may increase the excretion rate of Fludeoxyglucose (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Torasemide.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Torasemide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Torasemide.]
[V08CA11, gadofosveset, Torasemide may increase the excretion rate of Gadofosveset trisodium which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Torasemide.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Torasemide.]
[A16AX08, teduglutide, Torasemide may increase the excretion rate of Teduglutide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Torasemide.]
[A16AX09, glycerol phenylbutyrate, Torasemide may increase the excretion rate of Glycerol phenylbutyrate which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Torasemide can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, Torasemide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Torasemide.]
[N02BA10, benorilate, The therapeutic efficacy of Torasemide can be decreased when used in combination with Benorilate.]
[A10BK02, canagliflozin, The risk or severity of hypotension can be increased when Canagliflozin is combined with Torasemide.]
[M04AB03, benzbromarone, The metabolism of Torasemide can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The risk or severity of adverse effects can be increased when Torasemide is combined with Tegaserod.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Torasemide is combined with Insulin detemir.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Torasemide.]
[J02AX04, caspofungin, The excretion of Torasemide can be decreased when combined with Caspofungin.]
[L03AA12, ancestim, Torasemide may increase the excretion rate of Ancestim which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH01, celecoxib, The therapeutic efficacy of Torasemide can be decreased when used in combination with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Torasemide.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Torasemide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA18, everolimus, The excretion of Torasemide can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Torasemide may increase the excretion rate of Benzatropine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EC02, dabrafenib, The serum concentration of Torasemide can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Benzydamine.]
[L01EE01, trametinib, The metabolism of Torasemide can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Torasemide.]
[V09AX05, florbetapir F-18, Torasemide may increase the excretion rate of Florbetapir (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX28, levomilnacipran, Torasemide may increase the excretion rate of Levomilnacipran which could result in a lower serum level and potentially a reduction in efficacy.]
[C08EA02, bepridil, Torasemide may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Torasemide.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Torasemide.]
[A05AA03, cholic acid, The excretion of Torasemide can be increased when combined with Cholic Acid.]
[C02KX04, macitentan, Torasemide may increase the excretion rate of Macitentan which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX26, vortioxetine, Torasemide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AC08, etonogestrel, Torasemide may increase the excretion rate of Etonogestrel which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP05, simeprevir, The excretion of Torasemide can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Torasemide may increase the excretion rate of Sofosbuvir which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Torasemide.]
[C01CA27, droxidopa, The risk or severity of hypokalemia can be increased when Droxidopa is combined with Torasemide.]
[C07AB04, acebutolol, Torasemide may increase the hypotensive activities of Acebutolol.]
[N05CH03, tasimelteon, Torasemide may increase the excretion rate of Tasimelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA32, apremilast, The metabolism of Torasemide can be increased when combined with Apremilast.]
[L02BG02, formestane, Torasemide may increase the excretion rate of Formestane which could result in a lower serum level and potentially a reduction in efficacy.]
[S03BA03, betamethasone, The risk or severity of hypokalemia can be increased when Betamethasone is combined with Torasemide.]
[S01ED02, betaxolol, Betaxolol may increase the hypotensive activities of Torasemide.]
[V03AB34, fomepizole, Torasemide may increase the excretion rate of Fomepizole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02CC01, bethanidine, Bethanidine may decrease the antihypertensive activities of Torasemide.]
[C10AB02, bezafibrate, The metabolism of Torasemide can be decreased when combined with Bezafibrate.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Torasemide.]
[L04AC11, siltuximab, The metabolism of Torasemide can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Torasemide can be decreased when combined with Ceritinib.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Torasemide.]
[L01EM01, idelalisib, The excretion of Torasemide can be decreased when combined with Idelalisib.]
[A10BK03, empagliflozin, Empagliflozin may increase the diuretic activities of Torasemide.]
[R03AC19, olodaterol, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Torasemide.]
[V08AA01, diatrizoic acid, Torasemide may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EE02, unoprostone, Torasemide may increase the hypotensive activities of Unoprostone.]
[V08AA04, iothalamic acid, Torasemide may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XA05, oritavancin, The metabolism of Torasemide can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, The serum concentration of Dihydrostreptomycin can be increased when it is combined with Torasemide.]
[N05AA04, acepromazine, Acepromazine may decrease the antihypertensive activities of Torasemide.]
[A06AB04, phenolphthalein, The risk or severity of adverse effects can be increased when Torasemide is combined with Phenolphthalein.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Torasemide.]
[A06AH03, naloxegol, The therapeutic efficacy of Torasemide can be decreased when used in combination with Naloxegol.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Torasemide.]
[A06AG02, bisacodyl, The risk or severity of adverse effects can be increased when Torasemide is combined with Bisacodyl.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Torasemide.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Torasemide.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Torasemide.]
[B01AF03, edoxaban, Torasemide may increase the excretion rate of Edoxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX11, mirtazapine, Mirtazapine may decrease the antihypertensive activities of Torasemide.]
[L04AC10, secukinumab, The metabolism of Torasemide can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The excretion of Torasemide can be decreased when combined with Lenvatinib.]
[J05AP07, daclatasvir, The excretion of Torasemide can be decreased when combined with Daclatasvir.]
[N02BE01, acetaminophen, Torasemide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC01, bleomycin, Torasemide may increase the excretion rate of Bleomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01EB17, ivabradine, The risk or severity of Cardiac Arrhythmia can be increased when Torasemide is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Torasemide.]
[A07DA06, eluxadoline, The therapeutic efficacy of Torasemide can be decreased when used in combination with Eluxadoline.]
[N05AX16, brexpiprazole, Brexpiprazole may decrease the antihypertensive activities of Torasemide.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Torasemide.]
[A06AD03, magnesium peroxide, The risk or severity of adverse effects can be increased when Torasemide is combined with Magnesium peroxide.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Torasemide.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Torasemide.]
[M02AA25, aceclofenac, The therapeutic efficacy of Torasemide can be decreased when used in combination with Aceclofenac.]
[M01AB11, acemetacin, The therapeutic efficacy of Torasemide can be decreased when used in combination with Acemetacin.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Torasemide is combined with Insulin degludec.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Torasemide.]
[V03AB37, idarucizumab, Torasemide may increase the excretion rate of Idarucizumab which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Torasemide.]
[J02AC05, isavuconazole, The metabolism of Torasemide can be decreased when combined with Isavuconazole.]
[L01XG03, ixazomib, Torasemide may increase the excretion rate of Ixazomib which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Torasemide.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Torasemide.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Torasemide.]
[M04AB05, lesinurad, Torasemide may increase the excretion rate of Lesinurad which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AE16, alminoprofen, The therapeutic efficacy of Torasemide can be decreased when used in combination with Alminoprofen.]
[N02BA02, aloxiprin, The risk or severity of adverse effects can be increased when Torasemide is combined with Aloxiprin.]
[N03AX23, brivaracetam, Torasemide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX52, venetoclax, The excretion of Torasemide can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, Torasemide may increase the excretion rate of Bromazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Torasemide.]
[A02AD05, aluminum magnesium silicate, Torasemide may increase the excretion rate of Almasilate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Torasemide.]
[C08CA01, amlodipine, Torasemide may increase the hypotensive activities of Amlodipine.]
[C03CA02, bumetanide, Torasemide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Torasemide is combined with Bupivacaine.]
[C07AA19, bupranolol, Torasemide may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Torasemide.]
[N05BE01, buspirone, Torasemide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX27, arsenic trioxide, Torasemide may increase the excretion rate of Arsenic trioxide which could result in a lower serum level and potentially a reduction in efficacy.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Torasemide.]
[M02AA03, clofezone, Torasemide may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AF01, butorphanol, The therapeutic efficacy of Torasemide can be decreased when used in combination with Butorphanol.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Torasemide.]
[L01XK03, rucaparib, The metabolism of Torasemide can be decreased when combined with Rucaparib.]
[A06AX07, plecanatide, The risk or severity of adverse effects can be increased when Torasemide is combined with Plecanatide.]
[A07EC04, balsalazide, The therapeutic efficacy of Torasemide can be decreased when used in combination with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypokalemia can be increased when Bambuterol is combined with Torasemide.]
[A06AH05, naldemedine, Torasemide may increase the excretion rate of Naldemedine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, Torasemide may increase the excretion rate of Deutetrabenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BF02, pregabalin, Torasemide may increase the excretion rate of Pregabalin which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA07, benazepril, Torasemide may increase the hypotensive activities of Benazepril.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Torasemide.]
[P01CA02, benznidazole, Torasemide may increase the excretion rate of Benznidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Torasemide.]
[J05AF06, abacavir, Torasemide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE09, tipranavir, The excretion of Torasemide can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Torasemide may increase the excretion rate of Valbenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AB02, infliximab, The metabolism of Torasemide can be increased when combined with Infliximab.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Torasemide.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Torasemide.]
[J01MA23, delafloxacin, Torasemide may increase the excretion rate of Delafloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Torasemide.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Torasemide.]
[C07AB07, bisoprolol, Torasemide may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03AC17, bitolterol, The risk or severity of hypokalemia can be increased when Bitolterol is combined with Torasemide.]
[J05AG03, efavirenz, The metabolism of Torasemide can be decreased when combined with Efavirenz.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Torasemide is combined with Nesiritide.]
[V03AB23, acetylcysteine, The excretion of Torasemide can be decreased when combined with Acetylcysteine.]
