[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Nitrazepam.]
[S01AA13, fusidic acid, The metabolism of Nitrazepam can be decreased when combined with Fusidic acid.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Nitrazepam can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Nitrazepam.]
[L01ED01, crizotinib, The metabolism of Nitrazepam can be decreased when combined with Crizotinib.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Nitrazepam.]
[G04BD07, tolterodine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J02AC03, voriconazole, The serum concentration of Nitrazepam can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Atracurium.]
[S01FA01, atropine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J01CA09, azlocillin, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Azlocillin.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Nitrazepam.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Lorcaserin.]
[V03AX03, cobicistat, The metabolism of Nitrazepam can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Nitrazepam can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Nitrazepam can be decreased when it is combined with Enzalutamide.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Nitrazepam.]
[J05AE04, nelfinavir, The metabolism of Nitrazepam can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Rasagiline is combined with Nitrazepam.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Nitrazepam.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Nitrazepam.]
[R06AC06, thonzylamine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Diethyl ether.]
[A16AX08, teduglutide, The serum concentration of Nitrazepam can be increased when it is combined with Teduglutide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Pomalidomide.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Benperidol.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Benzocaine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Nitrazepam.]
[N04AC01, benztropine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Nitrazepam can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Levomilnacipran.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Nitrazepam.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Nitrazepam can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Nitrazepam.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Nitrazepam can be increased when combined with Metreleptin.]
[A03BA03, hyoscyamine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Alfaxalone.]
[D11AA01, glycopyrronium, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Acepromazine.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Naloxegol is combined with Nitrazepam.]
[N04AA02, biperiden, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AX11, mirtazapine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02BE01, acetaminophen, Nitrazepam may increase the hepatotoxic activities of Acetaminophen.]
[A03AA09, difemerine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[A07DA06, eluxadoline, The risk or severity of adverse effects can be increased when Eluxadoline is combined with Nitrazepam.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Nitrazepam.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Nitrazepam.]
[J02AC05, isavuconazole, The metabolism of Nitrazepam can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Nitrazepam.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Nitrazepam.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Nitrazepam can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Nitrazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Bromocriptine is combined with Nitrazepam.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Nitrazepam.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Amineptine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Aniracetam.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Bupivacaine.]
[N07BC01, buprenorphine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Nitrazepam.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Nitrazepam.]
[R06AX09, azatadine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01EF02, ribociclib, The metabolism of Nitrazepam can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Bamifylline.]
[N07XX16, deutetrabenazine, The risk or severity of sedation and somnolence can be increased when Nitrazepam is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Nitrazepam can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Beclamide.]
[N06BC01, caffeine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Oxybuprocaine.]
[J01XX08, linezolid, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Linezolid.]
[J05AE09, tipranavir, The metabolism of Nitrazepam can be decreased when combined with Tipranavir.]
[L01EX10, midostaurin, The metabolism of Nitrazepam can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Safinamide.]
[J05AG03, efavirenz, The metabolism of Nitrazepam can be decreased when combined with Efavirenz.]
[N04AA11, bornaprine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Brotizolam.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Nitrazepam.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Butriptyline.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Vinylbital.]
[L02BB05, apalutamide, The metabolism of Nitrazepam can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, Carbamazepine may increase the Change in thyroid function activities of Nitrazepam.]
[A03AA03, camylofine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Nitrazepam.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Nitrazepam.]
[L01XX62, ivosidenib, The metabolism of Nitrazepam can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Nitrazepam can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Nitrazepam.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[R03DA02, oxtriphylline, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Oxtriphylline.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Nitrazepam.]
[R03BB08, revefenacin, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Esketamine.]
[J01FA09, clarithromycin, The metabolism of Nitrazepam can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Nitrazepam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Nitrazepam.]
[J01DD01, cefotaxime, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Cefotaxime.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Nitrazepam.]
[N07XX11, pitolisant, The serum concentration of Nitrazepam can be decreased when it is combined with Pitolisant.]
[G04BE04, yohimbine, The therapeutic efficacy of Nitrazepam can be increased when used in combination with Yohimbine.]
[J01DB03, cephalothin, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Cefalotin.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Nitrazepam.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Nitrazepam.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Nitrazepam.]
[N03AX25, cenobamate, The serum concentration of Nitrazepam can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Nitrazepam.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Nitrazepam.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Lumateperone.]
[J05AE05, amprenavir, The metabolism of Nitrazepam can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Nitrazepam.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Nitrazepam.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Nitrazepam.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Nitrazepam.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Nitrazepam.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Nitrazepam.]
[C01BD07, dronedarone, The metabolism of Nitrazepam can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Valpromide.]
[L01AA02, chlorambucil, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Chlorambucil.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Nitrazepam.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Nitrazepam.]
[A03AA08, dihexyverine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[G04BD09, trospium, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Nitrazepam.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Dyclonine.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Nitrazepam can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Nitrazepam is combined with Oliceridine.]
[P01BA01, chloroquine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Chloroquine.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Nitrazepam.]
[N05AA01, chlorpromazine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[N05AF03, chlorprothixene, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Nitrazepam.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Nitrazepam.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Nitrazepam.]
[B06AC06, berotralstat, The metabolism of Nitrazepam can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Nitrazepam can be decreased when combined with Lonafarnib.]
[P03AX07, abametapir, The serum concentration of Nitrazepam can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Nitrazepam.]
[N06BA10, fenethylline, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Fenethylline.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Trichloroethylene.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Nitrazepam.]
[L01XX73, sotorasib, The serum concentration of Nitrazepam can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Nitrazepam can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Citalopram.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Nitrazepam.]
[N06AX25, St. John's wort extract, The metabolism of Nitrazepam can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Nitrazepam.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Levobupivacaine.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Clomipramine is combined with Nitrazepam.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Nitrazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Nitrazepam.]
[C01EB24, mavacamten, The serum concentration of Nitrazepam can be decreased when it is combined with Mavacamten.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Nitrazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Nitrazepam.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Nitrazepam.]
[N05AH02, clozapine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Nitrazepam.]
[H01AC08, somatrogon, The metabolism of Nitrazepam can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Cocaine.]
[C02KB01, metyrosine, Nitrazepam may increase the sedative activities of Metyrosine.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Nitrazepam.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Nitrazepam.]
[A03AB10, hexocyclium, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Nitrazepam.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Ifenprodil.]
[J01FA15, telithromycin, The metabolism of Nitrazepam can be decreased when combined with Telithromycin.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Nitrazepam.]
[J05AB14, valganciclovir, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Valganciclovir.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Nitrazepam.]
[J02AC02, itraconazole, The metabolism of Nitrazepam can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Nitrazepam.]
[J02AC04, posaconazole, The metabolism of Nitrazepam can be decreased when combined with Posaconazole.]
[N03AX09, lamotrigine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Nitrazepam can be increased when used in combination with Lofexidine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Lormetazepam.]
[H01AA02, cosyntropin, The serum concentration of Nitrazepam can be increased when it is combined with Tetracosactide.]
[A03AA04, mebeverine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Medifoxamine.]
[R06AD04, methdilazine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Nitrazepam.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Cyclobarbital.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Melperone.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Nitrazepam.]
[S01XA18, cyclosporine, The metabolism of Nitrazepam can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Nitrazepam.]
[R06AX02, cyproheptadine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C03XA02, conivaptan, The metabolism of Nitrazepam can be decreased when combined with Conivaptan.]
[G03XA01, danazol, The metabolism of Nitrazepam can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Nitrazepam.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Nordazepam.]
[N06AX06, nefazodone, The metabolism of Nitrazepam can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Niaprazine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Nitrazepam.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Nitrazepam.]
[C01CA23, theodrenaline, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Nitrazepam.]
