[B01AD01, streptokinase, Propylthiouracil may increase the anticoagulant activities of Streptokinase.]
[M05BA06, ibandronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Ibandronate.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Propylthiouracil.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Propylthiouracil.]
[L01EJ01, ruxolitinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Ruxolitinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Propylthiouracil.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Propylthiouracil.]
[L01EK01, axitinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Axitinib.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Prednylidene.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Propylthiouracil.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Propylthiouracil.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Propylthiouracil.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Propylthiouracil.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Carfilzomib.]
[L01EA04, bosutinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Teriflunomide.]
[B01AX01, defibrotide, Propylthiouracil may increase the anticoagulant activities of Defibrotide.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Aldosterone.]
[L01EX05, regorafenib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Regorafenib.]
[C01AA01, acetyldigitoxin, The serum concentration of Acetyldigitoxin can be increased when it is combined with Propylthiouracil.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Bendamustine.]
[C08CA13, lercanidipine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lercanidipine is combined with Propylthiouracil.]
[L04AA29, tofacitinib, Propylthiouracil may increase the immunosuppressive activities of Tofacitinib.]
[L01EX07, cabozantinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Cabozantinib.]
[G04BE03, sildenafil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Sildenafil is combined with Propylthiouracil.]
[L01EA05, ponatinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Ponatinib.]
[B01AF02, apixaban, Propylthiouracil may increase the anticoagulant activities of Apixaban.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Propylthiouracil.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Pomalidomide.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Dimethyl fumarate.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Propylthiouracil.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Everolimus.]
[L01EB03, afatinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Afatinib.]
[N06AX28, levomilnacipran, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Levomilnacipran.]
[L03AA14, lipegfilgrastim, Propylthiouracil may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Ibrutinib.]
[C07AB04, acebutolol, The risk or severity of adverse effects can be increased when Acebutolol is combined with Propylthiouracil.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Propylthiouracil.]
[B01AE03, argatroban, Propylthiouracil may increase the anticoagulant activities of Argatroban.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Bezafibrate.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Siltuximab.]
[L01ED02, ceritinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Ceritinib.]
[B01AC26, vorapaxar, Propylthiouracil may increase the anticoagulant activities of Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Vedolizumab.]
[B01AA07, acenocoumarol, Propylthiouracil may increase the anticoagulant activities of Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Idelalisib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Peginterferon beta-1a.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Pirfenidone.]
[L01EX09, nintedanib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Nintedanib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Blinatumomab.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Olaparib.]
[B01AA01, dicumarol, Propylthiouracil may increase the anticoagulant activities of Dicoumarol.]
[B01AF03, edoxaban, Propylthiouracil may increase the anticoagulant activities of Edoxaban.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Palbociclib.]
[L01EX08, lenvatinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Panobinostat.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Propylthiouracil.]
[B01AA11, tioclomarol, Propylthiouracil may increase the anticoagulant activities of Tioclomarol.]
[B01AC25, cangrelor, Propylthiouracil may increase the anticoagulant activities of Cangrelor.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Propylthiouracil.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Acipimox.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Mepolizumab.]
[L01EB04, osimertinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Osimertinib.]
[L01ED03, alectinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Alectinib.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Propylthiouracil.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Ixekizumab.]
[N06AA19, amineptin, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Amineptine.]
[C03CA02, bumetanide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Bumetanide.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Arsenic trioxide.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Brodalumab.]
[R03DA08, bamifylline, Propylthiouracil may decrease the excretion rate of Bamifylline which could result in a higher serum level.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Ocrelizumab.]
[N06BC01, caffeine, Propylthiouracil may decrease the excretion rate of Caffeine which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Propylthiouracil.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Linezolid.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Propylthiouracil.]
[L01EX10, midostaurin, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Midostaurin.]
[L01ED04, brigatinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Brigatinib.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Sarilumab.]
[B01AF04, betrixaban, Propylthiouracil may increase the anticoagulant activities of Betrixaban.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Capecitabine.]
[L01EH02, neratinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Neratinib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Vorinostat.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Propylthiouracil.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Propylthiouracil.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Propylthiouracil.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Propylthiouracil.]
[L01EL02, acalabrutinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Acalabrutinib.]
[N06AA15, butriptyline, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be increased when it is combined with Propylthiouracil.]
[C09AA01, captopril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Captopril.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Propylthiouracil.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Carbamazepine.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Propylthiouracil.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Propylthiouracil.]
[B02BX09, fostamatinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Fostamatinib.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Baricitinib.]
[C07AB08, celiprolol, The risk or severity of adverse effects can be increased when Celiprolol is combined with Propylthiouracil.]
[L01EB07, dacomitinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Dacomitinib.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Propylthiouracil.]
[R03DA02, oxtriphylline, Propylthiouracil may decrease the excretion rate of Oxtriphylline which could result in a higher serum level.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Propylthiouracil.]
[L01EX12, larotrectinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Larotrectinib.]
[L01EX13, gilteritinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Gilteritinib.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Propylthiouracil.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Cilostazol is combined with Propylthiouracil.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Ciprofibrate.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Siponimod.]
[L01EN01, erdafitinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Erdafitinib.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Cloprednol.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Ubidecarenone.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Propylthiouracil.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Risankizumab.]
[L01EX15, pexidartinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Pexidartinib.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Upadacitinib.]
[L01EJ02, fedratinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Fedratinib.]
[L01EX14, entrectinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Entrectinib.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Propylthiouracil.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Propylthiouracil.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Propylthiouracil.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Propylthiouracil.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Trastuzumab emtansine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Diroximel fumarate.]
[L01EX18, avapritinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Avapritinib.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Teprotumumab.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Ozanimod.]
[L01EE04, selumetinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Selumetinib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Propylthiouracil.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Propylthiouracil.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Propylthiouracil.]
[L01EH03, tucatinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Tucatinib.]
[L01EX17, capmatinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Fluprednidene.]
[L01EX22, selpercatinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Selpercatinib.]
[B01AE02, lepirudin, Propylthiouracil may increase the anticoagulant activities of Lepirudin.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Propylthiouracil is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Stepronin.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Satralizumab.]
[P01BA01, chloroquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Chloroquine.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Propylthiouracil.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Propylthiouracil.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Etofibrate.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Fludarabine.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Voclosporin.]
[L01EX21, tepotinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Tepotinib.]
[N06BA10, fenethylline, Propylthiouracil may decrease the excretion rate of Fenethylline which could result in a higher serum level.]
[N06BA08, fenozolone, The risk or severity of adverse effects can be increased when Fenozolone is combined with Propylthiouracil.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Propylthiouracil.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Fluocinolone acetonide.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Propylthiouracil.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Ponesimod.]
[L01EK03, tivozanib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Tivozanib.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Propylthiouracil.]
[A02BA01, cimetidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Propylthiouracil.]
[L01EN03, infigratinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Infigratinib.]
[S03AA07, ciprofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Propylthiouracil.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Propylthiouracil.]
[N06AB04, citalopram, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Belumosudil.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Anifrolumab.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Propylthiouracil.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Propylthiouracil.]
[R03CC13, clenbuterol, The risk or severity of adverse effects can be increased when Clenbuterol is combined with Propylthiouracil.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Ropeginterferon alfa-2b.]
[B01AD11, tenecteplase, Propylthiouracil may increase the anticoagulant activities of Tenecteplase.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Clofibrate.]
[L01EJ03, pacritinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Clomipramine.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Spesolimab.]
[L04AA56, deucravacitinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Deucravacitinib.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Propylthiouracil is combined with Clozapine.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Bimekizumab.]
[M04AC01, colchicine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Colchicine.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Leflunomide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Nelarabine.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Propylthiouracil.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Propylthiouracil.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Propylthiouracil.]
[B01AB12, bemiparin, Propylthiouracil may increase the anticoagulant activities of Bemiparin.]
[L01EA01, imatinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Imatinib.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Nafarelin.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Mebeverine.]
[A08AA09, mefenorex, The risk or severity of adverse effects can be increased when Mefenorex is combined with Propylthiouracil.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Meprednisone.]
[R03CB02, methoxyphenamine, The risk or severity of adverse effects can be increased when Methoxyphenamine is combined with Propylthiouracil.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Propylthiouracil.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Propylthiouracil.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Propylthiouracil.]
[S01XA18, cyclosporine, Propylthiouracil may increase the immunosuppressive activities of Cyclosporine.]
[C10AA07, rosuvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Rosuvastatin.]
