[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Irinotecan.]
[R03DC01, zafirlukast, The metabolism of Irinotecan can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[N05AE04, ziprasidone, The metabolism of Irinotecan can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Irinotecan can be decreased when combined with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Irinotecan.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Irinotecan.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Irinotecan is combined with Ruxolitinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Irinotecan.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Irinotecan.]
[J02AC03, voriconazole, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Voriconazole.]
[L01XJ01, vismodegib, Vismodegib may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Irinotecan.]
[R07AX02, ivacaftor, The metabolism of Irinotecan can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Irinotecan can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Irinotecan.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Irinotecan.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Irinotecan.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Irinotecan.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Irinotecan.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Irinotecan.]
[G04BD12, mirabegron, The serum concentration of Mirabegron can be increased when it is combined with Irinotecan.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Irinotecan is combined with Carfilzomib.]
[V03AX03, cobicistat, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Cobicistat.]
[J05AJ02, elvitegravir, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Elvitegravir.]
[L02BB04, enzalutamide, The metabolism of Irinotecan can be increased when combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Irinotecan can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Irinotecan is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Irinotecan.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Irinotecan is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Irinotecan is combined with Aldosterone.]
[L01EX05, regorafenib, The risk or severity of neutropenia can be increased when Regorafenib is combined with Irinotecan.]
[N05CA04, barbital, The metabolism of Irinotecan can be increased when combined with Barbital.]
[J05AE04, nelfinavir, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Bendamustine.]
[C08CA13, lercanidipine, The metabolism of Irinotecan can be decreased when combined with Lercanidipine.]
[N06DA02, donepezil, Donepezil may increase the neuromuscular blocking activities of Irinotecan.]
[N03AX22, perampanel, The metabolism of Irinotecan can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, Irinotecan may increase the immunosuppressive activities of Tofacitinib.]
[H01CB05, pasireotide, The metabolism of Irinotecan can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Irinotecan can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Irinotecan.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Irinotecan.]
[C10AX12, lomitapide, The metabolism of Irinotecan can be decreased when combined with Lomitapide.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Irinotecan can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Irinotecan.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Irinotecan is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Irinotecan.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Irinotecan is combined with Dimethyl fumarate.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Benzocaine.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Irinotecan.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Irinotecan is combined with Everolimus.]
[L01EC02, dabrafenib, The risk or severity of neutropenia can be increased when Dabrafenib is combined with Irinotecan.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Benzyl alcohol.]
[L01EB03, afatinib, Afatinib may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[L03AA14, lipegfilgrastim, Irinotecan may increase the myelosuppressive activities of Lipegfilgrastim.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Irinotecan.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Irinotecan is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Irinotecan.]
[N03AF04, eslicarbazepine, The metabolism of Irinotecan can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Irinotecan can be decreased when combined with Simeprevir.]
[N05CH03, tasimelteon, The metabolism of Irinotecan can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Irinotecan can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Irinotecan can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Irinotecan can be increased when combined with Formestane.]
[A16AA06, betaine, Betaine may increase the neuromuscular blocking activities of Irinotecan.]
[S03BA03, betamethasone, The metabolism of Irinotecan can be increased when combined with Betamethasone.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Irinotecan.]
[L04AC11, siltuximab, The metabolism of Irinotecan can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Irinotecan can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The metabolism of Irinotecan can be decreased when combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Acenocoumarol is combined with Irinotecan.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Irinotecan is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Irinotecan is combined with Idelalisib.]
[N07XX08, tafamidis, The serum concentration of Irinotecan can be increased when it is combined with Tafamidis.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Irinotecan is combined with Peginterferon beta-1a.]
[N05CM19, suvorexant, The metabolism of Irinotecan can be decreased when combined with Suvorexant.]
[J01XA05, oritavancin, The metabolism of Irinotecan can be increased when combined with Oritavancin.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Irinotecan is combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Irinotecan can be decreased when combined with Nintedanib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Blinatumomab.]
[J05AP09, dasabuvir, The risk or severity of neutropenia can be increased when Dasabuvir is combined with Irinotecan.]
[L01XK01, olaparib, The metabolism of Irinotecan can be decreased when combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Irinotecan.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Irinotecan.]
[N06AX11, mirtazapine, The metabolism of Irinotecan can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Irinotecan can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Irinotecan can be decreased when combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Irinotecan is combined with Panobinostat.]
[J05AP07, daclatasvir, Daclatasvir may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[N02BE01, acetaminophen, The metabolism of Irinotecan can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Irinotecan.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Irinotecan.]
[J05AP06, asunaprevir, The metabolism of Irinotecan can be increased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The serum concentration of Eluxadoline can be increased when it is combined with Irinotecan.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Irinotecan.]
[A04AD14, rolapitant, Rolapitant may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[S01EC01, acetazolamide, The metabolism of Irinotecan can be decreased when combined with Acetazolamide.]
[A02BC03, lansoprazole, Lansoprazole may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Irinotecan is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Irinotecan can be increased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Irinotecan can be decreased when combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The metabolism of Irinotecan can be decreased when combined with Tenofovir alafenamide.]
[L01EE02, cobimetinib, The metabolism of Irinotecan can be decreased when combined with Cobimetinib.]
[L01ED03, alectinib, Alectinib may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[B01AC27, selexipag, The excretion of Selexipag can be decreased when combined with Irinotecan.]
[M04AB05, lesinurad, The metabolism of Irinotecan can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, Elbasvir may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[J05AP11, grazoprevir, Grazoprevir may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[N05CA05, aprobarbital, The metabolism of Irinotecan can be increased when combined with Aprobarbital.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Irinotecan.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Irinotecan can be decreased when combined with Venetoclax.]
[R06AB01, brompheniramine, The metabolism of Brompheniramine can be decreased when combined with Irinotecan.]
[N05AX17, pimavanserin, The metabolism of Irinotecan can be decreased when combined with Pimavanserin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Bupivacaine.]
[N07BC01, buprenorphine, The metabolism of Irinotecan can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, The metabolism of Irinotecan can be decreased when combined with Buspirone.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Irinotecan is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Rivastigmine may increase the neuromuscular blocking activities of Irinotecan.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Irinotecan.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Irinotecan.]
[L01XK03, rucaparib, The metabolism of Irinotecan can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Irinotecan can be decreased when combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Brodalumab.]
[L01EF02, ribociclib, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Ribociclib.]
[R03CC12, bambuterol, Bambuterol may increase the neuromuscular blocking activities of Irinotecan.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Irinotecan.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Irinotecan.]
[N06BC01, caffeine, Caffeine may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Irinotecan can be increased when combined with Calcitriol.]
[R05DB01, benzonatate, The serum concentration of Benzonatate can be increased when it is combined with Irinotecan.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Irinotecan.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Irinotecan.]
[J05AE09, tipranavir, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Irinotecan.]
[L04AB02, infliximab, The metabolism of Irinotecan can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Midostaurin.]
[L01ED04, brigatinib, Brigatinib may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[N04BD03, safinamide, Safinamide may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[L04AC14, sarilumab, The metabolism of Irinotecan can be increased when combined with Sarilumab.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Irinotecan.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Irinotecan can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Capecitabine.]
[L01XX59, enasidenib, The risk or severity of neutropenia can be increased when Enasidenib is combined with Irinotecan.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Irinotecan is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Irinotecan.]
[L01EF03, abemaciclib, Abemaciclib may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[J05AG03, efavirenz, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Efavirenz.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Irinotecan.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Irinotecan.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Irinotecan.]
[R03BA02, budesonide, The metabolism of Irinotecan can be increased when combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Irinotecan.]
[L01EL02, acalabrutinib, The metabolism of Irinotecan can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Irinotecan can be decreased when combined with Letermovir.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Capsaicin.]
[A10BK04, ertugliflozin, The risk or severity of neutropenia can be increased when Ertugliflozin is combined with Irinotecan.]
[L02BB05, apalutamide, The metabolism of Irinotecan can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Irinotecan can be increased when combined with Carbamazepine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Irinotecan.]
[B02BX09, fostamatinib, The risk or severity of neutropenia can be increased when Fostamatinib is combined with Irinotecan.]
[N03AX24, cannabidiol, The metabolism of Irinotecan can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, Avatrombopag may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Irinotecan is combined with Baricitinib.]
[H01CC03, elagolix, The excretion of Elagolix can be decreased when combined with Irinotecan.]
[L01XX62, ivosidenib, The metabolism of Irinotecan can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Irinotecan can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Irinotecan.]
[L01EM04, duvelisib, The metabolism of Irinotecan can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The risk or severity of neutropenia can be increased when Dacomitinib is combined with Irinotecan.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Chloroprocaine.]
[R03BB08, revefenacin, Irinotecan may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The metabolism of Irinotecan can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Irinotecan can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Irinotecan.]
[L01EX13, gilteritinib, The metabolism of Irinotecan can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, Glasdegib may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Irinotecan.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Cilostazol is combined with Irinotecan.]
[P02BX04, triclabendazole, The metabolism of Irinotecan can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Irinotecan can be increased when combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Irinotecan is combined with Siponimod.]
[J01FA09, clarithromycin, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Clarithromycin.]
[N05BA09, clobazam, The metabolism of Irinotecan can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Irinotecan can be increased when combined with Cloprednol.]
[L04AB01, etanercept, The metabolism of Irinotecan can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Irinotecan can be increased when combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Irinotecan can be increased when combined with Alpelisib.]
[L02BB06, darolutamide, Darolutamide may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[L01EX15, pexidartinib, The risk or severity of neutropenia can be increased when Pexidartinib is combined with Irinotecan.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Irinotecan is combined with Upadacitinib.]
[L01EJ02, fedratinib, Fedratinib may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[N07XX11, pitolisant, The serum concentration of Irinotecan can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Irinotecan can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, The serum concentration of Irinotecan can be increased when it is combined with Lefamulin.]
[N04CX01, istradefylline, Istradefylline may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Irinotecan.]
[J01DB01, cephalexin, The metabolism of Irinotecan can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Irinotecan can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Irinotecan can be increased when combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Irinotecan.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Irinotecan.]
[N02CC08, lasmiditan, The serum concentration of Irinotecan can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Irinotecan is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Irinotecan.]
[G03AC09, desogestrel, The metabolism of Irinotecan can be increased when combined with Desogestrel.]
[B06AX03, voxelotor, The serum concentration of Irinotecan can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Irinotecan can be decreased when it is combined with Cenobamate.]
[N05CM21, lemborexant, The serum concentration of Irinotecan can be decreased when it is combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Irinotecan can be decreased when combined with Tazemetostat.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Teprotumumab.]
