[M03AB01, succinylcholine, The metabolism of Succinylcholine can be decreased when combined with Diethylcarbamazine.]
[N05AH04, quetiapine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Diethylcarbamazine.]
[L01CE02, irinotecan, Diethylcarbamazine may increase the neuromuscular blocking activities of Irinotecan.]
[N05CA16, hexobarbital, The therapeutic efficacy of Hexobarbital can be decreased when used in combination with Diethylcarbamazine.]
[S02BA01, hydrocortisone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Hydrocortisone.]
[G04BD06, propiverine, The therapeutic efficacy of Propiverine can be decreased when used in combination with Diethylcarbamazine.]
[N06AA02, imipramine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Diethylcarbamazine.]
[R01AD07, tixocortol, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Tixocortol.]
[A03AA30, piperidolate, The therapeutic efficacy of Piperidolate can be decreased when used in combination with Diethylcarbamazine.]
[S01XA28, varenicline, The risk or severity of adverse effects can be increased when Diethylcarbamazine is combined with Varenicline.]
[R06AE01, buclizine, The therapeutic efficacy of Buclizine can be decreased when used in combination with Diethylcarbamazine.]
[C07AA01, alprenolol, Diethylcarbamazine may increase the bradycardic activities of Alprenolol.]
[N01AB06, isoflurane, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Diethylcarbamazine.]
[N05AH03, olanzapine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Diethylcarbamazine.]
[C07AG01, labetalol, Diethylcarbamazine may increase the bradycardic activities of Labetalol.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Diethylcarbamazine.]
[N06AA21, maprotiline, The therapeutic efficacy of Maprotiline can be decreased when used in combination with Diethylcarbamazine.]
[C02BB01, mecamylamine, The therapeutic efficacy of Mecamylamine can be decreased when used in combination with Diethylcarbamazine.]
[R06AE05, meclizine, The therapeutic efficacy of Meclizine can be decreased when used in combination with Diethylcarbamazine.]
[N03AA01, mephobarbital, The therapeutic efficacy of Methylphenobarbital can be decreased when used in combination with Diethylcarbamazine.]
[N07BC02, methadone, The therapeutic efficacy of Methadone can be decreased when used in combination with Diethylcarbamazine.]
[A03AB07, methantheline, The therapeutic efficacy of Methantheline can be decreased when used in combination with Diethylcarbamazine.]
[N03AA30, metharbital, The therapeutic efficacy of Metharbital can be decreased when used in combination with Diethylcarbamazine.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Methotrimeprazine can be decreased when used in combination with Diethylcarbamazine.]
[H02AB04, methylprednisolone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Methylprednisolone.]
[D07AC14, methylprednisolone aceponate, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Methylprednisolone aceponate.]
[C07AB02, metoprolol, Diethylcarbamazine may increase the bradycardic activities of Metoprolol.]
[N06AA09, amitriptyline, The therapeutic efficacy of Amitriptyline can be decreased when used in combination with Diethylcarbamazine.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be decreased when used in combination with Diethylcarbamazine.]
[N05CA02, amobarbital, The therapeutic efficacy of Amobarbital can be decreased when used in combination with Diethylcarbamazine.]
[N06AA17, amoxapine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Diethylcarbamazine.]
[C07AA12, nadolol, Diethylcarbamazine may increase the bradycardic activities of Nadolol.]
[C08CA04, nicardipine, The therapeutic efficacy of Nicardipine can be decreased when used in combination with Diethylcarbamazine.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Diethylcarbamazine is combined with Nicotine.]
[N06AA10, nortriptyline, The therapeutic efficacy of Nortriptyline can be decreased when used in combination with Diethylcarbamazine.]
[C07AA02, oxprenolol, Diethylcarbamazine may increase the bradycardic activities of Oxprenolol.]
[A03AB03, oxyphenonium, The therapeutic efficacy of Oxyphenonium can be decreased when used in combination with Diethylcarbamazine.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Diethylcarbamazine.]
[H02AB05, paramethasone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Paramethasone.]
[G04BD11, fesoterodine, The therapeutic efficacy of Fesoterodine can be decreased when used in combination with Diethylcarbamazine.]
[C07AA23, penbutolol, Diethylcarbamazine may increase the bradycardic activities of Penbutolol.]
[N05CA01, pentobarbital, The therapeutic efficacy of Pentobarbital can be decreased when used in combination with Diethylcarbamazine.]
[N03AA02, phenobarbital, The therapeutic efficacy of Phenobarbital can be decreased when used in combination with Diethylcarbamazine.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Diethylcarbamazine is combined with Pilocarpine.]
[C07AA03, pindolol, Diethylcarbamazine may increase the bradycardic activities of Pindolol.]
[A02BX03, pirenzepine, The therapeutic efficacy of Pirenzepine can be decreased when used in combination with Diethylcarbamazine.]
[N02CX01, pizotyline, The therapeutic efficacy of Pizotifen can be decreased when used in combination with Diethylcarbamazine.]
[C07AB01, practolol, Diethylcarbamazine may increase the bradycardic activities of Practolol.]
[S03BA02, prednisolone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Prednisolone.]
[H02AB07, prednisone, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Prednisone.]
[N03AA03, primidone, The therapeutic efficacy of Primidone can be decreased when used in combination with Diethylcarbamazine.]
[S01HA05, procaine, Diethylcarbamazine may increase the neuromuscular blocking activities of Procaine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Diethylcarbamazine.]
[N05AA03, promazine, The therapeutic efficacy of Promazine can be decreased when used in combination with Diethylcarbamazine.]
[R06AD02, promethazine, The therapeutic efficacy of Promethazine can be decreased when used in combination with Diethylcarbamazine.]
[C01BC03, propafenone, Diethylcarbamazine may increase the bradycardic activities of Propafenone.]
[A03AB05, propantheline, The therapeutic efficacy of Propantheline can be decreased when used in combination with Diethylcarbamazine.]
[N05CM06, propiomazine, The therapeutic efficacy of Propiomazine can be decreased when used in combination with Diethylcarbamazine.]
[C07AA05, propranolol, Diethylcarbamazine may increase the bradycardic activities of Propranolol.]
[N05AX12, aripiprazole, The therapeutic efficacy of Aripiprazole can be decreased when used in combination with Diethylcarbamazine.]
[A03AB15, diphemanil, The therapeutic efficacy of Diphemanil can be decreased when used in combination with Diethylcarbamazine.]
[A03AB09, isopropamide, The therapeutic efficacy of Isopropamide can be decreased when used in combination with Diethylcarbamazine.]
[S01FA03, methscopolamine, The therapeutic efficacy of Methscopolamine can be decreased when used in combination with Diethylcarbamazine.]
[N05CA07, talbutal, The therapeutic efficacy of Talbutal can be decreased when used in combination with Diethylcarbamazine.]
[C01BA01, quinidine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Diethylcarbamazine.]
[S01FA02, scopolamine, The therapeutic efficacy of Scopolamine can be decreased when used in combination with Diethylcarbamazine.]
[N05CA06, secobarbital, The therapeutic efficacy of Secobarbital can be decreased when used in combination with Diethylcarbamazine.]
[C07AA07, sotalol, Diethylcarbamazine may increase the bradycardic activities of Sotalol.]
[D07AB02, hydrocortisone butyrate, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Hydrocortisone butyrate.]
[R03BB01, ipratropium bromide, The therapeutic efficacy of Ipratropium can be decreased when used in combination with Diethylcarbamazine.]
