[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fenfluramine.]
[N04AA01, trihexyphenidyl, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Fenfluramine.]
[N06AA06, trimipramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Trimipramine.]
[R06AC04, tripelennamine, The metabolism of Fenfluramine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Fenfluramine.]
[A03BB01, butylscopolamine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of serotonin syndrome can be increased when Vilazodone is combined with Fenfluramine.]
[N06AX02, tryptophan, The risk or severity of serotonin syndrome can be increased when Tryptophan is combined with Fenfluramine.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Tubocurarine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Fenfluramine.]
[L02BX03, abiraterone, The serum concentration of Fenfluramine can be increased when it is combined with Abiraterone.]
[J05AG05, rilpivirine, The metabolism of Fenfluramine can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Ezogabine.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Fenfluramine.]
[N06AX09, viloxazine, The metabolism of Fenfluramine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Fenfluramine can be decreased when combined with Vinblastine.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Fenfluramine.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Levetiracetam.]
[L01EC01, vemurafenib, The serum concentration of Fenfluramine can be increased when it is combined with Vemurafenib.]
[J01MA13, trovafloxacin, The metabolism of Fenfluramine can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Fenfluramine.]
[G04BD07, tolterodine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Fenfluramine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Fenfluramine can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Fenfluramine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Atracurium.]
[S01FA01, atropine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Fenfluramine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Fenfluramine.]
[J01CA09, azlocillin, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Azlocillin.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[A08AA11, lorcaserin, The risk or severity of serotonin syndrome can be increased when Lorcaserin is combined with Fenfluramine.]
[G04BD12, mirabegron, The serum concentration of Fenfluramine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Fenfluramine can be decreased when combined with Cobicistat.]
[L04AA31, teriflunomide, The serum concentration of Fenfluramine can be decreased when it is combined with Teriflunomide.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Fenfluramine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Fenfluramine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[N04BD02, rasagiline, The risk or severity of serotonin syndrome can be increased when Rasagiline is combined with Fenfluramine.]
[A03FA09, mosapride, The risk or severity of serotonin syndrome can be increased when Mosapride is combined with Fenfluramine.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[N02CC03, zolmitriptan, The risk or severity of serotonin syndrome can be increased when Zolmitriptan is combined with Fenfluramine.]
[R06AC06, thonzylamine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Fenfluramine can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Diethyl ether.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Fenfluramine.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Fenfluramine.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Fenfluramine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Fenfluramine can be decreased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Fenfluramine.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Benperidol.]
[J01MA15, gemifloxacin, The metabolism of Fenfluramine can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Fenfluramine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Fenfluramine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of serotonin syndrome can be increased when Naratriptan is combined with Fenfluramine.]
[L04AA18, everolimus, The metabolism of Fenfluramine can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Fenfluramine can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of serotonin syndrome can be increased when Levomilnacipran is combined with Fenfluramine.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Fenfluramine.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Fenfluramine.]
[N06AX26, vortioxetine, The risk or severity of serotonin syndrome can be increased when Vortioxetine is combined with Fenfluramine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Fenfluramine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Fenfluramine can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Fenfluramine.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Fenfluramine.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Fenfluramine can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Fenfluramine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Fenfluramine.]
[L04AC11, siltuximab, The metabolism of Fenfluramine can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Fenfluramine.]
[L01XH04, belinostat, The metabolism of Fenfluramine can be increased when combined with Belinostat.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Alfaxalone.]
[D11AA01, glycopyrronium, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Fenfluramine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Fenfluramine can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Acepromazine.]
[N04AA02, biperiden, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Fenfluramine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Fenfluramine.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Dicoumarol.]
[N06AX11, mirtazapine, Fenfluramine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Fenfluramine can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Fenfluramine can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Fenfluramine.]
[A03AA09, difemerine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Fenfluramine can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Eluxadoline is combined with Fenfluramine.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Fenfluramine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of serotonin syndrome can be increased when Cariprazine is combined with Fenfluramine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Fenfluramine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Fenfluramine.]
[J02AC05, isavuconazole, The metabolism of Fenfluramine can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Fenfluramine can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Fenfluramine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Fenfluramine.]
[N06AA19, amineptin, The risk or severity of serotonin syndrome can be increased when Amineptine is combined with Fenfluramine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Aniracetam.]
[A05AA04, obeticholic acid, The metabolism of Fenfluramine can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Bupivacaine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Fenfluramine.]
[N07BC01, buprenorphine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Fenfluramine.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Fenfluramine.]
[N02AF01, butorphanol, The risk or severity of serotonin syndrome can be increased when Butorphanol is combined with Fenfluramine.]
[R06AX09, azatadine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Fenfluramine can be decreased when combined with Rucaparib.]
[R03DA08, bamifylline, Fenfluramine may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Fenfluramine.]
[N02BF02, pregabalin, The therapeutic efficacy of Fenfluramine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Fenfluramine can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Fenfluramine.]
[J05AE09, tipranavir, The metabolism of Fenfluramine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Fenfluramine.]
[L04AB02, infliximab, The metabolism of Fenfluramine can be increased when combined with Infliximab.]
[N04BD03, safinamide, The risk or severity of serotonin syndrome can be increased when Safinamide is combined with Fenfluramine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Fenfluramine.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Fenfluramine.]
[N04AA11, bornaprine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Brotizolam.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Fenfluramine.]
[N06AA15, butriptyline, The risk or severity of serotonin syndrome can be increased when Butriptyline is combined with Fenfluramine.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Vinylbital.]
[N03AF01, carbamazepine, The serum concentration of Fenfluramine can be decreased when it is combined with Carbamazepine.]
[A03AA03, camylofine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Carbinoxamine.]
[L03AB06, interferon alfa-n1, The metabolism of Fenfluramine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Fenfluramine.]
[N03AX24, cannabidiol, The risk or severity of serotonin syndrome can be increased when Cannabidiol is combined with Fenfluramine.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Fenfluramine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Fenfluramine.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Fenfluramine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Fenfluramine.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Fenfluramine.]
[N03AX17, stiripentol, The serum concentration of Fenfluramine can be increased when it is combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Fenfluramine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Fenfluramine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[R03DA02, oxtriphylline, Fenfluramine may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Fenfluramine.]
[R03BB08, revefenacin, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Fenfluramine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Fenfluramine can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Gilteritinib.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Fenfluramine.]
[A03FA08, cinitapride, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Fenfluramine.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Esketamine.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Brexanolone.]
[N05BA09, clobazam, The serum concentration of Fenfluramine can be increased when it is combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Cloxazolam.]
[L04AB01, etanercept, The metabolism of Fenfluramine can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Fenfluramine can be increased when combined with Alpelisib.]
[J01DD01, cefotaxime, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Cefotaxime.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Fenfluramine.]
[L01EJ02, fedratinib, The metabolism of Fenfluramine can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The serum concentration of Fenfluramine can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Fenfluramine.]
[G04BE04, yohimbine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Yohimbine.]
[A10AE03, insulin, regular, pork, The metabolism of Fenfluramine can be increased when combined with Insulin pork.]
[J01DB03, cephalothin, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Cefalotin.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Fenfluramine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Fenfluramine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Fenfluramine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Fenfluramine.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Fenfluramine.]
[N03AX25, cenobamate, The serum concentration of Fenfluramine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Fenfluramine can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Fenfluramine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Fenfluramine.]
[N02AX03, dezocine, The risk or severity of serotonin syndrome can be increased when Dezocine is combined with Fenfluramine.]
[N05CM21, lemborexant, The serum concentration of Fenfluramine can be decreased when it is combined with Lemborexant.]
[N05AD10, lumateperone, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Fenfluramine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Fenfluramine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Fenfluramine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Fenfluramine.]
[N02CC07, frovatriptan, The risk or severity of serotonin syndrome can be increased when Frovatriptan is combined with Fenfluramine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Fenfluramine.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Fenfluramine.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of serotonin syndrome can be increased when Dihydrocodeine is combined with Fenfluramine.]
[N02CC06, eletriptan, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Fenfluramine.]
[M01AH02, rofecoxib, The metabolism of Fenfluramine can be decreased when combined with Rofecoxib.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Fenfluramine.]
[C01BD07, dronedarone, The metabolism of Fenfluramine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Valpromide.]
[L01AA02, chlorambucil, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Chlorambucil.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Fenfluramine.]
[A03AA08, dihexyverine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Fenfluramine can be decreased when combined with Capmatinib.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Fenfluramine.]
[G04BD09, trospium, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Dyclonine.]
[P01BB01, proguanil, The metabolism of Fenfluramine can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Fenfluramine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Fenfluramine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Fenfluramine can be decreased when combined with Chloroquine.]
[R06AB04, chlorpheniramine, The risk or severity of serotonin syndrome can be increased when Chlorpheniramine is combined with Fenfluramine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Chlorpromazine.]
[N05AF03, chlorprothixene, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Fenfluramine.]
[A11CC05, cholecalciferol, The metabolism of Fenfluramine can be decreased when combined with Cholecalciferol.]
