[P02BB01, trichlorfon, The therapeutic efficacy of Clozapine can be decreased when used in combination with Metrifonate.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Clozapine.]
[P02CA02, thiabendazole, The metabolism of Clozapine can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of neutropenia can be increased when Eribulin is combined with Clozapine.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01AC01, thiotepa, The risk or severity of neutropenia can be increased when Thiotepa is combined with Clozapine.]
[L01BB03, thioguanine, The risk or severity of neutropenia can be increased when Tioguanine is combined with Clozapine.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Clozapine.]
[N05AB08, thioproperazine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioproperazine.]
[N05AC02, thioridazine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioridazine.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Clozapine.]
[B02AB01, aprotinin, The therapeutic efficacy of Clozapine can be decreased when used in combination with Aprotinin.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Clozapine is combined with Moxisylyte.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Clozapine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Clozapine is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Clozapine.]
[P01AB02, tinidazole, The metabolism of Tinidazole can be decreased when combined with Clozapine.]
[S01AA12, tobramycin, Clozapine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Clozapine.]
[M02AX02, tolazoline, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Clozapine.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Clozapine is combined with Tolmetin.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Clozapine.]
[N06AF04, tranylcypromine, The metabolism of Clozapine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Clozapine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Clozapine.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be decreased when combined with Clozapine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Clozapine.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Clozapine can be decreased when used in combination with Demecarium.]
[A16AX12, trientine, Clozapine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[S01AD02, trifluridine, Clozapine may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05AA05, triflupromazine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Clozapine.]
[A03AA05, trimebutine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C02BA01, trimethaphan, Clozapine may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Clozapine.]
[N06AA06, trimipramine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trimipramine.]
[R06AC04, tripelennamine, The metabolism of Clozapine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A03BB01, butylscopolamine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Clozapine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Clozapine.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Clozapine is combined with Tropicamide.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C09CA09, azilsartan medoxomil, Clozapine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Clozapine.]
[L01FX04, ipilimumab, Clozapine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, The therapeutic efficacy of Clozapine can be decreased when used in combination with Tyrothricin.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Clozapine.]
[R02AA14, oxyquinoline, Clozapine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Clozapine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Clozapine.]
[J05AP03, boceprevir, The metabolism of Clozapine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Clozapine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Clozapine.]
[S01AA28, vancomycin, Clozapine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Clozapine.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Clozapine.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Clozapine.]
[C08DA01, verapamil, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Verapamil.]
[N06AX09, viloxazine, The metabolism of Clozapine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of neutropenia can be increased when Vinblastine is combined with Clozapine.]
[C04AX07, vincamine, Clozapine may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Clozapine.]
[L01CA03, vindesine, The risk or severity of neutropenia can be increased when Vindesine is combined with Clozapine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[A11HA03, vitamin E, The metabolism of Vitamin E can be decreased when combined with Clozapine.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Clozapine.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Clozapine is combined with Xenon.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The risk or severity of neutropenia can be increased when Zidovudine is combined with Clozapine.]
[N05AF05, zuclopenthixol, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Clozapine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01EC01, vemurafenib, The serum concentration of Clozapine can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Clozapine.]
[M05BA05, tiludronic acid, Clozapine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Clozapine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Clozapine.]
[R03DC01, zafirlukast, The metabolism of Clozapine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Clozapine.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Clozapine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Clozapine.]
[V03AC02, deferiprone, Clozapine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of neutropenia can be increased when Alemtuzumab is combined with Clozapine.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Clozapine is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The risk or severity of neutropenia can be increased when Ruxolitinib is combined with Clozapine.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Clozapine.]
[J01DH04, doripenem, Clozapine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Clozapine.]
[L03AB11, peginterferon alfa-2a, The risk or severity of neutropenia can be increased when Peginterferon alfa-2a is combined with Clozapine.]
[L01FA01, rituximab, The risk or severity of neutropenia can be increased when Rituximab is combined with Clozapine.]
[J02AC03, voriconazole, The metabolism of Clozapine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[S01FA01, atropine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Clozapine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Clozapine.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Clozapine.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Clozapine.]
[H02AB11, prednylidene, The metabolism of Prednylidene can be decreased when combined with Clozapine.]
[B03XA04, peginesatide, Clozapine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, The risk or severity of neutropenia can be increased when Azacitidine is combined with Clozapine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Clozapine.]
[L01BC05, gemcitabine, The risk or severity of neutropenia can be increased when Gemcitabine is combined with Clozapine.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Clozapine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of neutropenia can be increased when Gemtuzumab ozogamicin is combined with Clozapine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Clozapine.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Clozapine is combined with Mirabegron.]
[L01XG02, carfilzomib, The risk or severity of neutropenia can be increased when Carfilzomib is combined with Clozapine.]
[V03AX03, cobicistat, The metabolism of Clozapine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Clozapine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Clozapine can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Clozapine.]
[L01EA04, bosutinib, The risk or severity of neutropenia can be increased when Bosutinib is combined with Clozapine.]
[L04AA31, teriflunomide, The serum concentration of Clozapine can be decreased when it is combined with Teriflunomide.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Clozapine.]
[H02AA01, aldosterone, The metabolism of Aldosterone can be decreased when combined with Clozapine.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Clozapine.]
[N05CA04, barbital, Barbital may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[D02BA02, octinoxate, Clozapine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Clozapine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of neutropenia can be increased when Bendamustine is combined with Clozapine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N04BD02, rasagiline, The therapeutic efficacy of Rasagiline can be decreased when used in combination with Clozapine.]
[C08CA13, lercanidipine, The risk or severity of hypotension can be increased when Clozapine is combined with Lercanidipine.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N06DA02, donepezil, The therapeutic efficacy of Clozapine can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Clozapine.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Clozapine.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[R06AC06, thonzylamine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Clozapine.]
[V09IX04, fluorodeoxyglucose F18, Clozapine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Clozapine.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Clozapine.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Clozapine.]
[V08CA11, gadofosveset, Clozapine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The risk or severity of neutropenia can be increased when Ponatinib is combined with Clozapine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Clozapine.]
[A16AX08, teduglutide, Clozapine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Clozapine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of hypotension can be increased when Clozapine is combined with Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Clozapine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Clozapine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of neutropenia can be increased when Pomalidomide is combined with Clozapine.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Clozapine.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Clozapine is combined with Benorilate.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Clozapine.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Clozapine can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Clozapine.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Clozapine.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Clozapine.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Clozapine.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Clozapine.]
[L03AA12, ancestim, Clozapine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Clozapine.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Clozapine.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Clozapine is combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Clozapine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Clozapine is combined with Benzydamine.]
[L01EE01, trametinib, Clozapine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Clozapine.]
[V09AX05, florbetapir F-18, Clozapine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Clozapine.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Clozapine.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Clozapine.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Clozapine.]
[C02KX04, macitentan, The metabolism of Macitentan can be decreased when combined with Clozapine.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Clozapine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Clozapine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be decreased when combined with Clozapine.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[J05AP05, simeprevir, The metabolism of Simeprevir can be decreased when combined with Clozapine.]
[J05AP08, sofosbuvir, Clozapine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Clozapine.]
[C01CA27, droxidopa, The therapeutic efficacy of Droxidopa can be decreased when used in combination with Clozapine.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Clozapine.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A16AA07, metreleptin, The metabolism of Clozapine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Clozapine can be increased when combined with Apremilast.]
[L02BG02, formestane, Clozapine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[N07CA01, betahistine, The therapeutic efficacy of Betahistine can be decreased when used in combination with Clozapine.]
[A16AA06, betaine, The therapeutic efficacy of Clozapine can be decreased when used in combination with Betaine.]
[S03BA03, betamethasone, The metabolism of Betamethasone can be decreased when combined with Clozapine.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Clozapine.]
[V03AB34, fomepizole, The metabolism of Clozapine can be decreased when combined with Fomepizole.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Clozapine.]
[C10AB02, bezafibrate, The metabolism of Bezafibrate can be decreased when combined with Clozapine.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Clozapine.]
[L04AC11, siltuximab, The metabolism of Clozapine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be increased when combined with Clozapine.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Clozapine.]
[A03BA03, hyoscyamine, Clozapine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Clozapine.]
[L01XH04, belinostat, The risk or severity of neutropenia can be increased when Belinostat is combined with Clozapine.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Clozapine.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Clozapine.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Clozapine.]
[L03AB13, peginterferon beta-1a, The risk or severity of neutropenia can be increased when Peginterferon beta-1a is combined with Clozapine.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Clozapine is combined with Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[N05CM19, suvorexant, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Clozapine.]
[J01XA05, oritavancin, The metabolism of Clozapine can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[N05AA04, acepromazine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Acepromazine.]
[V04CX03, methacholine, Clozapine may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Clozapine.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Clozapine.]
[A06AH03, naloxegol, The metabolism of Naloxegol can be decreased when combined with Clozapine.]
[L01BC08, decitabine, The risk or severity of neutropenia can be increased when Decitabine is combined with Clozapine.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Clozapine.]
[A11HA08, tocophersolan, The metabolism of Tocofersolan can be decreased when combined with Clozapine.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Clozapine.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Clozapine.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Clozapine.]
[S03AA06, gentamicin, Clozapine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of neutropenia can be increased when Blinatumomab is combined with Clozapine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Clozapine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Clozapine.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Clozapine is combined with Dicoumarol.]
[B01AF03, edoxaban, Clozapine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Clozapine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of neutropenia can be increased when Palbociclib is combined with Clozapine.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Clozapine can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Clozapine.]
