[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Progesterone.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Progesterone.]
[A11DA01, thiamine, The risk or severity of adverse effects can be increased when Progesterone is combined with Thiamine.]
[N05CA19, thiopental, The metabolism of Progesterone can be increased when combined with Thiopental.]
[N05AC02, thioridazine, The metabolism of Progesterone can be decreased when combined with Thioridazine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Progesterone.]
[J01CA13, ticarcillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Ticarcillin.]
[B01AC05, ticlopidine, The metabolism of Progesterone can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The metabolism of Progesterone can be decreased when combined with Timolol.]
[P01AB02, tinidazole, Progesterone may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Progesterone.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Progesterone.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Progesterone.]
[B02AA02, tranexamic acid, Progesterone may increase the thrombogenic activities of Tranexamic acid.]
[N06AF04, tranylcypromine, The metabolism of Progesterone can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The metabolism of Trazodone can be decreased when combined with Progesterone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Progesterone.]
[S01BA05, triamcinolone, The serum concentration of Triamcinolone can be increased when it is combined with Progesterone.]
[N05CD05, triazolam, The metabolism of Triazolam can be decreased when combined with Progesterone.]
[S01AD02, trifluridine, The therapeutic efficacy of Progesterone can be decreased when used in combination with Trifluridine.]
[D07AC02, fluclorolone, The serum concentration of Fluclorolone can be increased when it is combined with Progesterone.]
[R03BA07, mometasone, The serum concentration of Mometasone can be increased when it is combined with Progesterone.]
[N03AC02, trimethadione, The metabolism of Progesterone can be increased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Progesterone.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Progesterone.]
[R06AC04, tripelennamine, The metabolism of Progesterone can be decreased when combined with Tripelennamine.]
[J01FA08, troleandomycin, The metabolism of Progesterone can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Progesterone can be decreased when combined with Vilazodone.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Progesterone is combined with Tubocurarine.]
[L02BX03, abiraterone, The metabolism of Progesterone can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Progesterone.]
[J05AP03, boceprevir, The serum concentration of Progesterone can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Progesterone can be decreased when it is combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be increased when it is combined with Progesterone.]
[B01AD04, urokinase, The therapeutic efficacy of Urokinase can be decreased when used in combination with Progesterone.]
[N03AX21, ezogabine, The metabolism of Progesterone can be increased when combined with Ezogabine.]
[B01AF01, rivaroxaban, The therapeutic efficacy of Rivaroxaban can be decreased when used in combination with Progesterone.]
[B01AC24, ticagrelor, The therapeutic efficacy of Ticagrelor can be decreased when used in combination with Progesterone.]
[C08DA01, verapamil, The metabolism of Progesterone can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Progesterone can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, Progesterone may decrease the excretion rate of Vinblastine which could result in a higher serum level.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Progesterone.]
[A11HA03, vitamin E, The metabolism of Progesterone can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Progesterone.]
[S01AA13, fusidic acid, The metabolism of Progesterone can be decreased when combined with Fusidic acid.]
[J05AF01, zidovudine, Progesterone may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Progesterone.]
[J05AE02, indinavir, The metabolism of Progesterone can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The metabolism of Progesterone can be increased when combined with Levetiracetam.]
[L01EC01, vemurafenib, Progesterone may decrease the excretion rate of Vemurafenib which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Progesterone.]
[B01AE01, desirudin, The therapeutic efficacy of Lepirudin can be decreased when used in combination with Progesterone.]
[R03DC01, zafirlukast, The metabolism of Progesterone can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Progesterone can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The metabolism of Progesterone can be decreased when combined with Ziprasidone.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Progesterone.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Progesterone.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Progesterone.]
[C07AB03, atenolol, Progesterone may decrease the excretion rate of Atenolol which could result in a higher serum level.]
[J02AC03, voriconazole, The metabolism of Progesterone can be decreased when combined with Voriconazole.]
[S01FA01, atropine, Progesterone may decrease the excretion rate of Atropine which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Progesterone.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Progesterone.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Progesterone.]
[H02AB11, prednylidene, The serum concentration of Prednylidene can be increased when it is combined with Progesterone.]
[J01CA09, azlocillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Azlocillin.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Progesterone.]
[A08AA11, lorcaserin, The metabolism of Progesterone can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Progesterone can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The serum concentration of Progesterone can be decreased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The serum concentration of Progesterone can be decreased when it is combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Progesterone can be decreased when it is combined with Enzalutamide.]
[L04AA31, teriflunomide, Progesterone may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[B01AX01, defibrotide, The therapeutic efficacy of Defibrotide can be decreased when used in combination with Progesterone.]
[H02AA01, aldosterone, The serum concentration of Aldosterone can be increased when it is combined with Progesterone.]
[L01EX05, regorafenib, The metabolism of Progesterone can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Progesterone can be increased when combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Progesterone can be decreased when combined with Nelfinavir.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be decreased when combined with Progesterone.]
[N06DA02, donepezil, Progesterone may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Progesterone.]
[G04BD10, darifenacin, The metabolism of Progesterone can be decreased when combined with Darifenacin.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Progesterone.]
[G04BE03, sildenafil, The metabolism of Progesterone can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Progesterone.]
[B01AF02, apixaban, The therapeutic efficacy of Apixaban can be decreased when used in combination with Progesterone.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Progesterone.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Progesterone can be decreased when combined with Glycerol phenylbutyrate.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Progesterone.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Progesterone.]
[M04AB03, benzbromarone, Progesterone may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[A06AX06, tegaserod, The metabolism of Progesterone can be decreased when combined with Tegaserod.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Progesterone.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Progesterone.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Progesterone.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Progesterone.]
[M01AH01, celecoxib, The metabolism of Progesterone can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The metabolism of Progesterone can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Progesterone can be decreased when combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Progesterone can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Progesterone.]
[L01EB03, afatinib, Progesterone may decrease the excretion rate of Afatinib which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Progesterone.]
[J05AJ03, dolutegravir, Progesterone may decrease the excretion rate of Dolutegravir which could result in a higher serum level.]
[C08EA02, bepridil, The metabolism of Progesterone can be decreased when combined with Bepridil.]
[C02KX05, riociguat, Progesterone may decrease the excretion rate of Riociguat which could result in a higher serum level.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Progesterone.]
[A05AA03, cholic acid, Progesterone may decrease the excretion rate of Cholic Acid which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Progesterone.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Progesterone.]
[N03AF04, eslicarbazepine, The metabolism of Progesterone can be increased when combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Progesterone can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Progesterone can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Progesterone may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The metabolism of Progesterone can be increased when combined with Vigabatrin.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Progesterone.]
[C07AB04, acebutolol, The metabolism of Progesterone can be decreased when combined with Acebutolol.]
[A16AA07, metreleptin, The metabolism of Progesterone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Progesterone can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Progesterone can be increased when combined with Formestane.]
[S03BA03, betamethasone, The serum concentration of Betamethasone can be increased when it is combined with Progesterone.]
[S01ED02, betaxolol, The metabolism of Progesterone can be decreased when combined with Betaxolol.]
[B01AE03, argatroban, The therapeutic efficacy of Argatroban can be decreased when used in combination with Progesterone.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Progesterone.]
[L04AC11, siltuximab, The metabolism of Progesterone can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Progesterone can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The therapeutic efficacy of Vorapaxar can be decreased when used in combination with Progesterone.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be increased when combined with Progesterone.]
[L01EM01, idelalisib, Progesterone may decrease the excretion rate of Idelalisib which could result in a higher serum level.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Progesterone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Progesterone.]
[A16AX10, eliglustat, The metabolism of Progesterone can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Progesterone can be increased when combined with Oritavancin.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Progesterone.]
[N04AA02, biperiden, The metabolism of Progesterone can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Progesterone.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Progesterone.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Progesterone.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Progesterone.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Progesterone.]
[B01AF03, edoxaban, The therapeutic efficacy of Edoxaban can be decreased when used in combination with Progesterone.]
[N06AX11, mirtazapine, The metabolism of Progesterone can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Progesterone can be increased when combined with Secukinumab.]
[B06AC01, C1 esterase inhibitor (human), The risk or severity of thromboembolism can be increased when Progesterone is combined with Human C1-esterase inhibitor.]
[B06AC04, C1 esterase inhibitor (recombinant), The risk or severity of thromboembolism can be increased when Progesterone is combined with Conestat alfa.]
[L01EF01, palbociclib, Progesterone may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[L01EX08, lenvatinib, Progesterone may decrease the excretion rate of Lenvatinib which could result in a higher serum level.]
[L01XH03, panobinostat, The metabolism of Progesterone can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Progesterone.]
[N02BE01, acetaminophen, The metabolism of Progesterone can be increased when combined with Acetaminophen.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be decreased when used in combination with Progesterone.]
[J05AP06, asunaprevir, The serum concentration of Progesterone can be decreased when it is combined with Asunaprevir.]
[A07DA06, eluxadoline, The serum concentration of Eluxadoline can be increased when it is combined with Progesterone.]
[B01AC25, cangrelor, The therapeutic efficacy of Cangrelor can be decreased when used in combination with Progesterone.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Progesterone.]
[A04AD14, rolapitant, The metabolism of Progesterone can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Progesterone is combined with Flibanserin.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Progesterone.]
[S01EC01, acetazolamide, The metabolism of Progesterone can be increased when combined with Acetazolamide.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Progesterone.]
[A02BC03, lansoprazole, The metabolism of Progesterone can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Progesterone.]
[J02AC05, isavuconazole, The metabolism of Progesterone can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, Progesterone may decrease the excretion rate of Osimertinib which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Progesterone.]
[B01AC27, selexipag, The excretion of Selexipag can be decreased when combined with Progesterone.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Progesterone.]
[M04AB05, lesinurad, The metabolism of Progesterone can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Progesterone.]
[J05AP11, grazoprevir, The excretion of Grazoprevir can be decreased when combined with Progesterone.]
[N05CA05, aprobarbital, The metabolism of Progesterone can be increased when combined with Aprobarbital.]
[N03AX23, brivaracetam, The metabolism of Progesterone can be increased when combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Progesterone can be decreased when combined with Venetoclax.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Progesterone.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Progesterone is combined with Obeticholic acid.]
[N01BB01, bupivacaine, The metabolism of Progesterone can be decreased when combined with Bupivacaine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Progesterone.]
[N07BC01, buprenorphine, The metabolism of Progesterone can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Progesterone.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Progesterone.]
[M02AA03, clofezone, The metabolism of Progesterone can be decreased when combined with Rabeprazole.]
[S01GX07, azelastine, The metabolism of Progesterone can be decreased when combined with Azelastine.]
[J01CE04, azidocillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Azidocillin.]
[L01XK03, rucaparib, The metabolism of Progesterone can be decreased when combined with Rucaparib.]
[J01CA06, bacampicillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Bacampicillin.]
[L01EF02, ribociclib, The metabolism of Progesterone can be decreased when combined with Ribociclib.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Progesterone.]
[N02BF02, pregabalin, The metabolism of Progesterone can be increased when combined with Pregabalin.]
[N03AX30, beclamide, The metabolism of Progesterone can be increased when combined with Beclamide.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Progesterone.]
[D05AX03, calcitriol, The metabolism of Progesterone can be increased when combined with Calcitriol.]
[J05AE09, tipranavir, The metabolism of Progesterone can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Progesterone.]
[L04AB02, infliximab, The metabolism of Progesterone can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Progesterone can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, Progesterone may decrease the excretion rate of Brigatinib which could result in a higher serum level.]
[L04AC14, sarilumab, The metabolism of Progesterone can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, Progesterone may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The therapeutic efficacy of Betrixaban can be decreased when used in combination with Progesterone.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Progesterone is combined with Acetylcholine.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Progesterone.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Progesterone.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Progesterone.]
[L01EF03, abemaciclib, Progesterone may decrease the excretion rate of Abemaciclib which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Progesterone can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Progesterone.]
[R03BA02, budesonide, The serum concentration of Budesonide can be increased when it is combined with Progesterone.]
[L01EL02, acalabrutinib, The metabolism of Progesterone can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The risk or severity of liver damage can be increased when Progesterone is combined with Letermovir.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Progesterone.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Progesterone.]
[L02BB05, apalutamide, The serum concentration of Progesterone can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Progesterone can be decreased when it is combined with Carbamazepine.]
[J01CA03, carbenicillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Carbenicillin.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Progesterone.]
[N03AX24, cannabidiol, The metabolism of Progesterone can be increased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Progesterone can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Progesterone.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Progesterone.]
[H01CC03, elagolix, The excretion of Elagolix can be decreased when combined with Progesterone.]
[L01XX62, ivosidenib, The metabolism of Progesterone can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Progesterone.]
[N03AX17, stiripentol, The metabolism of Progesterone can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, Progesterone may decrease the excretion rate of Lusutrombopag which could result in a higher serum level.]
[J05AX24, tecovirimat, The metabolism of Progesterone can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Progesterone.]
[J01AA13, eravacycline, The serum concentration of Progesterone can be decreased when it is combined with Eravacycline.]
[L01EM04, duvelisib, Progesterone may decrease the excretion rate of Duvelisib which could result in a higher serum level.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Progesterone.]
[J01AA14, sarecycline, The serum concentration of Progesterone can be decreased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Progesterone can be decreased when it is combined with Omadacycline.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Progesterone.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Progesterone.]
[L01XK04, talazoparib, Progesterone may decrease the excretion rate of Talazoparib which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Progesterone can be decreased when combined with Carisoprodol.]
[R03BB08, revefenacin, Progesterone may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The metabolism of Progesterone can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Progesterone can be increased when combined with Emapalumab.]
[L01XJ03, glasdegib, Progesterone may decrease the excretion rate of Glasdegib which could result in a higher serum level.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Progesterone.]
[P02BX04, triclabendazole, The metabolism of Progesterone can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Progesterone can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Progesterone.]
[J01FA09, clarithromycin, The metabolism of Progesterone can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The serum concentration of Solriamfetol can be increased when it is combined with Progesterone.]
[N06AX29, brexanolone, The metabolism of Progesterone can be increased when combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Progesterone.]
[N05BA09, clobazam, The serum concentration of Progesterone can be decreased when it is combined with Clobazam.]
[J01AA11, clomocycline, The serum concentration of Progesterone can be decreased when it is combined with Clomocycline.]
[H02AB14, cloprednol, The serum concentration of Cloprednol can be increased when it is combined with Progesterone.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Progesterone.]
[L04AB01, etanercept, The metabolism of Progesterone can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The serum concentration of Cortivazol can be increased when it is combined with Progesterone.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be increased when it is combined with Progesterone.]
[J01DC04, cefaclor, Progesterone may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[L02BB06, darolutamide, Progesterone may decrease the excretion rate of Darolutamide which could result in a higher serum level.]
[J01CF03, methicillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Meticillin.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Progesterone.]
[N07XX11, pitolisant, The serum concentration of Progesterone can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Progesterone.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Progesterone.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Progesterone.]
[J01DB09, cephradine, The metabolism of Progesterone can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Progesterone.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Progesterone.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Progesterone.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Progesterone.]
[N03AX25, cenobamate, The serum concentration of Progesterone can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Progesterone can be increased when it is combined with Givosiran.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Progesterone.]
[R06AB02, dexchlorpheniramine, The metabolism of Progesterone can be decreased when combined with Dexchlorpheniramine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Progesterone.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Progesterone.]
[L01XX72, tazemetostat, Progesterone may decrease the excretion rate of Tazemetostat which could result in a higher serum level.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Progesterone.]
[M01AX21, diacetylrhein, The metabolism of Progesterone can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Progesterone.]
[C10AX15, bempedoic acid, The excretion of Bempedoic acid can be increased when combined with Progesterone.]
[H02CA02, osilodrostat, The metabolism of Progesterone can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Progesterone can be decreased when combined with Amprenavir.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Progesterone.]
[L04AA38, ozanimod, Progesterone may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EE04, selumetinib, Progesterone may decrease the excretion rate of Selumetinib which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Progesterone.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Progesterone.]
[M01AH02, rofecoxib, The metabolism of Progesterone can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Progesterone can be increased when combined with Bexarotene.]
