[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Formoterol.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Eribulin.]
[N05CA19, thiopental, The metabolism of Formoterol can be decreased when combined with Thiopental.]
[N05AB08, thioproperazine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Formoterol can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Formoterol.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Formoterol is combined with Moxisylyte.]
[B01AC05, ticlopidine, The metabolism of Formoterol can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, Timolol may decrease the bronchodilatory activities of Formoterol.]
[A10BB05, tolazamide, The metabolism of Formoterol can be decreased when combined with Tolazamide.]
[M02AX02, tolazoline, The therapeutic efficacy of Formoterol can be decreased when used in combination with Tolazoline.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Formoterol.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Formoterol.]
[N02AX02, tramadol, The metabolism of Formoterol can be decreased when combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Formoterol.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Formoterol.]
[L01XF01, tretinoin, The metabolism of Formoterol can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of hypokalemia can be increased when Triamcinolone is combined with Formoterol.]
[C03AA06, trichlormethiazide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Trichlormethiazide.]
[A03AB12, mepenzolate, The risk or severity of Tachycardia can be increased when Formoterol is combined with Mepenzolate.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Trifluoperazine.]
[N05AA05, triflupromazine, The risk or severity of Tachycardia can be increased when Triflupromazine is combined with Formoterol.]
[D07AC02, fluclorolone, The risk or severity of hypokalemia can be increased when Fluclorolone is combined with Formoterol.]
[N04AA01, trihexyphenidyl, The risk or severity of Tachycardia can be increased when Trihexyphenidyl is combined with Formoterol.]
[R03BA07, mometasone, The risk or severity of hypokalemia can be increased when Mometasone is combined with Formoterol.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Formoterol.]
[C02BA01, trimethaphan, Formoterol may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Formoterol can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Formoterol.]
[R06AC04, tripelennamine, The metabolism of Formoterol can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Formoterol.]
[A03BB01, butylscopolamine, The risk or severity of Tachycardia can be increased when Formoterol is combined with Butylscopolamine.]
[N06AX24, vilazodone, The metabolism of Formoterol can be decreased when combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, Formoterol may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Formoterol is combined with Tubocurarine.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Formoterol can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The risk or severity of adverse effects can be increased when Linagliptin is combined with Formoterol.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ezogabine.]
[R03AC18, indacaterol, Indacaterol may increase the sympathomimetic activities of Formoterol.]
[B01AC24, ticagrelor, The metabolism of Formoterol can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The therapeutic efficacy of Formoterol can be decreased when used in combination with Verapamil.]
[N06AX09, viloxazine, The metabolism of Formoterol can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Formoterol can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Formoterol may decrease the antihypertensive activities of Vincamine.]
[B01AA03, warfarin, The metabolism of Formoterol can be increased when combined with Warfarin.]
[N01AX15, xenon, Xenon may increase the arrhythmogenic activities of Formoterol.]
[C03BA10, xipamide, Formoterol may decrease the antihypertensive activities of Xipamide.]
[J05AF01, zidovudine, The metabolism of Formoterol can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Zuclopenthixol.]
[J05AE02, indinavir, The risk or severity of adverse effects can be increased when Indinavir is combined with Formoterol.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Formoterol.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Formoterol can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Formoterol can be decreased when combined with Rabeprazole.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Formoterol.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Acetylsalicylic acid is combined with Formoterol.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Formoterol.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Tolterodine.]
[C07AB03, atenolol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Atenolol.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Formoterol.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Atropine is combined with Formoterol.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Formoterol.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Formoterol.]
[H02AB11, prednylidene, The risk or severity of hypokalemia can be increased when Prednylidene is combined with Formoterol.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Formoterol.]
[A08AA11, lorcaserin, The metabolism of Formoterol can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Formoterol can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Formoterol can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, The serum concentration of Formoterol can be decreased when it is combined with Enzalutamide.]
[C01CA18, octopamine, Octopamine may increase the sympathomimetic activities of Formoterol.]
[H02AA01, aldosterone, The risk or severity of hypokalemia can be increased when Aldosterone is combined with Formoterol.]
[L01EX05, regorafenib, The metabolism of Formoterol can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Formoterol.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Formoterol.]
[S01GA07, brimonidine, Brimonidine may increase the sympathomimetic activities of Formoterol.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Rasagiline is combined with Formoterol.]
[C08CA13, lercanidipine, Formoterol may decrease the antihypertensive activities of Lercanidipine.]
[N06DA02, donepezil, The metabolism of Formoterol can be decreased when combined with Donepezil.]
[N02CC03, zolmitriptan, The risk or severity of hypertension can be increased when Zolmitriptan is combined with Formoterol.]
[R06AC06, thonzylamine, The risk or severity of Tachycardia can be increased when Formoterol is combined with Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Formoterol can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, Diethyl ether may increase the arrhythmogenic activities of Formoterol.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Formoterol.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Formoterol can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Formoterol.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Formoterol.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Formoterol.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Formoterol can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Bendroflumethiazide.]
[G03XC05, ospemifene, The metabolism of Formoterol can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Formoterol is combined with Benorilate.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Formoterol can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Formoterol can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Formoterol.]
[M01AH01, celecoxib, The metabolism of Formoterol can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of hypertension can be increased when Naratriptan is combined with Formoterol.]
[L04AA18, everolimus, The metabolism of Formoterol can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Formoterol.]
[L01EC02, dabrafenib, The serum concentration of Formoterol can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Formoterol is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Formoterol.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the tachycardic activities of Formoterol.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Bepridil.]
[C02KX05, riociguat, Formoterol may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Formoterol may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Formoterol.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Formoterol.]
[N03AF04, eslicarbazepine, The metabolism of Formoterol can be decreased when combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Formoterol can be increased when it is combined with Luliconazole.]
[S01EA03, apraclonidine, Apraclonidine may increase the sympathomimetic activities of Formoterol.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Formoterol.]
[C01CA27, droxidopa, Droxidopa may increase the sympathomimetic activities of Formoterol.]
[C07AB04, acebutolol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Acebutolol.]
[A16AA07, metreleptin, The metabolism of Formoterol can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Formoterol can be increased when combined with Apremilast.]
[N07CA01, betahistine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Betahistine.]
[S03BA03, betamethasone, The risk or severity of hypokalemia can be increased when Betamethasone is combined with Formoterol.]
[S01ED02, betaxolol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Betaxolol.]
[V03AB34, fomepizole, The metabolism of Formoterol can be decreased when combined with Fomepizole.]
[C02CC01, bethanidine, Bethanidine may increase the sympathomimetic activities of Formoterol.]
[L04AC11, siltuximab, The metabolism of Formoterol can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Formoterol can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Formoterol.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Formoterol.]
[R03AC19, olodaterol, Olodaterol may increase the sympathomimetic activities of Formoterol.]
[A16AX10, eliglustat, The metabolism of Formoterol can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Formoterol can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Acepromazine.]
[V04CX03, methacholine, Formoterol may decrease effectiveness of Methacholine as a diagnostic agent.]
[N04AA02, biperiden, The metabolism of Formoterol can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Formoterol.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Formoterol.]
[B01AA01, dicumarol, The metabolism of Formoterol can be decreased when combined with Dicoumarol.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Formoterol.]
[L04AC10, secukinumab, The metabolism of Formoterol can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Palbociclib is combined with Formoterol.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Formoterol can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Formoterol can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, The risk or severity of Tachycardia can be increased when Formoterol is combined with Difemerine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Formoterol can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Formoterol can be decreased when used in combination with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Formoterol can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of hypertension can be increased when Formoterol is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of hypertension can be increased when Formoterol is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Formoterol is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Formoterol is combined with Acemetacin.]
[A02BC03, lansoprazole, The metabolism of Formoterol can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Formoterol.]
[J02AC05, isavuconazole, The metabolism of Formoterol can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Formoterol may decrease the antihypertensive activities of Selexipag.]
[A10BB31, acetohexamide, The metabolism of Formoterol can be decreased when combined with Acetohexamide.]
[G04CA01, alfuzosin, The therapeutic efficacy of Formoterol can be decreased when used in combination with Alfuzosin.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Formoterol.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Formoterol is combined with Alminoprofen.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Formoterol.]
[N04BC01, bromocriptine, Bromocriptine may increase the sympathomimetic activities of Formoterol.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Formoterol.]
[N06AA19, amineptin, The risk or severity of hypertension can be increased when Amineptine is combined with Formoterol.]
[C08CA01, amlodipine, Formoterol may decrease the antihypertensive activities of Amlodipine.]
[C03CA02, bumetanide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Bumetanide.]
[N01BB01, bupivacaine, The metabolism of Formoterol can be decreased when combined with Bupivacaine.]
[C07AA19, bupranolol, Bupranolol may decrease the bronchodilatory activities of Formoterol.]
[N07BC01, buprenorphine, The metabolism of Formoterol can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Buserelin.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Buspirone is combined with Formoterol.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Artemether.]
[M02AA03, clofezone, The metabolism of Formoterol can be decreased when combined with Rabeprazole.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Formoterol.]
[S01GX07, azelastine, The metabolism of Formoterol can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Formoterol can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Azithromycin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Formoterol is combined with Balsalazide.]
[R03CC12, bambuterol, Bambuterol may increase the sympathomimetic activities of Formoterol.]
[R03DA08, bamifylline, The risk or severity of hypokalemia can be increased when Bamifylline is combined with Formoterol.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Formoterol.]
[N06BC01, caffeine, The risk or severity of hypokalemia can be increased when Caffeine is combined with Formoterol.]
[C09AA07, benazepril, Formoterol may decrease the antihypertensive activities of Benazepril.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Formoterol.]
[J05AE09, tipranavir, The metabolism of Formoterol can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Formoterol.]
[L04AB02, infliximab, The metabolism of Formoterol can be increased when combined with Infliximab.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Safinamide is combined with Formoterol.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Delafloxacin.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Formoterol is combined with Acetylcholine.]
[L01BC06, capecitabine, The metabolism of Formoterol can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Formoterol.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, Bitolterol may increase the sympathomimetic activities of Formoterol.]
[J05AG03, efavirenz, The metabolism of Formoterol can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, Bopindolol may decrease the bronchodilatory activities of Formoterol.]
[N04AA11, bornaprine, The risk or severity of Tachycardia can be increased when Formoterol is combined with Bornaprine.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Formoterol is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Formoterol is combined with Bumadizone.]
[J05AX18, letermovir, The metabolism of Formoterol can be increased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of hypertension can be increased when Butriptyline is combined with Formoterol.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Acetyldigoxin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Acrivastine.]
[C09AA01, captopril, Formoterol may decrease the antihypertensive activities of Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Macimorelin.]
[L02BB05, apalutamide, The serum concentration of Formoterol can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Formoterol can be decreased when combined with Carbamazepine.]
[A03AA03, camylofine, The risk or severity of Tachycardia can be increased when Formoterol is combined with Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Carbinoxamine.]
[C07AG02, carvedilol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Formoterol can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Formoterol can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Encorafenib.]
[C07AB08, celiprolol, Celiprolol may increase the sympathomimetic activities of Formoterol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Formoterol.]
[L01XX62, ivosidenib, The metabolism of Formoterol can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Formoterol.]
[N03AX17, stiripentol, The metabolism of Formoterol can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Formoterol can be decreased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Formoterol.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Formoterol.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Formoterol.]
[R06AA06, chlorphenoxamine, The risk or severity of Tachycardia can be increased when Formoterol is combined with Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Formoterol is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The risk or severity of hypokalemia can be increased when Oxtriphylline is combined with Formoterol.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Inotersen.]
[M03BA02, carisoprodol, The metabolism of Formoterol can be decreased when combined with Carisoprodol.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Formoterol.]
[L04AA39, emapalumab, The metabolism of Formoterol can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The risk or severity of adverse effects can be increased when Gilteritinib is combined with Formoterol.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Cibenzoline.]
[C09AA08, cilazapril, Formoterol may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Cilostazol.]
[A03FA08, cinitapride, The risk or severity of hypertension can be increased when Formoterol is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Formoterol can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Formoterol.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Formoterol is combined with Siponimod.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Formoterol.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Formoterol.]
[N05BA09, clobazam, The metabolism of Formoterol can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The risk or severity of hypokalemia can be increased when Cloprednol is combined with Formoterol.]
[C09CA06, candesartan, Formoterol may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Formoterol can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of hypokalemia can be increased when Cortivazol is combined with Formoterol.]
[L01EM03, alpelisib, The serum concentration of Formoterol can be decreased when it is combined with Alpelisib.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Cicletanine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Formoterol.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Entrectinib.]
[N07XX11, pitolisant, Formoterol may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Formoterol.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Formoterol.]
[C03AA09, cyclothiazide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of hypertension can be increased when Formoterol is combined with Yohimbine.]
[H02AB13, deflazacort, The risk or severity of hypokalemia can be increased when Deflazacort is combined with Formoterol.]
[G03AC09, desogestrel, The metabolism of Formoterol can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Formoterol.]
[N03AX25, cenobamate, The serum concentration of Formoterol can be increased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Formoterol can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Formoterol.]
[R06AB02, dexchlorpheniramine, The metabolism of Formoterol can be decreased when combined with Dexchlorpheniramine.]
[L01EX18, avapritinib, The metabolism of Formoterol can be decreased when combined with Avapritinib.]
[M01AX21, diacetylrhein, The metabolism of Formoterol can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Gatifloxacin.]
