[S02DA03, antipyrine, The metabolism of Hydroxychloroquine can be decreased when combined with Antipyrine.]
[R06AD03, thiethylperazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Thiethylperazine.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Hydroxychloroquine.]
[N05CA19, thiopental, The therapeutic efficacy of Thiopental can be decreased when used in combination with Hydroxychloroquine.]
[N05AB08, thioproperazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Hydroxychloroquine.]
[B01AC05, ticlopidine, The metabolism of Hydroxychloroquine can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Hydroxychloroquine.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Hydroxychloroquine.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Hydroxychloroquine.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Hydroxychloroquine.]
[N06AF04, tranylcypromine, The metabolism of Hydroxychloroquine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Hydroxychloroquine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Hydroxychloroquine.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Hydroxychloroquine.]
[N05AB06, trifluoperazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Trifluoperazine.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Hydroxychloroquine.]
[N05AA05, triflupromazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Triflupromazine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Hydroxychloroquine.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Alimemazine.]
[N03AC02, trimethadione, The therapeutic efficacy of Trimethadione can be decreased when used in combination with Hydroxychloroquine.]
[J01EA01, trimethoprim, The metabolism of Hydroxychloroquine can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Hydroxychloroquine.]
[R06AC04, tripelennamine, The metabolism of Hydroxychloroquine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Hydroxychloroquine.]
[J01FA08, troleandomycin, The metabolism of Hydroxychloroquine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Hydroxychloroquine can be decreased when combined with Vilazodone.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Hydroxychloroquine.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Belimumab.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Hydroxychloroquine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Hydroxychloroquine.]
[J05AP03, boceprevir, The metabolism of Hydroxychloroquine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Hydroxychloroquine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Rilpivirine.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Belatacept.]
[N03AX21, ezogabine, The therapeutic efficacy of Ezogabine can be decreased when used in combination with Hydroxychloroquine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Hydroxychloroquine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Hydroxychloroquine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Hydroxychloroquine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Hydroxychloroquine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Hydroxychloroquine.]
[S01AA13, fusidic acid, The metabolism of Hydroxychloroquine can be decreased when combined with Fusidic acid.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Hydroxychloroquine.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Hydroxychloroquine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Hydroxychloroquine.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Hydroxychloroquine.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The metabolism of Hydroxychloroquine can be decreased when combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Hydroxychloroquine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Ziprasidone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Hydroxychloroquine.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Ruxolitinib.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Hydroxychloroquine.]
[C07AB03, atenolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Atenolol.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Hydroxychloroquine.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Hydroxychloroquine.]
[J02AC03, voriconazole, The metabolism of Hydroxychloroquine can be decreased when combined with Voriconazole.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Atropine.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Prednylidene.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Hydroxychloroquine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Hydroxychloroquine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Hydroxychloroquine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Hydroxychloroquine.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Hydroxychloroquine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Hydroxychloroquine.]
[A08AA11, lorcaserin, The metabolism of Hydroxychloroquine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Hydroxychloroquine can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Hydroxychloroquine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Hydroxychloroquine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Hydroxychloroquine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Teriflunomide.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AC02, calcium silicate, Calcium silicate can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Aldosterone.]
[N05CA04, barbital, The therapeutic efficacy of Barbital can be decreased when used in combination with Hydroxychloroquine.]
[C01AA01, acetyldigitoxin, The serum concentration of Acetyldigitoxin can be increased when it is combined with Hydroxychloroquine.]
[J05AE04, nelfinavir, The metabolism of Hydroxychloroquine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Bendamustine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Hydroxychloroquine.]
[N03AX22, perampanel, The therapeutic efficacy of Perampanel can be decreased when used in combination with Hydroxychloroquine.]
[L04AA29, tofacitinib, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Tofacitinib.]
[G04BD10, darifenacin, The metabolism of Hydroxychloroquine can be decreased when combined with Darifenacin.]
[L01EX07, cabozantinib, The metabolism of Hydroxychloroquine can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Hydroxychloroquine.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Hydroxychloroquine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Hydroxychloroquine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Bencyclane.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Hydroxychloroquine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Hydroxychloroquine can be decreased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Hydroxychloroquine can be decreased when combined with Ospemifene.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Hydroxychloroquine.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Hydroxychloroquine can be decreased when combined with Tegaserod.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Hydroxychloroquine.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Hydroxychloroquine.]
[M01AH01, celecoxib, The metabolism of Hydroxychloroquine can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Everolimus is combined with Hydroxychloroquine.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Hydroxychloroquine.]
[L01EC02, dabrafenib, The serum concentration of Hydroxychloroquine can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Hydroxychloroquine can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Hydroxychloroquine.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Hydroxychloroquine.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Hydroxychloroquine.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Hydroxychloroquine.]
[N03AF04, eslicarbazepine, The therapeutic efficacy of Eslicarbazepine can be decreased when used in combination with Hydroxychloroquine.]
[J05AP05, simeprevir, The metabolism of Hydroxychloroquine can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Hydroxychloroquine.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Hydroxychloroquine.]
[C07AB04, acebutolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Acebutolol.]
[A16AA07, metreleptin, The metabolism of Hydroxychloroquine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Hydroxychloroquine can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Hydroxychloroquine.]
[S01ED02, betaxolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Betaxolol.]
[C10AB02, bezafibrate, The metabolism of Hydroxychloroquine can be decreased when combined with Bezafibrate.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Hydroxychloroquine.]
[L04AC11, siltuximab, The metabolism of Hydroxychloroquine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Ceritinib.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Vedolizumab.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Hydroxychloroquine.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Idelalisib.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Hydroxychloroquine.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Olodaterol.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Peginterferon beta-1a.]
[A16AX10, eliglustat, The metabolism of Hydroxychloroquine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Hydroxychloroquine can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Acepromazine.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Hydroxychloroquine.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Hydroxychloroquine.]
[N04AA02, biperiden, The metabolism of Hydroxychloroquine can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Pirfenidone.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Hydroxychloroquine.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Olaparib.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Hydroxychloroquine.]
[L04AC10, secukinumab, The metabolism of Hydroxychloroquine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Palbociclib.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Hydroxychloroquine can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Hydroxychloroquine.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Hydroxychloroquine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Hydroxychloroquine can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Hydroxychloroquine.]
[A04AD14, rolapitant, The metabolism of Hydroxychloroquine can be decreased when combined with Rolapitant.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Hydroxychloroquine.]
[S01EC01, acetazolamide, The therapeutic efficacy of Acetazolamide can be decreased when used in combination with Hydroxychloroquine.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Hydroxychloroquine.]
[N05AB07, acetophenazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Hydroxychloroquine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Hydroxychloroquine.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Hydroxychloroquine can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Hydroxychloroquine.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Hydroxychloroquine.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Hydroxychloroquine.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX23, brivaracetam, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Hydroxychloroquine.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Hydroxychloroquine can be decreased when combined with Venetoclax.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Hydroxychloroquine.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Hydroxychloroquine.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Hydroxychloroquine can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Buserelin.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Hydroxychloroquine.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Hydroxychloroquine.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Hydroxychloroquine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Hydroxychloroquine.]
[S01GX07, azelastine, The metabolism of Hydroxychloroquine can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Hydroxychloroquine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Hydroxychloroquine can be decreased when combined with Ribociclib.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Ocrelizumab.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Pregabalin can be decreased when used in combination with Hydroxychloroquine.]
[N03AX30, beclamide, The therapeutic efficacy of Beclamide can be decreased when used in combination with Hydroxychloroquine.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Hydroxychloroquine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Oxybuprocaine.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Hydroxychloroquine.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Hydroxychloroquine.]
[J05AE09, tipranavir, The metabolism of Hydroxychloroquine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Hydroxychloroquine.]
[L04AB02, infliximab, The metabolism of Hydroxychloroquine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Hydroxychloroquine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Hydroxychloroquine.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Sarilumab.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Delafloxacin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Hydroxychloroquine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Hydroxychloroquine.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Vorinostat.]
[A02BX12, bismuth subnitrate, Bismuth subnitrate can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C07AB07, bisoprolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Hydroxychloroquine can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Bopindolol.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Hydroxychloroquine.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Hydroxychloroquine.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Hydroxychloroquine.]
[J05AX18, letermovir, The metabolism of Hydroxychloroquine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Hydroxychloroquine.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Hydroxychloroquine.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Acrivastine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Hydroxychloroquine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Hydroxychloroquine.]
