[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Buspirone is combined with Antipyrine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Buspirone is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Buspirone is combined with Apomorphine.]
[L04AX02, thalidomide, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Buspirone.]
[P02CA02, thiabendazole, Buspirone may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Buspirone.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Buspirone is combined with Thiopental.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Buspirone can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Buspirone is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Buspirone.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Buspirone is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Buspirone is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Buspirone can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Buspirone is combined with Tilidine.]
[S01ED01, timolol, Buspirone may decrease the antihypertensive activities of Timolol.]
[P01AB02, tinidazole, Buspirone may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Buspirone may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Buspirone may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[M02AX02, tolazoline, Buspirone may decrease the antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, Buspirone may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Buspirone is combined with Tolmetin.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Buspirone is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Buspirone.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Buspirone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Buspirone.]
[S01BA05, triamcinolone, The metabolism of Buspirone can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Buspirone is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Buspirone may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Buspirone is combined with Trifluperidol.]
[N05AA05, triflupromazine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Buspirone can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Buspirone.]
[C02BA01, trimethaphan, Buspirone may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Buspirone.]
[R06AC04, tripelennamine, The metabolism of Buspirone can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Buspirone.]
[A03BB01, butylscopolamine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Buspirone can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Buspirone can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Buspirone.]
[C09CA09, azilsartan medoxomil, Buspirone may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Buspirone is combined with Tubocurarine.]
[R03DX07, roflumilast, Buspirone may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Buspirone may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Buspirone may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Buspirone can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Buspirone can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Buspirone can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Buspirone can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Buspirone can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Buspirone may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Buspirone is combined with Ezogabine.]
[B01AF01, rivaroxaban, Buspirone may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Buspirone is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Buspirone.]
[C08DA01, verapamil, The serum concentration of Buspirone can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Buspirone can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Buspirone can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Buspirone may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Buspirone.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[B01AA03, warfarin, Buspirone may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Buspirone is combined with Xenon.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Buspirone is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Buspirone can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Buspirone is combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Buspirone can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[M05BA05, tiludronic acid, Buspirone may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Buspirone may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Buspirone.]
[A02BC04, rabeprazole, Buspirone may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Buspirone is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Buspirone may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Buspirone is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Buspirone may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Buspirone may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Buspirone may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Buspirone can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Buspirone is combined with Atracurium.]
[S01FA01, atropine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Buspirone may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Buspirone.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Buspirone.]
[H02AB11, prednylidene, The metabolism of Buspirone can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Buspirone may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Buspirone may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Buspirone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Buspirone.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[A08AA11, lorcaserin, The metabolism of Buspirone can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Buspirone can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Buspirone can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Buspirone can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Buspirone can be decreased when it is combined with Enzalutamide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Buspirone is combined with Octopamine.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Buspirone is combined with Barbital.]
[D02BA02, octinoxate, Buspirone may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Buspirone can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[N04BD02, rasagiline, The risk or severity of hypertension can be increased when Rasagiline is combined with Buspirone.]
[C08CA13, lercanidipine, Buspirone may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Buspirone is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Buspirone is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Buspirone.]
[R06AC06, thonzylamine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Buspirone can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Buspirone may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Buspirone is combined with Diethyl ether.]
[G04BE03, sildenafil, The metabolism of Buspirone can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Buspirone may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Buspirone.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Buspirone.]
[A16AX08, teduglutide, Buspirone may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Buspirone may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Buspirone can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Buspirone is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Buspirone can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Buspirone is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Buspirone is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX06, tegaserod, The metabolism of Buspirone can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Buspirone is combined with Benzocaine.]
[L03AA12, ancestim, Buspirone may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Buspirone can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Buspirone is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Buspirone can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Buspirone is combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Buspirone can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Buspirone is combined with Benzydamine.]
[L01EE01, trametinib, Buspirone may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Buspirone is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Buspirone may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Buspirone is combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Buspirone can be decreased when combined with Bepridil.]
[C02KX05, riociguat, Buspirone may decrease the antihypertensive activities of Riociguat.]
[A10BJ03, lixisenatide, Buspirone may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Buspirone may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Buspirone.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Buspirone is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Buspirone is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Buspirone can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Buspirone may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Buspirone is combined with Vigabatrin.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, The risk or severity of hypertension can be increased when Buspirone is combined with Droxidopa.]
[C07AB04, acebutolol, The metabolism of Buspirone can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Buspirone is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Buspirone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Buspirone can be increased when combined with Apremilast.]
[L02BG02, formestane, Buspirone may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Buspirone can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Buspirone may decrease the antihypertensive activities of Betaxolol.]
[V03AB34, fomepizole, Buspirone may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, Buspirone may decrease the antihypertensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Buspirone can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Buspirone is combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Buspirone is combined with Alfaxalone.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Buspirone is combined with Olodaterol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[D11AA01, glycopyrronium, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[N05CM19, suvorexant, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Buspirone can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Buspirone can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Acepromazine.]
[N04AA02, biperiden, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Buspirone.]
[S03AA06, gentamicin, Buspirone may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Buspirone.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Buspirone.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Buspirone is combined with Dicoumarol.]
[B01AF03, edoxaban, Buspirone may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Buspirone may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Buspirone can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Buspirone can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Buspirone.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[A03AA09, difemerine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Buspirone is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Buspirone can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Buspirone is combined with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Buspirone can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Buspirone is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Buspirone is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Buspirone is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Buspirone is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Buspirone can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Buspirone may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Buspirone.]
[J02AC05, isavuconazole, The metabolism of Buspirone can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Buspirone.]
[L01XG03, ixazomib, Buspirone may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Buspirone may decrease the antihypertensive activities of Selexipag.]
[M04AB05, lesinurad, Buspirone may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Buspirone.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Buspirone is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Buspirone is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Buspirone is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Buspirone can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Buspirone is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Buspirone is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Buspirone may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Buspirone is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Buspirone.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Buspirone is combined with Amineptine.]
[C08CA01, amlodipine, Buspirone may decrease the antihypertensive activities of Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Buspirone is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Buspirone.]
[C07AA19, bupranolol, Buspirone may decrease the antihypertensive activities of Bupranolol.]
[N07BC01, buprenorphine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01AA13, fusidic acid, The metabolism of Buspirone can be decreased when combined with Fusidic acid.]
[L01XX27, arsenic trioxide, Buspirone may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Buspirone.]
[M02AA03, clofezone, Buspirone may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Buspirone is combined with Butorphanol.]
[S01GX07, azelastine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Buspirone can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Buspirone can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Buspirone is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Buspirone is combined with Bambuterol.]
[A06AH05, naldemedine, Buspirone may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Buspirone can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Buspirone is combined with Beclamide.]
[C09AA07, benazepril, Buspirone may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Buspirone may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Buspirone.]
[J05AF06, abacavir, Buspirone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Buspirone can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Buspirone may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Buspirone can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Buspirone can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of hypertension can be increased when Safinamide is combined with Buspirone.]
[J01MA23, delafloxacin, Buspirone may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Buspirone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Buspirone.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Buspirone.]
[C07AB07, bisoprolol, Buspirone may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Buspirone is combined with Bitolterol.]
[J05AG03, efavirenz, The metabolism of Buspirone can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Buspirone.]
