[P02BB01, trichlorfon, The therapeutic efficacy of Atropine can be decreased when used in combination with Metrifonate.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AA05, triflupromazine, Triflupromazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Atropine.]
[A03AA05, trimebutine, Atropine may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Atropine may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N03AC02, trimethadione, Trimethadione may increase the arrhythmogenic activities of Atropine.]
[C02BA01, trimethaphan, Atropine may decrease the antihypertensive activities of Trimethaphan.]
[N06AA06, trimipramine, Trimipramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Atropine is combined with Butylscopolamine.]
[N06AX24, vilazodone, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Atropine is combined with Tropicamide.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C09CA09, azilsartan medoxomil, Atropine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01AA05, tyrothricin, The therapeutic efficacy of Atropine can be decreased when used in combination with Tyrothricin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Vandetanib.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Atropine.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Atropine is combined with Indacaterol.]
[C08DA01, verapamil, Atropine may increase the arrhythmogenic activities of Verapamil.]
[N06AX09, viloxazine, Viloxazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01CA01, vinblastine, Vinblastine may decrease the excretion rate of Atropine which could result in a higher serum level.]
[C04AX07, vincamine, Atropine may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, Vincristine may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Atropine is combined with Xenon.]
[C03BA10, xipamide, Atropine may decrease the antihypertensive activities of Xipamide.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Atropine is combined with Zuclopenthixol.]
[J05AE02, indinavir, Indinavir may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Vemurafenib.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Atropine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Atropine is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Atropine is combined with Acetylsalicylic acid.]
[G04BD07, tolterodine, The risk or severity of adverse effects can be increased when Atropine is combined with Tolterodine.]
[C07AB03, atenolol, Atenolol may increase the arrhythmogenic activities of Atropine.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Atropine.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Atropine which could result in a higher serum level.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Atropine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A08AA11, lorcaserin, Lorcaserin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Atropine is combined with Mirabegron.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Atropine.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Atropine is combined with Octopamine.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Atropine is combined with Barbital.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may increase the arrhythmogenic activities of Atropine.]
[J05AE04, nelfinavir, Nelfinavir may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N04BD02, rasagiline, The risk or severity of hypertension can be increased when Rasagiline is combined with Atropine.]
[C08CA13, lercanidipine, Lercanidipine may increase the arrhythmogenic activities of Atropine.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06DA02, donepezil, The therapeutic efficacy of Atropine can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Atropine is combined with Thonzylamine.]
[G04BD10, darifenacin, The risk or severity of adverse effects can be increased when Darifenacin is combined with Atropine.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Atropine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Atropine is combined with Bedaquiline.]
[C04AX11, bencyclane, Atropine may increase the arrhythmogenic activities of Bencyclane.]
[C03AA01, bendroflumethiazide, Atropine may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Atropine is combined with Benorilate.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Gemifloxacin.]
[M04AB03, benzbromarone, Atropine may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Atropine.]
[A06AX06, tegaserod, The therapeutic efficacy of Tegaserod can be decreased when used in combination with Atropine.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Atropine.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Benzatropine is combined with Atropine.]
[L01EC02, dabrafenib, The risk or severity of QTc prolongation can be increased when Dabrafenib is combined with Atropine.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Atropine is combined with Benzydamine.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C08EA02, bepridil, Atropine may increase the arrhythmogenic activities of Bepridil.]
[C02KX05, riociguat, Atropine may decrease the antihypertensive activities of Riociguat.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Atropine which could result in a higher serum level.]
[C02KX04, macitentan, Atropine may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01CA27, droxidopa, The risk or severity of hypertension can be increased when Atropine is combined with Droxidopa.]
[C07AB04, acebutolol, Atropine may increase the arrhythmogenic activities of Acebutolol.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A16AA06, betaine, The therapeutic efficacy of Atropine can be decreased when used in combination with Betaine.]
[S01ED02, betaxolol, Betaxolol may increase the arrhythmogenic activities of Atropine.]
[C02CC01, bethanidine, Atropine may decrease the antihypertensive activities of Bethanidine.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Ceritinib.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Atropine is combined with Olodaterol.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Atropine is combined with Glycopyrronium.]
[N05CM19, suvorexant, Suvorexant may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Atropine is combined with Eliglustat.]
[N05AA04, acepromazine, Acepromazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[V04CX03, methacholine, Atropine may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Atropine.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Atropine is combined with Naloxegol.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Atropine is combined with Biperiden.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Atropine.]
[N06AX11, mirtazapine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Atropine which could result in a higher serum level.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Atropine is combined with Panobinostat.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Atropine is combined with Difemerine.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Atropine.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Atropine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Brexpiprazole may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Atropine.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Atropine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Atropine is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[B01AC27, selexipag, Atropine may decrease the antihypertensive activities of Selexipag.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Atropine.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Atropine is combined with Alminoprofen.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N04BC01, bromocriptine, Bromocriptine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C08CA01, amlodipine, Amlodipine may increase the arrhythmogenic activities of Atropine.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C07AA19, bupranolol, Atropine may increase the arrhythmogenic activities of Bupranolol.]
[N07BC01, buprenorphine, The risk or severity of adverse effects can be increased when Atropine is combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Atropine.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Atropine is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Atropine can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Atropine is combined with Artemether.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Atropine is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Atropine.]
[S01GX07, azelastine, Azelastine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Atropine.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Atropine.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Atropine is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Atropine is combined with Bambuterol.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, Pregabalin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C09AA07, benazepril, Atropine may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Atropine.]
[J05AE09, tipranavir, Tipranavir may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N04BD03, safinamide, The risk or severity of hypertension can be increased when Safinamide is combined with Atropine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Atropine.]
[P03AC02, bioallethrin, Atropine may increase the arrhythmogenic activities of Bioallethrin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Atropine.]
[C07AB07, bisoprolol, The therapeutic efficacy of Atropine can be increased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Atropine is combined with Bitolterol.]
[J05AG03, efavirenz, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Atropine is combined with Bornaprine.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R03BA02, budesonide, Atropine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Atropine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Atropine is combined with Bumadizone.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01AA02, acetyldigoxins, Atropine may increase the arrhythmogenic activities of Acetyldigoxin.]
[N01BX04, capsaicin, The therapeutic efficacy of Atropine can be decreased when used in combination with Capsaicin.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Atropine.]
[C09AA01, captopril, Atropine may decrease the antihypertensive activities of Captopril.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Atropine.]
[N03AF01, carbamazepine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Atropine.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Atropine is combined with Camylofin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C07AG02, carvedilol, Atropine may increase the arrhythmogenic activities of Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of Tachycardia and drowsiness can be increased when Atropine is combined with Cannabidiol.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Encorafenib.]
[C07AB08, celiprolol, Atropine may increase the arrhythmogenic activities of Celiprolol.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Ivosidenib.]
[N03AX17, stiripentol, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Atropine is combined with Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Atropine is combined with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Atropine.]
[M03BA02, carisoprodol, Carisoprodol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R03BB08, revefenacin, The risk or severity of adverse effects can be increased when Atropine is combined with Revefenacin.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Atropine.]
[C01BG07, cifenline, Atropine may increase the arrhythmogenic activities of Cibenzoline.]
[C09AA08, cilazapril, Atropine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Atropine.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01ED05, carteolol, Atropine may increase the arrhythmogenic activities of Carteolol.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Triclabendazole is combined with Atropine.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Atropine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Atropine is combined with Siponimod.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Atropine.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05BA09, clobazam, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Atropine.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C09CA06, candesartan, Atropine may decrease the antihypertensive activities of Candesartan.]
[J01DC04, cefaclor, Atropine may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C03BX03, cicletanine, Atropine may increase the arrhythmogenic activities of Cicletanine.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Entrectinib.]
[N07XX11, pitolisant, Atropine may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Atropine.]
[C03AA09, cyclothiazide, Atropine may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Atropine.]
[N02CC08, lasmiditan, Lasmiditan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Atropine is combined with Dezocine.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Atropine.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Atropine is combined with Dutasteride.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Atropine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Atropine.]
[C08CA16, clevidipine, Atropine may increase the arrhythmogenic activities of Clevidipine.]
[C01BD07, dronedarone, Atropine may increase the arrhythmogenic activities of Dronedarone.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Atropine.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C02AA06, methoserpidine, Atropine may decrease the antihypertensive activities of Methoserpidine.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Atropine is combined with Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Atropine is combined with Dopexamine.]
