[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Galantamine.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Galantamine.]
[R03BA07, mometasone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Mometasone.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Galantamine.]
[C02BA01, trimethaphan, Galantamine may increase the neuromuscular blocking activities of Trimethaphan.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Galantamine.]
[R06AC04, tripelennamine, The metabolism of Galantamine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Galantamine.]
[A03BB01, butylscopolamine, The therapeutic efficacy of Butylscopolamine can be decreased when used in combination with Galantamine.]
[J01FA08, troleandomycin, The metabolism of Galantamine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Galantamine can be decreased when combined with Vilazodone.]
[M03AA02, tubocurarine, Galantamine may increase the neuromuscular blocking activities of Tubocurarine.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Galantamine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Galantamine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Galantamine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Galantamine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Galantamine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Galantamine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Galantamine can be decreased when combined with Vinblastine.]
[S01AA13, fusidic acid, The metabolism of Galantamine can be decreased when combined with Fusidic acid.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Galantamine can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Galantamine.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Galantamine.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Ibandronate.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Ziprasidone.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Galantamine.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Tolterodine.]
[C07AB03, atenolol, Galantamine may increase the bradycardic activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Galantamine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be decreased when used in combination with Galantamine.]
[S01FA01, atropine, The therapeutic efficacy of Atropine can be decreased when used in combination with Galantamine.]
[H02AB11, prednylidene, The therapeutic efficacy of Galantamine can be decreased when used in combination with Prednylidene.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Galantamine.]
[A08AA11, lorcaserin, The metabolism of Galantamine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Galantamine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Galantamine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Galantamine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Galantamine can be decreased when it is combined with Enzalutamide.]
[H02AA01, aldosterone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Aldosterone.]
[L01EX05, regorafenib, Galantamine may increase the bradycardic activities of Regorafenib.]
[N05CA04, barbital, The therapeutic efficacy of Barbital can be decreased when used in combination with Galantamine.]
[J05AE04, nelfinavir, The metabolism of Galantamine can be decreased when combined with Nelfinavir.]
[C08CA13, lercanidipine, Lercanidipine may increase the bradycardic activities of Galantamine.]
[N06DA02, donepezil, Galantamine may increase the bradycardic activities of Donepezil.]
[L04AA29, tofacitinib, Galantamine may increase the bradycardic activities of Tofacitinib.]
[R06AC06, thonzylamine, The therapeutic efficacy of Thonzylamine can be decreased when used in combination with Galantamine.]
[G04BD10, darifenacin, The metabolism of Galantamine can be decreased when combined with Darifenacin.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Galantamine can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Galantamine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Galantamine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Galantamine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the bradycardic activities of Galantamine.]
[G03XC05, ospemifene, The metabolism of Galantamine can be decreased when combined with Ospemifene.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Galantamine can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Galantamine.]
[M01AH01, celecoxib, The metabolism of Galantamine can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The metabolism of Galantamine can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Galantamine.]
[L01EC02, dabrafenib, The serum concentration of Galantamine can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Galantamine.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Galantamine.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Bepridil.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Galantamine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Galantamine.]
[J05AP05, simeprevir, The metabolism of Galantamine can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Galantamine.]
[C07AB04, acebutolol, Galantamine may increase the bradycardic activities of Acebutolol.]
[A16AA07, metreleptin, The metabolism of Galantamine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Galantamine can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Betamethasone.]
[S01ED02, betaxolol, Galantamine may increase the bradycardic activities of Betaxolol.]
[L04AC11, siltuximab, The metabolism of Galantamine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, Galantamine may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Galantamine.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Olodaterol.]
[D11AA01, glycopyrronium, The therapeutic efficacy of Glycopyrronium can be decreased when used in combination with Galantamine.]
[A16AX10, eliglustat, The metabolism of Galantamine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Galantamine can be decreased when combined with Oritavancin.]
[V04CX03, methacholine, The risk or severity of adverse effects can be increased when Galantamine is combined with Methacholine.]
[N04AA02, biperiden, The metabolism of Galantamine can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Galantamine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Galantamine.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Galantamine.]
[L04AC10, secukinumab, The metabolism of Galantamine can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Galantamine can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Galantamine can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, The therapeutic efficacy of Difemerine can be decreased when used in combination with Galantamine.]
[C01EB17, ivabradine, Galantamine may increase the bradycardic activities of Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Galantamine can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Galantamine.]
[A04AD14, rolapitant, The metabolism of Galantamine can be decreased when combined with Rolapitant.]
[A02BC03, lansoprazole, The metabolism of Galantamine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Galantamine.]
[J02AC05, isavuconazole, The metabolism of Galantamine can be decreased when combined with Isavuconazole.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Galantamine.]
[N05CA05, aprobarbital, The therapeutic efficacy of Aprobarbital can be decreased when used in combination with Galantamine.]
[L01XX52, venetoclax, The metabolism of Galantamine can be decreased when combined with Venetoclax.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Galantamine.]
[C08CA01, amlodipine, Amlodipine may increase the bradycardic activities of Galantamine.]
[N01BB01, bupivacaine, The metabolism of Galantamine can be decreased when combined with Bupivacaine.]
[C07AA19, bupranolol, Galantamine may increase the bradycardic activities of Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Galantamine can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Buserelin.]
[N05BE01, buspirone, The metabolism of Galantamine can be decreased when combined with Buspirone.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Galantamine may increase the bradycardic activities of Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Azatadine.]
[S01GX07, azelastine, The metabolism of Galantamine can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Galantamine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Azithromycin.]
[L01EF02, ribociclib, The metabolism of Galantamine can be decreased when combined with Ribociclib.]
[R03CC12, bambuterol, Galantamine may increase the neuromuscular blocking activities of Bambuterol.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Galantamine.]
[S01HA02, benoxinate, Galantamine may increase the neuromuscular blocking activities of Oxybuprocaine.]
[R05DB01, benzonatate, Galantamine may increase the neuromuscular blocking activities of Benzonatate.]
[J05AE09, tipranavir, The metabolism of Galantamine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Galantamine.]
[L04AB02, infliximab, The metabolism of Galantamine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Galantamine can be decreased when combined with Midostaurin.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Galantamine is combined with Bethanechol.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Delafloxacin.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Galantamine is combined with Acetylcholine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Galantamine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Vorinostat.]
[C07AB07, bisoprolol, Galantamine may increase the bradycardic activities of Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Galantamine can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, Galantamine may increase the bradycardic activities of Bopindolol.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Galantamine.]
[R03BA02, budesonide, The therapeutic efficacy of Galantamine can be decreased when used in combination with Budesonide.]
[N05CA03, butobarbital, The therapeutic efficacy of Butobarbital can be decreased when used in combination with Galantamine.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Galantamine.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Acetyldigoxin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Acrivastine.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Galantamine is combined with Carbamoylcholine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Galantamine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Galantamine can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, The therapeutic efficacy of Camylofin can be decreased when used in combination with Galantamine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Carbinoxamine.]
[C07AG02, carvedilol, Galantamine may increase the bradycardic activities of Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Galantamine can be decreased when combined with Cannabidiol.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Encorafenib.]
[C07AB08, celiprolol, Galantamine may increase the bradycardic activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Galantamine.]
[L01XX62, ivosidenib, The metabolism of Galantamine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Galantamine.]
[N03AX17, stiripentol, The metabolism of Galantamine can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Galantamine.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Galantamine.]
[N01BA04, chloroprocaine, Galantamine may increase the neuromuscular blocking activities of Chloroprocaine.]
[R06AA06, chlorphenoxamine, The therapeutic efficacy of Chlorphenoxamine can be decreased when used in combination with Galantamine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Inotersen.]
[R03BB08, revefenacin, The therapeutic efficacy of Revefenacin can be decreased when used in combination with Galantamine.]
[L04AA39, emapalumab, The metabolism of Galantamine can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of adverse effects can be increased when Galantamine is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Cibenzoline.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Cilostazol.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Triclabendazole.]
[J01FA09, clarithromycin, The metabolism of Galantamine can be decreased when combined with Clarithromycin.]
[N05BA09, clobazam, The metabolism of Galantamine can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The therapeutic efficacy of Galantamine can be decreased when used in combination with Cloprednol.]
[L04AB01, etanercept, The metabolism of Galantamine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The therapeutic efficacy of Galantamine can be decreased when used in combination with Cortivazol.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Cicletanine.]
[L01EJ02, fedratinib, The metabolism of Galantamine can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Galantamine can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Galantamine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Galantamine.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Galantamine.]
[H02AB13, deflazacort, The therapeutic efficacy of Galantamine can be decreased when used in combination with Deflazacort.]
[N02CC08, lasmiditan, Lasmiditan may increase the bradycardic activities of Galantamine.]
[N03AX25, cenobamate, The serum concentration of Galantamine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Galantamine can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Galantamine.]
[R06AB02, dexchlorpheniramine, The metabolism of Galantamine can be decreased when combined with Dexchlorpheniramine.]
[M01AX21, diacetylrhein, The metabolism of Galantamine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Galantamine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Galantamine can be decreased when combined with Amprenavir.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Galantamine.]
[N02CC06, eletriptan, The metabolism of Galantamine can be decreased when combined with Eletriptan.]
[C08CA16, clevidipine, Galantamine may increase the neuromuscular blocking activities of Clevidipine.]
[C01BD07, dronedarone, The metabolism of Galantamine can be decreased when combined with Dronedarone.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Chlorcyclizine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Galantamine.]
[A03AA08, dihexyverine, The therapeutic efficacy of Dihexyverine can be decreased when used in combination with Galantamine.]
[D07XB03, fluprednidene, The therapeutic efficacy of Galantamine can be decreased when used in combination with Fluprednidene.]
[G04BD09, trospium, The therapeutic efficacy of Trospium can be decreased when used in combination with Galantamine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Galantamine can be decreased when combined with Proguanil.]
[L04AC19, satralizumab, The serum concentration of Galantamine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Galantamine.]
[P01BA01, chloroquine, The metabolism of Galantamine can be decreased when combined with Chloroquine.]
[R06AB04, chlorpheniramine, The metabolism of Galantamine can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Galantamine can be decreased when combined with Chlorpromazine.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Galantamine can be decreased when combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Galantamine can be decreased when combined with Cholecalciferol.]
[N06BX18, vinpocetine, Galantamine may increase the bradycardic activities of Vinpocetine.]
[B06AC06, berotralstat, The metabolism of Galantamine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Galantamine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Relugolix.]
[P03AX07, abametapir, The serum concentration of Galantamine can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Felbamate.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Flumequine.]
[R03BA03, flunisolide, The therapeutic efficacy of Galantamine can be decreased when used in combination with Flunisolide.]
[S02BA08, fluocinolone acetonide, The therapeutic efficacy of Galantamine can be decreased when used in combination with Fluocinolone acetonide.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Galantamine.]
[L03AB10, peginterferon alfa-2b, The metabolism of Galantamine can be decreased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Galantamine can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Galantamine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Galantamine can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Galantamine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Clemastine.]
[N06AX25, St. John's wort extract, The metabolism of Galantamine can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Galantamine can be decreased when combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Clofazimine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Galantamine.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Galantamine.]
[C01EB24, mavacamten, The serum concentration of Galantamine can be decreased when it is combined with Mavacamten.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Granisetron.]
[N05AH02, clozapine, The metabolism of Galantamine can be decreased when combined with Clozapine.]
[H01AC08, somatrogon, The metabolism of Galantamine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Galantamine may increase the neuromuscular blocking activities of Cocaine.]
[L04AC21, bimekizumab, The metabolism of Galantamine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Galantamine can be decreased when combined with Codeine.]
[M03AC05, hexafluorenium, The therapeutic efficacy of Hexafluronium can be decreased when used in combination with Galantamine.]
[A03AB10, hexocyclium, The therapeutic efficacy of Hexocyclium can be decreased when used in combination with Galantamine.]
[A03BB06, homatropine methylbromide, The therapeutic efficacy of Homatropine methylbromide can be decreased when used in combination with Galantamine.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Desflurane.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Galantamine.]
[J01FA15, telithromycin, The metabolism of Galantamine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The therapeutic efficacy of Galantamine can be decreased when used in combination with Ciclesonide.]
[R06AX27, desloratadine, The therapeutic efficacy of Desloratadine can be decreased when used in combination with Galantamine.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Galantamine.]
[J02AC02, itraconazole, The metabolism of Galantamine can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Emedastine.]
[L01EA01, imatinib, The serum concentration of Galantamine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Galantamine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Galantamine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Levocabastine.]
[S01BA03, cortisone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Cortisone.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Lomefloxacin.]
[C08CA11, manidipine, The metabolism of Galantamine can be decreased when combined with Manidipine.]
