[S02DA03, antipyrine, The metabolism of Ifosfamide can be decreased when combined with Antipyrine.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Ifosfamide.]
[N05CA04, barbital, The metabolism of Ifosfamide can be increased when combined with Barbital.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Ifosfamide.]
[D02BA02, octinoxate, Ifosfamide may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Ifosfamide can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Bendamustine.]
[N04BD02, rasagiline, Ifosfamide may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[C08CA13, lercanidipine, The metabolism of Ifosfamide can be decreased when combined with Lercanidipine.]
[N06DA02, donepezil, The metabolism of Ifosfamide can be decreased when combined with Donepezil.]
[N03AX22, perampanel, The metabolism of Ifosfamide can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Ifosfamide.]
[V09IX04, fluorodeoxyglucose F18, Ifosfamide may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Ifosfamide can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The metabolism of Ifosfamide can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Ifosfamide can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Ifosfamide may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Ifosfamide.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Ifosfamide is combined with Apixaban.]
[A16AX08, teduglutide, Ifosfamide may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Ifosfamide.]
[A10BH04, alogliptin, Ifosfamide may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Ifosfamide can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Ifosfamide.]
[G03XC05, ospemifene, The metabolism of Ifosfamide can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Dimethyl fumarate.]
[M04AB03, benzbromarone, The metabolism of Ifosfamide can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Ifosfamide can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Benzocaine.]
[L03AA12, ancestim, Ifosfamide may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of methemoglobinemia can be increased when Celecoxib is combined with Ifosfamide.]
[L04AA18, everolimus, The metabolism of Everolimus can be increased when combined with Ifosfamide.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01EC02, dabrafenib, The metabolism of Ifosfamide can be increased when combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01EE01, trametinib, The metabolism of Ifosfamide can be increased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Ifosfamide may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Ifosfamide.]
[C02KX05, riociguat, The metabolism of Riociguat can be increased when combined with Ifosfamide.]
[L03AA14, lipegfilgrastim, Ifosfamide may increase the myelosuppressive activities of Lipegfilgrastim.]
[A10BJ03, lixisenatide, Ifosfamide may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Ifosfamide may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Ifosfamide.]
[N06AX26, vortioxetine, The metabolism of Ifosfamide can be decreased when combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Ifosfamide.]
[N03AF04, eslicarbazepine, The metabolism of Ifosfamide can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Ifosfamide can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Ifosfamide may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Ifosfamide may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Ifosfamide can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Ifosfamide can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Ifosfamide can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Ifosfamide can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Ifosfamide can be increased when combined with Betamethasone.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Ifosfamide is combined with Argatroban.]
[V03AB34, fomepizole, The metabolism of Ifosfamide can be decreased when combined with Fomepizole.]
[C10AB02, bezafibrate, The metabolism of Ifosfamide can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Ifosfamide can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be increased when combined with Ifosfamide.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Ifosfamide is combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Ifosfamide is combined with Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Belinostat.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Ifosfamide.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be increased when combined with Ifosfamide.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N05CM19, suvorexant, The metabolism of Ifosfamide can be decreased when combined with Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Ifosfamide.]
[J01XA05, oritavancin, The metabolism of Ifosfamide can be increased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Ifosfamide can be decreased when combined with Nintedanib.]
[S03AA06, gentamicin, Ifosfamide may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be increased when combined with Ifosfamide.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Ifosfamide.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Ifosfamide is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Ifosfamide is combined with Edoxaban.]
[N06AX11, mirtazapine, The metabolism of Ifosfamide can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Ifosfamide can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Ifosfamide.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Ifosfamide.]
[J05AP07, daclatasvir, The metabolism of Ifosfamide can be decreased when combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Ifosfamide can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Ifosfamide.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Ifosfamide is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Ifosfamide can be increased when combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Ifosfamide is combined with Cangrelor.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Ifosfamide.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[S01EC01, acetazolamide, The metabolism of Ifosfamide can be decreased when combined with Acetazolamide.]
[A02BC03, lansoprazole, The metabolism of Ifosfamide can be increased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Ifosfamide may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Ifosfamide.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Ifosfamide can be increased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be increased when combined with Ifosfamide.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ifosfamide.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be increased when combined with Ifosfamide.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Ifosfamide.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Ifosfamide.]
[B01AC27, selexipag, The metabolism of Selexipag can be increased when combined with Ifosfamide.]
[A10BB31, acetohexamide, The metabolism of Ifosfamide can be decreased when combined with Acetohexamide.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Ifosfamide.]
[M04AB05, lesinurad, The metabolism of Ifosfamide can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The metabolism of Ifosfamide can be decreased when combined with Elbasvir.]
[N05CA05, aprobarbital, The metabolism of Ifosfamide can be increased when combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Ifosfamide can be decreased when combined with Brivaracetam.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Ifosfamide.]
[N05BA08, bromazepam, Ifosfamide may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Ifosfamide may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The metabolism of Ifosfamide can be decreased when combined with Brompheniramine.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Ifosfamide.]
[N05AX17, pimavanserin, The metabolism of Ifosfamide can be decreased when combined with Pimavanserin.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Bupivacaine.]
[N07BC01, buprenorphine, The metabolism of Ifosfamide can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, The metabolism of Ifosfamide can be decreased when combined with Buspirone.]
[L01AB01, busulfan, The risk or severity of hemorrhagic cystitis can be increased when Busulfan is combined with Ifosfamide.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Ifosfamide.]
[P01BE02, artemether, The metabolism of Ifosfamide can be increased when combined with Artemether.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[S01GX07, azelastine, The metabolism of Ifosfamide can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Ifosfamide can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Ifosfamide can be decreased when combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Ifosfamide can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Ifosfamide.]
[A06AH05, naldemedine, Ifosfamide may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Ifosfamide can be decreased when combined with Deutetrabenazine.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Ifosfamide can be increased when combined with Calcitriol.]
