[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Levofloxacin.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Levofloxacin.]
[G04BE06, moxisylyte, Levofloxacin may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[B03AB03, sodium ironedetate, Sodium feredetate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL03, tiapride, Levofloxacin may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[J01CA13, ticarcillin, The serum concentration of Levofloxacin can be increased when it is combined with Ticarcillin.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Levofloxacin.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01AA12, tobramycin, Levofloxacin may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Levofloxacin.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Levofloxacin.]
[M02AA21, tolmetin, Tolmetin may increase the neuroexcitatory activities of Levofloxacin.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Levofloxacin.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Levofloxacin.]
[S01BA05, triamcinolone, The risk or severity of tendinopathy can be increased when Triamcinolone is combined with Levofloxacin.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Levofloxacin may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[D07AC02, fluclorolone, The risk or severity of tendinopathy can be increased when Fluclorolone is combined with Levofloxacin.]
[R03BA07, mometasone, The risk or severity of tendinopathy can be increased when Mometasone is combined with Levofloxacin.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Trimebutine is combined with Levofloxacin.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Levofloxacin.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Levofloxacin.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Levofloxacin.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Levofloxacin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Levofloxacin.]
[L01FX04, ipilimumab, Levofloxacin may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Vandetanib.]
[R02AA14, oxyquinoline, Levofloxacin may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Levofloxacin.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Levofloxacin.]
[S01AA28, vancomycin, Levofloxacin may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Levofloxacin.]
[B01AF01, rivaroxaban, Levofloxacin may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Levofloxacin.]
[C08DA01, verapamil, Verapamil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N06AX09, viloxazine, Levofloxacin may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be increased when used in combination with Levofloxacin.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Zuclopenthixol.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Vemurafenib.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B06AC02, icatibant, Levofloxacin may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Crizotinib.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Levofloxacin.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Levofloxacin may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[S01LA01, verteporfin, Levofloxacin may increase the photosensitizing activities of Verteporfin.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the neuroexcitatory activities of Levofloxacin.]
[L01EJ01, ruxolitinib, Levofloxacin may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Levofloxacin.]
[J01DH04, doripenem, Levofloxacin may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Levofloxacin.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Levofloxacin.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[H02AB11, prednylidene, The risk or severity of tendinopathy can be increased when Prednylidene is combined with Levofloxacin.]
[B03XA04, peginesatide, Levofloxacin may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01CA09, azlocillin, The serum concentration of Levofloxacin can be increased when it is combined with Azlocillin.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A08AA11, lorcaserin, Levofloxacin may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Mirabegron is combined with Levofloxacin.]
[L02BB04, enzalutamide, Levofloxacin may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AA01, aldosterone, The risk or severity of tendinopathy can be increased when Aldosterone is combined with Levofloxacin.]
[D02BA02, octinoxate, Levofloxacin may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Levofloxacin.]
[N04BD02, rasagiline, Levofloxacin may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Levofloxacin.]
[V09IX04, fluorodeoxyglucose F18, Levofloxacin may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Levofloxacin.]
[V08CA11, gadofosveset, Levofloxacin may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Levofloxacin may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Levofloxacin.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Levofloxacin.]
[A16AX09, glycerol phenylbutyrate, Levofloxacin may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Levofloxacin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, Benorilate may increase the neuroexcitatory activities of Levofloxacin.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Levofloxacin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Gemifloxacin.]
[A12CC09, magnesium orotate, Magnesium orotate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Levofloxacin.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Levofloxacin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Levofloxacin.]
[J02AX04, caspofungin, The excretion of Levofloxacin can be decreased when combined with Caspofungin.]
[L03AA12, ancestim, Levofloxacin may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may increase the neuroexcitatory activities of Levofloxacin.]
[A12CC05, magnesium aspartate, Magnesium aspartate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Levofloxacin.]
[L01EC02, dabrafenib, The risk or severity of QTc prolongation can be increased when Dabrafenib is combined with Levofloxacin.]
[R02AX03, benzydamine, Benzydamine may increase the neuroexcitatory activities of Levofloxacin.]
[L01EE01, trametinib, Levofloxacin may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Levofloxacin may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[B03AB04, ferric hydroxide, Ferric hydroxide can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX28, levomilnacipran, Levofloxacin may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[J05AJ03, dolutegravir, The excretion of Levofloxacin can be decreased when combined with Dolutegravir.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Bepridil.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Levofloxacin.]
[C02KX04, macitentan, Levofloxacin may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, Levofloxacin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V03AE05, sucroferric oxyhydroxide, Iron sucrose can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AP08, sofosbuvir, Levofloxacin may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Levofloxacin.]
[C01CA27, droxidopa, Levofloxacin may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, Levofloxacin may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Levofloxacin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Levofloxacin may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of tendinopathy can be increased when Betamethasone is combined with Levofloxacin.]
[V03AB34, fomepizole, Levofloxacin may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Levofloxacin.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Levofloxacin.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Levofloxacin.]
[N07XX08, tafamidis, The excretion of Levofloxacin can be decreased when combined with Tafamidis.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Levofloxacin.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V09AB03, ioflupane I-123, Levofloxacin may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Levofloxacin may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Levofloxacin may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of tendinopathy can be increased when Hydrocortisone butyrate is combined with Levofloxacin.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Levofloxacin.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Levofloxacin.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Eliglustat.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Levofloxacin.]
[V03AE08, ferric citrate, Tetraferric tricitrate decahydrate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S03AA06, gentamicin, Levofloxacin may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Levofloxacin.]
[B01AF03, edoxaban, Levofloxacin may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Levofloxacin.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Panobinostat.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Levofloxacin.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Levofloxacin.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Levofloxacin.]
[M02AA25, aceclofenac, Aceclofenac may increase the neuroexcitatory activities of Levofloxacin.]
[M01AB11, acemetacin, Acemetacin may increase the neuroexcitatory activities of Levofloxacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Levofloxacin.]
[V03AB37, idarucizumab, Levofloxacin may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Levofloxacin.]
[L01XG03, ixazomib, Levofloxacin may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Levofloxacin.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Levofloxacin.]
[M04AB05, lesinurad, Levofloxacin may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may increase the neuroexcitatory activities of Levofloxacin.]
[N03AX23, brivaracetam, Levofloxacin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Levofloxacin may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Levofloxacin.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Levofloxacin.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Levofloxacin.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Levofloxacin.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Artemether.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Levofloxacin.]
[J01CE04, azidocillin, The serum concentration of Levofloxacin can be increased when it is combined with Azidocillin.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Levofloxacin.]
[J01CA06, bacampicillin, The serum concentration of Levofloxacin can be increased when it is combined with Bacampicillin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the neuroexcitatory activities of Levofloxacin.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Levofloxacin.]
[A06AH05, naldemedine, Levofloxacin may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Levofloxacin.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Levofloxacin.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Levofloxacin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Levofloxacin may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The excretion of Levofloxacin can be decreased when combined with Linezolid.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N07XX13, valbenazine, Levofloxacin may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L01ED04, brigatinib, The excretion of Levofloxacin can be decreased when combined with Brigatinib.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Levofloxacin.]
[L01BC06, capecitabine, Capecitabine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01XX59, enasidenib, The excretion of Levofloxacin can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Levofloxacin.]
[L01EF03, abemaciclib, The excretion of Abemaciclib can be decreased when combined with Levofloxacin.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J05AG03, efavirenz, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Levofloxacin.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of tendinopathy can be increased when Budesonide is combined with Levofloxacin.]
[M01AB07, bumadizone, Bumadizone may increase the neuroexcitatory activities of Levofloxacin.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Levofloxacin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Levofloxacin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Levofloxacin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Levofloxacin.]
[C09AA01, captopril, The excretion of Levofloxacin can be decreased when combined with Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Macimorelin.]
[L02BB05, apalutamide, Levofloxacin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Levofloxacin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01CA03, carbenicillin, The serum concentration of Levofloxacin can be increased when it is combined with Carbenicillin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Levofloxacin.]
[L04AA37, baricitinib, Levofloxacin may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Encorafenib.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
