[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Bupropion.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Bupropion is combined with Trifluperidol.]
[N05AA05, triflupromazine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Bupropion is combined with Trihexyphenidyl.]
[A03AA05, trimebutine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Bupropion is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Bupropion.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AA06, trimipramine, The risk or severity of seizure can be increased when Bupropion is combined with Trimipramine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Bupropion.]
[A03BB01, butylscopolamine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Bupropion.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Bupropion.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Bupropion is combined with Tubocurarine.]
[R03DX07, roflumilast, Bupropion may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Bupropion may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Bupropion may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The excretion of Linagliptin can be decreased when combined with Bupropion.]
[J05AG05, rilpivirine, The serum concentration of Bupropion can be increased when it is combined with Rilpivirine.]
[S01AA28, vancomycin, Bupropion may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Bupropion is combined with Ezogabine.]
[B01AF01, rivaroxaban, Bupropion may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[B01AC24, ticagrelor, The metabolism of Bupropion can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Bupropion can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The serum concentration of Bupropion can be increased when it is combined with Viloxazine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[B01AA03, warfarin, Bupropion may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Bupropion can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Bupropion.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Bupropion is combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Bupropion can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[B06AC02, icatibant, Bupropion may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[R03DC01, zafirlukast, The metabolism of Bupropion can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Bupropion is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Bupropion may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Bupropion may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Bupropion.]
[J01DH04, doripenem, Bupropion may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Bupropion.]
[J02AC03, voriconazole, The serum concentration of Bupropion can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Bupropion is combined with Atracurium.]
[S01FA01, atropine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Bupropion.]
[B03XA04, peginesatide, Bupropion may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01CA09, azlocillin, The risk or severity of seizure can be increased when Bupropion is combined with Azlocillin.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Bupropion.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Bupropion.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Bupropion.]
[L02BB04, enzalutamide, The serum concentration of Bupropion can be decreased when it is combined with Enzalutamide.]
[L01EX05, regorafenib, The serum concentration of Bupropion can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Bupropion is combined with Barbital.]
[D02BA02, octinoxate, Bupropion may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The serum concentration of Bupropion can be increased when it is combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Rasagiline is combined with Bupropion.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Bupropion is combined with Mosapride.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Bupropion.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Bupropion.]
[R06AC06, thonzylamine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Bupropion.]
[V09IX04, fluorodeoxyglucose F18, Bupropion may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Bupropion is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Bupropion.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Bupropion.]
[V08CA11, gadofosveset, Bupropion may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Bupropion.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Bupropion.]
[A16AX08, teduglutide, Bupropion may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Bupropion.]
[A16AX09, glycerol phenylbutyrate, Bupropion may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Bupropion is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Bupropion.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Bupropion is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[M04AB03, benzbromarone, The metabolism of Bupropion can be decreased when combined with Benzbromarone.]
[P03AB02, lindane, The risk or severity of seizure can be increased when Bupropion is combined with Lindane.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Bupropion.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Bupropion.]
[L03AA12, ancestim, Bupropion may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Bupropion.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Bupropion.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Bupropion is combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Bupropion can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L01EE01, trametinib, Bupropion may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Bupropion.]
[V09AX05, florbetapir F-18, Bupropion may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Bupropion.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Bupropion.]
[A10BJ03, lixisenatide, Bupropion may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Bupropion may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Bupropion.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Bupropion is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Bupropion is combined with Eslicarbazepine.]
[J05AP08, sofosbuvir, Bupropion may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Bupropion.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Bupropion.]
[C01CA27, droxidopa, Bupropion may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Bupropion.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Bupropion is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Bupropion can be increased when combined with Apremilast.]
[L02BG02, formestane, Bupropion may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Bupropion can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Bupropion.]
[V03AB34, fomepizole, Bupropion may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Bupropion can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Bupropion can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Bupropion is combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Bupropion is combined with Alfaxalone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Bupropion.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[D11AA01, glycopyrronium, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05CM19, suvorexant, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Bupropion.]
[J01XA05, oritavancin, The metabolism of Bupropion can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Bupropion is combined with Acepromazine.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Bupropion is combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Bupropion.]
[S03AA06, gentamicin, The excretion of Gentamicin can be decreased when combined with Bupropion.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Bupropion.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Bupropion is combined with Dicoumarol.]
[B01AF03, edoxaban, Bupropion may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Bupropion can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Bupropion.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A03AA09, difemerine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Bupropion is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Bupropion.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Bupropion.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Bupropion is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Bupropion is combined with Cariprazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Bupropion.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Bupropion.]
[A02BC03, lansoprazole, The metabolism of Bupropion can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Bupropion may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Bupropion.]
[J02AC05, isavuconazole, The serum concentration of Bupropion can be decreased when it is combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Bupropion.]
[L01XG03, ixazomib, Bupropion may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, The metabolism of Bupropion can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, Bupropion may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Bupropion is combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Bupropion is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bupropion is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Bupropion is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Bupropion may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Bupropion is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Bupropion.]
[N06AA19, amineptin, The risk or severity of seizure can be increased when Bupropion is combined with Amineptine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Bupropion is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of seizure can be increased when Bupropion is combined with Bupivacaine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Bupropion.]
[N07BC01, buprenorphine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Bupropion.]
[L01XX27, arsenic trioxide, Bupropion may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Bupropion.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Bupropion.]
[R06AX09, azatadine, The risk or severity of seizure can be increased when Bupropion is combined with Azatadine.]
[S01GX07, azelastine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Bupropion.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A06AH05, naldemedine, Bupropion may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The serum concentration of the active metabolites of Deutetrabenazine can be increased when Deutetrabenazine is used in combination with Bupropion.]
[N02BF02, pregabalin, The therapeutic efficacy of Bupropion can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Bupropion is combined with Beclamide.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Bupropion.]
[P01CA02, benznidazole, Bupropion may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Bupropion.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Bupropion.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Bupropion.]
[L04AB02, infliximab, The metabolism of Bupropion can be increased when combined with Infliximab.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Safinamide is combined with Bupropion.]
[J01MA23, delafloxacin, Bupropion may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, The metabolism of Bupropion can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The serum concentration of Bupropion can be increased when it is combined with Enasidenib.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Bupropion can be increased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Bupropion.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Bupropion is combined with Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Bupropion is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Bupropion is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Bupropion may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N04BX03, budipine, The risk or severity of adverse effects can be increased when Bupropion is combined with Budipine.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Bupropion is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Bupropion.]
[N06AA15, butriptyline, The risk or severity of seizure can be increased when Bupropion is combined with Butriptyline.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Bupropion is combined with Vinylbital.]
[R06AX18, acrivastine, Bupropion may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, Bupropion may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Bupropion may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A03AA03, camylofine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Bupropion.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Bupropion.]
[N03AX24, cannabidiol, The serum concentration of Bupropion can be increased when it is combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Bupropion can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Bupropion may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Bupropion which could result in a higher serum level.]
