[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[G03AC09, desogestrel, The metabolism of Abacavir can be increased when combined with Desogestrel.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M09AX08, golodirsen, Abacavir may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Abacavir may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[R02AA03, dichlorobenzyl alcohol, Abacavir may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Abacavir may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C08CA16, clevidipine, Abacavir may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[V08CA05, mangafodipir, Abacavir may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02BA03, choline salicylate, Abacavir may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AX25, chondroitin sulfates, Abacavir may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02BG07, flupirtine, Abacavir may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01XA01, cisplatin, Abacavir may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01EA06, asciminib, The metabolism of Abacavir can be decreased when combined with Asciminib.]
[B06AX04, mitapivat, The metabolism of Abacavir can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, Levobupivacaine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N06AA04, clomipramine, Abacavir may decrease the excretion rate of Clomipramine which could result in a higher serum level.]
[N03AE01, clonazepam, Abacavir may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, Clozapine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01GB12, arbekacin, Abacavir may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M04AC01, colchicine, Abacavir may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Abacavir may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A04AA03, tropisetron, Abacavir may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AB14, valganciclovir, The risk or severity of cytopenia can be increased when Valganciclovir is combined with Abacavir.]
[C05BB03, invert sugar, Abacavir may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Abacavir may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Abacavir may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Abacavir may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Abacavir may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02CC05, almotriptan, Almotriptan may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N05BA10, ketazolam, Abacavir may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N03AX09, lamotrigine, The metabolism of Abacavir can be increased when combined with Lamotrigine.]
[N07BC04, lofexidine, Abacavir may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Abacavir may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Abacavir may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07BB05, nalmefene, Abacavir may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N06AX06, nefazodone, Abacavir may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Abacavir may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
