[S02DA03, antipyrine, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Antipyrine.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Diflunisal resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, Diflunisal may decrease the excretion rate of Benzatropine which could result in a higher serum level.]
[R02AX03, benzydamine, The risk or severity of adverse effects can be increased when Diflunisal is combined with Benzydamine.]
[L01EE01, trametinib, Diflunisal may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Diflunisal may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of gastrointestinal bleeding can be increased when Levomilnacipran is combined with Diflunisal.]
[J05AJ03, dolutegravir, The metabolism of Dolutegravir can be decreased when combined with Diflunisal.]
[C08EA02, bepridil, The therapeutic efficacy of Bepridil can be decreased when used in combination with Diflunisal.]
[C02KX05, riociguat, The therapeutic efficacy of Riociguat can be decreased when used in combination with Diflunisal.]
[A10BJ03, lixisenatide, Diflunisal may increase the hypoglycemic activities of Lixisenatide.]
[C02KX04, macitentan, The therapeutic efficacy of Macitentan can be decreased when used in combination with Diflunisal.]
[N06AX26, vortioxetine, The risk or severity of hypertension can be increased when Diflunisal is combined with Vortioxetine.]
[G03AC08, etonogestrel, Diflunisal may decrease the excretion rate of Etonogestrel which could result in a higher serum level.]
[J05AP08, sofosbuvir, Diflunisal may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Diflunisal may increase the hypoglycemic activities of Dapagliflozin.]
[C01CA27, droxidopa, The risk or severity of hypertension can be increased when Diflunisal is combined with Droxidopa.]
[C07AB04, acebutolol, Diflunisal may decrease the antihypertensive activities of Acebutolol.]
[N05CH03, tasimelteon, Diflunisal may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Diflunisal may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Diflunisal may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of gastrointestinal irritation can be increased when Betamethasone is combined with Diflunisal.]
[S01ED02, betaxolol, Diflunisal may decrease the antihypertensive activities of Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Argatroban.]
[V03AB34, fomepizole, Diflunisal may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Diflunisal.]
[A10BJ04, albiglutide, Diflunisal may increase the hypoglycemic activities of Albiglutide.]
[B01AC26, vorapaxar, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Vorapaxar.]
[B01AA07, acenocoumarol, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Acenocoumarol.]
[A10BK03, empagliflozin, Diflunisal may increase the hypoglycemic activities of Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Olodaterol.]
[V08AA01, diatrizoic acid, Diflunisal may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[S01EE02, unoprostone, The therapeutic efficacy of Unoprostone can be decreased when used in combination with Diflunisal.]
[V08AA04, iothalamic acid, Diflunisal may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Dihydrostreptomycin.]
[N05AA04, acepromazine, The risk or severity of hypertension can be increased when Diflunisal is combined with Acepromazine.]
[A10BJ05, dulaglutide, Diflunisal may increase the hypoglycemic activities of Dulaglutide.]
[S03AA06, gentamicin, Diflunisal may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AA01, dicumarol, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Edoxaban.]
[N06AX11, mirtazapine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Diflunisal.]
[N02BE01, acetaminophen, The serum concentration of Acetaminophen can be increased when it is combined with Diflunisal.]
[L01DC01, bleomycin, Diflunisal may decrease the excretion rate of Bleomycin which could result in a higher serum level.]
[B01AA11, tioclomarol, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, The risk or severity of nephrotoxicity can be increased when Adefovir dipivoxil is combined with Diflunisal.]
[B01AC25, cangrelor, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Cangrelor.]
[N05AX16, brexpiprazole, The risk or severity of hypertension can be increased when Diflunisal is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of hypertension can be increased when Diflunisal is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of hypertension can be increased when Diflunisal is combined with Cariprazine.]
[A10BF01, acarbose, Diflunisal may increase the hypoglycemic activities of Acarbose.]
[M02AA25, aceclofenac, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of adverse effects can be increased when Diflunisal is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Diflunisal is combined with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Diflunisal is combined with Insulin degludec.]
[V03AB37, idarucizumab, Diflunisal may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Diflunisal.]
[L01XG03, ixazomib, Diflunisal may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The therapeutic efficacy of Selexipag can be decreased when used in combination with Diflunisal.]
[A10BB31, acetohexamide, Diflunisal may increase the hypoglycemic activities of Acetohexamide.]
[M04AB05, lesinurad, Diflunisal may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of adverse effects can be increased when Diflunisal is combined with Alminoprofen.]
[N02BA02, aloxiprin, The therapeutic efficacy of Aloxiprin can be decreased when used in combination with Diflunisal.]
[N03AX23, brivaracetam, Diflunisal may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Diflunisal may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, Diflunisal may increase the hypoglycemic activities of Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Diflunisal may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[N06AA19, amineptin, The risk or severity of gastrointestinal bleeding can be increased when Amineptine is combined with Diflunisal.]
[C08CA01, amlodipine, Diflunisal may decrease the antihypertensive activities of Amlodipine.]
[M02AA09, bufexamac, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Bufexamac.]
[C03CA02, bumetanide, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Diflunisal.]
[N01BB01, bupivacaine, Diflunisal may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[C07AA19, bupranolol, Diflunisal may decrease the antihypertensive activities of Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Diflunisal.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Buspirone is combined with Diflunisal.]
[L01XX27, arsenic trioxide, Diflunisal may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE03, artesunate, The metabolism of Artesunate can be decreased when combined with Diflunisal.]
[M02AA03, clofezone, Diflunisal may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA09, sparfloxacin, Diflunisal may increase the neuroexcitatory activities of Sparfloxacin.]
[A07EC04, balsalazide, The therapeutic efficacy of Balsalazide can be decreased when used in combination with Diflunisal.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Bambuterol.]
[A06AH05, naldemedine, Diflunisal may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Diflunisal may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Diflunisal may decrease the excretion rate of Pregabalin which could result in a higher serum level.]
[C09AA07, benazepril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Benazepril.]
[A10BX06, benfluorex, Diflunisal may increase the hypoglycemic activities of Benfluorex.]
[P01CA02, benznidazole, Diflunisal may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Diflunisal.]
[J05AF06, abacavir, Diflunisal may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX13, valbenazine, Diflunisal may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[N04BD03, safinamide, The risk or severity of hypertension can be increased when Diflunisal is combined with Safinamide.]
[J01MA23, delafloxacin, Diflunisal may increase the neuroexcitatory activities of Delafloxacin.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Diflunisal.]
[L01BC06, capecitabine, Diflunisal may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Diflunisal.]
[C07AB07, bisoprolol, Diflunisal may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Bitolterol.]
[J01DC10, cefprozil, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefprozil.]
[C07AA17, bopindolol, Diflunisal may decrease the antihypertensive activities of Bopindolol.]
[S01BC11, bromfenac, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Bromfenac.]
[C03DA03, canrenone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Canrenone.]
[R03BA02, budesonide, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Diflunisal.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Diflunisal is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of adverse effects can be increased when Diflunisal is combined with Bumadizone.]
[S01EE06, latanoprostene bunod, The therapeutic efficacy of Latanoprostene bunod can be decreased when used in combination with Diflunisal.]
[N06AA15, butriptyline, The risk or severity of gastrointestinal bleeding can be increased when Butriptyline is combined with Diflunisal.]
[C01AA02, acetyldigoxins, Diflunisal may decrease the excretion rate of Acetyldigoxin which could result in a higher serum level.]
[A10BJ06, semaglutide, Diflunisal may increase the hypoglycemic activities of Semaglutide.]
[A10BK04, ertugliflozin, Diflunisal may increase the hypoglycemic activities of Ertugliflozin.]
[R06AX18, acrivastine, Diflunisal may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Captopril.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Diflunisal.]
[L02BB05, apalutamide, Diflunisal may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Diflunisal may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C07AG02, carvedilol, Diflunisal may decrease the antihypertensive activities of Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Fostamatinib can be decreased when combined with Diflunisal.]
[N03AX24, cannabidiol, The risk or severity of hypertension can be increased when Diflunisal is combined with Cannabidiol.]
[L04AA37, baricitinib, Diflunisal may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefepime.]
[J01DD10, cefetamet, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefetamet.]
[J01DD09, cefodizime, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefodizime.]
[J01DC11, ceforanide, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Ceforanide.]
[J01DD13, cefpodoxime, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefpodoxime.]
[J01DD14, ceftibuten, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Ceftibuten.]
[J01GB14, plazomicin, Diflunisal may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Diflunisal may decrease the antihypertensive activities of Celiprolol.]
[A16AX14, migalastat, Diflunisal may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Diflunisal may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01GX12, cetirizine, Diflunisal may decrease the excretion rate of Cetirizine which could result in a higher serum level.]
[A10BB06, carbutamide, Diflunisal may increase the hypoglycemic activities of Carbutamide.]
[D08AE05, chloroxylenol, Diflunisal may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Inotersen.]
[L01AD01, carmustine, Diflunisal may decrease the excretion rate of Carmustine which could result in a higher serum level.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Diflunisal.]
[A06AX05, prucalopride, Diflunisal may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Cilazapril.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Diflunisal is combined with Caplacizumab.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Diflunisal is combined with Cilostazol.]
[A03FA08, cinitapride, The risk or severity of hypertension can be increased when Diflunisal is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Diflunisal.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Diflunisal is combined with Siponimod.]
