[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Metronidazole.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Moxifloxacin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Metronidazole.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Metronidazole.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Metronidazole.]
[L01EC02, dabrafenib, The metabolism of Dabrafenib can be decreased when combined with Metronidazole.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Metronidazole.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Metronidazole.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Metronidazole.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Metronidazole.]
[N03AF04, eslicarbazepine, The therapeutic efficacy of Eslicarbazepine can be decreased when used in combination with Metronidazole.]
[N03AG04, vigabatrin, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Metronidazole.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Metronidazole.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Metronidazole.]
[A16AA07, metreleptin, The metabolism of Metronidazole can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Metronidazole can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Metronidazole can be increased when combined with Betamethasone.]
[V03AB34, fomepizole, The metabolism of Metronidazole can be decreased when combined with Fomepizole.]
[L04AC11, siltuximab, The metabolism of Metronidazole can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Metronidazole.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Metronidazole.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Metronidazole.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Metronidazole.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Metronidazole.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Olodaterol.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Metronidazole.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Metronidazole.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Metronidazole.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Metronidazole.]
[J05AP09, dasabuvir, The metabolism of Metronidazole can be decreased when combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Metronidazole.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Metronidazole.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Metronidazole.]
[L04AC10, secukinumab, The metabolism of Metronidazole can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Metronidazole.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Metronidazole.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Metronidazole.]
[N02BE01, acetaminophen, The metabolism of Metronidazole can be decreased when combined with Acetaminophen.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Metronidazole is combined with Tioclomarol.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Metronidazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Metronidazole.]
[S01EC01, acetazolamide, The therapeutic efficacy of Acetazolamide can be decreased when used in combination with Metronidazole.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Metronidazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Metronidazole.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Metronidazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Metronidazole.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be decreased when combined with Metronidazole.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Metronidazole.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Metronidazole.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Metronidazole.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Metronidazole.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Metronidazole.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Metronidazole.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Metronidazole.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Metronidazole.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Metronidazole.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Metronidazole.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Metronidazole.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Metronidazole.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Metronidazole.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Buserelin.]
[N05BE01, buspirone, The metabolism of Metronidazole can be decreased when combined with Buspirone.]
[L01AB01, busulfan, The serum concentration of Busulfan can be increased when it is combined with Metronidazole.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Metronidazole.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Metronidazole.]
[L01XK03, rucaparib, The metabolism of Metronidazole can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Metronidazole.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Metronidazole.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Metronidazole.]
[N03AX30, beclamide, The therapeutic efficacy of Beclamide can be decreased when used in combination with Metronidazole.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Oxybuprocaine.]
[J05AE09, tipranavir, The risk or severity of adverse effects can be increased when Metronidazole is combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Metronidazole.]
[L04AB02, infliximab, The metabolism of Metronidazole can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Metronidazole.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Metronidazole.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Delafloxacin.]
[L01BC06, capecitabine, The serum concentration of the active metabolites of Capecitabine can be increased when Capecitabine is used in combination with Metronidazole.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Metronidazole.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Metronidazole.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Metronidazole.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Metronidazole.]
[J05AG03, efavirenz, The metabolism of Metronidazole can be increased when combined with Efavirenz.]
[R03BA02, budesonide, The metabolism of Metronidazole can be increased when combined with Budesonide.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Metronidazole.]
[J05AX18, letermovir, The metabolism of Metronidazole can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Capsaicin.]
[A10BK04, ertugliflozin, The metabolism of Metronidazole can be decreased when combined with Ertugliflozin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Acrivastine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Metronidazole.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Metronidazole.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Carbinoxamine.]
[R05CB03, carbocysteine, The risk or severity of adverse effects can be increased when Metronidazole is combined with Carbocisteine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Metronidazole.]
[B02BX09, fostamatinib, The metabolism of Metronidazole can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Metronidazole can be decreased when combined with Cannabidiol.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Encorafenib.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Metronidazole.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Metronidazole.]
[N03AX17, stiripentol, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Metronidazole.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Metronidazole.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Metronidazole.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Metronidazole.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Metronidazole.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Metronidazole.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Chloroprocaine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Metronidazole.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Inotersen.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Metronidazole.]
[L04AA39, emapalumab, The metabolism of Metronidazole can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Metronidazole.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Metronidazole is combined with Amifampridine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Metronidazole.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Cibenzoline.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Metronidazole.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Metronidazole.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Metronidazole.]
[N06AX29, brexanolone, The therapeutic efficacy of Brexanolone can be decreased when used in combination with Metronidazole.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Metronidazole.]
[N05BA09, clobazam, The therapeutic efficacy of Clobazam can be decreased when used in combination with Metronidazole.]
[H02AB14, cloprednol, The metabolism of Metronidazole can be increased when combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Metronidazole.]
[L04AB01, etanercept, The metabolism of Metronidazole can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Metronidazole can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Metronidazole.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Metronidazole.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Cicletanine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Entrectinib.]
[N07XX11, pitolisant, Metronidazole may increase the QTc-prolonging activities of Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Metronidazole.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Metronidazole.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Metronidazole.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Metronidazole.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Metronidazole.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Metronidazole.]
[G03AC09, desogestrel, The metabolism of Metronidazole can be increased when combined with Desogestrel.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Metronidazole.]
[N03AX25, cenobamate, The serum concentration of Metronidazole can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Metronidazole.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Dexchlorpheniramine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Metronidazole.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Metronidazole.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Metronidazole.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Metronidazole can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Metronidazole.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Metronidazole.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Metronidazole.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Metronidazole.]
[N02CC06, eletriptan, The metabolism of Metronidazole can be increased when combined with Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Metronidazole.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Metronidazole.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Metronidazole.]
[N03AG02, dipropylacetamide, The therapeutic efficacy of Valpromide can be decreased when used in combination with Metronidazole.]
[S03AA08, chloramphenicol, The metabolism of Metronidazole can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Chlorcyclizine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Metronidazole.]
[D07XB03, fluprednidene, The metabolism of Metronidazole can be increased when combined with Fluprednidene.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Metronidazole.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Dyclonine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Metronidazole.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Metronidazole.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Metronidazole.]
[L01EX23, pralsetinib, The metabolism of Metronidazole can be decreased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Metronidazole.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Metronidazole.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Metronidazole can be decreased when combined with Chlorzoxazone.]
[N06BX18, vinpocetine, The therapeutic efficacy of Vinpocetine can be decreased when used in combination with Metronidazole.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Metronidazole.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Metronidazole.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Relugolix.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Felbamate.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Metronidazole.]
