[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Sufentanil is combined with Antipyrine.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Sufentanil.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Sufentanil.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tretinoin.]
[C03DB02, triamterene, The therapeutic efficacy of Triamterene can be decreased when used in combination with Sufentanil.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Triazolam.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Trichlormethiazide can be decreased when used in combination with Sufentanil.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Mepenzolate is combined with Sufentanil.]
[N05AB06, trifluoperazine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Sufentanil.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Trifluperidol.]
[N05AA05, triflupromazine, The risk or severity of adverse effects can be increased when Triflupromazine is combined with Sufentanil.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Sufentanil.]
[A03AA05, trimebutine, The risk or severity of adverse effects can be increased when Trimebutine is combined with Sufentanil.]
[R06AD01, trimeprazine, The risk or severity of hypotension and CNS depression can be increased when Alimemazine is combined with Sufentanil.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Sufentanil.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Trimethaphan is combined with Sufentanil.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Trimipramine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Sufentanil.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Butylscopolamine is combined with Sufentanil.]
[J01FA08, troleandomycin, The metabolism of Sufentanil can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Sufentanil.]
[C09CA09, azilsartan medoxomil, Sufentanil may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Sufentanil.]
[A10BH05, linagliptin, The metabolism of Sufentanil can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Sufentanil can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Sufentanil can be decreased when combined with Telaprevir.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Indacaterol.]
[B01AC24, ticagrelor, Sufentanil can cause a decrease in the absorption of Ticagrelor resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08DA01, verapamil, The metabolism of Sufentanil can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Sufentanil can be decreased when combined with Viloxazine.]
[C04AX07, vincamine, Sufentanil may decrease the antihypertensive activities of Vincamine.]
[S01AA13, fusidic acid, The metabolism of Sufentanil can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, The therapeutic efficacy of Xenon can be increased when used in combination with Sufentanil.]
[C03BA10, xipamide, The therapeutic efficacy of Xipamide can be decreased when used in combination with Sufentanil.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Sufentanil can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Levetiracetam.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Sufentanil.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Drospirenone can be decreased when used in combination with Sufentanil.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Sufentanil is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Sufentanil.]
[G04BD07, tolterodine, The risk or severity of adverse effects can be increased when Tolterodine is combined with Sufentanil.]
[C07AB03, atenolol, Sufentanil may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Sufentanil can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Atracurium is combined with Sufentanil.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Atropine is combined with Sufentanil.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Sufentanil.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of hypertension can be increased when Sufentanil is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Sufentanil can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Sufentanil can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Sufentanil can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Sufentanil.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Sufentanil is combined with Octopamine.]
[L01EX05, regorafenib, Sufentanil may increase the bradycardic activities of Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Sufentanil.]
[J05AE04, nelfinavir, The metabolism of Sufentanil can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Sufentanil is combined with Rasagiline.]
[C08CA13, lercanidipine, Sufentanil may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Sufentanil is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[L04AA29, tofacitinib, Sufentanil may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Sufentanil.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Thonzylamine is combined with Sufentanil.]
[G04BD10, darifenacin, The risk or severity of adverse effects can be increased when Darifenacin is combined with Sufentanil.]
[N01AB02, chloroform, The therapeutic efficacy of Chloroform can be increased when used in combination with Sufentanil.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Sufentanil is combined with Diethyl ether.]
[H01CB05, pasireotide, Sufentanil may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, The risk or severity of hypotension can be increased when Sildenafil is combined with Sufentanil.]
[C04AX11, bencyclane, Sufentanil may increase the bradycardic activities of Bencyclane.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Bendroflumethiazide can be decreased when used in combination with Sufentanil.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Pomalidomide.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Sufentanil is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Benperidol.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Sufentanil.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Benzocaine.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Celecoxib is combined with Sufentanil.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Sufentanil is combined with Naratriptan.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Benzatropine is combined with Sufentanil.]
[L01EC02, dabrafenib, The serum concentration of Sufentanil can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Sufentanil is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Levomilnacipran.]
[C08EA02, bepridil, Sufentanil may decrease the antihypertensive activities of Bepridil.]
[C02KX05, riociguat, Sufentanil may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Sufentanil may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Sufentanil can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Sufentanil.]
[C01CA27, droxidopa, The risk or severity of hypertension can be increased when Sufentanil is combined with Droxidopa.]
[C07AB04, acebutolol, Sufentanil may decrease the antihypertensive activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Sufentanil can be increased when combined with Metreleptin.]
[S01ED02, betaxolol, Sufentanil may decrease the antihypertensive activities of Betaxolol.]
[C02CC01, bethanidine, Sufentanil may decrease the antihypertensive activities of Bethanidine.]
[L01ED02, ceritinib, Sufentanil may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of adverse effects can be increased when Hyoscyamine is combined with Sufentanil.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Alfaxalone.]
[A10BK03, empagliflozin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Olodaterol.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Glycopyrronium is combined with Sufentanil.]
[N05CM19, suvorexant, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[N05AA04, acepromazine, The risk or severity of hypotension and CNS depression can be increased when Acepromazine is combined with Sufentanil.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Sufentanil.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Naloxegol.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Biperiden is combined with Sufentanil.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Sufentanil.]
[N06AX11, mirtazapine, Sufentanil may increase the serotonergic activities of Mirtazapine.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Difemerine is combined with Sufentanil.]
[C01EB17, ivabradine, Sufentanil may increase the bradycardic activities of Ivabradine.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Sufentanil is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Sufentanil is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Flibanserin.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Sufentanil.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Sufentanil is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Sufentanil is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of hypotension and CNS depression can be increased when Acetophenazine is combined with Sufentanil.]
[J02AC05, isavuconazole, The metabolism of Sufentanil can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Sufentanil may decrease the antihypertensive activities of Selexipag.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Sufentanil.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Sufentanil is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Sufentanil can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Sufentanil.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Amineptine.]
[C08CA01, amlodipine, Sufentanil may decrease the antihypertensive activities of Amlodipine.]
[N01AH05, anileridine, The therapeutic efficacy of Anileridine can be increased when used in combination with Sufentanil.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Aniracetam.]
[C03CA02, bumetanide, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Sufentanil.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Sufentanil.]
[C07AA19, bupranolol, Sufentanil may decrease the antihypertensive activities of Bupranolol.]
[N07BC01, buprenorphine, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Sufentanil.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Sufentanil may increase the bradycardic activities of Rivastigmine.]
[N02AF01, butorphanol, The therapeutic efficacy of Sufentanil can be decreased when used in combination with Butorphanol.]
[S01GX07, azelastine, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Sufentanil.]
[L01EF02, ribociclib, The metabolism of Sufentanil can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Sufentanil is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Bambuterol.]
[A06AH05, naldemedine, The therapeutic efficacy of Sufentanil can be decreased when used in combination with Naldemedine.]
[N02BF02, pregabalin, The therapeutic efficacy of Sufentanil can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Beclamide.]
[C09AA07, benazepril, Sufentanil may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Sufentanil is combined with Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Sufentanil.]
[J05AE09, tipranavir, The metabolism of Sufentanil can be decreased when combined with Tipranavir.]
[L01EX10, midostaurin, The metabolism of Sufentanil can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Safinamide.]
[C07AB07, bisoprolol, Sufentanil may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Bitolterol.]
[J05AG03, efavirenz, The metabolism of Sufentanil can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, Sufentanil may increase the bradycardic activities of Bopindolol.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Bornaprine is combined with Sufentanil.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Brotizolam.]
[C03DA03, canrenone, The therapeutic efficacy of Canrenone can be decreased when used in combination with Sufentanil.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Sufentanil is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Sufentanil is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Sufentanil.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Sufentanil is combined with Butriptyline.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Sufentanil.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Sufentanil is combined with Vinylbital.]
[C09AA01, captopril, Sufentanil may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, The metabolism of Sufentanil can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Sufentanil can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Sufentanil.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Camylofin is combined with Sufentanil.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Carbinoxamine.]
[C07AG02, carvedilol, Sufentanil may decrease the antihypertensive activities of Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Sufentanil.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Sufentanil.]
[C07AB08, celiprolol, Sufentanil may decrease the antihypertensive activities of Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Sufentanil can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Sufentanil can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Sufentanil.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Sufentanil is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Chlorphenoxamine is combined with Sufentanil.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Sufentanil is combined with Lornoxicam.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Sufentanil.]
[R03BB08, revefenacin, The risk or severity of adverse effects can be increased when Revefenacin is combined with Sufentanil.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Sufentanil.]
[C09AA08, cilazapril, Sufentanil may decrease the antihypertensive activities of Cilazapril.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Sufentanil is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Sufentanil.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Sufentanil is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Sufentanil can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Sufentanil.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Clobazam.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Sufentanil.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Cloxazolam.]
[C09CA06, candesartan, Sufentanil may decrease the antihypertensive activities of Candesartan.]
[N05AA06, cyamemazine, The risk or severity of hypotension and CNS depression can be increased when Cyamemazine is combined with Sufentanil.]
[C03BX03, cicletanine, The therapeutic efficacy of Cicletanine can be decreased when used in combination with Sufentanil.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Sufentanil.]
[N07XX11, pitolisant, The serum concentration of Sufentanil can be decreased when it is combined with Pitolisant.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Cyclothiazide can be decreased when used in combination with Sufentanil.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Yohimbine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Sufentanil.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Sufentanil.]
[N03AX25, cenobamate, The serum concentration of Sufentanil can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Sufentanil.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Sufentanil is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Lumateperone.]
[J05AE05, amprenavir, The metabolism of Sufentanil can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Sufentanil is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Sufentanil is combined with Dutasteride.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Dichloralphenazone.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Sufentanil.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Sufentanil.]
[C08CA16, clevidipine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Sufentanil can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Chlordiazepoxide.]
[C02AA06, methoserpidine, Sufentanil may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Sufentanil.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Dihexyverine is combined with Sufentanil.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Opicapone.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Sufentanil is combined with Dopexamine.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Sufentanil.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Sufentanil is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Sufentanil is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Sufentanil is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Sufentanil is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Sufentanil.]
[C08CA17, levamlodipine, Sufentanil may decrease the antihypertensive activities of Levamlodipine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Sufentanil is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Sufentanil can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Sufentanil is combined with Oliceridine.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Chlorothiazide can be decreased when used in combination with Sufentanil.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Sufentanil.]
[N05AF03, chlorprothixene, The risk or severity of adverse effects can be increased when Chlorprothixene is combined with Sufentanil.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Chlorthalidone can be decreased when used in combination with Sufentanil.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Sufentanil.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Sufentanil is combined with Ethenzamide.]
