[P02BB01, trichlorfon, The metabolism of Succinylcholine can be decreased when combined with Metrifonate.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Trazodone.]
[S01BA05, triamcinolone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Triamcinolone.]
[C03DB02, triamterene, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Triazolam.]
[A03AB12, mepenzolate, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, The metabolism of Succinylcholine can be decreased when combined with Demecarium.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Trifluperidol.]
[N05AA05, triflupromazine, The metabolism of Succinylcholine can be decreased when combined with Triflupromazine.]
[D07AC02, fluclorolone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Fluclorolone.]
[N04AA01, trihexyphenidyl, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Mometasone.]
[A03AA05, trimebutine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Trimethadione.]
[C02BA01, trimethaphan, The serum concentration of Trimethaphan can be increased when it is combined with Succinylcholine.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Trimipramine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Triprolidine.]
[A03BB01, butylscopolamine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Succinylcholine.]
[C09CA09, azilsartan medoxomil, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Azilsartan medoxomil.]
[M03AA02, tubocurarine, The metabolism of Succinylcholine can be decreased when combined with Tubocurarine.]
[S01AA05, tyrothricin, The metabolism of Succinylcholine can be decreased when combined with Tyrothricin.]
[S01AA28, vancomycin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Vancomycin.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ezogabine.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Viloxazine.]
[L01CA02, vincristine, Succinylcholine may increase the neurotoxic activities of Vincristine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Levetiracetam.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ziprasidone.]
[G03AC10, drospirenone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Drospirenone.]
[N02BA01, aspirin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Acetylsalicylic acid.]
[G04BD07, tolterodine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Atenolol.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Atracurium.]
[S01FA01, atropine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[H02AB11, prednylidene, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Prednylidene.]
[M03BX01, baclofen, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Baclofen.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Mirabegron can be increased when it is combined with Succinylcholine.]
[A02AA05, magnesium silicate, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Magnesium silicate.]
[H02AA01, aldosterone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Aldosterone.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Barbital.]
[C01AA01, acetyldigitoxin, The risk or severity of Cardiac Arrhythmia can be increased when Succinylcholine is combined with Acetyldigitoxin.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Rasagiline.]
[C08CA13, lercanidipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Mosapride.]
[N06DA02, donepezil, The metabolism of Succinylcholine can be decreased when combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Diethyl ether.]
[C04AX11, bencyclane, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Bencyclane.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pomalidomide.]
[N02BA10, benorilate, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Benperidol.]
[A10BK02, canagliflozin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Canagliflozin.]
[A12CC09, magnesium orotate, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Magnesium orotate.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Benzocaine.]
[M01AH01, celecoxib, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Naratriptan.]
[A12CC05, magnesium aspartate, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Magnesium aspartate.]
[N04AC01, benztropine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[R02AX03, benzydamine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Bepridil.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Eslicarbazepine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Vigabatrin.]
[C07AB04, acebutolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tasimelteon.]
[A16AA06, betaine, The metabolism of Succinylcholine can be decreased when combined with Betaine.]
[S03BA03, betamethasone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Betamethasone.]
[S01ED02, betaxolol, The risk or severity of hyperkalemia can be increased when Betaxolol is combined with Succinylcholine.]
[A03BA03, hyoscyamine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Alfaxalone.]
[D11AA01, glycopyrronium, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[S01AA15, dihydrostreptomycin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Dihydrostreptomycin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Acepromazine.]
[A06AH03, naloxegol, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Naloxegol.]
[N04AA02, biperiden, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S03AA06, gentamicin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Gentamicin.]
[N06AX11, mirtazapine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A03AA09, difemerine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[A07DA06, eluxadoline, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Acetophenazine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Magnesium Aluminum Silicate.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dexbrompheniramine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Amineptine.]
[C08CA01, amlodipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Amlodipine.]
[N05AX17, pimavanserin, Succinylcholine may increase the neurotoxic activities of Pimavanserin.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may decrease the neuromuscular blocking activities of Succinylcholine.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Bupranolol.]
[N07BC01, buprenorphine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Buspirone.]
[N06DA03, rivastigmine, The metabolism of Succinylcholine can be decreased when combined with Rivastigmine.]
[N02AF01, butorphanol, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Butorphanol.]
[S01GX07, azelastine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[A07EC04, balsalazide, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Bambuterol.]
[N02BF02, pregabalin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Beclamide.]
[C09AA07, benazepril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Oxybuprocaine.]
[R05DB01, benzonatate, The serum concentration of Benzonatate can be increased when it is combined with Succinylcholine.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Safinamide.]
[A02BX12, bismuth subnitrate, Succinylcholine may increase the neurotoxic activities of Bismuth subnitrate.]
[C07AB07, bisoprolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Bisoprolol.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Efavirenz.]
[C07AA17, bopindolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Bopindolol.]
[N04AA11, bornaprine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Brotizolam.]
[C03DA03, canrenone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Canrenone.]
[R03BA02, budesonide, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Budesonide.]
[M01AB07, bumadizone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, Succinylcholine may increase the arrhythmogenic activities of Acetyldigoxin.]
[N01BX04, capsaicin, The metabolism of Succinylcholine can be decreased when combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Vinylbital.]
[C09AA01, captopril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Captopril.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Carbamazepine.]
[A03AA03, camylofine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Carbinoxamine.]
[C07AG02, carvedilol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Succinylcholine.]
[J01GB14, plazomicin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Plazomicin.]
[C07AB08, celiprolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Celiprolol.]
[N03AX17, stiripentol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Cetirizine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Lornoxicam.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Succinylcholine.]
[R03BB08, revefenacin, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[C09AA08, cilazapril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Cilazapril.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Esketamine.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Clobazam.]
[J01AA11, clomocycline, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Clomocycline.]
[H02AB14, cloprednol, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Cloxazolam.]
[C09CA06, candesartan, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Candesartan.]
[H02AB17, cortivazol, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Cortivazol.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Succinylcholine.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Yohimbine.]
[H02AB13, deflazacort, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Deflazacort.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Succinylcholine.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dexbrompheniramine.]
[N02AX03, dezocine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Lumateperone.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dichloralphenazone.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Eletriptan.]
[M01AH02, rofecoxib, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Rofecoxib.]
[C08CA16, clevidipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Clevidipine.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Chlordiazepoxide.]
[A03AA08, dihexyverine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[D07XB03, fluprednidene, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Fluprednidene.]
[G04BD09, trospium, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Droxicam.]
[M02AA27, dexketoprofen, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dyclonine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Succinylcholine is combined with Remimazolam.]
[N07XX04, sodium oxybate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Sodium oxybate.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Succinylcholine is combined with Oliceridine.]
[P01BA01, chloroquine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Chloroquine.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Succinylcholine can be decreased when combined with Chlorpromazine.]
[N05AF03, chlorprothixene, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Chlorzoxazone.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Etofenamate.]
[L01FX21, naxitamab, Succinylcholine may increase the neurotoxic activities of Naxitamab.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Fenbufen.]
[R03BA03, flunisolide, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Fluocinolone acetonide.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Trichloroethylene.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Gabapentin.]
[N07CA02, cinnarizine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Cinnarizine.]
[L01XA01, cisplatin, The metabolism of Succinylcholine can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Citalopram.]
[C03DA05, finerenone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Finerenone.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Clemastine.]
[M01AG01, mefenamic acid, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Mefenamic acid.]
[J01FF01, clindamycin, The risk or severity of neuromuscular blockade can be increased when Clindamycin is combined with Succinylcholine.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Succinylcholine is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Succinylcholine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Levobupivacaine.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Succinylcholine.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Granisetron.]
[N05AH02, clozapine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[J01GB12, arbekacin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Arbekacin.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Halazepam.]
[S02DA02, cocaine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
