[S02DA03, antipyrine, Antipyrine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J05AP02, telaprevir, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Telaprevir.]
[S01AA28, vancomycin, Vancomycin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N03AX21, ezogabine, Tenofovir disoproxil may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, The serum concentration of Rivaroxaban can be increased when it is combined with Tenofovir disoproxil.]
[R03AC18, indacaterol, The serum concentration of Indacaterol can be increased when it is combined with Tenofovir disoproxil.]
[B01AC24, ticagrelor, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, Tenofovir disoproxil may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Tenofovir disoproxil.]
[L01CA02, vincristine, The serum concentration of Vincristine can be increased when it is combined with Tenofovir disoproxil.]
[B03BA01, vitamin B12, Tenofovir disoproxil may decrease the excretion rate of Cyanocobalamin which could result in a higher serum level.]
[B01AA03, warfarin, Tenofovir disoproxil may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The excretion of Tenofovir disoproxil can be decreased when combined with Zidovudine.]
[L01EC01, vemurafenib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Tenofovir disoproxil.]
[M05BA05, tiludronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir disoproxil is combined with Tiludronic acid.]
[B06AC02, icatibant, Tenofovir disoproxil may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Crizotinib.]
[A02BC04, rabeprazole, Tenofovir disoproxil may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir disoproxil is combined with Ibandronate.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Tenofovir disoproxil may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01EJ01, ruxolitinib, Tenofovir disoproxil may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Tenofovir disoproxil may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Tenofovir disoproxil may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[M01CB03, auranofin, Tenofovir disoproxil may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Tenofovir disoproxil.]
[R07AX02, ivacaftor, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Ivacaftor.]
[B03XA04, peginesatide, Tenofovir disoproxil may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Tenofovir disoproxil may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Tenofovir disoproxil may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Tenofovir disoproxil.]
[J01DF01, aztreonam, Tenofovir disoproxil may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Tenofovir disoproxil.]
[M03BX01, baclofen, Tenofovir disoproxil may decrease the excretion rate of Baclofen which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Tenofovir disoproxil.]
[A08AA11, lorcaserin, Tenofovir disoproxil may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Carfilzomib.]
[L02BB04, enzalutamide, Tenofovir disoproxil may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Tenofovir disoproxil.]
[L04AA31, teriflunomide, The excretion of Tenofovir disoproxil can be decreased when combined with Teriflunomide.]
[L01EX05, regorafenib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Regorafenib.]
[D02BA02, octinoxate, Tenofovir disoproxil may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Tenofovir disoproxil.]
[N04BD02, rasagiline, Tenofovir disoproxil may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[V09IX04, fluorodeoxyglucose F18, Tenofovir disoproxil may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[G04BE03, sildenafil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Sildenafil.]
[V08CA11, gadofosveset, Tenofovir disoproxil may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The serum concentration of Apixaban can be increased when it is combined with Tenofovir disoproxil.]
[A16AX08, teduglutide, Tenofovir disoproxil may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Lomitapide.]
[A10BH04, alogliptin, Tenofovir disoproxil may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Tenofovir disoproxil may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Tenofovir disoproxil.]
[N02BA10, benorilate, Benorilate may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A10BK02, canagliflozin, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Canagliflozin.]
[A06AX06, tegaserod, The serum concentration of Tegaserod can be increased when it is combined with Tenofovir disoproxil.]
[J02AX04, caspofungin, The excretion of Tenofovir disoproxil can be decreased when combined with Caspofungin.]
[L03AA12, ancestim, Tenofovir disoproxil may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L04AA18, everolimus, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, Tenofovir disoproxil may decrease the excretion rate of Benzatropine which could result in a higher serum level.]
[L01EC02, dabrafenib, The excretion of Tenofovir disoproxil can be decreased when combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01EE01, trametinib, Tenofovir disoproxil may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Tenofovir disoproxil may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[L01EB03, afatinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, Tenofovir disoproxil may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Tenofovir disoproxil.]
[A10BJ03, lixisenatide, Tenofovir disoproxil may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[A05AA03, cholic acid, The excretion of Tenofovir disoproxil can be decreased when combined with Cholic Acid.]
[C02KX04, macitentan, Tenofovir disoproxil may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, Tenofovir disoproxil may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, Tenofovir disoproxil may decrease the excretion rate of Etonogestrel which could result in a higher serum level.]
[J05AP05, simeprevir, The serum concentration of Simeprevir can be decreased when it is combined with Tenofovir disoproxil.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be increased when it is combined with Tenofovir disoproxil.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Tenofovir disoproxil may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, Tenofovir disoproxil may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Tenofovir disoproxil may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Tenofovir disoproxil may decrease the excretion rate of Formestane which could result in a higher serum level.]
[V03AB34, fomepizole, Tenofovir disoproxil may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Tenofovir disoproxil.]
[B01AC26, vorapaxar, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Vorapaxar.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Tenofovir disoproxil.]
[L01EM01, idelalisib, The serum concentration of Idelalisib can be increased when it is combined with Tenofovir disoproxil.]
[N07XX08, tafamidis, The excretion of Tenofovir disoproxil can be decreased when combined with Tafamidis.]
[V08AA01, diatrizoic acid, Tenofovir disoproxil may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[V08AA04, iothalamic acid, Tenofovir disoproxil may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[N05CM19, suvorexant, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Suvorexant.]
[A16AX10, eliglustat, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Eliglustat.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01EX09, nintedanib, The serum concentration of Nintedanib can be increased when it is combined with Tenofovir disoproxil.]
[S03AA06, gentamicin, Gentamicin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J05AP09, dasabuvir, The serum concentration of Dasabuvir can be increased when it is combined with Tenofovir disoproxil.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Tenofovir disoproxil.]
[L01EF01, palbociclib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The excretion of Tenofovir disoproxil can be decreased when combined with Lenvatinib.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be increased when it is combined with Tenofovir disoproxil.]
[J05AP07, daclatasvir, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, Tenofovir disoproxil may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[L01DC01, bleomycin, Tenofovir disoproxil may decrease the excretion rate of Bleomycin which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Adefovir dipivoxil.]
[J05AP06, asunaprevir, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Asunaprevir.]
[A04AD14, rolapitant, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Flibanserin.]
[M02AA25, aceclofenac, Aceclofenac may increase the nephrotoxic activities of Tenofovir disoproxil.]
[M01AB11, acemetacin, Acemetacin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC03, lansoprazole, The excretion of Tenofovir disoproxil can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Tenofovir disoproxil may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J02AC05, isavuconazole, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Osimertinib can be increased when it is combined with Tenofovir disoproxil.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tenofovir disoproxil.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Tenofovir disoproxil.]
[L01XG03, ixazomib, Tenofovir disoproxil may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The serum concentration of Selexipag can be increased when it is combined with Tenofovir disoproxil.]
[M04AB05, lesinurad, Tenofovir disoproxil may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The serum concentration of Elbasvir can be increased when it is combined with Tenofovir disoproxil.]
[J05AP11, grazoprevir, The serum concentration of Grazoprevir can be increased when it is combined with Tenofovir disoproxil.]
[M01AE16, alminoprofen, Alminoprofen may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N03AX23, brivaracetam, Tenofovir disoproxil may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01XX52, venetoclax, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Venetoclax.]
[N05BA08, bromazepam, Tenofovir disoproxil may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Tenofovir disoproxil may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C03CA02, bumetanide, Bumetanide may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N01BB01, bupivacaine, Tenofovir disoproxil may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[N05BE01, buspirone, Tenofovir disoproxil may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[L01XX27, arsenic trioxide, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Arsenic trioxide.]
[M02AA03, clofezone, Tenofovir disoproxil may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[A07EC04, balsalazide, Balsalazide may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A06AH05, naldemedine, Tenofovir disoproxil may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Tenofovir disoproxil may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Tenofovir disoproxil may decrease the excretion rate of Pregabalin which could result in a higher serum level.]
[P01CA02, benznidazole, Tenofovir disoproxil may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The excretion of Tenofovir disoproxil can be decreased when combined with Linezolid.]
[J05AF06, abacavir, Tenofovir disoproxil may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The serum concentration of Tipranavir can be decreased when it is combined with Tenofovir disoproxil.]
[N07XX13, valbenazine, Tenofovir disoproxil may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[J01MA23, delafloxacin, Tenofovir disoproxil may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Tenofovir disoproxil.]
[L01BC06, capecitabine, Tenofovir disoproxil may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The excretion of Tenofovir disoproxil can be decreased when combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Tenofovir disoproxil.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Tenofovir disoproxil.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Tenofovir disoproxil.]
[C07AB07, bisoprolol, The serum concentration of Bisoprolol can be increased when it is combined with Tenofovir disoproxil.]
[J01DC10, cefprozil, Cefprozil may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Tenofovir disoproxil may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J05AX18, letermovir, The excretion of Tenofovir disoproxil can be decreased when combined with Letermovir.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Tenofovir disoproxil may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The excretion of Tenofovir disoproxil can be decreased when combined with Captopril.]
[L02BB05, apalutamide, The serum concentration of Tenofovir disoproxil can be decreased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Tenofovir disoproxil can be decreased when it is combined with Carbamazepine.]
[J01CA03, carbenicillin, The excretion of Tenofovir disoproxil can be decreased when combined with Carbenicillin.]
[C07AG02, carvedilol, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Carvedilol.]
[B02BX08, avatrombopag, The excretion of Tenofovir disoproxil can be decreased when combined with Avatrombopag.]
[L04AA37, baricitinib, Tenofovir disoproxil may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DD10, cefetamet, Cefetamet may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DD09, cefodizime, Cefodizime may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DC11, ceforanide, Ceforanide may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DD13, cefpodoxime, Cefpodoxime may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Tenofovir disoproxil.]
[J01DD14, ceftibuten, Ceftibuten may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01GB14, plazomicin, Plazomicin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[H01CC03, elagolix, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Elagolix.]
[A16AX14, migalastat, Tenofovir disoproxil may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The excretion of Tenofovir disoproxil can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be increased when it is combined with Tenofovir disoproxil.]
[L01EM04, duvelisib, The serum concentration of Duvelisib can be increased when it is combined with Tenofovir disoproxil.]
[L01EB07, dacomitinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Tenofovir disoproxil.]
[S01GX12, cetirizine, Tenofovir disoproxil may decrease the excretion rate of Cetirizine which could result in a higher serum level.]
[D08AE05, chloroxylenol, Tenofovir disoproxil may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N07XX15, inotersen, Inotersen may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Tenofovir disoproxil.]
[R03BB08, revefenacin, The serum concentration of Revefenacin can be increased when it is combined with Tenofovir disoproxil.]
[L01AD01, carmustine, Tenofovir disoproxil may decrease the excretion rate of Carmustine which could result in a higher serum level.]
[L01EX12, larotrectinib, The serum concentration of Larotrectinib can be increased when it is combined with Tenofovir disoproxil.]
[L01EX13, gilteritinib, The serum concentration of Gilteritinib can be increased when it is combined with Tenofovir disoproxil.]
[L01XJ03, glasdegib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Glasdegib.]
[A06AX05, prucalopride, Tenofovir disoproxil may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, Tenofovir disoproxil may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[J01FA09, clarithromycin, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Clarithromycin.]
[N06BA14, solriamfetol, Tenofovir disoproxil may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The serum concentration of Clobazam can be increased when it is combined with Tenofovir disoproxil.]
[J01DC04, cefaclor, Cefaclor may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DB05, cefadroxil, Cefadroxil may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DC03, cefamandole, Cefamandole may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DB07, cefatrizine, Cefatrizine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DB04, cefazolin, Cefazolin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Tenofovir disoproxil.]
[J01DC09, cefmetazole, Cefmetazole may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DC06, cefonicid, Cefonicid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DD12, cefoperazone, Cefoperazone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DD01, cefotaxime, Cefotaxime may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DC05, cefotetan, Cefotetan may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DC07, cefotiam, Cefotiam may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DC01, cefoxitin, Cefoxitin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DD03, cefsulodin, Cefsulodin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DD02, ceftazidime, Ceftazidime may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DD04, ceftriaxone, Ceftriaxone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[S01AA27, cefuroxime, Cefuroxime may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L01EJ02, fedratinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Pitolisant.]
