[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Eletriptan.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Eletriptan can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Eletriptan.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be increased when combined with Eletriptan.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Triazolam.]
[C03AA06, trichlormethiazide, Eletriptan may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Trifluperidol.]
[N05AA05, triflupromazine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Eletriptan is combined with Trimethadione.]
[C02BA01, trimethaphan, Eletriptan may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Eletriptan.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Eletriptan.]
[R06AC04, tripelennamine, The metabolism of Eletriptan can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Triprolidine.]
[A03BB01, butylscopolamine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Eletriptan can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Eletriptan can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Eletriptan.]
[C09CA09, azilsartan medoxomil, Eletriptan may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tubocurarine.]
[L02BX03, abiraterone, The metabolism of Eletriptan can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Eletriptan can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Eletriptan can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Eletriptan can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Eletriptan.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Eletriptan can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Eletriptan can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Eletriptan can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Eletriptan can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Eletriptan may decrease the antihypertensive activities of Vincamine.]
[B01AA03, warfarin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Warfarin.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Eletriptan is combined with Xenon.]
[C03BA10, xipamide, Eletriptan may decrease the antihypertensive activities of Xipamide.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be increased when combined with Eletriptan.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Eletriptan can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Eletriptan can be decreased when combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Eletriptan can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Eletriptan can be decreased when combined with Zafirlukast.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Eletriptan is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Eletriptan.]
[G04BD07, tolterodine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Eletriptan may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Eletriptan can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Eletriptan is combined with Atracurium.]
[S01FA01, atropine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Eletriptan.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Eletriptan.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[A08AA11, lorcaserin, The metabolism of Eletriptan can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Eletriptan can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Eletriptan can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Eletriptan can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Eletriptan can be decreased when it is combined with Enzalutamide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Eletriptan is combined with Octopamine.]
[L01EX05, regorafenib, The metabolism of Eletriptan can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Eletriptan is combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Eletriptan can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Eletriptan is combined with Rasagiline.]
[C08CA13, lercanidipine, Eletriptan may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Eletriptan is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Eletriptan is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[N02CC03, zolmitriptan, The risk or severity of vasospastic reactions can be increased when Eletriptan is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Eletriptan can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Eletriptan is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Eletriptan.]
[G04BE03, sildenafil, The metabolism of Eletriptan can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Eletriptan.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Eletriptan.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Eletriptan.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Eletriptan can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Eletriptan may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Eletriptan can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Eletriptan is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Benperidol.]
[M04AB03, benzbromarone, The metabolism of Eletriptan can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Eletriptan can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Eletriptan can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Eletriptan can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Eletriptan can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Eletriptan is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Eletriptan is combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Eletriptan can be decreased when combined with Bepridil.]
[C02KX05, riociguat, Eletriptan may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Eletriptan may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Eletriptan.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Eletriptan can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be increased when combined with Eletriptan.]
[C01CA27, droxidopa, Eletriptan may increase the hypertensive activities of Droxidopa.]
[C07AB04, acebutolol, The metabolism of Eletriptan can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Eletriptan can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Eletriptan can be increased when combined with Apremilast.]
[S01ED02, betaxolol, Eletriptan may decrease the antihypertensive activities of Betaxolol.]
[C02CC01, bethanidine, Eletriptan may decrease the antihypertensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Eletriptan can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Eletriptan can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Alfaxalone.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Olodaterol.]
[D11AA01, glycopyrronium, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eletriptan can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Eletriptan can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Acepromazine.]
[N04AA02, biperiden, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Eletriptan.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Eletriptan.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dicoumarol.]
[N06AX11, mirtazapine, Eletriptan may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Eletriptan can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Eletriptan can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be increased when combined with Eletriptan.]
[A03AA09, difemerine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Eletriptan can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Eletriptan is combined with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Eletriptan can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Eletriptan is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Eletriptan is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Eletriptan can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Eletriptan.]
[J02AC05, isavuconazole, The metabolism of Eletriptan can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Eletriptan may decrease the antihypertensive activities of Selexipag.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Eletriptan.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Eletriptan.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Eletriptan is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Eletriptan is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Eletriptan can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Bromazepam.]
[N04BC01, bromocriptine, Bromocriptine may increase the vasoconstricting activities of Eletriptan.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Alverine.]
[R06AB01, brompheniramine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Brompheniramine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Amineptine.]
[C08CA01, amlodipine, Eletriptan may decrease the antihypertensive activities of Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Aniracetam.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Bupivacaine.]
[C07AA19, bupranolol, Eletriptan may decrease the antihypertensive activities of Bupranolol.]
[N07BC01, buprenorphine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Buspirone.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Eletriptan.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Butorphanol.]
[S01GX07, azelastine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Eletriptan can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Eletriptan can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Eletriptan is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Bambuterol.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Eletriptan.]
[N02BF02, pregabalin, The therapeutic efficacy of Eletriptan can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Beclamide.]
[C09AA07, benazepril, Eletriptan may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Eletriptan.]
[J05AE09, tipranavir, The metabolism of Eletriptan can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Eletriptan.]
[L04AB02, infliximab, The metabolism of Eletriptan can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Eletriptan can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Safinamide.]
[J01MA23, delafloxacin, The metabolism of Eletriptan can be increased when combined with Delafloxacin.]
[L01BC06, capecitabine, The metabolism of Eletriptan can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Eletriptan.]
[C07AB07, bisoprolol, Eletriptan may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Bitolterol.]
[J05AG03, efavirenz, The metabolism of Eletriptan can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Eletriptan.]
[N04AA11, bornaprine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Brotizolam.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Eletriptan is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Eletriptan is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Eletriptan is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Eletriptan.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Eletriptan is combined with Butriptyline.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Eletriptan is combined with Vinylbital.]
[C09AA01, captopril, Eletriptan may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, The metabolism of Eletriptan can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Eletriptan can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Carbinoxamine.]
[C07AG02, carvedilol, Eletriptan may decrease the antihypertensive activities of Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Eletriptan.]
[B02BX08, avatrombopag, The metabolism of Eletriptan can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Eletriptan.]
[C07AB08, celiprolol, Eletriptan may decrease the antihypertensive activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Eletriptan.]
[L01XX62, ivosidenib, The metabolism of Eletriptan can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Eletriptan.]
[N03AX17, stiripentol, The metabolism of Eletriptan can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Eletriptan.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Cetirizine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Eletriptan is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Eletriptan.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Eletriptan is combined with Lornoxicam.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Eletriptan.]
[R03BB08, revefenacin, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Eletriptan can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The therapeutic efficacy of Eletriptan can be decreased when used in combination with Gilteritinib.]
[C09AA08, cilazapril, Eletriptan may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Eletriptan.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Eletriptan is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Eletriptan can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Eletriptan.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Eletriptan is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Eletriptan can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Eletriptan.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Eletriptan.]
[N05BA09, clobazam, The metabolism of Eletriptan can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Cloxazolam.]
[C09CA06, candesartan, Eletriptan may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Eletriptan can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Eletriptan can be decreased when it is combined with Alpelisib.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Cyamemazine.]
[C03BX03, cicletanine, Eletriptan may decrease the antihypertensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Eletriptan.]
[L01EJ02, fedratinib, The metabolism of Eletriptan can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The serum concentration of Eletriptan can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Eletriptan.]
[C03AA09, cyclothiazide, Eletriptan may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Yohimbine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Eletriptan.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Eletriptan.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Eletriptan.]
[N03AX25, cenobamate, The serum concentration of Eletriptan can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Eletriptan can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dexbrompheniramine.]
[R06AB02, dexchlorpheniramine, The metabolism of Eletriptan can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dezocine.]
